topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149	topic_150	topic_151	topic_152	topic_153	topic_154	topic_155	topic_156	topic_157	topic_158	topic_159
0.0010353979	0.0010387078	0.001042032	0.0010387198	0.0010420546	0.0010387198	0.0010420274	0.0010353979	0.0010353979	0.3897804	0.0010387078	0.0010420235	0.0010353979	0.0010353979	0.0010387228	0.0010353979	0.0010353979	0.0010353979	0.0010353979	0.0010353979	0.0010420219	0.0010387165	0.0010353979	0.0010387015	0.0010387182	0.0010353979	0.0010387147	0.0010386867	0.0010419949	0.0010353979	0.0010353979	0.44623488	0.0010353979	0.0010353979	0.0010386911	0.0010353979	0.0010353979	0.0010387078	0.0010408207	0.0010387127	0.0010353979	0.0010387104	0.0010387078	0.0010387104	0.0010353979	0.0010453209	0.0010420225	0.0010353979	0.0010353979	0.0010353979	0.0010420033	0.0010387142	0.0010353979	0.0010420046	0.0010353979	0.0010387388	0.0010387104	0.0010353979	0.0010353979	0.0010387405	0.0010353979	0.0010387126	0.0010486575	0.0010353979	0.0010353979	0.0010353993	0.001045347	0.0010353979	0.0010353985	0.0010353979	0.0010420148	0.0010453212	0.0010387165	0.0010387078	0.0010420557	0.0010353979	0.0010353979	0.0010387216	0.0010420175	0.0010353979	0.0010353979	0.0010387049	0.0010353979	0.0010387074	0.001038712	0.0010387078	0.0010353979	0.0010353979	0.0010353979	0.0010420287	0.0010353979	0.0010453388	0.0010387292	0.0010387049	0.0010353979	0.0010353979	0.0010353979	0.0010387104	0.0010353979	0.0010353979	0.0010353979	0.0010387049	0.0010353979	0.0010353979	0.0010353979	0.0010386527	0.0010420226	0.0010353979	0.0010387102	0.0010353979	0.0010387272	0.0010420182	0.0010387212	0.0010353979	0.0010453571	0.0010420363	0.0010353979	0.0010387198	0.0010353983	0.0010399702	0.0010387137	0.0010353979	0.0010387126	0.0010353979	0.0010387334	0.0010353979	0.0010387078	0.0010453342	0.0010387237	0.0010387168	0.0010353985	0.0010353979	0.0010353979	0.0010353979	0.0010387129	0.0010353979	0.0010353979	0.0010353979	0.0010387078	0.0010353979	0.0010420553	0.0010353979	0.001038691	0.0010387078	0.0010411969	0.0010353989	0.0010353986	0.0010353979	0.0010420216	0.0010387182	0.0010353979	0.0010387126	0.0010371717	0.001035398	0.0010353979	0.0010420216	0.0010385127	0.0010353979	0.0010353979	0.001045383
0.0001633867	0.00016390902	0.00016443359	0.00016391091	0.5641144	0.00016391091	0.00016443286	0.0001633867	0.0001633867	0.00016654485	0.00016390902	0.00016443225	0.0001633867	0.0001633867	0.0001639114	0.0001633867	0.0001633867	0.0001633867	0.0001633867	0.0001633867	0.000164432	0.0001639104	0.0001633867	0.00016390803	0.00016391065	0.0001633867	0.0001639101	0.0001639057	0.00016442774	0.0001633867	0.0001633867	0.00016390978	0.0001633867	0.0001633867	0.0001639064	0.0001633867	0.0001633867	0.00016390902	0.00016424243	0.0719792	0.0001633867	0.00016390943	0.00016390902	0.00016390943	0.0001633867	0.00016495258	0.00016443209	0.0001633867	0.0001633867	0.0001633867	0.00016442906	0.00016391002	0.0001633867	0.00016442925	0.0001633867	0.25189793	0.00016390943	0.0001633867	0.0001633867	0.00016391418	0.0001633867	0.00016390978	0.0001654791	0.0001633867	0.0001633867	0.00016338694	0.00016495668	0.0001633867	0.0001633868	0.0001633867	0.00016443086	0.00016495262	0.0001639104	0.00016390902	0.00016443731	0.0001633867	0.0001633867	0.00016391122	0.00016443129	0.0001633867	0.0001633867	0.00016390857	0.0001633867	0.00016390896	0.00016390969	0.00016390902	0.0001633867	0.0001633867	0.0001633867	0.00016443306	0.0001633867	0.0001649554	0.00016391241	0.00016390857	0.0001633867	0.0001633867	0.0001633867	0.00016390943	0.0001633867	0.0001633867	0.0001633867	0.00016390857	0.0001633867	0.0001633867	0.0001633867	0.00016390033	0.00016443209	0.0001633867	0.00016390941	0.0001633867	0.0001639121	0.08645772	0.00016391114	0.0001633867	0.00016495828	0.00016443427	0.0001633867	0.00016391091	0.00016338678	0.00016410822	0.00016390996	0.0001633867	0.00016390978	0.0001633867	0.00016391306	0.0001633867	0.00016390902	0.00016495466	0.00016391155	0.00016391044	0.0001633868	0.0001633867	0.0001633867	0.0001633867	0.00016390983	0.0001633867	0.0001633867	0.0001633867	0.00016390902	0.0001633867	0.00016443727	0.0001633867	0.00016390637	0.00016390902	0.00016430179	0.00016338687	0.00016338682	0.0001633867	0.00016443194	0.00016391065	0.0001633867	0.00016390978	0.00016366661	0.00016338674	0.0001633867	0.00016443194	0.00016387823	0.0001633867	0.0001633867	0.00016496239
0.0010353964	0.0010387063	0.0010420305	0.0010387183	0.0010420531	0.0010387183	0.0010420259	0.0010353964	0.0010353964	0.0010554098	0.0010387063	0.001042022	0.0010353964	0.0010353964	0.0010387214	0.0010353964	0.0010353964	0.0010353964	0.0010353964	0.0010353964	0.0010420204	0.0010387151	0.0010353964	0.0010387	0.0010387166	0.0010353964	0.0010387131	0.0010386852	0.0010419934	0.0010353964	0.0010353964	0.001038711	0.0010353964	0.0010353964	0.0010386897	0.0010353964	0.0010353964	0.0010387063	0.0010408192	0.0010387112	0.0010353964	0.0010387088	0.0010387063	0.0010387088	0.0010353964	0.0010453194	0.001042021	0.0010353964	0.0010353964	0.0010353964	0.0010420018	0.0010387127	0.0010353964	0.001042003	0.0010353964	0.0010387372	0.0010387088	0.0010353964	0.0010353964	0.001038739	0.0010353964	0.001038711	0.001048656	0.0010353964	0.0010353964	0.0010353978	0.5149669	0.0010353964	0.0010353969	0.0010353964	0.0010420133	0.0010453197	0.0010387151	0.0010387063	0.0010420542	0.0010353964	0.0010353964	0.0010387202	0.001042016	0.0010353964	0.0010353964	0.0010387035	0.0010353964	0.0010387059	0.0010387105	0.0010387063	0.0010353964	0.0010353964	0.0010353964	0.0010420271	0.0010353964	0.0010453373	0.0010387277	0.0010387035	0.0010353964	0.0010353964	0.0010353964	0.0010387088	0.0010353964	0.0010353964	0.0010353964	0.0010387035	0.0010353964	0.0010353964	0.0010353964	0.0010386512	0.0010420211	0.0010353964	0.0010387088	0.0010353964	0.0010387258	0.0010420167	0.0010387198	0.0010353964	0.0010453556	0.0010420348	0.0010353964	0.0010387183	0.0010353968	0.0010399687	0.0010387123	0.0010353964	0.001038711	0.0010353964	0.0010387319	0.0010353964	0.0010387063	0.0010453326	0.0010387223	0.0010387154	0.0010353969	0.0010353964	0.0010353964	0.0010353964	0.0010387114	0.0010353964	0.0010353964	0.0010353964	0.0010387063	0.0010353964	0.0010420538	0.0010353964	0.0010386895	0.0010387063	0.0010411954	0.0010353974	0.001035397	0.0010353964	0.00104202	0.0010387166	0.0010353964	0.001038711	0.0010371702	0.0010353966	0.0010353964	0.00104202	0.32103837	0.0010353964	0.0010353964	0.0010453815
0.00044356252	0.00044498048	0.00044640456	0.0004449856	0.00044641425	0.0004449856	0.00044640258	0.00044356252	0.00044356252	0.00045213624	0.00044498048	0.00044640095	0.00044356252	0.00044356252	0.00044498694	0.00044356252	0.00044356252	0.00044356252	0.00044356252	0.00044356252	0.00044640026	0.00044498424	0.00044356252	0.00044497778	0.0004449849	0.00044356252	0.00044498342	0.00044497146	0.00044638867	0.00044356252	0.00044356252	0.00044498252	0.00044356252	0.00044356252	0.00044497335	0.00044356252	0.00044356252	0.00044498048	0.00044588564	0.00044498258	0.00044356252	0.0004449816	0.00044498048	0.0004449816	0.00044356252	0.00044781354	0.0004464005	0.00044356252	0.00044356252	0.00044356252	0.00044639225	0.00044498322	0.00044356252	0.0004463928	0.00044356252	0.00044499376	0.0004449816	0.00044356252	0.00044356252	0.00044499448	0.00044356252	0.00044498252	0.0004492429	0.00044356252	0.00044356252	0.0004435631	0.00044782468	0.00044356252	0.00044356275	0.00044356252	0.0004463972	0.00044781365	0.00044498424	0.00044498048	0.0004464147	0.00044356252	0.00044356252	0.00044498645	0.0004463983	0.00044356252	0.00044356252	0.00044497926	0.00044356252	0.0004449803	0.9292971	0.00044498048	0.00044356252	0.00044356252	0.00044356252	0.00044640314	0.00044356252	0.0004478212	0.00044498965	0.00044497926	0.00044356252	0.00044356252	0.00044356252	0.0004449816	0.00044356252	0.00044356252	0.00044356252	0.00044497926	0.00044356252	0.00044356252	0.00044356252	0.00044495688	0.00044640052	0.00044356252	0.00044498156	0.00044356252	0.00044498884	0.00044639866	0.00044498625	0.00044356252	0.00044782902	0.0004464064	0.00044356252	0.0004449856	0.00044356272	0.0004455213	0.00044498304	0.00044356252	0.00044498252	0.00044356252	0.00044499146	0.00044356252	0.00044498048	0.00044781918	0.00044498732	0.00044498435	0.00044356275	0.00044356252	0.00044356252	0.00044356252	0.00044498267	0.00044356252	0.00044356252	0.00044356252	0.00044498048	0.00044356252	0.00044641455	0.00044356252	0.0004449733	0.00044498048	0.00044604676	0.00044356295	0.0004435628	0.00044356252	0.00044640008	0.0004449849	0.00044356252	0.00044498252	0.0004443224	0.00044356257	0.00044356252	0.00044640008	0.00044489687	0.00044356252	0.00044356252	0.00044784014
0.0010353967	0.0010387066	0.0010420309	0.0010387186	0.0010420535	0.0010387186	0.0010420262	0.0010353967	0.0010353967	0.0010554101	0.0010387066	0.0010420224	0.0010353967	0.0010353967	0.0010387218	0.0010353967	0.0010353967	0.0010353967	0.0010353967	0.0010353967	0.0010420207	0.0010387154	0.0010353967	0.0010387003	0.001038717	0.0010353967	0.0010387135	0.0010386856	0.0010419937	0.0010353967	0.0010353967	0.0010387114	0.0010353967	0.0010353967	0.00103869	0.0010353967	0.0010353967	0.0010387066	0.0010408196	0.0010387115	0.0010353967	0.0010387092	0.0010387066	0.0010387092	0.0010353967	0.0010453197	0.0010420213	0.0010353967	0.0010353967	0.0010353967	0.0010420021	0.001038713	0.0010353967	0.0010420034	0.0010353967	0.0010387376	0.3346072	0.0010353967	0.0010353967	0.0010387393	0.0010353967	0.16782257	0.0010486563	0.0010353967	0.0010353967	0.0010353981	0.0010453458	0.0010353967	0.0010353973	0.0010353967	0.0010420136	0.0010453201	0.0010387154	0.0010387066	0.0010420545	0.0010353967	0.0010353967	0.0010387206	0.0010420163	0.0010353967	0.0010353967	0.0010387037	0.0010353967	0.0010387063	0.0010387108	0.0010387066	0.0010353967	0.0010353967	0.0010353967	0.0010420275	0.0010353967	0.0010453376	0.001038728	0.0010387037	0.0010353967	0.0010353967	0.0010353967	0.0010387092	0.0010353967	0.0010353967	0.0010353967	0.0010387037	0.0010353967	0.0010353967	0.0010353967	0.0010386516	0.0010420214	0.0010353967	0.0010387091	0.0010353967	0.0010387262	0.001042017	0.0010387201	0.0010353967	0.0010453559	0.0010420352	0.0010353967	0.0010387186	0.0010353972	0.3346089	0.0010387126	0.0010353967	0.0010387114	0.0010353967	0.0010387322	0.0010353967	0.0010387066	0.001045333	0.0010387227	0.0010387156	0.0010353973	0.0010353967	0.0010353967	0.0010353967	0.0010387118	0.0010353967	0.0010353967	0.0010353967	0.0010387066	0.0010353967	0.0010420542	0.0010353967	0.0010386899	0.0010387066	0.0010411957	0.0010353978	0.0010353974	0.0010353967	0.0010420204	0.001038717	0.0010353967	0.0010387114	0.0010371705	0.0010353968	0.0010353967	0.0010420204	0.0010385115	0.0010353967	0.0010353967	0.0010453819
0.0015536424	0.0015586091	0.0015635971	0.001558627	0.001563631	0.001558627	0.0015635901	0.0015536424	0.0015536424	0.0015836732	0.0015586091	0.0015635844	0.0015536424	0.0015536424	0.0015586317	0.0015536424	0.0015536424	0.0015536424	0.0015536424	0.0015536424	0.001563582	0.0015586222	0.0015536424	0.0015585996	0.0015586246	0.0015536424	0.0015586193	0.0015585775	0.0015635415	0.0015536424	0.0015536424	0.0015586162	0.0015536424	0.0015536424	0.0015585842	0.0015536424	0.0015536424	0.0015586091	0.0015617795	0.75235283	0.0015536424	0.0015586129	0.0015586091	0.0015586129	0.0015536424	0.0015685322	0.0015635828	0.0015536424	0.0015536424	0.0015536424	0.001563554	0.0015586186	0.0015536424	0.0015635559	0.0015536424	0.0015586555	0.0015586129	0.0015536424	0.0015536424	0.0015586581	0.0015536424	0.0015586162	0.0015735389	0.0015536424	0.0015536424	0.0015536445	0.0015685712	0.0015536424	0.0015536433	0.0015536424	0.0015635713	0.0015685327	0.0015586222	0.0015586091	0.0015636326	0.0015536424	0.0015536424	0.0015586299	0.0015635752	0.0015536424	0.0015536424	0.0015586048	0.0015536424	0.0015586085	0.0015586154	0.0015586091	0.0015536424	0.0015536424	0.0015536424	0.0015635921	0.0015536424	0.001568559	0.0015586412	0.0015586048	0.0015536424	0.0015536424	0.0015536424	0.0015586129	0.0015536424	0.0015536424	0.0015536424	0.0015586048	0.0015536424	0.0015536424	0.0015536424	0.0015585264	0.0015635829	0.0015536424	0.0015586128	0.0015536424	0.0015586383	0.0015635764	0.0015586292	0.0015536424	0.0015685866	0.0015636035	0.0015536424	0.001558627	0.0015536431	0.0015605033	0.001558618	0.0015536424	0.0015586162	0.0015536424	0.0015586475	0.0015536424	0.0015586091	0.001568552	0.001558633	0.0015586226	0.0015536433	0.0015536424	0.0015536424	0.0015536424	0.0015586168	0.0015536424	0.0015536424	0.0015536424	0.0015586091	0.0015536424	0.001563632	0.0015536424	0.0015585839	0.0015586091	0.0015623439	0.001553644	0.0015536435	0.0015536424	0.0015635814	0.0015586246	0.0015536424	0.0015586162	0.001556304	0.0015536427	0.0015536424	0.0015635814	0.0015583162	0.0015536424	0.0015536424	0.0015686254
0.001553641	0.0015586078	0.0015635958	0.0015586257	0.0015636297	0.0015586257	0.0015635889	0.001553641	0.001553641	0.7523776	0.0015586078	0.0015635832	0.001553641	0.001553641	0.0015586304	0.001553641	0.001553641	0.001553641	0.001553641	0.001553641	0.0015635807	0.001558621	0.001553641	0.0015585984	0.0015586233	0.001553641	0.001558618	0.0015585761	0.0015635401	0.001553641	0.001553641	0.0015586149	0.001553641	0.001553641	0.0015585828	0.001553641	0.001553641	0.0015586078	0.0015617781	0.0015586151	0.001553641	0.0015586116	0.0015586078	0.0015586116	0.001553641	0.0015685309	0.0015635815	0.001553641	0.001553641	0.001553641	0.0015635528	0.0015586173	0.001553641	0.0015635546	0.001553641	0.0015590619	0.0015586116	0.001553641	0.001553641	0.0015586568	0.001553641	0.0015586149	0.0015735375	0.001553641	0.001553641	0.0015536431	0.0015685699	0.001553641	0.0015536419	0.001553641	0.00156357	0.0015685314	0.001558621	0.0015586078	0.0015636312	0.001553641	0.001553641	0.0015586286	0.001563574	0.001553641	0.001553641	0.0015586035	0.001553641	0.0015586072	0.0015586141	0.0015586078	0.001553641	0.001553641	0.001553641	0.0015635908	0.001553641	0.0015685577	0.0015586399	0.0015586035	0.001553641	0.001553641	0.001553641	0.0015586116	0.001553641	0.001553641	0.001553641	0.0015586035	0.001553641	0.001553641	0.001553641	0.0015585251	0.0015635816	0.001553641	0.0015586115	0.001553641	0.001558637	0.0015635751	0.0015586279	0.001553641	0.0015685852	0.0015636022	0.001553641	0.0015586257	0.0015536417	0.001560502	0.0015586168	0.001553641	0.0015586149	0.001553641	0.0015586462	0.001553641	0.0015586078	0.0015685507	0.0015586318	0.0015586213	0.0015536419	0.001553641	0.001553641	0.001553641	0.0015586155	0.001553641	0.001553641	0.001553641	0.0015586078	0.001553641	0.0015636308	0.001553641	0.0015585825	0.0015586078	0.0015623426	0.0015536426	0.0015536421	0.001553641	0.0015635801	0.0015586233	0.001553641	0.0015586149	0.0015563028	0.0015536413	0.001553641	0.0015635801	0.0015583149	0.001553641	0.001553641	0.0015686242
0.0015536426	0.0015586092	0.0015635974	0.46189484	0.0015636312	0.0015586272	0.0015635904	0.0015536426	0.0015536426	0.0015836733	0.0015586092	0.0015635847	0.0015536426	0.0015536426	0.0015586319	0.0015536426	0.0015536426	0.0015536426	0.0015536426	0.0015536426	0.0015635822	0.0015586225	0.0015536426	0.0015585998	0.29201657	0.0015536426	0.0015586194	0.0015585776	0.0015635416	0.0015536426	0.0015536426	0.0015586163	0.0015536426	0.0015536426	0.0015585843	0.0015536426	0.0015536426	0.0015586092	0.0015617796	0.0015586165	0.0015536426	0.001558613	0.0015586092	0.001558613	0.0015536426	0.0015685324	0.001563583	0.0015536426	0.0015536426	0.0015536426	0.0015635542	0.0015586187	0.0015536426	0.001563556	0.0015536426	0.0015586558	0.001558613	0.0015536426	0.0015536426	0.0015586583	0.0015536426	0.0015586163	0.001573539	0.0015536426	0.0015536426	0.0015536447	0.0015685714	0.0015536426	0.0015536434	0.0015536426	0.0015635715	0.0015685329	0.0015586225	0.0015586092	0.0015636327	0.0015536426	0.0015536426	0.0015586301	0.0015635755	0.0015536426	0.0015536426	0.0015586049	0.0015536426	0.0015586086	0.0015586155	0.0015586092	0.0015536426	0.0015536426	0.0015536426	0.0015635923	0.0015536426	0.0015685592	0.0015586414	0.0015586049	0.0015536426	0.0015536426	0.0015536426	0.001558613	0.0015536426	0.0015536426	0.0015536426	0.0015586049	0.0015536426	0.0015536426	0.0015536426	0.0015585267	0.0015635832	0.0015536426	0.0015586129	0.0015536426	0.0015586385	0.0015635766	0.0015586294	0.0015536426	0.0015685867	0.0015636038	0.0015536426	0.0015586272	0.0015536433	0.0015605035	0.0015586182	0.0015536426	0.0015586163	0.0015536426	0.0015586477	0.0015536426	0.0015586092	0.0015685522	0.0015586333	0.0015586228	0.0015536434	0.0015536426	0.0015536426	0.0015536426	0.0015586169	0.0015536426	0.0015536426	0.0015536426	0.0015586092	0.0015536426	0.0015636323	0.0015536426	0.001558584	0.0015586092	0.001562344	0.0015536441	0.0015536436	0.0015536426	0.0015635816	0.0015586248	0.0015536426	0.0015586163	0.0015563042	0.0015536428	0.0015536426	0.0015635816	0.0015583164	0.0015536426	0.0015536426	0.0015686257
0.0012426514	0.0012466239	0.0012506136	0.0012466382	0.0012506406	0.0012466382	0.0012506079	0.0012426514	0.0012426514	0.001266671	0.0012466239	0.0012506034	0.0012426514	0.0012426514	0.001246642	0.0012426514	0.0012426514	0.0012426514	0.0012426514	0.0012426514	0.0012506014	0.0012466344	0.0012426514	0.0012466164	0.0012466363	0.0012426514	0.0012466321	0.0012465987	0.001250569	0.0012426514	0.0012426514	0.0012466296	0.0012426514	0.0012426514	0.0012466039	0.0012426514	0.0012426514	0.0012466239	0.0012491597	0.0012466297	0.0012426514	0.001246627	0.0012466239	0.001246627	0.0012426514	0.0012545608	0.0012506021	0.0012426514	0.0012426514	0.0012426514	0.001250579	0.0012466315	0.0012426514	0.0012505805	0.0012426514	0.0012466611	0.001246627	0.0012426514	0.0012426514	0.0012466632	0.0012426514	0.0012466296	0.0012585652	0.0012426514	0.0012426514	0.0012426531	0.001254592	0.0012426514	0.0012426521	0.0012426514	0.0012505929	0.0012545611	0.0012466344	0.0012466239	0.0012506419	0.0012426514	0.0012426514	0.0012466406	0.001250596	0.0012426514	0.0012426514	0.0012466204	0.0012426514	0.36047727	0.0012466289	0.0012466239	0.0012426514	0.0012426514	0.0012426514	0.0012506095	0.0012426514	0.0012545822	0.0012466497	0.0012466204	0.0012426514	0.0012426514	0.0012426514	0.001246627	0.0012426514	0.0012426514	0.0012426514	0.0012466204	0.0012426514	0.0012426514	0.0012426514	0.0012465578	0.0012506022	0.0012426514	0.0012466268	0.0012426514	0.0012466473	0.001250597	0.00124664	0.0012426514	0.0012546042	0.0012506187	0.0012426514	0.0012466382	0.001242652	0.18575414	0.001246631	0.0012426514	0.0012466296	0.0012426514	0.0012466547	0.0012426514	0.0012466239	0.0012545766	0.0012466431	0.0012466348	0.0012426521	0.0012426514	0.0012426514	0.0012426514	0.0012466301	0.0012426514	0.0012426514	0.0012426514	0.0012466239	0.0012426514	0.0012506415	0.0012426514	0.0012466038	0.0012466239	0.0012496111	0.0012426527	0.0012426523	0.0012426514	0.0012506009	0.0012466363	0.0012426514	0.0012466296	0.0012447803	0.0012426516	0.0012426514	0.0012506009	0.0012463897	0.0012426514	0.0012426514	0.25819552
0.0006901027	0.0006923088	0.00069452444	0.0006923168	0.0006945395	0.0006923168	0.0006945213	0.0006901027	0.0006901027	0.00070344185	0.0006923088	0.0006945188	0.0006901027	0.0006901027	0.00069231883	0.0006901027	0.0006901027	0.0006901027	0.0006901027	0.0006901027	0.0006945177	0.00069231464	0.0006901027	0.00069230463	0.0006923157	0.0006901027	0.00069231336	0.0006922948	0.0006944997	0.0006901027	0.0006901027	0.00069231197	0.0006901027	0.0006901027	0.0006922977	0.0006901027	0.0006901027	0.0006923088	0.00069371704	0.0006923121	0.0006901027	0.0006923105	0.0006923088	0.0006923105	0.0006901027	0.0006967165	0.00069451804	0.0006901027	0.0006901027	0.0006901027	0.0006945053	0.0006923131	0.0006901027	0.0006945061	0.0006901027	0.0006923294	0.0006923105	0.0006901027	0.0006901027	0.0006923306	0.0006901027	0.00069231197	0.00069894036	0.0006901027	0.0006901027	0.0006901036	0.0006967338	0.0006901027	0.00069010304	0.0006901027	0.8900013	0.0006967167	0.00069231464	0.0006923088	0.00069454015	0.0006901027	0.0006901027	0.0006923181	0.0006945147	0.0006901027	0.0006901027	0.0006923069	0.0006901027	0.00069230853	0.0006923116	0.0006923088	0.0006901027	0.0006901027	0.0006901027	0.0006945222	0.0006901027	0.0006967284	0.0006923231	0.0006923069	0.0006901027	0.0006901027	0.0006901027	0.0006923105	0.0006901027	0.0006901027	0.0006901027	0.0006923069	0.0006901027	0.0006901027	0.0006901027	0.0006922721	0.0006945181	0.0006901027	0.00069231045	0.0006901027	0.0006923218	0.00069451524	0.0006923177	0.0006901027	0.00069674064	0.0006945273	0.0006901027	0.0006923168	0.000690103	0.00069315016	0.0006923128	0.0006901027	0.00069231197	0.0006901027	0.0006923259	0.0006901027	0.0006923088	0.0006967253	0.0006923195	0.0006923148	0.00069010304	0.0006901027	0.0006901027	0.0006901027	0.0006923122	0.0006901027	0.0006901027	0.0006901027	0.0006923088	0.0006901027	0.00069454	0.0006901027	0.00069229765	0.0006923088	0.00069396774	0.0006901034	0.00069010316	0.0006901027	0.00069451745	0.0006923157	0.0006901027	0.00069231197	0.00069128495	0.0006901028	0.0006901027	0.00069451745	0.0006921787	0.0006901027	0.0006901027	0.0006967579
