topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.007834046	0.0076266136	0.0077773775	0.008145585	0.008291287	0.0085402	0.00826626	0.007822301	0.007886103	0.21535026	0.0075991536	0.6424157	0.007655159	0.008053448	0.008006708	0.0077984487	0.007737348	0.0077933157	0.007745214	0.007655495
0.0012266787	0.0011941983	0.0012178054	0.0012754605	0.0012982752	0.0013372505	0.0012943561	0.0012248396	0.00123483	0.976502	0.0011898985	0.0012265457	0.001198668	0.0012610334	0.0012537146	0.0012211048	0.0012115374	0.001220301	0.0012127691	0.0011987207
0.007834046	0.007626613	0.007777377	0.84976935	0.008291286	0.0085402	0.008266259	0.0078223	0.007886103	0.0083089955	0.0075991526	0.007833196	0.0076551586	0.008053447	0.008006707	0.007798448	0.0077373474	0.007793315	0.0077452133	0.0076554944
0.2515782	0.0032500792	0.0033143272	0.0034712388	0.0035333298	0.003639404	0.003522664	0.0033334712	0.0033606607	0.0035408763	0.003238377	0.0033381144	0.003262244	0.0034319744	0.003412056	0.0033233068	0.0032972686	0.68758935	0.0033006207	0.003262387
0.007834052	0.0076266187	0.849401	0.00814559	0.008291293	0.008540207	0.008266265	0.007822306	0.007886109	0.008309002	0.007599158	0.007833201	0.007655164	0.008053453	0.008006712	0.007798454	0.007737353	0.007793321	0.007745219	0.0076554995
0.011809806	0.011497102	0.011724379	0.01227945	0.012499097	0.012874332	0.012461367	0.7730403	0.011888283	0.012525792	0.011455706	0.011808525	0.011540134	0.012140553	0.012070092	0.0117561435	0.011664034	0.011748405	0.0116758915	0.01154064
0.011809793	0.011497089	0.011724365	0.012279436	0.012499082	0.012874317	0.012461353	0.011792087	0.011888269	0.7737742	0.011455693	0.011808511	0.011540121	0.0121405395	0.012070079	0.01175613	0.011664021	0.011748392	0.011675878	0.011540627
0.011809807	0.011497103	0.01172438	0.012279451	0.012499097	0.012874333	0.012461368	0.011792101	0.011888285	0.012525793	0.011455706	0.011808526	0.011540135	0.7733887	0.012070093	0.011756144	0.011664035	0.011748406	0.011675892	0.011540641
0.44992337	0.009170224	0.009351502	0.009794233	0.009969426	0.010268719	0.0099393325	0.009405518	0.37854728	0.009990719	0.009137206	0.009418618	0.009204547	0.009683448	0.009627247	0.009376838	0.0093033705	0.009370666	0.009312828	0.00920495
0.005205435	0.0050676037	0.48270598	0.005412441	0.005509255	0.0056746486	0.42271918	0.0051976307	0.0052400255	0.005521022	0.0050493577	0.0052048704	0.0050865714	0.0053512193	0.005320162	0.005181782	0.005141183	0.005178371	0.0051464094	0.005086794
