topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.006446399	0.0062663457	0.0063388543	0.0062920186	0.006386307	0.006971022	0.0066305487	0.006291605	0.006333083	0.20265742	0.65053123	0.0063388706	0.006291334	0.0064981864	0.006427432	0.0063141054	0.0062443507	0.006225783	0.006425211	0.0062474785	0.006315619	0.006386882	0.0063527473	0.0064734085	0.0063137305
0.001010966	0.0009827289	0.0009941002	0.0009867551	0.001001542	0.0010932408	0.0010398456	0.0009866902	0.0009931951	0.97598284	0.0009931935	0.0009941028	0.0009866477	0.0010190877	0.0010079915	0.000990219	0.0009792795	0.00097636756	0.0010076433	0.00097977	0.0009904563	0.0010016322	0.000996279	0.0010152019	0.0009901602
0.006446403	0.00626635	0.0063388585	0.0062920228	0.0063863113	0.17497994	0.006630553	0.006291609	0.006333087	0.0067800237	0.006333077	0.006338875	0.006291338	0.0064981906	0.006427436	0.0063141095	0.006244355	0.0062257866	0.0064252154	0.0062474823	0.006315623	0.0063868864	0.006352751	0.67854	0.0063137347
0.0027500335	0.002673223	0.0027041552	0.0026841748	0.0027243984	0.0029738378	0.0028285917	0.0026839983	0.002701693	0.0028923561	0.0027016888	0.0027041622	0.0026838828	0.27721637	0.0027419424	0.0026935972	0.0026638398	0.54301655	0.119712405	0.0026651742	0.0026942429	0.0027246438	0.0027100816	0.0027615558	0.0026934373
0.0064464062	0.0062663527	0.84641427	0.0062920256	0.006386314	0.00697103	0.006630556	0.006291612	0.0063330904	0.006780027	0.00633308	0.006338878	0.006291341	0.006498194	0.0064274394	0.006314113	0.0062443577	0.00622579	0.0064252187	0.0062474855	0.006315626	0.006386889	0.0063527543	0.006473416	0.006313738
0.009708871	0.009437695	0.009546899	0.00947636	0.009618367	0.010499002	0.7691253	0.009475737	0.009538207	0.010211335	0.009538192	0.009546924	0.009475329	0.0097868685	0.009680306	0.009509625	0.009404568	0.009376603	0.009676961	0.009409279	0.009511905	0.009619233	0.009567823	0.00974955	0.0095090605
0.009708864	0.009437688	0.009546892	0.0094763525	0.00961836	0.010498994	0.00998621	0.009475729	0.0095382	0.7693506	0.009538185	0.009546917	0.0094753215	0.00978686	0.009680298	0.009509617	0.009404561	0.009376596	0.009676954	0.009409271	0.009511897	0.009619226	0.009567816	0.009749543	0.009509053
0.00970887	0.009437693	0.009546898	0.009476359	0.009618366	0.0104990015	0.009986217	0.009475736	0.009538206	0.010211334	0.009538191	0.0095469225	0.009475328	0.768926	0.009680305	0.009509624	0.009404567	0.009376602	0.009676959	0.009409278	0.009511904	0.009619232	0.009567822	0.009749549	0.00950906
0.44856814	0.0075318264	0.007618978	0.0075626834	0.0076760133	0.008378811	0.00796958	0.0075621866	0.007612041	0.0081492355	0.007612029	0.0076189977	0.0075618606	0.007810487	0.37468463	0.0075892312	0.0075053894	0.0074830716	0.0077227745	0.0075091487	0.00759105	0.007676705	0.0076356763	0.007780705	0.0075887805
0.0042860433	0.0041663307	0.44990516	0.0041833995	0.0042460896	0.0046348516	0.45238826	0.0041831248	0.004210702	0.004507859	0.0042106956	0.0042145504	0.0041829445	0.0043204753	0.004273433	0.0041980846	0.0041517066	0.004139361	0.004271956	0.004153786	0.004199091	0.004246472	0.0042237765	0.004304001	0.0041978355
0.0025661017	0.0024944285	0.0025232919	0.002504648	0.0025421812	0.0027749373	0.002639406	0.0025044833	0.0025209945	0.0026989053	0.0025209906	0.0025232984	0.0025043755	0.0025867168	0.0025585517	0.00251344	0.002485673	0.0024782817	0.0025576677	0.0024869181	0.0025140427	0.00254241	0.002528822	0.93891615	0.0025132908
0.9294712	0.0028796159	0.0029129363	0.0028914134	0.0029347425	0.0032034407	0.0030469806	0.0028912234	0.002910284	0.0031156677	0.0029102794	0.0029129437	0.0028910988	0.0029861552	0.002953641	0.0029015632	0.0028695085	0.0028609757	0.0029526204	0.0028709457	0.0029022587	0.0029350067	0.0029193205	0.0029747689	0.002901391
0.019657291	0.5314436	0.019329352	0.019186532	0.01947405	0.021257048	0.020218829	0.019185271	0.019311752	0.020674616	0.019311722	0.0193294	0.019184444	0.01981521	0.019599454	0.019253884	0.019041177	0.018984556	0.019592684	0.019050715	0.0192585	0.019475805	0.019371714	0.019739654	0.01925274
0.0032102163	0.0031205523	0.0031566606	0.003133337	0.202489	0.72452265	0.0033019204	0.003133131	0.0031537865	0.0033763547	0.0031537816	0.0031566687	0.0031329961	0.0032360058	0.003200771	0.003144336	0.0031095992	0.0031003524	0.003199665	0.0031111566	0.0031450896	0.0031805777	0.003163579	0.0032236667	0.0031441494
