topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.004056847	0.0040023495	0.004070622	0.0041681696	0.0041116993	0.0041968157	0.0041651526	0.0040281685	0.004028705	0.2185728	0.0040286547	0.3955513	0.0040846425	0.0041514556	0.0040713768	0.0040572663	0.0039877635	0.2355632	0.004057693	0.004043373	0.004084655	0.004044324	0.0040294435	0.0040710154	0.0040942235	0.004071536	0.00416739	0.0040024263	0.004070799	0.0040016444	0.004002817	0.0040571876	0.004124996	0.0040163742	0.0040845065	0.004056565	0.003974889	0.0040300353	0.0040017753	0.004015373
0.00063788873	0.069961615	0.0006400546	0.0006553928	0.00064651354	0.000659897	0.0006549184	0.0006333793	0.0006334637	0.9057636	0.0006334558	0.0006335941	0.0006422592	0.0006527647	0.0006401733	0.00063795457	0.0006270262	0.0006356889	0.0006380217	0.00063577003	0.0006422612	0.0006359196	0.00063357985	0.00064011646	0.00064376567	0.00064019836	0.0006552702	0.00062933174	0.00064008246	0.00062920875	0.0006293931	0.0006379422	0.00064860424	0.00063152483	0.00064223784	0.0006378444	0.0006250018	0.00063367287	0.00062922935	0.00063136744
0.0040568486	0.004002351	0.0040706233	0.0041681714	0.004111701	0.0041968175	0.0041651544	0.00402817	0.0040287063	0.0041447016	0.0040286565	0.004029536	0.0040846444	0.0041514575	0.0040713786	0.0040572677	0.0039877654	0.0040428583	0.0040576947	0.0040433747	0.004084657	0.0040443256	0.0040294454	0.8415411	0.0040942254	0.004071538	0.004167392	0.004002428	0.0040708007	0.004001646	0.0040028184	0.004057189	0.004124997	0.0040163756	0.0040845084	0.004056567	0.003974891	0.0040300367	0.004001777	0.004015375
0.0017337338	0.0017104436	0.0017396206	0.0017813086	0.0017571754	0.0017935507	0.0017800191	0.0017214777	0.0017217068	0.0017712787	0.0017216855	0.0017220614	0.0017456125	0.0017741657	0.0017399432	0.0017339129	0.10970643	0.0017277548	0.48967886	0.0017279754	0.0017456178	0.001728382	0.0017220225	0.0017397887	0.001749707	0.0017400113	0.0017809754	0.0017104766	0.0017396963	0.0017101424	0.0017106434	0.0017338792	0.0017628578	0.0017164373	0.0017455544	0.0017336133	0.0016987082	0.0017222755	0.33630446	0.0017160095
0.0040568486	0.004002351	0.8415407	0.0041681714	0.004111701	0.0041968175	0.0041651544	0.00402817	0.0040287063	0.0041447016	0.0040286565	0.004029536	0.0040846444	0.0041514575	0.0040713786	0.0040572677	0.0039877654	0.0040428583	0.0040576947	0.0040433747	0.004084657	0.0040443256	0.0040294454	0.004071017	0.0040942254	0.004071538	0.004167392	0.004002428	0.0040708007	0.004001646	0.0040028184	0.004057189	0.004124997	0.0040163756	0.0040845084	0.004056567	0.003974891	0.0040300367	0.004001777	0.004015375
0.006100412	0.7616171	0.006121125	0.006267811	0.006182895	0.006310887	0.0062632742	0.0060572866	0.006058093	0.006232519	0.006058018	0.0060593407	0.006142209	0.0062426776	0.0061222604	0.006101042	0.0059965285	0.006079374	0.0061016837	0.00608015	0.0061422274	0.0060815807	0.006059204	0.006121717	0.006156616	0.0061225	0.0062666386	0.0060185776	0.006121392	0.0060174013	0.006019165	0.0061009238	0.006202889	0.0060395515	0.0061420044	0.006099988	0.0059771687	0.006060094	0.006017599	0.006038046
0.0061004036	0.0060184533	0.0061211167	0.006267803	0.006182886	0.0063108783	0.0062632654	0.0060572783	0.006058085	0.7618315	0.00605801	0.0060593323	0.0061422004	0.006242669	0.006122252	0.0061010337	0.00599652	0.0060793655	0.0061016753	0.0060801418	0.006142219	0.0060815723	0.006059196	0.0061217085	0.0061566075	0.006122492	0.0062666303	0.006018569	0.006121383	0.0060173934	0.0060191564	0.0061009154	0.0062028803	0.006039543	0.0061419955	0.0060999794	0.0059771603	0.0060600857	0.0060175904	0.0060380376
0.0061004087	0.0060184584	0.006121122	0.006267808	0.0061828913	0.0063108834	0.006263271	0.0060572834	0.00605809	0.006232516	0.006058015	0.0060593374	0.0061422056	0.7618415	0.006122257	0.006101039	0.0059965253	0.0060793706	0.0061016805	0.006080147	0.006142224	0.0060815774	0.006059201	0.0061217137	0.0061566127	0.006122497	0.0062666354	0.0060185743	0.0061213886	0.006017398	0.0060191615	0.0061009205	0.006202886	0.006039548	0.006142001	0.0060999845	0.0059771654	0.006060091	0.0060175955	0.0060380427
0.004873053	0.004807591	0.004889599	0.005006773	0.0049389414	0.0050411825	0.0050031487	0.0048386045	0.004839249	0.004978582	0.40775412	0.0048402455	0.004906441	0.004986696	0.004890506	0.0048735566	0.0047900705	0.004856248	0.0048740692	0.004856868	0.004906456	0.004858011	0.004840136	0.0048900717	0.0049179494	0.0048906975	0.4068613	0.0048076836	0.0048898123	0.004806744	0.0048081526	0.004873462	0.0049549127	0.0048244377	0.0049062776	0.0048727146	0.004774606	0.004840847	0.0048069013	0.004823235
0.002700099	0.0026638273	0.23379257	0.0027741916	0.0027366069	0.0027932574	0.46991	0.0026810116	0.0026813685	0.0027585712	0.0026813352	0.0026819205	0.0027185988	0.0027630671	0.0027097694	0.002700378	0.0026541194	0.0026907874	0.002700662	0.002691131	0.0027186072	0.0026917642	0.0026818602	0.002709529	0.0027249756	0.0027098756	0.0027736726	0.0026638785	0.19631395	0.0026633579	0.0026641383	0.0027003256	0.0027454565	0.0026731617	0.0027185082	0.0026999114	0.0026455505	0.002682254	0.0026634452	0.0026724953
0.001617919	0.0015961847	0.0016234125	0.93684345	0.0016397947	0.0016737401	0.0016611124	0.0016064816	0.0016066955	0.0016529558	0.0016066756	0.0016070263	0.0016290041	0.00165565	0.0016237135	0.0016180861	0.0015903676	0.0016123394	0.0016182563	0.0016125453	0.0016290091	0.0016129246	0.0016069901	0.0016235694	0.0016328251	0.0016237772	0.0016620049	0.0015962154	0.0016234831	0.0015959034	0.0015963711	0.0016180547	0.0016450974	0.0016017779	0.0016289499	0.0016178065	0.0015852331	0.0016072261	0.0015959557	0.0016013787
0.0018673983	0.0018423126	0.001873739	0.0019186409	0.0018926472	0.0019318269	0.0019172521	0.0018541972	0.0018544442	0.0019078378	0.0018544212	0.001854826	0.0018801928	0.0019109473	0.0018740864	0.0018675912	0.0018355986	0.0018609584	0.0018677877	0.001861196	0.0018801985	0.0018616338	0.0018547842	0.00187392	0.0018846029	0.0018741598	0.0019182821	0.001842348	0.0018738204	0.0018419881	0.0018425277	0.001867555	0.0018987677	0.92703503	0.0018801301	0.0018672685	0.0018296724	0.0018550566	0.0018420484	0.0018483076
0.012292587	0.012127454	0.012334325	0.012629904	0.012458794	0.012716704	0.012620762	0.012205688	0.012207313	0.01255879	0.012207163	0.012209827	0.01237681	0.0125792585	0.012336614	0.012293857	0.51960427	0.012250195	0.01229515	0.012251759	0.012376848	0.012254641	0.012209552	0.012335517	0.012405842	0.012337097	0.012627542	0.012127688	0.012334863	0.012125318	0.012128871	0.012293619	0.012499083	0.012169952	0.012376398	0.012291733	0.012044247	0.012211345	0.012125716	0.012166917
0.002023402	0.0019962206	0.0020302723	0.0020789255	0.15628287	0.3460158	0.0020774205	0.002009098	0.0020093655	0.0020672197	0.0020093406	0.0020097792	0.002037265	0.002070589	0.0020306488	0.0020236108	0.0019889455	0.002016424	0.0020238238	0.0020166815	0.0020372714	0.002017156	0.002009734	0.0020304683	0.002042044	0.0020307282	0.0020785364	0.001996259	0.0020303605	0.0019958687	0.0019964536	0.0020235716	0.002057392	0.0020032155	0.42281872	0.0020232613	0.0019825243	0.0020100293	0.0019959342	0.0020027163
0.008154164	0.008044626	0.008181851	0.00837792	0.008264416	0.008435498	0.008371856	0.008096521	0.6814166	0.008330747	0.008097499	0.008099266	0.008210032	0.008344325	0.0081833685	0.008155007	0.0080153085	0.008126044	0.008155865	0.008127081	0.008210057	0.008128993	0.008099084	0.008182642	0.00822929	0.008183689	0.008376353	0.00804478	0.008182207	0.008043208	0.008045564	0.008154849	0.008291141	0.008072815	0.008209759	0.008153598	0.007989431	0.008100273	0.008043472	0.008070802
0.0061004055	0.006018455	0.0061211186	0.0062678047	0.006182888	0.00631088	0.0062632672	0.00605728	0.0060580866	0.0062325126	0.0060580117	0.006059334	0.0061422023	0.006242671	0.7617212	0.0061010355	0.005996522	0.0060793674	0.006101677	0.0060801436	0.006142221	0.006081574	0.0060591977	0.0061217104	0.0061566094	0.0061224937	0.006266632	0.006018571	0.006121385	0.006017395	0.0060191583	0.0061009172	0.006202882	0.006039545	0.0061419974	0.0060999813	0.005977162	0.0060600876	0.0060175923	0.0060380395
0.0017337314	0.0017104412	0.001739618	0.001781306	0.0017571729	0.0017935481	0.0017800166	0.0017214752	0.0017217044	0.0017712761	0.0017216831	0.0017220589	0.0017456099	0.0017741631	0.93228126	0.0017339104	0.0017042079	0.0017277523	0.0017340927	0.001727973	0.0017456153	0.0017283795	0.0017220201	0.0017397861	0.0017497045	0.0017400088	0.0017809728	0.0017104741	0.0017396938	0.0017101399	0.001710641	0.0017338768	0.0017628552	0.0017164348	0.0017455518	0.0017336108	0.0016987057	0.0017222731	0.0017101959	0.001716007
0.0022078466	0.0021781872	0.002215343	0.0022684312	0.0022376985	0.54473305	0.37136465	0.0021922388	0.0021925305	0.0022556586	0.0021925035	0.0021929822	0.0022229736	0.002259335	0.002215754	0.0022080746	0.0021702494	0.0022002326	0.002208307	0.0022005134	0.0022229804	0.0022010312	0.0021929326	0.0022155573	0.0022281879	0.0022158406	0.002268007	0.0021782294	0.0022154395	0.0021778035	0.0021784417	0.0022080317	0.002244935	0.0021858201	0.0022228996	0.002207693	0.0021632425	0.002193255	0.002177875	0.0021852753
0.008154169	0.008044629	0.008181855	0.008377925	0.00826442	0.008435502	0.00837186	0.6814154	0.008097603	0.008330751	0.008097502	0.00809927	0.008210037	0.008344329	0.008183373	0.008155011	0.008015312	0.008126047	0.008155868	0.008127086	0.008210062	0.008128998	0.0080990875	0.008182646	0.008229294	0.0081836935	0.008376357	0.008044784	0.008182212	0.008043212	0.008045568	0.008154852	0.008291146	0.008072819	0.008209763	0.008153602	0.0079894345	0.008100278	0.008043475	0.008070807
0.008154172	0.008044633	0.37786788	0.008377928	0.008264424	0.008435506	0.0083718635	0.008096529	0.008097607	0.008330755	0.008097506	0.008099274	0.008210041	0.008344334	0.008183377	0.008155014	0.008015316	0.008126052	0.008155872	0.00812709	0.008210066	0.008129002	0.008099091	0.0081826495	0.0082292985	0.008183697	0.008376361	0.008044788	0.0081822155	0.008043216	0.008045573	0.008154856	0.0082911495	0.008072822	0.008209767	0.008153605	0.31162205	0.0081002815	0.008043479	0.008070811
0.004056847	0.0040023495	0.004070622	0.0041681696	0.0041116993	0.0041968157	0.0041651526	0.0040281685	0.004028705	0.0041447002	0.0040286547	0.0040295343	0.0040846425	0.0041514556	0.0040713768	0.0040572663	0.0039877635	0.0040428564	0.004057693	0.004043373	0.004084655	0.004044324	0.0040294435	0.0040710154	0.0040942235	0.004071536	0.00416739	0.0040024263	0.004070799	0.0040016444	0.841473	0.0040571876	0.004124996	0.0040163742	0.0040845065	0.004056565	0.003974889	0.0040300353	0.0040017753	0.004015373
0.0061004097	0.00601846	0.006121123	0.29507133	0.0061828927	0.006310885	0.006263272	0.006057285	0.006058091	0.0062325173	0.006058016	0.0060593383	0.0061422065	0.0062426752	0.0061222585	0.0061010397	0.0059965267	0.0060793716	0.0061016814	0.006080148	0.006142225	0.0060815783	0.006059202	0.0061217146	0.0061566136	0.0061224983	0.47306186	0.0060185757	0.0061213896	0.0060173995	0.0060191625	0.0061009214	0.006202887	0.006039549	0.006142002	0.0060999854	0.0059771664	0.006060092	0.0060175965	0.0060380436
0.01229258	0.012127447	0.012334318	0.012629896	0.012458786	0.012716696	0.012620755	0.012205681	0.012207306	0.012558782	0.5197284	0.01220982	0.012376802	0.012579251	0.012336606	0.012293849	0.012083251	0.012250188	0.012295143	0.0122517515	0.01237684	0.012254634	0.012209545	0.01233551	0.012405833	0.0123370895	0.012627535	0.012127681	0.012334855	0.0121253105	0.0121288635	0.012293612	0.012499075	0.012169944	0.01237639	0.012291726	0.01204424	0.012211338	0.012125708	0.01216691
0.004873062	0.0048076	0.0048896084	0.0050067822	0.0049389503	0.80981123	0.005003158	0.0048386133	0.004839258	0.0049785906	0.0048391977	0.0048402543	0.00490645	0.0049867053	0.004890515	0.0048735654	0.0047900793	0.004856257	0.004874078	0.004856877	0.004906465	0.0048580198	0.004840145	0.0048900805	0.0049179583	0.0048907064	0.005005846	0.0048076925	0.004889821	0.004806753	0.004808161	0.004873471	0.0049549215	0.0048244465	0.0049062865	0.0048727235	0.0047746142	0.004840856	0.00480691	0.0048232437
0.0040568477	0.00400235	0.0040706224	0.0041681705	0.0041116998	0.004196816	0.004165153	0.004028169	0.45082512	0.0041447007	0.0040286556	0.0040295348	0.0040846434	0.004151456	0.0040713777	0.0040572667	0.003987764	0.0040428573	0.0040576938	0.0040433737	0.0040846555	0.0040443246	0.004029444	0.004071016	0.0040942244	0.004071537	0.004167391	0.004002427	0.0040708	0.004001645	0.39467657	0.004057188	0.0041249963	0.0040163747	0.0040845075	0.004056566	0.0039748894	0.004030036	0.0040017758	0.0040153735
0.0030388637	0.19431897	0.0030491818	0.0031222522	0.0030799517	0.0031437099	0.003119992	0.0030173813	0.0030177832	0.0031046718	0.0030177457	0.38791254	0.0030596845	0.0031097322	0.0030497473	0.0030391775	0.0029871152	0.30506706	0.0030394972	0.0030287707	0.0030596938	0.0030294831	0.0030183364	0.0030494765	0.0030668613	0.0030498668	0.0031216682	0.0029980987	0.0030493147	0.002997513	0.0029983912	0.0030391186	0.0030899118	0.0030085468	0.0030595826	0.0030386525	0.0029774713	0.0030187797	0.002997611	0.0030077968
0.0027000983	0.5875971	0.0027092663	0.0027741906	0.002736606	0.0027932564	0.0027721827	0.0026810106	0.0026813676	0.3096511	0.0026813343	0.0026819198	0.0027185979	0.0027630664	0.0027097687	0.002700377	0.0026541185	0.0026907865	0.002700661	0.0026911302	0.0027186063	0.0026917635	0.0026818593	0.002709528	0.0027249746	0.0027098747	0.0027736719	0.0026638776	0.002709384	0.0026633572	0.0026641374	0.0027003249	0.0027454556	0.0026731608	0.0027185073	0.0026999104	0.0026455496	0.0026822533	0.0026634443	0.0026724946
0.012292583	0.01212745	0.012334322	0.012629899	0.012458789	0.012716699	0.012620757	0.012205684	0.012207309	0.012558785	0.012207158	0.012209822	0.012376806	0.012579254	0.012336609	0.012293853	0.012083254	0.012250191	0.012295146	0.012251755	0.012376843	0.012254638	0.012209548	0.012335514	0.012405837	0.012337092	0.012627537	0.0121276835	0.012334858	0.012125313	0.012128866	0.012293614	0.012499079	0.012169947	0.012376393	0.0122917285	0.5195654	0.012211341	0.012125711	0.012166914
0.01229259	0.012127457	0.012334328	0.012629907	0.012458797	0.5202376	0.012620764	0.012205691	0.012207315	0.012558792	0.012207164	0.012209829	0.012376812	0.012579261	0.0123366155	0.012293859	0.01208326	0.012250197	0.012295152	0.012251762	0.0123768505	0.012254644	0.012209554	0.01233552	0.0124058435	0.012337099	0.012627544	0.01212769	0.012334865	0.012125321	0.012128873	0.012293621	0.012499086	0.012169953	0.0123764	0.012291735	0.012044249	0.012211348	0.0121257175	0.01216692
0.0022078478	0.0021781886	0.0022153445	0.0022684326	0.0022377	0.31732073	0.0022667907	0.0021922402	0.002192532	0.00225566	0.002192505	0.0021929834	0.002222975	0.0022593364	0.0022157554	0.002208076	0.0021702508	0.0022002338	0.002208308	0.0022005148	0.0022229818	0.0022010326	0.002192934	0.0022155584	0.0022281893	0.002215842	0.0022680084	0.0021782306	0.0022154409	0.002177805	0.0021784431	0.002208033	0.002244936	0.0021858213	0.59873295	0.0022076943	0.002163244	0.002193256	0.0021778762	0.0021852765
0.012292585	0.0121274525	0.0123343235	0.012629902	0.012458792	0.012716701	0.012620759	0.012205686	0.012207312	0.012558787	0.01220716	0.012209825	0.012376808	0.012579257	0.012336611	0.012293855	0.012083257	0.012250192	0.5198162	0.012251757	0.012376846	0.0122546395	0.01220955	0.012335516	0.012405839	0.012337094	0.012627539	0.012127686	0.012334861	0.012125316	0.012128868	0.012293616	0.012499081	0.012169949	0.012376396	0.01229173	0.012044245	0.012211343	0.012125713	0.012166915
0.0027001002	0.0026638284	0.0027092681	0.0027741927	0.002736608	0.0027932585	0.0027721846	0.0026810127	0.0026813697	0.0027585723	0.0026813364	0.0026819217	0.0027186	0.0027630683	0.0027097706	0.0027003791	0.0026541206	0.0026907886	0.0027006632	0.0026911322	0.0027186084	0.0026917653	0.0026818614	0.00270953	0.0027249767	0.0027098767	0.002773674	0.0026638797	0.0027093862	0.002663359	0.0026641395	0.0027003267	0.0027454577	0.8944988	0.0027185094	0.0026999125	0.0026455517	0.002682255	0.0026634464	0.0026724965
0.004873061	0.004807599	0.0048896074	0.0050067813	0.0049389494	0.0050411904	0.5067746	0.0048386124	0.004839257	0.0049785897	0.004839197	0.0048402534	0.004906449	0.0049867043	0.004890514	0.0048735645	0.0047900784	0.004856256	0.004874077	0.004856876	0.004906464	0.004858019	0.004840144	0.0048900796	0.0049179574	0.0048907055	0.005005845	0.0048076916	0.0048898202	0.004806752	0.00480816	0.00487347	0.0049549206	0.0048244456	0.0049062856	0.0048727226	0.3077733	0.004840855	0.0048069092	0.004823243
0.024960632	0.024625322	0.025045384	0.025645569	0.025298122	0.025821818	0.025627004	0.02478418	0.02478748	0.025501167	0.024787173	0.024792584	0.02513165	0.02554273	0.02505003	0.02496321	0.02453558	0.024874551	0.024965836	0.024877729	0.025131727	0.024883581	0.024792025	0.025047803	0.0251906	0.025051009	0.02564077	0.024625797	0.025046473	0.024620984	0.024628198	0.024962725	0.02537993	0.024711613	0.025130812	0.024958897	0.024456367	0.024795666	0.02462179	0.024705453
0.0048730555	0.0048075933	0.0048896014	0.0050067753	0.004938944	0.005041185	0.63855124	0.004838607	0.0048392513	0.004978584	0.17606151	0.004840248	0.0049064434	0.0049866987	0.0048905085	0.004873559	0.004790073	0.0048562502	0.0048740716	0.0048568705	0.0049064583	0.0048580132	0.0048401384	0.004890074	0.0049179518	0.0048907	0.005005839	0.004807686	0.0048898146	0.0048067463	0.0048081544	0.0048734643	0.004954915	0.00482444	0.00490628	0.004872717	0.004774608	0.0048408494	0.0048069037	0.004823237
0.0048730564	0.004807594	0.0048896023	0.005006776	0.0049389447	0.0050411858	0.0050031524	0.0048386077	0.004839252	0.004978585	0.004839192	0.0048402487	0.0049064443	0.0049866997	0.0048905094	0.00487356	0.0047900737	0.39778146	0.0048740725	0.0048568714	0.0049064592	0.004858014	0.0048401393	0.004890075	0.0049179527	0.41673577	0.0050058397	0.004807687	0.0048898156	0.004806747	0.0048081554	0.0048734653	0.004954916	0.004824441	0.004906281	0.004872718	0.004774609	0.0048408504	0.0048069046	0.004823238
0.0024292837	0.00239665	0.0024375322	0.0024959447	0.0024621298	0.0025130983	0.0024941382	0.0024121106	0.0024124316	0.002481891	0.0024124018	0.0024129285	0.0024459278	0.0024859363	0.002437984	0.0024295347	0.0023879157	0.002420906	0.00242979	0.0024212152	0.0024459353	0.0024217847	0.002412874	0.0024377676	0.002451665	0.0024380796	0.002495478	0.002396696	0.0024376381	0.0023962276	0.0023969298	0.0024294874	0.0024700917	0.002405048	0.0024458466	0.002429115	0.0023802062	0.0024132284	0.002396306	0.90507984
0.002429283	0.0023966492	0.0024375315	0.002495944	0.002462129	0.0025130976	0.0024941375	0.0024121099	0.002412431	0.0024818904	0.0024124011	0.0024129278	0.0024459271	0.0024859356	0.4387567	0.002429534	0.002387915	0.0024209053	0.0024297894	0.0024212145	0.0024459346	0.002421784	0.0024128733	0.0024377669	0.0024516643	0.0024380789	0.0024954772	0.0023966953	0.0024376374	0.0023962269	0.46875367	0.0024294867	0.002470091	0.0024050474	0.0024458459	0.0024291142	0.0023802056	0.002413228	0.0023963053	0.0024044479
0.008154171	0.008044632	0.008181858	0.008377927	0.008264422	0.0084355045	0.008371863	0.008096527	0.008097606	0.008330754	0.008097505	0.008099273	0.00821004	0.008344332	0.008183375	0.008155013	0.008015315	0.00812605	0.008155871	0.008127088	0.008210064	0.008129	0.00809909	0.008182649	0.008229297	0.008183695	0.00837636	0.008044787	0.008182214	0.681362	0.008045571	0.008154855	0.008291148	0.008072821	0.008209766	0.008153604	0.007989437	0.00810028	0.008043478	0.008070809
0.35289687	0.0029980408	0.0030491815	0.0031222517	0.0030799515	0.0031437096	0.0031199916	0.003017381	0.0030177827	0.0031046714	0.0030177452	0.0030184041	0.003059684	0.0031097317	0.003049747	0.0030391773	0.002987115	0.0030283835	0.003039497	0.0030287702	0.0030596934	0.0030294827	0.0030183361	0.0030494763	0.0030668608	0.0030498665	0.0031216678	0.0029980985	0.0030493143	0.0029975125	0.0029983907	0.0030391184	0.0030899113	0.53140426	0.0030595823	0.003038652	0.0029774709	0.0030187794	0.0029976107	0.0030077964
0.0010544395	0.0010402746	0.0010580198	0.001083374	0.0010686965	0.0010908196	0.0010825898	0.0010469855	0.0010471249	0.001077274	0.0010471119	0.0010473405	0.001061664	0.0010790298	0.001058216	0.0010545484	0.0010364836	0.0010508031	0.0010546594	0.0010509373	0.0010616672	0.0010511846	0.0010473168	0.001058122	0.0010641542	0.0010582574	0.0010831713	0.0010402947	0.0010580658	0.0010400914	0.0010403962	0.0010545279	0.0010721524	0.0010439199	0.9588175	0.0010543662	0.0010331373	0.0010474707	0.0010401255	0.0010436598
0.008154176	0.008044637	0.008181863	0.008377932	0.008264428	0.00843551	0.008371868	0.6814151	0.00809761	0.008330759	0.00809751	0.008099278	0.008210044	0.008344337	0.008183381	0.008155018	0.00801532	0.008126056	0.008155876	0.008127093	0.0082100695	0.008129005	0.008099096	0.008182654	0.008229302	0.008183701	0.0083763655	0.008044791	0.008182219	0.008043219	0.0080455765	0.008154861	0.008291153	0.008072827	0.0082097715	0.008153609	0.007989442	0.008100285	0.008043483	0.008070814
0.002207849	0.0021781898	0.0022153456	0.0022684338	0.002237701	0.0022840237	0.0022667919	0.0021922414	0.002192533	0.0022556612	0.0021925059	0.0021929846	0.0022229762	0.58421326	0.0022157566	0.002208077	0.002170252	0.002200235	0.0022083092	0.002200516	0.002222983	0.0022010338	0.0021929352	0.0022155596	0.0022281904	0.0022158432	0.0022680096	0.0021782317	0.002215442	0.002177806	0.33177128	0.0022080343	0.0022449375	0.0021858225	0.0022229021	0.0022076955	0.002163245	0.0021932572	0.0021778774	0.0021852776
0.004056853	0.004002355	0.0040706275	0.0041681756	0.0041117053	0.0041968217	0.0041651586	0.004028174	0.0040287105	0.0041447063	0.0040286607	0.00402954	0.0040846486	0.0041514616	0.004071383	0.004057272	0.003987769	0.0040428624	0.004057699	0.004043379	0.004084661	0.0040443297	0.0040294495	0.004071021	0.0040942295	0.004071542	0.8416373	0.0040024323	0.004070805	0.00400165	0.0040028226	0.004057193	0.004125002	0.00401638	0.0040845126	0.004056571	0.0039748945	0.004030041	0.004001781	0.0040153787
0.008154195	0.008044655	0.008181882	0.008377952	0.008264448	0.00843553	0.008371888	0.0080965515	0.008097629	0.68164855	0.008097529	0.008099297	0.008210064	0.008344357	0.008183399	0.008155038	0.008015338	0.008126074	0.008155895	0.008127112	0.008210089	0.008129024	0.0080991145	0.008182673	0.008229321	0.00818372	0.008376385	0.008044811	0.008182238	0.008043239	0.008045595	0.008154879	0.008291173	0.008072846	0.00820979	0.008153629	0.007989461	0.008100304	0.0080435015	0.008070833
0.0061004087	0.006018459	0.0061211223	0.0062678084	0.006182892	0.006310884	0.006263271	0.006057284	0.0060580904	0.0062325164	0.0060580154	0.006059338	0.006142206	0.006242675	0.0061222576	0.006101039	0.0059965258	0.006079371	0.006101681	0.0060801473	0.0061422247	0.006081578	0.0060592014	0.0061217137	0.006156613	0.0061224974	0.006266636	0.006018575	0.0061213886	0.0060173986	0.0060191615	0.006100921	0.006202886	0.0060395487	0.006142001	0.006099985	0.761576	0.0060600913	0.0060175955	0.006038043
