topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.002721163	0.0027119352	0.0027482624	0.0027663878	0.0027752924	0.0028379695	0.0027573009	0.0027120556	0.0027033577	0.0027944427	0.0027389224	0.0027301286	0.0027299747	0.0027121091	0.0027211492	0.0027030888	0.0027121834	0.0027118872	0.002730386	0.0027031782	0.0027211306	0.002747941	0.0027119596	0.0027482533	0.8386821	0.0027301155	0.0027394895	0.0027212128	0.002730426	0.0027577484	0.0027122505	0.0027302937	0.00274872	0.0027118872	0.0027480647	0.0027666453	0.002702969	0.0027481578	0.0027303423	0.0027212861	0.0027389314	0.0027120437	0.002730136	0.002739381	0.0027480759	0.0027666441	0.0027302345	0.002730171	0.0027125068	0.0027387566	0.0027394085	0.0027032534	0.002730218	0.0027479108	0.0027575376	0.0027755874	0.0027305048	0.0027394162	0.0026941223	0.0027030406
0.00042852398	0.00042707083	0.00043279157	0.0004356459	0.0004370482	0.00044691848	0.00043421492	0.00042708975	0.00042572003	0.72380966	0.00043132072	0.00042993587	0.00042991166	0.0004270982	0.0004285218	0.00042567772	0.00042710992	0.00042706326	0.00042997644	0.00042569177	0.00042851886	0.00043274096	0.00042707464	0.00043279014	0.00042999408	0.0004299338	0.00043141	0.0004285318	0.0004299827	0.0004342854	0.00042712045	0.00042996186	0.14533477	0.00042706326	0.00043276043	0.00043568647	0.00042565883	0.00043277506	0.0004299695	0.0004285434	0.0004313221	0.00042708789	0.00042993706	0.00043139295	0.00043276217	0.00043568626	0.00042995255	0.00042994253	0.00042716082	0.0004312946	0.00043139726	0.0004257036	0.00042994996	0.00043273618	0.0004342522	0.10633147	0.00042999513	0.00043139848	0.00042426566	0.0004256701
0.0027211604	0.0027119329	0.00274826	0.0027663854	0.00277529	0.002837967	0.0027572985	0.002712053	0.0027033552	0.0027944404	0.00273892	0.0027301263	0.0027299724	0.0027121068	0.002721147	0.0027030865	0.002712181	0.002711885	0.0027303838	0.0027031759	0.002721128	0.0027479385	0.49114102	0.002748251	0.0027304958	0.0027301132	0.002739487	0.0027212102	0.18704087	0.002757746	0.0027122481	0.0027302913	0.0027487178	0.002711885	0.0027480621	0.002766643	0.0027029666	0.0027481553	0.0027303398	0.0027212838	0.002738929	0.0027120414	0.0027301337	0.0027393787	0.0027480735	0.0027666416	0.002730232	0.0027301686	0.0027125045	0.0027387543	0.0027394062	0.0027032509	0.0027302157	0.0027479085	0.0027575353	0.0027755848	0.0027305023	0.0027394139	0.00269412	0.16591527
0.0011641243	0.0011601767	0.76122314	0.0011834718	0.0011872812	0.0012140947	0.0011795843	0.0011602282	0.0011565072	0.0011954737	0.001171722	0.0011679599	0.0011678941	0.0011602511	0.0011641185	0.0011563922	0.0011602829	0.0011601562	0.0011680701	0.0011564305	0.0011641105	0.0011755801	0.0011601872	0.0011757137	0.0011681181	0.0011679543	0.0011719646	0.0011641457	0.0011680871	0.17095178	0.0011603115	0.0011680305	0.0011759135	0.0011601562	0.001175633	0.0011835819	0.0011563409	0.0011756729	0.0011680513	0.0011641771	0.0011717258	0.0011602232	0.0011679631	0.0011719181	0.0011756378	0.0011835814	0.0011680052	0.001167978	0.0011604212	0.0011716511	0.0011719299	0.0011564626	0.0011679982	0.0011755672	0.0011796856	0.0011874073	0.0011681209	0.0011719333	0.0011525563	0.0011563716
0.0027211627	0.002711935	0.0027482621	0.0027663875	0.0027752921	0.0028379692	0.0027573006	0.0027120553	0.0027033575	0.0027944425	0.0027389221	0.0027301284	0.0027299745	0.002712109	0.002721149	0.0027030886	0.0027121832	0.002711887	0.0027303859	0.002703178	0.0027211304	0.0027479408	0.0027119594	0.002748253	0.002730498	0.0027301153	0.0027394893	0.0027212126	0.0027304257	0.0027577481	0.0027122502	0.0027302934	0.0027487199	0.002711887	0.0027480645	0.002766645	0.0027029687	0.0027481576	0.002730342	0.002721286	0.0027389312	0.0027120435	0.8386817	0.0027393808	0.0027480756	0.002766644	0.0027302343	0.0027301707	0.0027125066	0.0027387566	0.0027394083	0.0027032532	0.0027302178	0.0027479106	0.0027575374	0.0027755871	0.0027305046	0.002739416	0.002694122	0.0027030404
0.0040881634	0.0040743	0.0041288766	0.0041561075	0.0041694855	0.0042636488	0.7576828	0.004074481	0.0040614135	0.004198256	0.0041148444	0.004101633	0.0041014017	0.0040745614	0.004088143	0.0040610097	0.004074673	0.004074228	0.00410202	0.004061144	0.0040881145	0.0041283937	0.0040743365	0.004128863	0.004102188	0.0041016135	0.0041156965	0.0040882383	0.0041020797	0.004143128	0.0040747738	0.004101881	0.0041295644	0.004074228	0.0041285795	0.004156494	0.0040608295	0.004128719	0.004101954	0.0040883487	0.004114858	0.004074463	0.0041016443	0.0041155335	0.0041285963	0.004156492	0.004101792	0.0041016964	0.004075159	0.0041145957	0.004115575	0.0040612565	0.004101767	0.004128348	0.004142811	0.0041699284	0.0041021984	0.0041155866	0.0040475386	0.004060937
0.0040881606	0.0040742974	0.0041288733	0.0041561043	0.0041694823	0.0042636455	0.0041424525	0.004074478	0.0040614107	0.75773877	0.0041148416	0.00410163	0.004101399	0.004074558	0.0040881396	0.004061007	0.00407467	0.004074225	0.004102017	0.004061141	0.0040881117	0.004128391	0.0040743337	0.00412886	0.0041021854	0.0041016103	0.0041156933	0.004088235	0.004102077	0.004143125	0.0040747705	0.004101878	0.004129561	0.004074225	0.0041285763	0.0041564913	0.0040608267	0.0041287164	0.004101951	0.0040883454	0.004114855	0.00407446	0.0041016415	0.0041155308	0.0041285935	0.0041564894	0.004101789	0.0041016936	0.0040751556	0.0041145924	0.0041155717	0.0040612537	0.0041017644	0.0041283453	0.0041428083	0.0041699256	0.004102195	0.0041155834	0.004047536	0.0040609343
0.0040881634	0.0040743	0.0041288766	0.0041561075	0.0041694855	0.0042636488	0.0041424558	0.004074481	0.0040614135	0.004198256	0.0041148444	0.004101633	0.0041014017	0.0040745614	0.004088143	0.0040610097	0.004074673	0.004074228	0.00410202	0.004061144	0.0040881145	0.0041283937	0.0040743365	0.004128863	0.004102188	0.0041016135	0.0041156965	0.0040882383	0.0041020797	0.004143128	0.0040747738	0.004101881	0.0041295644	0.004074228	0.757669	0.004156494	0.0040608295	0.004128719	0.004101954	0.0040883487	0.004114858	0.004074463	0.0041016443	0.0041155335	0.0041285963	0.004156492	0.004101792	0.0041016964	0.004075159	0.0041145957	0.004115575	0.0040612565	0.004101767	0.004128348	0.004142811	0.0041699284	0.0041021984	0.0041155866	0.0040475386	0.004060937
0.0032674505	0.0032563703	0.0032999902	0.0033217545	0.0033324468	0.0034077065	0.0033108434	0.0032565147	0.0032460706	0.0033554416	0.0032887752	0.003278216	0.0032780312	0.003256579	0.003267434	0.0032457479	0.0032566683	0.0032563128	0.0032785253	0.0032458552	0.0032674116	0.0032996044	0.0032563994	0.0032999795	0.00327866	0.0032782003	0.32310662	0.0032675103	0.003278573	0.0033113807	0.0032567487	0.0032784143	0.00330054	0.0032563128	0.003299753	0.0033220637	0.003245604	0.0032998647	0.0032784725	0.0032675986	0.0032887862	0.0032565005	0.003278225	0.48649013	0.0032997662	0.0033220623	0.0032783432	0.0032782669	0.0032570565	0.0032885764	0.003289359	0.0032459453	0.0032783234	0.003299568	0.0033111277	0.003332801	0.0032786678	0.0032893682	0.0032349813	0.00324569
0.0018122132	0.0018060679	0.0018302606	0.0018423316	0.0018482618	0.0018900029	0.3645445	0.001806148	0.0018003554	0.0018610153	0.0018240404	0.001818184	0.0018180816	0.0018061836	0.001812204	0.0018001765	0.0018062332	0.001806036	0.0018183556	0.001800236	0.0018121916	0.0018300466	0.0018060841	0.0018302547	0.0018184303	0.0018181753	0.0018244181	0.5298527	0.0018183822	0.0018365781	0.0018062778	0.0018182939	0.0018305655	0.001806036	0.001830129	0.0018425031	0.0018000966	0.001830191	0.0018183263	0.0018122953	0.0018240465	0.0018061401	0.001818189	0.0018243459	0.0018301364	0.0018425023	0.0018182546	0.0018182122	0.0018064484	0.0018239302	0.0018243642	0.0018002859	0.0018182435	0.0018300265	0.0018364376	0.0018484582	0.0018184346	0.0018243694	0.0017942049	0.0018001443
