topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.023086444	0.020489879	0.02345818	0.022163292	0.32489142	0.5859108
0.003552282	0.06458899	0.003608105	0.0034121866	0.9206734	0.0041651265
0.023070296	0.020480346	0.023412751	0.6126965	0.024771644	0.29556847
0.49918276	0.00862992	0.4609962	0.009352889	0.010435386	0.0114028575
0.02306855	0.020477321	0.72790956	0.022153039	0.024845956	0.18154559
0.035148393	0.81635535	0.03566624	0.03383798	0.037679527	0.041312564
0.035116225	0.031195484	0.03563855	0.033743978	0.8232236	0.041082185
0.5869157	0.031219138	0.26894432	0.03376151	0.03780549	0.04135388
0.33409938	0.024725555	0.028334111	0.026807532	0.02994082	0.55609256
0.015251548	0.013521228	0.92224276	0.014658036	0.016339451	0.017986994
0.009054584	0.008040541	0.009194618	0.9533559	0.009720905	0.010633458
0.9464892	0.009302632	0.010636013	0.0100550875	0.011244881	0.0122722285
0.07389542	0.6147144	0.07490549	0.07087845	0.07916884	0.0864374
0.011374931	0.010080635	0.011539047	0.010914645	0.11902264	0.8370681
0.75694263	0.042271193	0.04827359	0.0457308	0.051051065	0.055730794
0.035136655	0.81636727	0.035815824	0.033743773	0.03772637	0.041210104
0.009717994	0.008631161	0.6982729	0.009331756	0.010446438	0.26359978
0.012414077	0.01101778	0.012618243	0.011931851	0.013318258	0.9386998
0.75664943	0.042261507	0.0483246	0.045737613	0.051157728	0.055869125
0.047615565	0.04226156	0.7573184	0.045771077	0.051162954	0.05587048
0.023075828	0.02049881	0.52388114	0.022150341	0.24249619	0.16789769
0.3110746	0.031200392	0.035675045	0.54293704	0.037783105	0.041329756
0.6225498	0.065497406	0.07483271	0.07103489	0.07931885	0.08676636
0.027892927	0.024736432	0.028270144	0.026755588	0.029921148	0.8624237
0.65789443	0.020541232	0.023461603	0.022161555	0.2488849	0.027056256
0.017205324	0.73139673	0.017485643	0.016498078	0.018481085	0.19893311
0.015231219	0.17020154	0.15821408	0.014629045	0.62380993	0.017914155
0.07385194	0.06549743	0.62347704	0.07102501	0.079567194	0.08658141
0.07375314	0.06552332	0.07484522	0.07085206	0.07912588	0.6359004
0.012423326	0.011021169	0.012611422	0.011953074	0.0133304605	0.93866056
0.6227281	0.06549728	0.07491042	0.07089293	0.07931792	0.08665335
0.10375989	0.013523476	0.015458334	0.01463133	0.016355565	0.8362714
0.09218666	0.024739485	0.02827544	0.79216903	0.029880468	0.03274896
0.1637461	0.14548747	0.16618434	0.15736525	0.17565699	0.19155985
0.027898112	0.024731314	0.028274667	0.8564931	0.029882027	0.032720737
0.027924202	0.02474971	0.028356373	0.026825434	0.029956535	0.8621878
0.013668975	0.012148841	0.3825902	0.013137807	0.0146755	0.5637787
0.013670475	0.012145973	0.723982	0.013125545	0.01467406	0.22240193
0.04760676	0.04226158	0.048494726	0.045737196	0.05117162	0.76472807
0.91226333	0.015239382	0.017418245	0.016487954	0.018424748	0.02016632
0.20306148	0.0052254666	0.38436896	0.00566392	0.006322561	0.39535758
0.04766928	0.04231522	0.048442546	0.7546342	0.05109623	0.05584259
0.012412776	0.01101906	0.93660325	0.011925813	0.013486245	0.014552834
0.4845134	0.02047479	0.023419136	0.41977113	0.024785226	0.027036319
0.04770214	0.04229395	0.04834133	0.045816716	0.7589277	0.056918155
0.81984335	0.031197233	0.035851452	0.033853117	0.03795716	0.041297715
0.03512411	0.03123381	0.035692383	0.8190749	0.037690308	0.04118448
0.073802635	0.06550935	0.074923895	0.62006027	0.079247415	0.0864564
0.04760883	0.04232288	0.048328143	0.045822233	0.051100727	0.7648172
0.6227038	0.06549727	0.07491068	0.070893034	0.07932656	0.08666863
0.01049069	0.009305537	0.6389604	0.010056338	0.09434389	0.2368431
0.07379819	0.06553732	0.074859865	0.6198638	0.07908703	0.08685377
0.002935906	0.0026003195	0.002974776	0.002813095	0.9852449	0.0034310136
0.7180117	0.011028358	0.012618049	0.2303774	0.013331861	0.014632607
0.8199207	0.031199412	0.035910714	0.033780865	0.03771446	0.041473873
0.623509	0.006695321	0.0076645273	0.007239376	0.00809461	0.34679717
0.29134965	0.011015347	0.012586639	0.011933306	0.013330055	0.659785
0.023107618	0.61035377	0.023467429	0.29109922	0.024785306	0.02718666
0.047581296	0.042311426	0.04831551	0.045713995	0.051110003	0.7649678
