topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.0023219108	0.0023295619	0.0023603747	0.0023527355	0.0023833574	0.0023990192	0.002360549	0.0023371773	0.0023296967	0.002438125	0.0023219108	0.0023374367	0.0023296424	0.0023373205	0.0023527963	0.8378629	0.0023219108	0.002337225	0.0023528389	0.0023295374	0.0023448546	0.0023679216	0.0023371421	0.0023526656	0.0023527397	0.0023295882	0.0023762719	0.00234492	0.0023836573	0.0023450633	0.0023449839	0.0023372127	0.0023660476	0.0023295942	0.0023605449	0.0023755531	0.0023295265	0.002337278	0.0023296273	0.0023296785	0.0023296273	0.0023373081	0.0023456695	0.0023371773	0.0023604662	0.0023682208	0.002337366	0.0023371421	0.0023298138	0.0023677484	0.002352952	0.002337278	0.0023529998	0.0023689729	0.0023219108	0.0023916934	0.002360524	0.002368071	0.002345061	0.0023296096	0.0023219108	0.0023450141	0.0023911286	0.002383456	0.0023219108	0.0023678911	0.0023680408	0.0023296424	0.002383108	0.0023373456
0.00036581035	0.00036701575	0.0003718702	0.0003706667	0.00037549107	0.00037795852	0.00037189768	0.00036821552	0.00036703696	0.8691872	0.00036581035	0.00036825638	0.00036702843	0.00036823808	0.00037067625	0.00036945211	0.00036581035	0.00036822306	0.00037068297	0.00036701187	0.00036942508	0.0003730592	0.00036820996	0.00037065567	0.00037066735	0.00036701988	0.00037437477	0.00036943538	0.0003755383	0.00036945794	0.00036944545	0.0003682211	0.10565603	0.00036702084	0.000371897	0.00037426152	0.0003670102	0.0003682314	0.00036702605	0.0003670341	0.00036702605	0.00036823613	0.00036955345	0.00036821552	0.0003718846	0.00037310636	0.00036824527	0.00036821	0.0003670554	0.00037303194	0.00037070079	0.0003682314	0.00037070832	0.00037322482	0.00036581035	0.00037680438	0.00037189372	0.0003730827	0.0003694576	0.00036702325	0.00036581035	0.0003694502	0.00037671538	0.00037550664	0.00036581035	0.00037305438	0.000373078	0.00036702843	0.00037545178	0.00036824204
0.0023219106	0.0023295614	0.0023603744	0.0023527353	0.002383357	0.0023990187	0.0023605486	0.002337177	0.0023296962	0.0024381245	0.0023219106	0.0023374362	0.0023296422	0.00233732	0.002352796	0.002345026	0.0023219106	0.0023372248	0.0023528386	0.002329537	0.0023448542	0.0023679214	0.0023371417	0.0023526654	0.0023527395	0.0023295877	0.0023762716	0.0023449198	0.0023836568	0.002345063	0.0023449836	0.0023372122	0.0023660471	0.0023295938	0.0023605444	0.0023755527	0.0023295262	0.0023372779	0.002329627	0.002329678	0.002329627	0.0023373077	0.002345669	0.002337177	0.0023604657	0.0023682204	0.0023373656	0.002337142	0.0023298133	0.0023677482	0.0023529518	0.0023372779	0.0023529995	0.0023689724	0.0023219106	0.002391693	0.0023605237	0.0023680704	0.0023450607	0.0023296091	0.0023219106	0.0023450137	0.002391128	0.0023834559	0.0023219106	0.0023678907	0.837886	0.0023296422	0.0023831076	0.0023373452
0.0009936172	0.0009968914	0.0010100772	0.0010068081	0.0010199121	0.0010266142	0.0010101517	0.0010001502	0.000996949	0.0010433488	0.0009936172	0.0010002612	0.0009969259	0.0010002115	0.0010068341	0.001003509	0.0009936172	0.0010001707	0.0010068524	0.0009968809	0.0010034356	0.0010133068	0.0010001351	0.0010067782	0.0010068099	0.0009969026	0.00101688	0.0010034636	0.0010200405	0.0010035249	0.001003491	0.0010001654	0.0010125047	0.0009969053	0.00101015	0.0010165725	0.0009968763	0.0010001934	0.0009969193	0.0009969412	0.0009969193	0.0010002062	0.0010037844	0.0010001502	0.0010101162	0.0010134347	0.001000231	0.0010001352	0.0009969991	0.0010132326	0.0010069008	0.0010001934	0.0010069212	0.0010137565	0.0009936172	0.0010234794	0.001010141	0.9306264	0.0010035239	0.0009969118	0.0009936172	0.0010035039	0.0010232376	0.0010199544	0.0009936172	0.0010132936	0.0010133577	0.0009969259	0.0010198054	0.0010002223
0.0023219122	0.0023295633	0.002360376	0.002352737	0.0023833588	0.0023990204	0.0023605505	0.0023371787	0.0023296978	0.0024381261	0.0023219122	0.0023374378	0.0023296438	0.0023373216	0.0023527977	0.0023450276	0.0023219122	0.0023372264	0.0023528403	0.0023295388	0.0023448558	0.002367923	0.0023371433	0.002352667	0.002352741	0.0023295896	0.0023762733	0.0023449215	0.0023836587	0.0023450647	0.0023449853	0.002337214	0.0023660487	0.0023295956	0.0023605463	0.0023755545	0.0023295279	0.0023372795	0.0023296287	0.0023296797	0.0023296287	0.0023373093	0.83786345	0.0023371787	0.0023604673	0.0023682222	0.0023373675	0.0023371435	0.002329815	0.0023677498	0.0023529534	0.0023372795	0.0023530012	0.0023689743	0.0023219122	0.0023916948	0.0023605253	0.002368072	0.0023450623	0.0023296108	0.0023219122	0.0023450155	0.0023911297	0.0023834575	0.0023219122	0.0023678923	0.002368042	0.0023296438	0.0023831094	0.0023373468
0.0034874384	0.0034989298	0.0035452098	0.003533736	0.003579729	0.0036032526	0.0035454717	0.003510368	0.0034991323	0.003661988	0.0034874384	0.0035107576	0.0034990509	0.003510583	0.0035338274	0.003522157	0.0034874384	0.0035104398	0.0035338914	0.0034988932	0.0035218992	0.0035565451	0.003510315	0.003533631	0.0035337424	0.0034989694	0.003569087	0.0035219975	0.0035801795	0.0035222126	0.0035220934	0.0035104211	0.7565067	0.0034989784	0.0035454654	0.0035680074	0.003498877	0.0035105196	0.0034990283	0.0034991049	0.0034990283	0.0035105646	0.003523123	0.003510368	0.0035453471	0.0035569945	0.0035106516	0.0035103152	0.0034993081	0.003556285	0.0035340614	0.0035105196	0.003534133	0.003558124	0.0034874384	0.0035922495	0.003545434	0.003556769	0.0035222091	0.0034990015	0.0034874384	0.0035221388	0.003591401	0.0035798775	0.0034874384	0.0035564993	0.003556724	0.0034990509	0.0035793546	0.0035106207
0.003487434	0.0034989256	0.0035452053	0.0035337317	0.0035797246	0.003603248	0.0035454673	0.0035103636	0.003499128	0.75661534	0.003487434	0.0035107532	0.0034990467	0.0035105785	0.0035338227	0.0035221525	0.003487434	0.0035104353	0.003533887	0.0034988888	0.0035218948	0.0035565407	0.0035103105	0.0035336267	0.003533738	0.003498965	0.0035690826	0.003521993	0.0035801749	0.0035222082	0.003522089	0.0035104167	0.0035537258	0.003498974	0.003545461	0.0035680027	0.0034988725	0.0035105152	0.0034990238	0.0034991007	0.0034990238	0.0035105601	0.0035231186	0.0035103636	0.0035453427	0.00355699	0.0035106472	0.0035103108	0.0034993037	0.0035562806	0.0035340567	0.0035105152	0.0035341287	0.0035581195	0.003487434	0.003592245	0.0035454296	0.0035567647	0.0035222047	0.003498997	0.003487434	0.0035221344	0.0035913964	0.003579873	0.003487434	0.0035564946	0.0035567195	0.0034990467	0.0035793502	0.0035106165
0.0034874368	0.0034989284	0.0035452084	0.0035337347	0.0035797276	0.003603251	0.00354547	0.0035103667	0.003499131	0.0036619867	0.0034874368	0.003510756	0.0034990495	0.0035105816	0.0035338257	0.0035221556	0.0034874368	0.0035104384	0.0035338898	0.0034988918	0.0035218976	0.0035565437	0.0035103136	0.0035336297	0.003533741	0.003498968	0.0035690854	0.003521996	0.003580178	0.003522211	0.0035220918	0.0035104197	0.0035537288	0.003498977	0.0035454638	0.0035680057	0.0034988753	0.003510518	0.0034990269	0.0034991035	0.0034990269	0.003510563	0.0035231216	0.0035103667	0.0035453455	0.003556993	0.0035106502	0.0035103138	0.0034993067	0.36095342	0.0035340597	0.003510518	0.39909008	0.0035581226	0.0034874368	0.003592248	0.0035454326	0.0035567677	0.0035222075	0.0034989999	0.0034874368	0.0035221372	0.0035913994	0.003579876	0.0034874368	0.0035564976	0.0035567225	0.0034990495	0.003579353	0.0035106193
0.0027877588	0.002796945	0.0028339396	0.002824768	0.0028615333	0.0028803374	0.002834149	0.0028060882	0.0027971067	0.0029272889	0.0027877588	0.0028063995	0.0027970416	0.00280626	0.0028248408	0.0028155118	0.0027877588	0.0028061455	0.002824892	0.0027969156	0.0028153057	0.002843001	0.0028060458	0.0028246841	0.002824773	0.0027969764	0.0028530264	0.0028153844	0.0028618935	0.0028155562	0.002815461	0.0028061306	0.0028407506	0.0027969838	0.002834144	0.0028521633	0.0027969023	0.0028062093	0.0027970234	0.0027970849	0.0027970234	0.0028062451	0.28767392	0.0028060882	0.0028340495	0.00284336	0.002806315	0.002806046	0.0027972471	0.002842793	0.0028250278	0.31098866	0.0028250853	0.0028442629	0.0027877588	0.0028715418	0.002834119	0.00284318	0.0028155535	0.002797002	0.0027877588	0.21229307	0.0028708635	0.002861652	0.0027877588	0.0028429641	0.002843144	0.0027970416	0.0028612341	0.0028062903
0.0015465912	0.0015516874	0.44611642	0.001567123	0.0015875198	0.0015979517	0.0015723275	0.0015567599	0.0015517771	0.0016239996	0.0015465912	0.0015569326	0.001551741	0.0015568552	0.0015671635	0.0015619879	0.0015465912	0.0015567917	0.0015671919	0.0015516711	0.0015618736	0.0015772383	0.0015567364	0.0015670764	0.0015671258	0.18464613	0.0015828003	0.0015619172	0.0015877195	0.0015620126	0.0015619597	0.0015567834	0.0015759899	0.0015517089	0.0015723247	0.0015823215	0.0015516639	0.26435906	0.001551731	0.001551765	0.001551731	0.001556847	0.0015624164	0.0015567599	0.0015722722	0.0015774375	0.0015568857	0.0015567364	0.001551855	0.001577123	0.0015672672	0.0015568271	0.001567299	0.0015779384	0.0015465912	0.0015930722	0.0015723108	0.0015773376	0.0015620111	0.001551719	0.0015465912	0.0015619799	0.001592696	0.0015875855	0.0015465912	0.0015772178	0.0015773176	0.001551741	0.0015873536	0.0015568719
