topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.017945033	0.016427334	0.01794999	0.017951852	0.32626575	0.56832635	0.018482033	0.016651718
0.0027767825	0.0025418387	0.0027773436	0.0027773848	0.9804379	0.0032523565	0.0028597955	0.0025766038
0.017943105	0.016427314	0.017944757	0.6452576	0.01996844	0.2473337	0.018474178	0.01665091
0.21706258	0.006944248	0.22392942	0.51988393	0.008442392	0.008887488	0.0078111337	0.007038815
0.01794857	0.016426766	0.7029049	0.017949976	0.01998615	0.18965416	0.01848007	0.01664947
0.02724669	0.024950044	0.02724842	0.027254865	0.030312669	0.031907145	0.8057945	0.025285734
0.02724399	0.024942849	0.027247688	0.027253704	0.8080853	0.031897284	0.028048387	0.025280815
0.60407865	0.024949878	0.22809832	0.027256882	0.030324228	0.03194029	0.028065091	0.025286643
0.26206967	0.019808756	0.021656351	0.60464555	0.024084033	0.02538224	0.022276774	0.020076644
0.011867845	0.01086347	0.33842805	0.011871351	0.01320466	0.013907714	0.58884656	0.011010404
0.0070732753	0.006475777	0.0070746723	0.9493704	0.007870848	0.008288149	0.0072830557	0.00656385
0.94148916	0.0074830996	0.008175873	0.008176504	0.009097629	0.009573092	0.008419802	0.0075848443
0.05658649	0.590204	0.056597568	0.056610633	0.062955044	0.06626695	0.058265287	0.052514046
0.008865974	0.008114246	0.008866351	0.008867913	0.09615547	0.8517784	0.009126455	0.008225171
0.73673546	0.03367549	0.036782887	0.036796365	0.040924948	0.043085214	0.037869368	0.034130294
0.027244985	0.80269164	0.027256891	0.027254002	0.030310981	0.03190755	0.0280523	0.025281627
0.007586948	0.6768806	0.0075872284	0.007587133	0.008442434	0.27706626	0.007811293	0.0070381095
0.009680396	0.008861775	0.009684063	0.009685322	0.010771109	0.72519785	0.21713644	0.00898299
0.73670745	0.03367293	0.036787175	0.036794595	0.04092855	0.04309348	0.037881073	0.034134764
0.036789995	0.033673372	0.736667	0.03681085	0.040953025	0.043096866	0.037879296	0.034129646
0.017943265	0.016430417	0.50953907	0.017949404	0.21706386	0.18594126	0.018479742	0.016653007
0.23809561	0.024943842	0.027251262	0.5941175	0.03033086	0.031929575	0.028050432	0.02528085
0.056614865	0.05180477	0.0565893	0.5949312	0.0629657	0.06632348	0.05826399	0.052506704
0.021642448	0.01980892	0.02163991	0.021644697	0.024077829	0.8488256	0.022280645	0.020079995
0.60205585	0.016430244	0.017948717	0.017950313	0.2894529	0.021020554	0.018488642	0.016652716
0.013378387	0.012248517	0.013379912	0.01338147	0.014890837	0.36950764	0.5507995	0.012413735
0.011868464	0.010865406	0.011875437	0.011871987	0.9163598	0.013917428	0.012229698	0.011011807
0.056607004	0.051804807	0.056614824	0.5948551	0.06303583	0.066289425	0.05828625	0.052506745
0.056582753	0.051808428	0.0565905	0.056605883	0.06296135	0.60467076	0.058260452	0.052519884
0.009681154	0.008863036	0.009684249	0.009688833	0.010773892	0.93235815	0.009967126	0.008983615
0.5948997	0.051804706	0.05659748	0.056608163	0.06297248	0.066310935	0.058284994	0.052521538
0.57374233	0.010863646	0.011869858	0.0118730785	0.013205732	0.35521284	0.012221747	0.011010724
0.021656172	0.019809974	0.021638678	0.02165005	0.02408127	0.025367016	0.8457185	0.020078296
0.1225973	0.11224478	0.12261137	0.12264264	0.136384	0.14353435	0.12621994	0.11376566
0.02164891	0.019807613	0.02163868	0.021662613	0.024079518	0.025374075	0.84571135	0.020077284
0.021645542	0.019810742	0.021647325	0.021649856	0.024090003	0.025405958	0.8456697	0.020080874
0.010661057	0.41727144	0.010666626	0.01066663	0.011862891	0.5179946	0.010982312	0.009894484
0.010661644	0.00976273	0.673177	0.010665389	0.011864436	0.2629938	0.010980239	0.009894709
0.03678858	0.033673838	0.036807068	0.036797587	0.040946174	0.7429847	0.03787192	0.03413013
0.9042586	0.0122454725	0.0133770155	0.013380663	0.014883693	0.015672788	0.013770581	0.0124112265
0.0046005594	0.0042095445	0.59287375	0.00460146	0.0051193726	0.37959158	0.004736532	0.004267229
0.036799006	0.03367462	0.036800798	0.27724618	0.040965218	0.043143883	0.037908953	0.4934613
0.009680381	0.008862443	0.9306951	0.009684604	0.010787148	0.011339795	0.009968334	0.008982222
0.49049857	0.016425934	0.017947562	0.399018	0.01997201	0.021016063	0.018472057	0.016649794
0.03679398	0.033682007	0.036789127	0.03681268	0.74066526	0.043245185	0.037871946	0.034139782
0.80492014	0.024943516	0.027256759	0.027272852	0.030344337	0.0319193	0.028061938	0.02528115
0.027244251	0.024943758	0.027247813	0.027258027	0.030308008	0.031912483	0.02806538	0.8030203
0.056596518	0.051804774	0.0566099	0.5949509	0.062986925	0.066277586	0.058257382	0.052516013
0.036779784	0.0336749	0.036788657	0.03680011	0.040925495	0.7429777	0.03791579	0.03413755
0.5949048	0.051804706	0.056597438	0.056608144	0.062972344	0.06631052	0.0582848	0.052517258
0.00817674	0.44912502	0.008177503	0.008177042	0.14751442	0.009594224	0.3616483	0.007586758
0.056583967	0.0518047	0.056591097	0.056612644	0.062945805	0.06629593	0.5966518	0.052514084
0.0022925877	0.0020980372	0.0022921895	0.002292562	0.98385453	0.0026838859	0.0023596713	0.0021264928
0.009683496	0.008864352	0.009683163	0.009685846	0.010773985	0.011358428	0.930967	0.008983723
