topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99
0.0014033573	0.001403488	0.0014172489	0.0014219193	0.0014309004	0.0014033299	0.0013988296	0.001398789	0.0014126655	0.0014079547	0.0014171161	0.0014219432	0.001449242	0.0014033398	0.0014217806	0.0014172879	0.0014034298	0.0014078767	0.0014216995	0.0013941736	0.0013941736	0.001407711	0.0013987779	0.0014126318	0.0013970237	0.0014033348	0.0014172486	0.0014313231	0.001403331	0.0014033437	0.0013941736	0.001412607	0.0014033562	0.0014080609	0.0013941736	0.0013987401	0.0014170237	0.0014079632	0.0014079819	0.0013941736	0.0014219291	0.1445848	0.0013987401	0.001403317	0.0013941736	0.0013987628	0.0013988056	0.0014080438	0.0014404271	0.0014034066	0.71734643	0.0014032428	0.0014033684	0.0014033511	0.001407961	0.0014080284	0.001398881	0.0013988031	0.0014171625	0.001407922	0.0013941736	0.001412754	0.001417304	0.0014170733	0.0013987779	0.001412693	0.0014078524	0.0013941736	0.0014311186	0.0014172607	0.0014034018	0.0014078689	0.0014025029	0.0014126557	0.0014498003	0.001417252	0.0013988323	0.0014080127	0.0014033505	0.0014080362	0.00139881	0.0013987734	0.001408175	0.0014034678	0.0013987065	0.001398749	0.0013983456	0.0014172889	0.001398749	0.001431127	0.0014127023	0.0014218672	0.0013987479	0.0014127158	0.0014033975	0.0014357086	0.0014080591	0.0014264303	0.001398759	0.0014034244
0.00036321484	0.00036324866	0.00036681027	0.23159425	0.00037034354	0.00036320777	0.000362043	0.00036203247	0.00036562397	0.00036440475	0.00036677587	0.00036802524	0.00037509066	0.0003632103	0.00036798313	0.00036682034	0.00036323362	0.00036438456	0.00036796217	0.00036083793	0.00036083793	0.00036434166	0.00036202962	0.00036561527	0.00036157557	0.00036320905	0.00036681019	0.00037045294	0.00036320806	0.00036321135	0.00036083793	0.00036560887	0.00036321455	0.00036443223	0.00036083793	0.00036201984	0.00036675198	0.00036440697	0.00036441177	0.00036083793	0.00036802157	0.00036202406	0.00036201984	0.00036320442	0.00036083793	0.00036202572	0.31482062	0.0003644278	0.0003728092	0.00036322762	0.26866722	0.00036318522	0.00036321772	0.00036321324	0.00036440638	0.00036442385	0.0003620563	0.00036203614	0.0003667879	0.00036439628	0.00036083793	0.00036564688	0.0003668245	0.0003667648	0.00036202962	0.00036563107	0.00036437827	0.00036083793	0.0003704	0.00036681333	0.00036322637	0.00036438255	0.0003629937	0.00036562144	0.00037523516	0.00036681106	0.0003620437	0.00036441977	0.00036321307	0.00036442585	0.0003620379	0.00036202846	0.00036446177	0.00036324345	0.0003620111	0.00036202214	0.00036191772	0.0003668206	0.14991324	0.00037040215	0.0003656335	0.00036800557	0.00036202185	0.00036563698	0.00036322526	0.00037158796	0.0003644318	0.00036918657	0.00036202473	0.00036323225
0.00037719138	0.00037722648	0.00038092514	0.00038218044	0.00038459437	0.000377184	0.00037597443	0.00037596351	0.0003796932	0.00037842707	0.00038088943	0.00038218687	0.00038952415	0.00037718666	0.00038214313	0.0003809356	0.00037721088	0.0003784061	0.0003821214	0.000374723	0.000374723	0.00037836155	0.00037596055	0.00037968418	0.00037548903	0.00037718535	0.00038092508	0.000384708	0.00037718433	0.00037718774	0.000374723	0.0003796775	0.00037719109	0.0003784556	0.000374723	0.0003759504	0.0003808646	0.00037842937	0.00037843434	0.000374723	0.00038218306	0.00037595475	0.0003759504	0.00037718055	0.000374723	0.00037595647	0.000375968	0.00037845102	0.00038715493	0.00037720462	0.00037967943	0.0003771606	0.00037719437	0.00037718972	0.00037842875	0.0003784469	0.00037598825	0.0003759673	0.0003809019	0.00037841828	0.000374723	0.000379717	0.00038093995	0.00038087793	0.00037596055	0.0003797006	0.00037839956	0.000374723	0.000384653	0.00038092834	0.9625117	0.00037840402	0.00037696172	0.00037969058	0.00038967424	0.00038092595	0.00037597516	0.00037844267	0.00037718954	0.00037844895	0.00037596913	0.00037595947	0.00037848626	0.00037722106	0.00037594134	0.00037595275	0.00037584433	0.0003809359	0.00037595275	0.00038465526	0.0003797031	0.00038216644	0.00037595248	0.0003797067	0.00037720217	0.0003858867	0.00037845512	0.00038339288	0.00037595545	0.00037720942
0.0008923085	0.00089239154	0.0009011413	0.00090411096	0.0009098215	0.0008922911	0.00088942965	0.00088940375	0.000898227	0.00089523173	0.00090105686	0.00090412615	0.00092148373	0.00089229736	0.0009040227	0.00090116606	0.0008923546	0.00089518214	0.0009039712	0.00088646915	0.00088646915	0.0008950767	0.00088939676	0.0008982056	0.0008882813	0.0008922942	0.00090114115	0.0009100903	0.00089229184	0.00089229987	0.00088646915	0.00089818984	0.0008923078	0.0008952992	0.00088646915	0.0008893727	0.55166596	0.00089523714	0.00089524896	0.00088646915	0.0009041171	0.0008893831	0.0008893727	0.0008922829	0.00088646915	0.00088938716	0.0008894144	0.00089528837	0.0009158789	0.00089233986	0.0008981944	0.0008922357	0.0008923156	0.0008923046	0.0008952357	0.0008952786	0.0008894623	0.13732153	0.0009010864	0.00089521095	0.00088646915	0.00089828327	0.00090117636	0.0009010296	0.00088939676	0.00089824444	0.0008951667	0.00088646915	0.0009099602	0.0009011489	0.0008923368	0.0008951772	0.00089176523	0.00089822075	0.00092183874	0.00090114324	0.00088943134	0.0008952686	0.0008923041	0.00089528353	0.0008894171	0.00088939385	0.0008953718	0.00089237874	0.0008893513	0.0008893783	0.00088912185	0.00090116676	0.0008893783	0.00090996554	0.0008982504	0.0009040778	0.00088937767	0.00089825894	0.0008923341	0.0009128787	0.0008952981	0.22413288	0.0008893847	0.0008923512
0.0024601314	0.0024603605	0.0024844839	0.0024926714	0.0025084154	0.0024600835	0.0024521942	0.002452123	0.002476449	0.0024681909	0.002484251	0.0024927133	0.0025405688	0.0024601007	0.002492428	0.002484552	0.0024602585	0.0024680542	0.002492286	0.002444032	0.002444032	0.0024677636	0.0024521037	0.00247639	0.0024490284	0.002460092	0.0024844834	0.0025091565	0.0024600856	0.0024601077	0.002444032	0.0024763464	0.0024601296	0.002468377	0.002444032	0.0024520375	0.002484089	0.0024682058	0.0024682384	0.002444032	0.0024926884	0.25346267	0.0024520375	0.0024600606	0.002444032	0.002452077	0.0024521523	0.002468347	0.002525116	0.0024602178	0.0024763593	0.0024599307	0.002460151	0.0024601205	0.0024682018	0.00246832	0.0024522843	0.002452148	0.0024843323	0.0024681336	0.002444032	0.0024766042	0.0024845805	0.002484176	0.0024521037	0.002476497	0.0024680116	0.002444032	0.002508798	0.0024845046	0.0024602094	0.0024680407	0.2863336	0.002476432	0.0025415476	0.0024844892	0.0024521989	0.0024682926	0.0024601193	0.0024683338	0.0024521598	0.0024520957	0.0024685771	0.0024603251	0.0024519784	0.002452053	0.0024513458	0.002484554	0.002452053	0.0025088126	0.0024765134	0.0024925799	0.002452051	0.0024765371	0.002460202	0.0025168443	0.0024683739	0.22064754	0.0024520704	0.0024602492
0.12647924	0.0012277	0.0012397374	0.0012438229	0.001251679	0.0012275617	0.0012236251	0.0012235896	0.001235728	0.0012316073	0.0012396212	0.0012438437	0.0012677233	0.0012275703	0.0012437014	0.0012397715	0.3769847	0.0012315391	0.0012436307	0.0012195524	0.0012195524	0.0012313941	0.0012235799	0.0012356986	0.0012220454	0.001227566	0.0012397371	0.0012520489	0.0012275628	0.001227574	0.0012195524	0.0012356769	0.0012275848	0.0012317002	0.0012195524	0.0012235469	0.0012395404	0.0012316148	0.001231631	0.0012195524	0.0012438314	0.12647533	0.0012235469	0.0012275504	0.0012195524	0.0012235667	0.0012236042	0.0012316853	0.0012600126	0.0012276289	0.0012356832	0.0012274856	0.0012275955	0.0012275804	0.0012316129	0.0012316719	0.0012236701	0.001223602	0.0012396618	0.0012315788	0.0012195524	0.0012358055	0.0012397856	0.0012395838	0.0012235799	0.001235752	0.0012315179	0.0012195524	0.00125187	0.0012397479	0.0012276246	0.25173628	0.0012268383	0.0012357195	0.0012682118	0.00123974	0.0012236275	0.001231658	0.0012275798	0.0012316786	0.0012236079	0.0012235759	0.0012318001	0.0012276823	0.0012235173	0.0012235546	0.0012232017	0.0012397724	0.0012235546	0.0012518773	0.0012357602	0.0012437772	0.0012235537	0.001235772	0.0012276209	0.001255885	0.0012316987	0.0012477688	0.0012235633	0.0012276445
0.0019665167	0.0019666997	0.001985983	0.0019925276	0.0020051128	0.0019664783	0.001960172	0.001960115	0.0019795601	0.0019729591	0.001985797	0.0019925612	0.0020308145	0.0019664923	0.001992333	0.0019860375	0.0019666182	0.0019728497	0.0019922196	0.0019536477	0.0019536477	0.0019726176	0.0019600997	0.001979513	0.0019576414	0.0019664853	0.0019859825	0.0020057051	0.00196648	0.0019664979	0.0019536477	0.0019794784	0.001966515	0.001973108	0.0019536477	0.0019600468	0.0019856673	0.001972971	0.001972997	0.0019536477	0.0019925414	0.40325302	0.0019600468	0.0019664601	0.0019536477	0.0019600785	0.0019601386	0.001973084	0.0020184626	0.0019665859	0.0019794884	0.0019663563	0.0019665323	0.001966508	0.0019729678	0.0019730625	0.001960244	0.0019601348	0.001985862	0.0019729133	0.0019536477	0.0019796842	0.00198606	0.001985737	0.40325266	0.0019795985	0.0019728157	0.0019536477	0.0020054185	0.0019859995	0.0019665791	0.001972839	0.0019653193	0.0019795466	0.002031597	0.0019859872	0.0019601758	0.0019730404	0.0019665072	0.0019730732	0.0019601444	0.0019600934	0.0019732679	0.0019666716	0.0019599996	0.0019600592	0.0019594938	0.001986039	0.0019600592	0.0020054302	0.0019796118	0.0019924545	0.0019600575	0.0019796307	0.001966573	0.0020118505	0.0019731054	0.0019988487	0.0019600731	0.0019666108
0.0012275873	0.0012277017	0.0012397391	0.0012438246	0.0012516808	0.0012275635	0.0012236269	0.0012235913	0.14203057	0.001231609	0.001239623	0.0012438454	0.001267725	0.0012275721	0.0012437032	0.0012397732	0.0012276508	0.0012315408	0.0012436323	0.001219554	0.001219554	0.0012313958	0.0012235816	0.0012357003	0.001222047	0.0012275678	0.0012397389	0.0012520505	0.0012275645	0.0012275756	0.001219554	0.0012356787	0.0012275864	0.0012317019	0.001219554	0.0012235485	0.0012395422	0.0012316165	0.0012316327	0.001219554	0.0012438331	0.0012235628	0.0012235485	0.0012275522	0.001219554	0.0012235685	0.0012236058	0.0012316869	0.0012600144	0.0012276305	0.001235685	0.0012274873	0.0012275971	0.001227582	0.0012316145	0.0012316735	0.0012236717	0.60006696	0.0012396636	0.0012315804	0.001219554	0.0012358072	0.0012397873	0.0012395855	0.0012235816	0.0012357538	0.0012315195	0.001219554	0.0012518716	0.0012397495	0.0012276263	0.001231534	0.00122684	0.0012357212	0.0012682135	0.0012397418	0.0012236292	0.0012316598	0.1383544	0.0012316803	0.0012236095	0.0012235777	0.0012318017	0.0012276841	0.0012235191	0.0012235562	0.0012232034	0.0012397742	0.0012235562	0.0012518789	0.0012357619	0.001243779	0.0012235553	0.0012357737	0.0012276226	0.0012558867	0.0012317004	0.0012477705	0.0012235651	0.0012276461
0.0032846017	0.0032849077	0.0033171156	0.0033280468	0.0033490674	0.0032845377	0.0032740047	0.0032739094	0.0033063877	0.0032953622	0.0033168048	0.0033281026	0.0033919963	0.0032845607	0.003327722	0.0033172066	0.0032847715	0.0032951797	0.0033275324	0.003263107	0.003263107	0.0032947918	0.0032738836	0.0033063092	0.0032697776	0.0032845493	0.003317115	0.0033500567	0.0032845405	0.00328457	0.003263107	0.003306251	0.67355025	0.0032956107	0.003263107	0.0032737951	0.0033165885	0.0032953823	0.0032954256	0.003263107	0.0033280696	0.0032738333	0.0032737951	0.0032845074	0.003263107	0.0032738482	0.0032739486	0.0032955708	0.003371365	0.0032847172	0.003306268	0.003284334	0.0032846278	0.0032845873	0.003295377	0.0032955348	0.0032741248	0.0032739425	0.0033169133	0.0032952859	0.003263107	0.0033065951	0.0033172446	0.0033167044	0.0032738836	0.0033064522	0.0032951229	0.003263107	0.003349578	0.0033171433	0.003284706	0.0032951615	0.003282602	0.003306365	0.0033933031	0.0033171228	0.003274011	0.003295498	0.0032845857	0.003295553	0.0032739586	0.003273873	0.003295878	0.0032848604	0.0032737162	0.0032738158	0.0032728717	0.0033172092	0.0032738158	0.0033495976	0.0033064738	0.0033279248	0.0032738133	0.0033065055	0.003284696	0.003360321	0.0032956067	0.003338605	0.0032738391	0.003284759
0.0009816696	0.000981761	0.0009913871	0.0009946541	0.0010009365	0.0009816505	0.0009785024	0.000978474	0.0009881809	0.0009848856	0.0009912942	0.0009946708	0.0010137666	0.0009816574	0.000994557	0.0009914143	0.0009817204	0.000984831	0.0009945004	0.00097524555	0.00097524555	0.0009847151	0.0009784664	0.0009881573	0.0009772392	0.9024339	0.0009913868	0.0010012322	0.0009816514	0.0009816602	0.00097524555	0.00098814	0.0009816688	0.0009849599	0.00097524555	0.0009784399	0.0009912295	0.0009848917	0.0009849046	0.00097524555	0.0009946609	0.0009784513	0.0009784399	0.0009816415	0.00097524555	0.0009784558	0.0009784857	0.0009849479	0.0010076006	0.0009817041	0.000988145	0.0009815895	0.0009816774	0.0009816653	0.00098489	0.0009849372	0.0009785384	0.0009784839	0.0009913266	0.0009848628	0.00097524555	0.0009882428	0.0009914256	0.0009912642	0.0009784664	0.0009882001	0.0009848141	0.00097524555	0.0010010891	0.0009913953	0.0009817008	0.0009848257	0.000981072	0.000988174	0.0010141572	0.0009913892	0.0009785043	0.0009849262	0.0009816649	0.0009849427	0.0009784887	0.0009784631	0.0009850397	0.0009817469	0.0009784163	0.0009784461	0.0009781639	0.000991415	0.0009784461	0.0010010949	0.0009882066	0.0009946176	0.0009784453	0.000988216	0.0009816978	0.0010042998	0.0009849587	0.0009978096	0.0009784531	0.0009817167
