topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.012202044	0.012116629	0.0128459195	0.8907516	0.01212179	0.011116275	0.012924058	0.012001945	0.012394205	0.01152548
0.6225946	0.0030852947	0.0032710528	0.35269406	0.0030866272	0.0028306104	0.0032909338	0.0030561087	0.003155953	0.002934764
0.22100674	0.0032047764	0.0033976384	0.0033298458	0.0032061148	0.0029401656	0.0034183206	0.0031744489	0.0032781442	0.75304383
0.007696255	0.0076426184	0.008102922	0.48675072	0.45198706	0.007011529	0.008151646	0.007570242	0.00781731	0.0072696754
0.021753957	0.021602497	0.8056874	0.022444706	0.02161174	0.019818557	0.023040056	0.021397566	0.022095926	0.020547507
0.13591789	0.01056993	0.01120671	0.010982121	0.010574102	0.009697038	0.011274309	0.7789123	0.010811488	0.010054103
0.017252369	0.017131517	0.45465258	0.017800314	0.017138941	0.015717102	0.0182724	0.016969524	0.01752349	0.40754175
0.010644003	0.01057013	0.011206055	0.010982399	0.37826213	0.009697067	0.31156895	0.0104698185	0.010812488	0.23578696
0.029432917	0.029227795	0.0309866	0.030367775	0.029239988	0.73292077	0.031174019	0.028951576	0.029896462	0.027802113
0.008478978	0.00841961	0.008926479	0.008748208	0.008423168	0.9230618	0.00898046	0.008340118	0.008612359	0.008008845
0.014293549	0.014194001	0.015048216	0.014747673	0.01419992	0.013022176	0.015139089	0.014059787	0.014518662	0.8707769
0.0020930003	0.0020784182	0.002203491	0.002159415	0.0020792286	0.0019067682	0.52577466	0.14128876	0.002125906	0.31829032
0.0122017525	0.012116781	0.012845879	0.012589448	0.0121219605	0.88927937	0.012923281	0.012002188	0.012393782	0.011525562
0.054823186	0.0033338438	0.46598947	0.0034639498	0.0033352345	0.45561472	0.0035559484	0.0033023723	0.003410105	0.0031711971
0.017251914	0.8448706	0.018162122	0.017798841	0.01713832	0.015716849	0.018273363	0.016969284	0.017523035	0.01629565
0.029432923	0.029227773	0.030986376	0.7364737	0.02923986	0.026814673	0.031175544	0.028951256	0.029896166	0.027801713
0.021752847	0.021601258	0.8056932	0.0224439	0.021610392	0.019818107	0.02303946	0.021397615	0.022095552	0.020547608
0.0025391923	0.0025214837	0.0026733356	0.9772653	0.0025225705	0.0023133215	0.0026894154	0.0024976428	0.0025791973	0.0023984807
0.0015779554	0.001566977	0.0016613163	0.001628052	0.0015676278	0.0014375797	0.0016713864	0.001552125	0.98584646	0.001490509
0.021753674	0.021601904	0.02290346	0.022444803	0.02161227	0.019818375	0.023040846	0.021397369	0.804879	0.020548271
0.0036512937	0.0036258367	0.2446367	0.0037672531	0.0036273934	0.0033264717	0.0038672897	0.2295037	0.5005451	0.0034489746
0.002393401	0.0023767052	0.0025197468	0.0024693797	0.0023776682	0.0021804562	0.9786367	0.0023542114	0.0024310432	0.002260725
0.010644314	0.010570226	0.011206292	0.010981661	0.12527001	0.009697122	0.01127443	0.78949	0.010811792	0.010054208
0.021753179	0.021602195	0.022904662	0.40276298	0.021610629	0.019818164	0.023040442	0.021397378	0.42456242	0.02054796
0.0017429404	0.0017307665	0.0018349019	0.0017982301	0.0017314712	0.001587859	0.9844428	0.0017143993	0.001770338	0.001646324
0.003651348	0.0036258558	0.0038441794	0.0037674366	0.0036273366	0.003326474	0.694385	0.2766147	0.0037087838	0.003448918
0.0013704563	0.109170035	0.001442814	0.0014139868	0.0013614482	0.0012485242	0.6461203	0.23518592	0.0013920104	0.0012944954
0.6440721	0.005581406	0.005917309	0.31122458	0.005583727	0.0051206513	0.0059532775	0.005528667	0.005709145	0.0053091585
0.0019019559	0.0018887697	0.0020024567	0.001962461	0.34114692	0.0017327797	0.20832287	0.43731335	0.0019319028	0.0017965798
0.01220182	0.012116591	0.012845811	0.012589406	0.012121716	0.011116185	0.57133776	0.33175153	0.0123937335	0.01152543
0.029433325	0.02922783	0.03098896	0.73646957	0.029240012	0.026815142	0.031174466	0.028952012	0.029896405	0.027802292
0.004675416	0.004642602	0.0049218405	0.0048235534	0.0046445066	0.9575774	0.0049515194	0.0045985547	0.0047485973	0.004416048
0.0052656354	0.0052292147	0.0055435286	0.0054327864	0.0052310373	0.0047971583	0.9529988	0.005179525	0.0053484617	0.0049738283
