topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.010323731	0.010279055	0.010209612	0.8858354	0.010664208	0.009561842	0.0107322745	0.010304793	0.010941215	0.010297153	0.010271625	0.010579042
0.5150498	0.0026238826	0.0026061605	0.45844322	0.0027222063	0.0024408062	0.0027395787	0.0026304543	0.0027929132	0.0026285024	0.0026219846	0.0027004695
0.1904719	0.002725382	0.0027069633	0.0028069955	0.0028275044	0.0025352165	0.0028455558	0.0027322136	0.0029009436	0.78191894	0.0027234082	0.0028049233
0.006519589	0.0064913905	0.006447551	0.006685763	0.9279521	0.0060384492	0.0067776134	0.006507664	0.006909512	0.0065028127	0.0064866724	0.0066808527
0.7965267	0.018278176	0.018154591	0.018825233	0.018963324	0.017002655	0.019083839	0.01832381	0.019455342	0.01831016	0.018264744	0.018811507
0.22643532	0.008970532	0.008909934	0.009239104	0.009306628	0.008344609	0.009366094	0.68269676	0.009548341	0.008986316	0.008964017	0.009232349
0.0145764835	0.01451339	0.014415432	0.8388067	0.015057254	0.013500728	0.015153256	0.014549761	0.015448239	0.01453894	0.014502884	0.014936968
0.00900952	0.008970576	0.008909943	0.009239122	0.29007262	0.008344624	0.3890253	0.008992995	0.24025251	0.008986368	0.008964058	0.0092323655
0.024786793	0.024679594	0.024512818	0.025418587	0.02560429	0.022957632	0.025767708	0.7252185	0.026269302	0.024723116	0.024661753	0.02539989
0.0071811266	0.0071500274	0.007101734	0.007364129	0.022429418	0.0066511477	0.007465264	0.90538037	0.007610623	0.0071626147	0.007144842	0.00735876
0.01208687	0.01203459	0.011953288	0.012394928	0.0124855265	0.011194911	0.012565217	0.012064763	0.012809792	0.86599845	0.012025862	0.012385823
0.0017757086	0.0017680275	0.0017560783	0.001820957	0.0018342719	0.001644662	0.0018459752	0.0017724547	0.0018819097	0.12733889	0.0017667427	0.8547943
0.010323784	0.01027908	0.010209634	0.010586848	0.2045303	0.03804629	0.0107322205	0.6632028	0.010941195	0.010297143	0.010271598	0.010579111
0.96844006	0.0028350293	0.0028158843	0.002919923	0.0029412683	0.002637221	0.0029600267	0.0028421585	0.0030176488	0.002840032	0.0028329748	0.0029177903
0.014576387	0.83837336	0.014415227	0.014947743	0.015057049	0.013500625	0.015153256	0.014549613	0.015448107	0.01453885	0.014502778	0.014937009
0.024786765	0.02467953	0.024512798	0.7258965	0.025604237	0.022957558	0.025767652	0.024741352	0.026269171	0.024722947	0.024661617	0.025399916
0.018357446	0.018277999	0.018154748	0.018825235	0.018963028	0.017002698	0.019083848	0.7964931	0.019455398	0.018310228	0.018264735	0.01881153
0.0021540455	0.0021447237	0.0021302353	0.9761795	0.0022251015	0.0019950797	0.0022392904	0.002150099	0.0022828863	0.0021485116	0.0021431714	0.0022073241
0.001338961	0.0013331714	0.001324163	0.0013730808	0.001383127	0.0012401494	0.0013919527	0.0013365065	0.9852391	0.0013355154	0.0013322022	0.0013720833
0.018357562	0.018278092	0.01815458	0.018825399	0.018963147	0.01700276	0.019083923	0.018323898	0.7976239	0.018310329	0.018264884	0.018811576
0.003096512	0.003083115	0.18753907	0.003175424	0.0031986525	0.0028679925	0.0032190378	0.0030908491	0.0032817407	0.7811936	0.003080874	0.003173102
0.0020304322	0.0020216478	0.0020079876	0.002082173	0.002097394	0.0018805875	0.9775751	0.0020267102	0.0021518648	0.0020252026	0.002020181	0.002080664
0.009009516	0.008970601	0.008909928	0.009239069	0.009306651	0.008344606	0.009366025	0.37283716	0.00954836	0.008986354	0.53624934	0.009232394
0.018357756	0.01827831	0.01815493	0.018825725	0.01896307	0.017002849	0.019084351	0.01832406	0.79762167	0.018310454	0.018265108	0.018811708
0.0014788623	0.001472462	0.0014625126	0.0015165427	0.0015276326	0.0013697211	0.36422545	0.0014761473	0.0015673059	0.0014750531	0.0014713947	0.6209569
0.0030965107	0.0030831082	0.0030622834	0.0031754319	0.0031986325	0.002867988	0.0032190455	0.003090831	0.0032817065	0.0030885336	0.0030808758	0.9657551
