topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.0091213435	0.009159684	0.009306396	0.009246011	0.009261717	0.008691435	0.00928174	0.00902528	0.009555166	0.009043877	0.008864856	0.009192734	0.009801995	0.8804478
0.002335225	0.0023450397	0.002382601	0.23756684	0.0023711629	0.0022251601	0.19580686	0.0023106297	0.0024462892	0.0023153895	0.0022695581	0.0023535024	0.0025094838	0.54076225
0.0024254562	0.002435651	0.0024746612	0.0024586061	0.0024627824	0.0023111373	0.0024681068	0.0023999112	0.0025408126	0.8867966	0.0023572522	0.00244444	0.0026064499	0.08381812
0.005768663	0.005792914	0.005885709	0.005847503	0.9247768	0.0054967706	0.005870103	0.005707911	0.00604302	0.0057196678	0.0056064497	0.005813815	0.0061991266	0.005471497
0.016169697	0.016237676	0.016497765	0.01639068	0.2834572	0.015407577	0.016454017	0.0159994	0.016938727	0.016032362	0.015715007	0.016296256	0.017376296	0.5210273
0.007964177	0.0079976525	0.008125752	0.008073016	0.008086738	0.0075888005	0.008104225	0.42910245	0.008342953	0.0078965295	0.007740221	0.008026509	0.008558465	0.47439253
0.012857893	0.012911941	0.013118796	0.013033618	0.013055773	0.012251867	0.013083978	0.012722476	0.013469412	0.012748688	0.012496333	0.012958526	0.013817361	0.83147335
0.007964187	0.007997671	0.008125767	0.00807304	0.29294223	0.007588816	0.32080185	0.0078803105	0.2988504	0.007896549	0.00774024	0.008026526	0.008558498	0.007553922
0.021779574	0.021871127	0.022221433	0.022077238	0.022114752	0.7146334	0.022162551	0.021550272	0.022815412	0.021594604	0.021167146	0.02195005	0.023404777	0.020657625
0.9170678	0.0063790563	0.0064812307	0.0064391727	0.0064501218	0.006052953	0.006464054	0.006285456	0.006654477	0.0062984	0.0061737285	0.0064020786	0.0068263724	0.0060251267
0.010671969	0.010716833	0.010888486	0.010817836	0.01083621	0.010168976	0.01085963	0.010559581	0.011179536	0.860583	0.01037188	0.010755503	0.011468319	0.010122219
0.0015740369	0.0015806535	0.00160597	0.0015955479	0.0015982602	0.0014998481	0.0016017144	0.0015574591	0.0016488981	0.070723206	0.0015297747	0.9103002	0.0016914927	0.0014929515
0.009121342	0.009159685	0.009306396	0.009246	0.1668694	0.18874183	0.009281726	0.009025279	0.009555153	0.009043868	0.00886485	0.009192735	0.009801988	0.54278976
0.002522931	0.002533535	0.002574117	0.0025574113	0.0025617585	0.002404018	0.002567294	0.0024963624	0.0026429216	0.2421908	0.0024519856	0.002542679	0.0027111939	0.727243
0.012857783	0.8321912	0.01311863	0.013033489	0.013055647	0.012251753	0.013083878	0.012722357	0.013469289	0.012748571	0.012496221	0.012958484	0.0138172265	0.012195419
0.021779569	0.021871118	0.022221424	0.7159578	0.022114746	0.020753043	0.022162544	0.021550192	0.022815404	0.02159458	0.021167133	0.021950051	0.02340476	0.020657618
0.01616973	0.016237695	0.016497798	0.016390713	0.01641859	0.015407617	0.016454054	0.78872824	0.016938766	0.016032396	0.015715037	0.016296294	0.017376319	0.015336771
0.0019091207	0.0019171454	0.0019478528	0.9751019	0.001938502	0.0018191388	0.0019426906	0.0018890145	0.0019999205	0.0018929059	0.0018554365	0.0019240634	0.0020515816	0.0018107753
0.001187092	0.0011920823	0.0012111762	0.0012033152	0.001205361	0.0011311414	0.0012079665	0.0011745897	0.9845586	0.0011770094	0.0011537112	0.0011963837	0.0012756756	0.0011259402
0.016169747	0.016237715	0.01649779	0.016390732	0.78914714	0.0154076265	0.016454067	0.015999451	0.016938826	0.016032409	0.015715064	0.016296308	0.01737638	0.015336781
0.0027434449	0.0027549763	0.0027991084	0.0027809378	0.0027856666	0.002614139	0.0027916841	0.709023	0.25800535	0.0027201439	0.002666299	0.0027649184	0.002948168	0.0026021192
0.0017996564	0.0018072212	0.0018361675	0.0018242513	0.0018273515	0.0017148334	0.97653645	0.0017807026	0.0018852475	0.0017843704	0.0017490501	0.0018137443	0.0019339467	0.0017069485
0.007964204	0.31001994	0.008125777	0.00807304	0.008086772	0.0075888257	0.008104243	0.3494628	0.008342987	0.007896556	0.25219586	0.008026543	0.008558507	0.0075539304
0.016169991	0.01623796	0.016498132	0.016391004	0.016418817	0.015407847	0.016454311	0.015999679	0.789664	0.01603282	0.015715282	0.016296528	0.017376628	0.0153370155
0.0013110514	0.001316562	0.0013376488	0.0013289677	0.0013312275	0.0012492574	0.65745014	0.0012972428	0.0013734044	0.0012999153	0.0012741844	0.32677802	0.0014088819	0.0012435133
0.0027434386	0.0027549707	0.0027990981	0.002780935	0.0027856596	0.0026141333	0.002791682	0.0027145455	0.002873919	0.002720137	0.0026662939	0.9642049	0.0029481582	0.002602114
0.0010311059	0.001035441	0.0010520247	0.0010451977	0.0010469742	0.000982507	0.0010492376	0.0010202465	0.0010801455	0.0010223481	0.0010021114	0.98654664	0.0011080481	0.0009779895
0.67475456	0.004235902	0.0043037473	0.27445158	0.0042830883	0.0040193587	0.0042923447	0.0041737477	0.00441879	0.004182346	0.004099557	0.004251188	0.004532936	0.004000878
0.001430558	0.16460077	0.0014595819	0.0014501101	0.0014525742	0.0013631325	0.0014557135	0.001415492	0.0014985962	0.0014184081	0.8181191	0.0014417566	0.0015373073	0.0013568646
0.009121333	0.009159672	0.009306382	0.009245994	0.009261711	0.008691419	0.5787425	0.311361	0.009555143	0.009043857	0.0088648405	0.0091927275	0.009801974	0.008651454
0.02177961	0.02187115	0.022221494	0.7159572	0.022114808	0.020753084	0.022162579	0.02155025	0.022815445	0.02159463	0.021167168	0.021950096	0.023404809	0.020657653
0.00351051	0.0035252695	0.0035817283	0.0035584848	0.0035645356	0.9540037	0.0035722358	0.0034735368	0.0036774671	0.0034806945	0.0034117934	0.0035379855	0.003772463	0.003329668
0.0039525745	0.003969193	0.0040327623	0.0040065926	0.004013402	0.0037662783	0.0040220823	0.0039109467	0.004140558	0.003919002	0.0038414286	0.9484287	0.0042475215	0.0037489608
0.0011870912	0.9845071	0.0012111749	0.0012033146	0.0012053607	0.0011311411	0.0012079653	0.0011745893	0.0012435515	0.0011770094	0.0011537108	0.0011963828	0.0012756778	0.0011259398
0.03335001	0.033490222	0.034026615	0.033805776	0.033863254	0.031778153	0.033936433	0.0329988	0.03493614	0.5643207	0.03241222	0.033611044	0.03583859	0.031632032
0.01067198	0.010716827	0.010888477	0.8608196	0.0108362185	0.010168973	0.010859625	0.01055958	0.011179535	0.010581325	0.010371875	0.010755502	0.011468312	0.010122215
0.003952594	0.003969203	0.22276886	0.004006604	0.0040134164	0.0037662922	0.0040220884	0.0039109606	0.0041405745	0.7296279	0.0038414411	0.0039835246	0.004247537	0.0037489748
0.0063523753	0.0063790735	0.006481243	0.0064391834	0.9171653	0.0060529676	0.0064640674	0.0062854667	0.0066545033	0.006298421	0.0061737434	0.0064020883	0.0068264096	0.0060251383
0.033350132	0.033490315	0.56527877	0.03380602	0.033863448	0.031778257	0.033936564	0.03299894	0.034936268	0.033066865	0.032412335	0.03361121	0.035838723	0.031632137
0.0070676156	0.0070973192	0.0072110156	0.007164199	0.63930964	0.0067344955	0.0071918843	0.2755221	0.0074037462	0.0070075844	0.006868872	0.007122929	0.007595006	0.0067035286
0.004873046	0.0048935288	0.004971908	0.0049396455	0.2198655	0.0046433653	0.0049587307	0.0048217247	0.0051048067	0.0048316573	0.0047360146	0.004911186	0.0052366764	0.7212122
0.033350132	0.033490315	0.56527877	0.03380596	0.03386351	0.03177826	0.033936564	0.032998938	0.034936268	0.03306687	0.03241234	0.033611212	0.035838727	0.03163214
0.0010661291	0.0010706099	0.0010877576	0.0010806986	0.0010825368	0.001015879	0.0010848753	0.0010548999	0.829163	0.0010570734	0.0010361493	0.0010744728	0.0011456861	0.15798019
0.007067544	0.007097252	0.0072109327	0.90782726	0.0071763163	0.0067344364	0.007191822	0.00699312	0.0074036987	0.0070075197	0.0068688127	0.007122863	0.0075949384	0.006703469
0.012857787	0.0129118655	0.013118674	0.013033515	0.8323348	0.012251772	0.013083887	0.012722377	0.013469323	0.012748584	0.012496234	0.012958435	0.013817276	0.012195443
0.07114728	0.071446374	0.07259072	0.072119616	0.07224223	0.06779396	0.072398335	0.070397995	0.07453108	0.070543006	0.06914667	0.07170417	0.076456316	0.06748224
0.0021735134	0.0021826501	0.0022176092	0.0022032175	0.0022069626	0.0020710698	0.55283153	0.002150623	0.0022768863	0.002155052	0.002112395	0.42102125	0.0023357023	0.0020615472
0.0091213975	0.009159765	0.009306481	0.009246061	0.009261776	0.008691485	0.009281788	0.47617906	0.009555231	0.009043938	0.008864909	0.009192797	0.4144438	0.008651521
0.00796418	0.007997661	0.008125764	0.008073025	0.008086753	0.007588811	0.008104226	0.89594096	0.008342957	0.007896545	0.0077402345	0.00802652	0.008558469	0.0075539174
0.010671997	0.31285644	0.0108885225	0.010817855	0.010836248	0.010168999	0.010859654	0.5584213	0.011179562	0.010581359	0.010371905	0.010755542	0.0114683425	0.010122241
0.0027434384	0.0027549686	0.0027990968	0.62146676	0.0027856582	0.002614132	0.002791678	0.0027145431	0.0028739152	0.0027201353	0.0026662913	0.3455191	0.002948156	0.0026021122
0.0024254501	0.0024356479	0.002474658	0.968368	0.0024627792	0.0023111324	0.0024681	0.002399907	0.0025408054	0.0024048497	0.0023572473	0.0024444386	0.0026064392	0.0023005053
0.07114728	0.071446374	0.07259072	0.072119616	0.07224223	0.06779396	0.072398335	0.070397995	0.07453108	0.070543006	0.06914667	0.07170417	0.076456316	0.06748224
0.0016571356	0.16648813	0.0016907558	0.0016797839	0.0016826402	0.001579031	0.0016862749	0.1509487	0.0017359502	0.0016430615	0.5414289	0.0016701068	0.0017807941	0.12432868
0.0048730494	0.0048935325	0.0049719107	0.004939647	0.004948042	0.004643368	0.1342609	0.0048217266	0.005104809	0.8070371	0.004736019	0.0049111918	0.0052366764	0.0046220175
0.07114728	0.071446374	0.07259072	0.072119616	0.07224223	0.06779396	0.072398335	0.070397995	0.07453108	0.070543006	0.06914667	0.07170417	0.076456316	0.06748224
0.0042181914	0.0042359238	0.0043037757	0.004275843	0.004283112	0.0040193773	0.004292364	0.004173767	0.11248616	0.8368268	0.0040995786	0.004251208	0.0045329677	0.004000896
0.010671993	0.010716854	0.010888505	0.010817841	0.010836234	0.010168996	0.010859647	0.010559605	0.011179576	0.8605827	0.0103719	0.01075553	0.011468361	0.0101222405
