topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.007199552	0.0073211524	0.007464076	0.0074334503	0.007255672	0.006899939	0.007339243	0.007274066	0.0075772847	0.0073011317	0.007215185	0.0072347852	0.007884726	0.5324348	0.0073352195	0.35051546	0.0070380294	0.0072762338
0.0018478378	0.001879048	0.0019157307	0.32164794	0.0018622418	0.0017709392	0.001883691	0.0018669628	0.0019447865	0.0018739093	0.0018518502	0.001856881	0.0020236943	0.32113537	0.0018826585	0.0017879221	0.0018063815	0.32916218
0.0019191705	0.0019515853	0.001989684	0.0019815203	0.0019341304	0.0018393033	0.0019564077	0.0019390336	0.0020198617	0.9029567	0.0019233377	0.0019285626	0.0021018158	0.06593084	0.0019553353	0.0018569417	0.0018761138	0.0019396113
0.004558835	0.004635834	0.004726335	0.004706942	0.921539	0.0043691173	0.004647289	0.004606019	0.004798019	0.0046231565	0.004568734	0.0045811455	0.004992693	0.004527222	0.0046447422	0.004411016	0.004456558	0.0046073906
0.012729208	0.012944205	0.0131969005	0.013142752	0.29353997	0.012199476	0.012976189	0.012860954	0.013397058	0.012908806	0.012756848	0.012791503	0.01394063	0.012640937	0.012969077	0.012316465	0.012443627	0.5002454
0.00628876	0.006394977	0.0065198205	0.0064930683	0.006337781	0.0060270503	0.006410779	0.006353848	0.0066187056	0.0063774893	0.0063024154	0.0063195364	0.006887253	0.0062451507	0.8918351	0.006084848	0.0061476715	0.0063557406
0.010134499	0.010305671	0.010506859	0.010463747	0.010213497	0.009712747	0.010331136	0.01023939	0.010666215	0.010277488	0.010156505	0.010184096	0.011098986	0.8254282	0.010325474	0.00980589	0.009907131	0.010242441
0.006288796	0.0063950145	0.006519858	0.0064931056	0.006337818	0.0060270852	0.006410816	0.0063538845	0.27945682	0.0063775266	0.0063024517	0.006319573	0.0068872934	0.0062451866	0.6189964	0.0060848836	0.006147707	0.0063557774
0.017109826	0.01739881	0.01773847	0.017665686	0.017243197	0.016397793	0.017441802	0.70557046	0.018007508	0.01735123	0.017146977	0.01719356	0.018738143	0.016991178	0.017432243	0.016555043	0.016725965	0.01729206
0.005019025	0.0051037963	0.0052034324	0.005182082	0.005058148	0.004810156	0.0051164073	0.005070971	0.0052823527	0.005089839	0.005029923	0.005043587	0.005496679	0.00498422	0.005113603	0.004856284	0.91346705	0.0050724824
0.008418446	0.008560634	0.0087277545	0.008691944	0.008484068	0.008068109	0.008581787	0.008505576	0.008860128	0.8551653	0.008436726	0.008459645	0.0092196185	0.008360068	0.008577084	0.0081454795	0.008229578	0.00850811
