topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.00526763	0.005459136	0.00542902	0.00539075	0.0052724145	0.0053452146	0.005489997	0.0052933595	0.0055243545	0.005287852	0.005257204	0.0053075333	0.0057362504	0.87109774	0.0054905694	0.0052870037	0.0053889947	0.005372027	0.0054847444	0.005207159	0.0053934236	0.005315704	0.005151845	0.0053210226	0.0054290537
0.8323687	0.001404861	0.001397111	0.0013872625	0.0013568099	0.0013755444	0.0014128028	0.0013621999	0.0014216445	0.0013607827	0.0013528956	0.0013658473	0.001476174	0.0013714435	0.0014129501	0.0013605643	0.0013868108	0.13582604	0.0014114511	0.001340017	0.0013879505	0.00136795	0.0013257823	0.0013693188	0.0013971196
0.0014078583	0.0014590415	0.0014509925	0.0014407642	0.0014091372	0.0014285942	0.0014672895	0.0014147351	0.0014764721	0.0014132631	0.0014050719	0.0014185231	0.0015331047	0.0014243352	0.0014674425	0.0014130364	0.0014402951	0.0014357602	0.0014658858	0.0013916966	0.0014414788	0.0014207069	0.001376913	0.0014221285	0.96557546
0.0033399109	0.0034613344	0.0034422397	0.0034179746	0.5098535	0.0033891033	0.0034809015	0.0033562249	0.0035026858	0.0033527329	0.0033333006	0.0033652114	0.003637037	0.0033789997	0.0034812645	0.003352195	0.0034168619	0.0034061032	0.4118583	0.0033015697	0.0034196698	0.003370392	0.0032664982	0.0033737645	0.003442261
0.009288454	0.009626139	0.009573036	0.009505553	0.009296891	0.009425261	0.009680556	0.009333825	0.00974114	0.009324113	0.009270071	0.009358817	0.010114777	0.77270555	0.009681566	0.009322617	0.009502458	0.009472539	0.009671295	0.009181825	0.0095102675	0.009373223	0.00908429	0.009382603	0.009573095
0.0046033934	0.004770751	0.004744433	0.0047109886	0.0046075745	0.004671195	0.0047977204	0.3720491	0.0048277457	0.0046210657	0.0045942822	0.004638265	0.005012922	0.5199288	0.004798221	0.0046203244	0.0047094547	0.004694626	0.0047931303	0.004550548	0.004713325	0.0046454053	0.004502209	0.0046500536	0.004744462
0.007404535	0.007673729	0.0076313964	0.0075776014	0.0074112606	0.81882864	0.0077171093	0.007440703	0.0077654044	0.007432961	0.0073898803	0.007460626	0.00806326	0.007491194	0.007717914	0.007431769	0.0075751343	0.0075512826	0.007709726	0.0073195333	0.0075813597	0.0074721114	0.00724178	0.007479588	0.0076314434
0.0046034087	0.0047707674	0.0047444487	0.0047110044	0.28788394	0.004671211	0.0047977366	0.0046258946	0.1979757	0.0046210815	0.004594298	0.0046382807	0.0050129388	0.004657285	0.004798237	0.00462034	0.0047094706	0.004694642	0.0047931466	0.004550563	0.0047133407	0.004645421	0.004502224	0.41092014	0.004744478
0.012458291	0.012911215	0.01283999	0.012749478	0.0124696065	0.6951754	0.012984203	0.0125191435	0.013065461	0.012506118	0.012433633	0.012552665	0.013566609	0.012604096	0.012985557	0.012504112	0.012745327	0.012705197	0.012971781	0.012315273	0.012755802	0.012571989	0.012184451	0.012584569	0.012840069
0.0036762392	0.0038098898	0.0037888724	0.0037621637	0.0036795782	0.003730385	0.0038314273	0.0036941958	0.0038554054	0.0036903522	0.0036689632	0.0037040873	0.004003286	0.003719264	0.0038318268	0.00368976	0.25049272	0.6633382	0.0038277619	0.003634037	0.0037640298	0.0037097896	0.0035954337	0.0037135016	0.0037888957
0.0061558927	0.0063796923	0.006344498	0.0062997746	0.0061614844	0.0062465607	0.006415757	0.0061859614	0.006455908	0.006179525	0.006143709	0.006202525	0.006703535	0.0062279385	0.006416426	0.006178534	0.0062977234	0.006277894	0.84954304	0.006085225	0.006302899	0.0062120734	0.0060205837	0.0062182895	0.0063445373
0.0009142476	0.0009474853	0.00094225846	0.0009356163	0.00091507804	0.00092771323	0.00095284154	0.0009187133	0.0009588046	0.0009177574	0.00091243815	0.43547538	0.0009955812	0.0009249475	0.0009529409	0.0009176102	0.4296651	0.0009323667	0.00095192995	0.00090375234	0.00093608035	0.0009225913	0.00089415204	0.0009235145	0.11436113
0.0052676382	0.005459145	0.0054290295	0.005390759	0.19096185	0.25297865	0.005490006	0.0052933684	0.0055243634	0.005287861	0.005257213	0.0053075417	0.0057362597	0.005329288	0.0054905782	0.0052870126	0.005389004	0.4378174	0.0054847538	0.0052071675	0.0053934325	0.0053157127	0.0051518534	0.0053210314	0.0054290625
0.0014643327	0.001517569	0.0015091972	0.0014985586	0.0014656628	0.0014859004	0.001526148	0.0014714854	0.0015356989	0.0014699543	0.0014614345	0.0014754253	0.0015946032	0.114188194	0.0015263071	0.0014697185	0.0014980707	0.7587549	0.0015246879	0.09416462	0.0014993019	0.0014776967	0.0014321461	0.0014791753	0.0015092065
