topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0033874235	0.003555983	0.003471304	0.003423359	0.0034824596	0.0033876528	0.0033878828	0.0035186391	0.0035835665	0.0034350965	0.0034613665	0.0034349097	0.0036546062	0.0034224761	0.0034438435	0.0034121228	0.0033587844	0.003422842	0.0034124888	0.003351067	0.0034713342	0.147081	0.003362623	0.2777671	0.0034923933	0.0033750113	0.0033861264	0.003546917	0.0034119403	0.0034477934	0.0033516432	0.44776362	0.003482532	0.0035348898	0.0033993518	0.0034001018	0.003471678	0.0033754935	0.0034237783	0.0034468109
0.25044623	0.0009177707	0.0008959157	0.00088354154	0.00089879485	0.00087432604	0.0008743854	0.0009081325	0.00092488975	0.00088657084	0.0008933509	0.00088652264	0.0009432245	0.00088331365	0.00088882836	0.0008806416	0.0008668753	0.000883408	0.000880736	0.00086488354	0.0008959235	0.0008651597	0.00086786604	0.21732208	0.00090135867	0.0008710633	0.00087393203	0.00091543084	0.0008805944	0.0008898478	0.0008650322	0.00088645756	0.0008988136	0.0009123267	0.00087734545	0.000877539	0.00089601224	0.0008711878	0.0008836497	0.49936604
0.0009079476	0.00095312746	0.0009304305	0.0009175796	0.00093342055	0.00090800907	0.0009080707	0.00094311795	0.00096052076	0.0009207256	0.0009277669	0.0009206756	0.0009795618	0.0009173429	0.0009230701	0.0009145679	0.0009002713	0.0009174409	0.000914666	0.00089820276	0.0009304386	0.0008984896	0.0009013002	0.0009237409	0.00093608315	0.0009046207	0.0009075999	0.00095069746	0.96402717	0.00092412886	0.0008983572	0.000920608	0.00093344	0.0009474737	0.00091114483	0.0009113458	0.0009305307	0.0009047499	0.00091769197	0.0009238655
0.002150872	0.0022579003	0.0022041327	0.0021736897	0.002211216	0.0021510178	0.0021511638	0.0022341884	0.0022754145	0.0021811423	0.0021978228	0.0021810238	0.0023205217	0.002173129	0.0021866965	0.0021665553	0.0021326875	0.0021733614	0.0021667876	0.0021277873	0.0022041518	0.0021284667	0.002135125	0.0021882856	0.0022175235	0.002142991	0.0021500485	0.0022521438	0.0021664393	0.0021892046	0.002128153	0.0021808639	0.002211262	0.002244507	0.0021584462	0.0021589224	0.9148205	0.0021432969	0.0021739558	0.0021885806
0.0059552654	0.006251602	0.006102732	0.006018442	0.0061223437	0.0059556686	0.0059560733	0.0061859493	0.006300095	0.006039077	0.0060852612	0.0060387487	0.0064249863	0.0060168896	0.006054455	0.0059986883	0.005904916	0.0060175327	0.005999332	0.0058913487	0.006102785	0.76394767	0.005911665	0.0060588545	0.006139808	0.005933444	0.005952985	0.0062356633	0.0059983674	0.006061399	0.005892362	0.0060383053	0.0061224713	0.006214519	0.0059762364	0.0059775547	0.0061033894	0.0059342915	0.0060191792	0.0060596718
0.0029617369	0.0031091142	0.0030350764	0.0029931567	0.0030448302	0.0029619376	0.0029621387	0.003076463	0.0031332313	0.003003419	0.003026388	0.003003256	0.0031953435	0.0029923846	0.003011067	0.0029833326	0.0029366969	0.0029927045	0.0029836525	0.0029299492	0.003035103	0.44013318	0.0029400531	0.003013255	0.0030535155	0.0029508846	0.002960603	0.0031011875	0.002983173	0.0030145205	0.002930453	0.0030030354	0.0030448935	0.44556135	0.0029721665	0.0029728222	0.0030354036	0.002951306	0.0029935231	0.0030136614
0.00475402	0.004990582	0.0048717405	0.004804453	0.0048873965	0.004754342	0.004754665	0.004938172	0.0050292932	0.0048209256	0.004857794	0.004820664	0.0051289927	0.0048032138	0.004833202	0.0047886837	0.004713827	0.0048037274	0.0047891974	0.004702996	0.004871783	0.0047044978	0.004719214	0.004836714	0.004901338	0.0047366	0.0047521996	0.0049778586	0.0047884276	0.004838745	0.004703805	0.00482031	0.0048874984	0.004960979	0.004770761	0.0047718133	0.0048722653	0.81159484	0.0048050415	0.0048373663
0.002961748	0.003109126	0.0030350878	0.0029931678	0.0030448416	0.0029619485	0.0029621497	0.0030764744	0.003133243	0.00300343	0.003026399	0.0030032669	0.0031953554	0.39043564	0.003011078	0.0029833436	0.0029367076	0.0029927155	0.0029836635	0.0029299601	0.0030351141	0.002930896	0.002940064	0.0030132663	0.0030535269	0.0029508956	0.002960614	0.003101199	0.002983184	0.0030145317	0.002930464	0.0030030464	0.003044905	0.0030906831	0.0029721775	0.2958629	0.20237462	0.002951317	0.0029935343	0.0030136725
0.007968883	0.008365418	0.008166212	0.008053421	0.008192454	0.007969423	0.007969964	0.008277567	0.008430308	0.008081033	0.008142834	0.008080594	0.008597428	0.008051344	0.008101611	0.008026988	0.00790151	0.008052205	0.00802785	0.007883355	0.008166282	0.007885872	0.6841574	0.008107498	0.008215823	0.007939683	0.007965832	0.008344091	0.008026559	0.008110903	0.00788471	0.008080001	0.008192626	0.008315796	0.007996945	0.007998709	0.008167091	0.007940818	0.008054407	0.008108592
0.002366854	0.0024846299	0.002425463	0.002391963	0.0024332576	0.0023670145	0.0023671752	0.0024585368	0.002503903	0.002400164	0.0024185195	0.0024000336	0.0025535396	0.002391346	0.0024062758	0.0023841122	0.0023468435	0.0023916017	0.0023843679	0.0023414514	0.0024254841	0.002342199	0.0023495257	0.0024080246	0.0024401986	0.9061996	0.002365948	0.0024782952	0.0023839846	0.0024090358	0.002341854	0.0023998576	0.0024333084	0.0024698917	0.0023751887	0.0023757129	0.0024257244	0.0023585183	0.002392256	0.0024083492
