topic_0	topic_1	topic_2	topic_3
0.02501251	0.029251544	0.026176019	0.9195599
0.47215256	0.0073799295	0.0066083786	0.5138591
0.2543831	0.0077856514	0.006888411	0.73094285
0.22195259	0.018579034	0.7394705	0.019997928
0.04514749	0.05320995	0.84518886	0.056453705
0.30349082	0.025647826	0.64346117	0.027400194
0.035660803	0.041540984	0.03775427	0.8850439
0.021736842	0.9268475	0.023018628	0.02839702
0.061085865	0.072062224	0.064568445	0.8022834
0.9397064	0.020132776	0.018204222	0.021956634
0.029264174	0.034426123	0.030812247	0.9054975
0.4739631	0.516181	0.004484499	0.0053713666
0.57662284	0.02967544	0.026480041	0.36722168
0.5613168	0.007995261	0.0072230403	0.4234649
0.035451915	0.8834987	0.037169334	0.043879963
0.061574694	0.07203862	0.06441628	0.80197036
0.044675134	0.05222712	0.8470276	0.056070134
0.00512926	0.006030575	0.0054378174	0.9834023
0.0031871106	0.9894968	0.0033501042	0.003965999
0.8419958	0.0536716	0.04757706	0.05675554
0.00742121	0.008833614	0.9744382	0.009306931
0.9830959	0.005720648	0.0051079574	0.0060755466
0.02188017	0.5560669	0.39470884	0.027344137
0.044882663	0.053507306	0.047484484	0.85412556
0.9877673	0.004151564	0.0036975793	0.0043835803
0.0074149626	0.008737993	0.007830518	0.9760165
0.43700635	0.5565314	0.0029382994	0.0035238937
0.6881638	0.013336918	0.011975079	0.28652418
0.003849997	0.5218977	0.004075097	0.4701772
0.025065675	0.029330691	0.026552936	0.91905075
0.06114807	0.07148758	0.06564548	0.8017189
0.009473596	0.011134691	0.009981034	0.9694107
0.5581058	0.4172075	0.011235143	0.013451499
0.0031735473	0.9895567	0.003341338	0.0039283833
0.09713164	0.67703927	0.102116	0.123713076
0.029348074	0.034197163	0.030864246	0.90559053
0.64553213	0.012572283	0.3285296	0.013366027
0.93968207	0.020472648	0.018148707	0.02169661
0.09588784	0.11224611	0.6713003	0.12056579
0.0194826	0.022615066	0.93354356	0.02435878
0.5139307	0.01568339	0.0139977755	0.45638815
0.095887415	0.11224528	0.67138904	0.120478235
0.15263034	0.840735	0.0030074727	0.0036271529
0.019174773	0.022608036	0.020283263	0.9379339
0.035356622	0.71515137	0.20478675	0.044705234
0.22430155	0.26226068	0.23615827	0.27727953
0.8070748	0.17931612	0.0062259915	0.007383077
0.02487623	0.23737928	0.026519626	0.71122485
0.021709574	0.025628947	0.52340895	0.4292525
0.029178126	0.33689097	0.59693414	0.036996752
0.0074154483	0.00869156	0.15626703	0.82762593
0.0065258043	0.0076890937	0.0069380766	0.978847
0.22430155	0.26226068	0.23615827	0.27727953
0.004452943	0.010831242	0.0047067073	0.9800091
0.2129327	0.015691223	0.013941484	0.75743455
0.22430155	0.26226068	0.23615827	0.27727953
0.01143731	0.013540474	0.5293799	0.4456423
0.029215056	0.034994964	0.89902306	0.036766954
0.94029737	0.020178098	0.018139316	0.02138523
0.0030045807	0.99010074	0.0031627605	0.0037319204
0.0033811622	0.9887904	0.0036146576	0.0042137587
0.017269425	0.020170687	0.018258715	0.9443012
0.04509013	0.47711596	0.04713049	0.4306634
0.93967634	0.020116322	0.018171502	0.022035869
0.0054794233	0.006402328	0.0057762684	0.98234195
0.01938588	0.022474548	0.02027738	0.9378622
0.68958205	0.01351495	0.012162583	0.28474045
0.009459886	0.85602367	0.122652374	0.011864109
0.94479823	0.018771635	0.016727151	0.019702988
0.98741406	0.004266461	0.0037808279	0.004538606
0.82410634	0.011823005	0.151272	0.012798623
0.015643882	0.01869966	0.016645728	0.94901067
0.37198687	0.0255786	0.574652	0.02778253
0.029147416	0.0341825	0.030713312	0.9059568
0.5181554	0.005744968	0.11388345	0.3622162
0.010044512	0.01195067	0.9654962	0.012508611
0.024904758	0.029056728	0.026183534	0.919855
0.89779603	0.03410425	0.030828455	0.03727124
0.017257597	0.020174515	0.75805545	0.20451243
0.060986828	0.07147346	0.065732546	0.8018072
0.2628731	0.73224396	0.0022204418	0.0026625106
0.006311052	0.00736482	0.006623041	0.9797011
0.008117716	0.009726274	0.9717777	0.01037829
0.045078073	0.05256454	0.5929215	0.30943584
0.02934824	0.03444998	0.40379754	0.53240424
0.024906386	0.029240428	0.02626547	0.91958773
0.013148033	0.9563623	0.014020691	0.016468985
0.007768115	0.009051984	0.13540043	0.84777945
0.22430155	0.26226068	0.23615827	0.27727953
0.0100542875	0.011949666	0.010623173	0.96737295
0.06120792	0.07220984	0.7893149	0.077267356
0.5504754	0.009245392	0.008189504	0.43208966
0.97414476	0.008796741	0.007768983	0.009289481
0.035440955	0.04134715	0.037495438	0.8857165
0.017339738	0.21041743	0.018299606	0.75394326
0.010051274	0.011898336	0.010640082	0.9674103
0.7860514	0.071885295	0.06540594	0.076657385
0.8751723	0.041753165	0.03748267	0.045591913
0.43723273	0.55248076	0.0046811937	0.0056052934
0.0035282443	0.9882831	0.0037674936	0.004421137
0.4712489	0.005664662	0.0051054917	0.51798093
0.09595129	0.11427815	0.6706002	0.11917037
0.7835306	0.071823	0.06562114	0.079025306
0.0012698746	0.9958032	0.0013344083	0.0015925531
0.003766572	0.004421906	0.0039630397	0.9878485
0.010061979	0.011846033	0.010625681	0.96746624
0.014304276	0.8342758	0.015072026	0.13634787
0.0048259473	0.51052415	0.47861117	0.0060387477
0.0048503755	0.7248473	0.26425415	0.006048174
0.0077208634	0.009197328	0.6270429	0.35603893
0.0062992666	0.9789384	0.0066892365	0.008073132
0.019412167	0.02279204	0.9332565	0.024539301
0.015608514	0.59426117	0.3707527	0.019377664
0.44631326	0.33994296	0.17624283	0.03750091
0.0016202915	0.9946392	0.0017083903	0.002032092
0.77890855	0.003357025	0.21417157	0.003562798
0.011386028	0.013345496	0.96071416	0.014554261
0.013200299	0.015817896	0.014068173	0.95691365
0.021882271	0.025889585	0.92471147	0.027516728
0.6459921	0.08813844	0.0017079733	0.26416153
0.017280096	0.4702063	0.49035987	0.022153797
0.013271848	0.015522679	0.055545516	0.9156599
0.00812942	0.009620171	0.88157547	0.100674935
0.6039152	0.3845063	0.0052487054	0.006329784
0.01429733	0.95266134	0.015085637	0.01795573
0.97024107	0.010060614	0.008980808	0.010717556
