topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.01810234	0.020080999	0.018750835	0.9085424	0.018975893	0.015547582
0.517932	0.0050683087	0.0047321417	0.46355402	0.0047888975	0.0039246823
0.21606423	0.0052710143	0.0049169967	0.0052643735	0.004978916	0.7635045
0.011366966	0.012651082	0.4664862	0.012620488	0.011931305	0.484944
0.032588217	0.036215704	0.83289593	0.036135744	0.034182206	0.027982187
0.28611165	0.017512845	0.6488297	0.0174908	0.016511725	0.013543304
0.025708808	0.028538562	0.026729027	0.02857467	0.026947597	0.86350137
0.015762083	0.56871223	0.016342748	0.017531894	0.3681091	0.013541888
0.044361904	0.049230978	0.04598324	0.049248565	0.04649652	0.76467884
0.93532187	0.013895408	0.012983354	0.013904697	0.013129828	0.01076483
0.021242822	0.023596726	0.022015626	0.8926356	0.022252737	0.018256541
0.35304067	0.63449603	0.0031872913	0.0034134095	0.003221443	0.002641183
0.018101376	0.020112222	0.018762674	0.020087153	0.018994885	0.9039417
0.6691026	0.0054802797	0.0051208576	0.3108805	0.005173829	0.0042418777
0.02570483	0.8701724	0.026628153	0.028481992	0.026927687	0.022084951
0.044400416	0.049291056	0.045985237	0.7756843	0.046503983	0.038135026
0.03253437	0.036099456	0.8331685	0.036107138	0.03411258	0.027977994
0.0037295865	0.004140054	0.0038686171	0.9811449	0.003911149	0.0032056917
0.0023152034	0.0025737253	0.0023999072	0.0025668629	0.9881546	0.0019897018
0.032581896	0.03617864	0.033772726	0.036188655	0.8332923	0.027985768
0.005368583	0.0059625003	0.7621457	0.005955475	0.21595387	0.0046138642
0.981844	0.0039065727	0.003644485	0.003901108	0.0036834104	0.0030204367
0.015768394	0.42309725	0.39595267	0.017489297	0.13414644	0.013545944
0.032550268	0.03618918	0.33732337	0.036169782	0.52978826	0.027979162
0.9867921	0.0028426189	0.0026502856	0.00283696	0.0026801548	0.0021978992
0.005369494	0.0059652175	0.005567178	0.97285783	0.0056268857	0.00461343
0.27417228	0.717673	0.0020854524	0.0022342426	0.002107251	0.0017277745
