topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.0019849697	0.0020186624	0.0020189409	0.0020115618	0.00202532	0.0019918992	0.0019853332	0.001991839	0.0020258797	0.0020116365	0.001998777	0.0020116728	0.0020856692	0.0019718218	0.0020184184	0.0020118703	0.0019719645	0.001985316	0.0019719643	0.0019652355	0.001985298	0.0019910675	0.0019718797	0.0019918089	0.0019849862	0.0019786085	0.001978711	0.002032849	0.0019852202	0.0019853464	0.001976854	0.001978455	0.0019982331	0.0020048989	0.0019852181	0.0020181823	0.0020184794	0.0019851953	0.0019985528	0.0019652355	0.0020385857	0.001978302	0.0019838694	0.0019718797	0.0019718218	0.001998604	0.0019652355	0.002018765	0.0020652828	0.0020185807	0.86217326	0.0020004702	0.002005129	0.002011749	0.0019917795	0.001998616	0.0019853495	0.001991887	0.0019784933	0.001998509	0.0019785215	0.002024931	0.0020185085	0.0019915225	0.0019849413	0.0020001237	0.001998668	0.0019719282	0.0020191034	0.0019917542
0.061066724	0.00052201387	0.0005220859	0.12518631	0.0005237354	0.00051509304	0.0005133951	0.00051507744	0.0005238802	0.000520197	0.0005168716	0.0005202064	0.00053934136	0.00050990115	0.0005219508	0.00052025745	0.00050993805	0.16517141	0.000509938	0.000508198	0.00051338604	0.00051487796	0.0005099161	0.1454734	0.0005133054	0.00051165617	0.00051168265	0.0005256824	0.0005133659	0.00051339855	0.00051120244	0.00051161647	0.00051673094	0.00051845465	0.0005133654	0.0005218897	0.0005219665	0.15071166	0.00051681366	0.000508198	0.0005271659	0.0005115768	0.00051301654	0.0005099161	0.00050990115	0.00051682687	0.000508198	0.3193162	0.0005340696	0.00052199274	0.00053049205	0.0005173094	0.0005185142	0.0005202261	0.0005150621	0.0005168299	0.00051339937	0.0005150899	0.00051162636	0.0005168023	0.00051163364	0.00052363484	0.00052197406	0.0005149956	0.0005132938	0.0005172199	0.0005168434	0.0005099286	0.0005221279	0.0005150555
0.23982756	0.00054211076	0.00054218556	0.0005402039	0.0005438986	0.0005349235	0.00053316023	0.00053490733	0.00054404896	0.00054022396	0.00053677056	0.00054023374	0.00056010537	0.00052953174	0.0005420452	0.00054028677	0.00052957004	0.00053315563	0.00052957004	0.000527763	0.0005331508	0.0005347002	0.0005295473	0.0005348993	0.00053306704	0.00053135434	0.00053138187	0.0005459206	0.0005331299	0.0005331638	0.00053088315	0.00053131307	0.0005366245	0.0005384145	0.0005331293	0.00054198183	0.050720196	0.0005331232	0.0005367104	0.000527763	0.00054746115	0.000531272	0.0005327671	0.0005295473	0.00052953174	0.0005367241	0.000527763	0.00054213835	0.00055463065	0.0005420888	0.00055091537	0.0005372252	0.27771872	0.0005402542	0.0005348914	0.00053672725	0.0005331646	0.00053492025	0.00053132337	0.00053669856	0.00053133094	0.0005437942	0.00054206944	0.00053482235	0.000533055	0.0005371322	0.0005367413	0.0005295603	0.0005422292	0.3963178
0.0012615736	0.0012829875	0.0012831645	0.0012784746	0.0012872188	0.0012659777	0.0012618047	0.0012659394	0.0012875745	0.0012785221	0.001270349	0.0012785451	0.0013255745	0.0012532172	0.0012828324	0.0012786707	0.001253308	0.0012617938	0.0012533079	0.0012490313	0.0012617823	0.0012654491	0.18339007	0.0012659205	0.0012615841	0.0012575308	0.0012575958	0.0012920039	0.0012617329	0.0012618131	0.0012564156	0.0012574331	0.0012700034	0.0012742399	0.0012617316	0.0012826824	0.73024464	0.001261717	0.0012702066	0.0012490313	0.00129565	0.0012573358	0.0012608743	0.0012532541	0.0012532172	0.0012702391	0.0012490313	0.0012830527	0.0013126177	0.0012829356	0.001303825	0.0012714252	0.0012743861	0.0012785936	0.0012659017	0.0012702466	0.0012618151	0.0012659701	0.0012574575	0.0012701787	0.0012574753	0.0012869715	0.0012828896	0.0012657384	0.0012615556	0.001271205	0.0012702798	0.0012532849	0.0012832677	0.0012658855
0.0034827737	0.00354189	0.0035423785	0.0035294313	0.003553571	0.0034949316	0.0034834114	0.0034948261	0.0035545533	0.0035295626	0.0035069995	0.0035296262	0.003659458	0.25114375	0.003541462	0.0035299726	0.0034599549	0.0034833814	0.0034599546	0.0034481485	0.0034833497	0.0034934725	0.003459806	0.0034947735	0.0034828028	0.0034716125	0.0034717924	0.0035667813	0.0034832133	0.0034834347	0.003468534	0.003471343	0.0035060453	0.0035177406	0.0034832095	0.0035410477	0.2589403	0.0034831695	0.0035066064	0.0034481485	0.0035768468	0.25496182	0.0034808428	0.003459806	0.0034597046	0.003506696	0.0034481485	0.00354207	0.0036236886	0.0035417466	0.0035994148	0.0035099701	0.0035181444	0.0035297598	0.0034947218	0.0035067166	0.00348344	0.0034949107	0.0034714104	0.0035065294	0.0034714597	0.0035528885	0.00354162	0.0034942708	0.0034827236	0.0035093625	0.0035068083	0.0034598913	0.0035426638	0.0034946774
0.0017360921	0.0017655605	0.001765804	0.0017593501	0.0017713832	0.0017421527	0.0017364101	0.0017421001	0.0017718729	0.0017594155	0.0017481683	0.0017594473	0.0018241657	0.0017245926	0.001765347	0.0017596199	0.0017247176	0.0017363951	0.0017247174	0.0017188322	0.0017363793	0.0017414254	0.0017246434	0.0017420739	0.0017361066	0.0017305285	0.0017306182	0.0017779683	0.0017363114	0.0017364217	0.001728994	0.0017303943	0.0017476926	0.0017535224	0.0017363095	0.0017651406	0.0017654003	0.5032554	0.0017479723	0.0017188322	0.0017829858	0.0017302603	0.37787586	0.0017246434	0.0017245926	0.001748017	0.0017188322	0.0017656502	0.0018063355	0.001765489	0.0017942354	0.0017496491	0.0017537238	0.0017595137	0.0017420481	0.0017480273	0.0017364244	0.0017421423	0.0017304277	0.0017479339	0.0017304524	0.001771043	0.0017654259	0.0017418233	0.0017360672	0.0017493461	0.0017480729	0.0017246858	0.0017659462	0.001742026
0.0027828296	0.002830065	0.0028304555	0.0028201102	0.0028393983	0.0027925442	0.0027833392	0.0027924597	0.0028401832	0.0028202152	0.0028021866	0.002820266	0.002924005	0.0027643966	0.0028297228	0.0028205428	0.0027645968	0.002783315	0.0027645966	0.002755163	0.0027832896	0.0027913782	0.0027644779	0.0027924178	0.0027828526	0.0027739115	0.002774055	0.002849954	0.002783181	0.0027833576	0.0027714516	0.002773696	0.0028014241	0.002810769	0.002783178	0.002829392	0.0028298083	0.6536845	0.0028018726	0.002755163	0.0028579966	0.0027734814	0.0027812868	0.15576078	0.0027643966	0.0028019443	0.002755163	0.002830209	0.0028954244	0.0028299505	0.002876029	0.0028045604	0.0028110917	0.0028203726	0.0027923763	0.0028019606	0.002783362	0.0027925272	0.0027737499	0.0028018109	0.0027737895	0.0028388533	0.0028298493	0.0027920161	0.0027827895	0.0028040747	0.002802034	0.0027645458	0.0028306833	0.002792341
0.0017361003	0.0017655689	0.0017658124	0.0017593584	0.0017713916	0.001742161	0.0017364183	0.0017421083	0.0017718811	0.0017594238	0.0017481765	0.0017594555	0.0018241743	0.0017246008	0.0017653554	0.0017596283	0.0017247257	0.0017364032	0.0017247256	0.0017188403	0.0017363875	0.0017414336	0.0017246515	0.0017420822	0.0017361148	0.0017305367	0.0017306264	0.0017779768	0.0017363195	0.0017364299	0.0017290021	0.0017304025	0.0017477009	0.0017535307	0.0017363176	0.001765149	0.0017654086	0.0017362977	0.0017479806	0.0017188403	0.0017829941	0.0017302685	0.0017351379	0.0017246515	0.0017246008	0.0017480253	0.0017188403	0.0017656586	0.001806344	0.0017654974	0.0017942439	0.2644946	0.0017537321	0.0017595221	0.0017420563	0.0017480355	0.0017364325	0.0017421504	0.001730436	0.0017479422	0.6166448	0.0017710514	0.0017654342	0.0017418315	0.0017360755	0.0017493544	0.0017480812	0.0017246939	0.0017659545	0.0017420341
0.00465315	0.0047321324	0.0047327853	0.004715487	0.0047477386	0.004669394	0.0046540024	0.004669253	0.004749051	0.0047156624	0.004685517	0.0047157477	0.004889209	0.0046223286	0.00473156	0.0047162105	0.0046226634	0.004653962	0.004622663	0.004606889	0.00465392	0.0046674446	0.0046224645	0.0046691825	0.004653189	0.0046382383	0.0046384786	0.0047653886	0.6767524	0.004654033	0.004634125	0.0046378784	0.0046842424	0.0046998677	0.0046537328	0.004731007	0.004731703	0.004653679	0.0046849917	0.004606889	0.0047788364	0.0046375194	0.0046505705	0.0046224645	0.0046223286	0.004685112	0.004606889	0.004732373	0.0048414194	0.004731941	0.0048089884	0.004689486	0.0047004074	0.004715926	0.0046691136	0.0046851393	0.0046540406	0.004669366	0.0046379683	0.0046848888	0.0046380344	0.004746827	0.0047317715	0.004668511	0.0046530836	0.004688674	0.0046852618	0.004622578	0.004733166	0.004669054
0.0013880291	0.0014115893	0.0014117841	0.0014066241	0.0014162447	0.0013928745	0.0013882832	0.0013928324	0.0014166362	0.0014066764	0.001397684	0.0014067017	0.001458445	0.25567654	0.0014114187	0.0014068398	0.0013789348	0.0013882712	0.0013789347	0.0013742294	0.0013882586	0.001392293	0.0013788756	0.0013928115	0.0013880406	0.0013835808	0.0013836526	0.0014215095	0.0013882043	0.0013882925	0.001382354	0.0013834735	0.0013973038	0.0014019648	0.0013882028	0.0014112536	0.0014114613	0.0013881868	0.0013975274	0.0013742294	0.6493153	0.0013833664	0.0013872596	0.0013788756	0.0013788351	0.0013975631	0.0013742294	0.0014116612	0.0014441895	0.0014115322	0.0014345153	0.0013988679	0.0014021257	0.001406755	0.0013927909	0.0013975713	0.0013882946	0.0013928661	0.0013835003	0.0013974967	0.00138352	0.0014159727	0.0014114816	0.0013926112	0.0013880092	0.0013986258	0.0013976078	0.0013789095	0.0014118977	0.0013927731
