topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89
0.0015539625	0.001559163	0.0015745852	0.0015647064	0.0015797231	0.0015539129	0.0015538797	0.3494315	0.0015901359	0.0015590406	0.0015539136	0.001559124	0.0015744787	0.0015590175	0.0015845553	0.0015691525	0.001559102	0.0015641483	0.0015539099	0.0015436738	0.0015436738	0.0015590425	0.0015436738	0.0015539732	0.0015692567	0.0015539496	0.0015591246	0.001615942	0.0015591086	0.0015694187	0.0015488209	0.0015539029	0.0015641353	0.0015591567	0.0015590581	0.0015533171	0.0015641601	0.0015488119	0.0016001085	0.0015539617	0.0016002378	0.001553867	0.0015540292	0.0015487262	0.0015487884	0.0015436738	0.0015539217	0.0015590022	0.0015799679	0.0015694561	0.31919548	0.0015538267	0.0015641683	0.0015539794	0.0015692296	0.0015693859	0.0015692693	0.0015436738	0.0015591107	0.0015692399	0.0015436738	0.0015641499	0.0015540814	0.0015641862	0.0015488438	0.0015642714	0.0015588072	0.0015487806	0.001595133	0.0015640581	0.0015693135	0.0015743346	0.0015539522	0.0015847554	0.0015799624	0.0015540025	0.001568498	0.0015591283	0.0015487808	0.0015798775	0.0015642776	0.0015488013	0.0015540937	0.19543578	0.0015536804	0.0015538585	0.0015950527	0.0015540397	0.0015487961	0.001579721
0.00040210548	0.00040345115	0.00040744184	0.0004048856	0.00040877133	0.0004020926	0.00040208403	0.0004007622	0.00041146573	0.0004034195	0.0004020928	0.00040344105	0.00040741425	0.0004034135	0.0004100217	0.00040603604	0.00040343538	0.00040474118	0.00040209183	0.00039944315	0.00039944315	0.00040341998	0.00039944315	0.00040210824	0.000406063	0.00040210213	0.0004034412	0.00041814335	0.0004034371	0.00040610493	0.00040077502	0.00040209005	0.00040473777	0.00040344952	0.000403424	0.00040193845	0.0004047442	0.0004007727	0.00041404626	0.26448995	0.00041407972	0.00040208074	0.00040212274	0.00040075052	0.00040076658	0.00039944315	0.0004020949	0.00040340953	0.00040883466	0.0004061146	0.00040609526	0.00040207032	0.0004047463	0.0004021098	0.00040605603	0.00040609643	0.00040606628	0.00039944315	0.00040343762	0.00040605868	0.00039944315	0.00040474156	0.00040213627	0.2879348	0.00040078096	0.000404773	0.0004033591	0.0004007646	0.0004127588	0.00040471784	0.00040607768	0.00040737697	0.0004021028	0.00041007347	0.00040883324	0.0004021158	0.00040586668	0.00040344216	0.00040076466	0.00040881126	0.00040477462	0.00040076993	0.00040213938	0.41239995	0.00040203246	0.00040207856	0.000412738	0.0004021254	0.0004007686	0.00040877078
0.00041758255	0.00041898002	0.00042312432	0.00042046967	0.00042450498	0.00041756922	0.0004175603	0.00041618757	0.0004273031	0.00041894717	0.0004175694	0.00041896955	0.00042309568	0.0004189409	0.00042580348	0.00042166442	0.00041896364	0.0004203197	0.0004175684	0.00041481777	0.00041481777	0.00041894766	0.00041481777	0.00041758543	0.0004216924	0.00041757908	0.0004189697	0.00043423774	0.00041896544	0.00042173595	0.0004162009	0.00041756654	0.25167188	0.00041897834	0.00041895185	0.00041740912	0.00042032287	0.00041619848	0.00042998293	0.00041758234	0.0004300177	0.0004175569	0.00041760047	0.00041617546	0.00041619214	0.00041481777	0.0004175716	0.00041893683	0.00042457075	0.000421746	0.0004217259	0.00041754608	0.00042032506	0.00041758709	0.00042168517	0.00042172713	0.00042169582	0.00041481777	0.00041896597	0.00042168793	0.00041481777	0.0004203201	0.00041761453	0.0004203299	0.00041620707	0.00042035276	0.00041888442	0.00041619007	0.00042864593	0.0004202955	0.00042170766	0.00042305698	0.0004175798	0.00042585723	0.0004245693	0.0004175933	0.00042148854	0.0004189707	0.00041619013	0.7113828	0.00042035445	0.00041619563	0.0004176178	0.0004230978	0.00041750676	0.0004175546	0.00042862436	0.00041760327	0.00041619423	0.0004245044
0.0009879506	0.0009912569	0.0010010618	0.0009947813	0.0010043283	0.000987919	0.000987898	0.0009846502	0.0010109483	0.0009911791	0.0009879195	0.0009912321	0.001000994	0.0009911644	0.0010074003	0.0009976078	0.0009912181	0.0009944264	0.0009879172	0.0009814095	0.0009814095	0.0009911803	0.0009814095	0.0009879575	0.0009976741	0.0009879424	0.0009912325	0.0010273549	0.0009912223	0.0009977771	0.0009846818	0.0009879128	0.0009944182	0.000991253	0.0009911902	0.0009875402	0.0009944339	0.0009846762	0.0010172884	0.0009879501	0.0010173707	0.00098789	0.0009879931	0.0009846216	0.0009846612	0.0009814095	0.0009879248	0.0009911547	0.0010044839	0.0009978008	0.0009977533	0.0009878643	0.0009944391	0.0009879613	0.000997657	0.0009977563	0.0009976821	0.0009814095	0.0009912236	0.0009976635	0.0009814095	0.0009944274	0.0009880263	0.0009944505	0.0009846964	0.0009945047	0.0009910307	0.0009846562	0.0010141253	0.0009943692	0.0009977102	0.0010009025	0.91158074	0.0010075276	0.0010044804	0.0009879761	0.0009971918	0.0009912348	0.0009846564	0.0010044264	0.0009945086	0.0009846693	0.0009880341	0.001000999	0.0009877713	0.0009878845	0.0010140742	0.0009879997	0.000984666	0.001004327
0.0027247395	0.002733858	0.0027608997	0.002743578	0.0027699084	0.0027246524	0.0027245942	0.002715637	0.0027881663	0.0027336434	0.0027246536	0.0027337896	0.0027607128	0.002733603	0.002778381	0.0027513737	0.002733751	0.0027425995	0.002724647	0.002706699	0.002706699	0.0027336467	0.002706699	0.0027247581	0.0027515562	0.0027247167	0.0027337905	0.002833415	0.0027337628	0.0027518405	0.002715724	0.002724635	0.0027425764	0.002733847	0.0027336741	0.0027236077	0.00274262	0.75613326	0.0028056523	0.002724738	0.002805879	0.002724572	0.0027248564	0.002715558	0.002715667	0.002706699	0.0027246678	0.002733576	0.0027703377	0.002751906	0.002751775	0.0027245013	0.0027426344	0.0027247688	0.0027515092	0.002751783	0.0027515786	0.002706699	0.0027337663	0.0027515271	0.002706699	0.002742602	0.002724948	0.0027426658	0.0027157643	0.002742815	0.002733234	0.0027156535	0.0027969284	0.0027424414	0.0027516559	0.0027604601	0.0027247213	0.002778732	0.002770328	0.0027248096	0.0027502263	0.002733797	0.002715654	0.002770179	0.002742826	0.0027156896	0.0027249693	0.0027607265	0.0027242447	0.002724557	0.0027967875	0.0027248745	0.0027156805	0.0027699047
0.0013592745	0.0013638234	0.0013773135	0.0013686725	0.0013818077	0.0013592311	0.0013592021	0.0013547337	0.001390916	0.0013637164	0.0013592317	0.0013637893	0.0013772203	0.0013636961	0.0013860344	0.0013725613	0.0013637701	0.0013681842	0.0013592284	0.0013502749	0.0013502749	0.0013637181	0.0013502749	0.0013592838	0.0013726525	0.0013592632	0.0013637898	0.0014134889	0.0013637759	0.0013727943	0.001354777	0.0013592223	0.0013681728	0.001363818	0.0013637317	0.0013587099	0.0013681945	0.0013547692	0.0013996391	0.0013592738	0.0013997522	0.001359191	0.0013593328	0.0013546943	0.0013547486	0.0013502749	0.0013592389	0.0013636828	0.0013820218	0.001372827	0.8783617	0.0013591558	0.0013682016	0.0013592892	0.001372629	0.0013727655	0.0013726635	0.0013502749	0.0013637777	0.0013726379	0.0013502749	0.0013681855	0.0013593786	0.0013682174	0.0013547972	0.0013682918	0.0013635122	0.0013547419	0.001395287	0.0013681054	0.0013727022	0.0013770943	0.0013592655	0.0013862095	0.001382017	0.0013593095	0.0013719889	0.001363793	0.0013547421	0.0013819427	0.0013682973	0.0013547599	0.0013593892	0.0013772271	0.0013590277	0.0013591835	0.0013952167	0.001359342	0.0013547554	0.0013818059
0.0021778112	0.0021850995	0.0022067132	0.0021928684	0.0022139137	0.0021777418	0.0021776953	0.002170536	0.0022285066	0.0021849282	0.0021777428	0.0021850448	0.0022065637	0.0021848956	0.0022206858	0.0021990994	0.002185014	0.0021920863	0.0021777374	0.0021633923	0.0021633923	0.0021849307	0.0021633923	0.0021778264	0.0021992454	0.002177793	0.0021850457	0.002264673	0.0021850234	0.0021994724	0.0021706056	0.0021777276	0.002192068	0.0021850907	0.0021849526	0.0021769067	0.0021921028	0.002170593	0.0022424827	0.0021778103	0.002242664	0.0021776774	0.0021779048	0.0021704729	0.00217056	0.0021633923	0.0021777542	0.8050982	0.0022142567	0.0021995248	0.0021994202	0.002177621	0.0021921142	0.002177835	0.0021992077	0.0021994265	0.002199263	0.0021633923	0.0021850262	0.0021992219	0.0021633923	0.0021920884	0.0021779782	0.0021921394	0.0021706377	0.0021922586	0.0021846008	0.002170549	0.00223551	0.0021919599	0.002199325	0.0022063619	0.002177797	0.0022209662	0.002214249	0.0021778673	0.0021981823	0.0021850509	0.0021705495	0.00221413	0.0021922674	0.002170578	0.0021779952	0.002206575	0.0021774159	0.0021776655	0.0022353975	0.0021779193	0.002170571	0.0022139107
0.0013592801	0.001363829	0.0013773191	0.001368678	0.0013818133	0.0013592367	0.0013592076	0.17821805	0.0013909215	0.0013637219	0.0013592372	0.0013637949	0.0013772259	0.0013637017	0.0013860401	0.0013725669	0.0013637757	0.0013681898	0.001359234	0.0013502804	0.0013502804	0.0013637235	0.0013502804	0.0013592894	0.0013726581	0.0013592687	0.0013637954	0.0014134946	0.0013637815	0.0013727999	0.0013547826	0.0013592279	0.0013681784	0.0013638234	0.0013637373	0.08030752	0.14464845	0.0013547748	0.0013996448	0.0013592794	0.0013997579	0.0013591965	0.0013593384	0.0013546997	0.0013547541	0.0013502804	0.0013592443	0.0013636884	0.0013820274	0.0013728326	0.0013727671	0.0013591612	0.0013682072	0.0013592948	0.47926867	0.0013727711	0.0013726691	0.0013502804	0.0013637833	0.0013726435	0.0013502804	0.0013681911	0.0013593842	0.0013682229	0.0013548026	0.0013682974	0.0013635177	0.0013547473	0.0013952927	0.0013681109	0.0013727078	0.0013770999	0.001359271	0.0013862151	0.0013820226	0.001359315	0.0013719945	0.0013637986	0.0013547476	0.0013819484	0.0013683029	0.0013547654	0.0013593948	0.0013772328	0.0013590333	0.001359189	0.0013952224	0.0013593475	0.0013547608	0.0013818115
0.003638515	0.0036506916	0.003686802	0.0036636714	0.0036988321	0.0036383988	0.003638321	0.00362636	0.003723213	0.0036504052	0.0036384005	0.0036506003	0.0036865524	0.003650351	0.0037101463	0.0036740815	0.0036505489	0.0036623646	0.0036383916	0.0036144247	0.0036144247	0.0036504096	0.0036144247	0.0036385402	0.0036743253	0.0036384847	0.0036506017	0.0037836365	0.0036505645	0.0036747048	0.0036264763	0.0036383756	0.003662334	0.003650677	0.0036504462	0.0036370037	0.0036623923	0.0036264553	0.003746563	0.0036385132	0.003746866	0.0036382915	0.0036386712	0.0036262546	0.0036264001	0.0036144247	0.0036384196	0.0036503153	0.0036994051	0.0036747924	0.0036746175	0.0036381972	0.0036624111	0.0036385544	0.0036742622	0.003674628	0.003674355	0.0036144247	0.0036505691	0.0036742864	0.0036144247	0.003662368	0.0036387937	0.0036624533	0.00362653	0.0036626526	0.0036498585	0.003626382	0.0037349134	0.0036621536	0.0036744585	0.0036862153	0.003638491	0.0037106148	0.0036993923	0.0036386088	0.003672549	0.0036506103	0.0036263827	0.0036991935	0.33902392	0.3389883	0.0036388221	0.003686571	0.0036378545	0.0036382715	0.0037347255	0.0036386957	0.0036264183	0.003698827
0.001086925	0.0010905626	0.0011013497	0.0010944399	0.0011049433	0.0010868903	0.0010868671	0.001083294	0.0011122266	0.001090477	0.0010868908	0.0010905352	0.0011012751	0.0010904607	0.0011083232	0.0010975497	0.0010905198	0.0010940495	0.0010868881	0.0010797286	0.0010797286	0.57703865	0.0010797286	0.0010869325	0.0010976226	0.001086916	0.0010905357	0.0011302768	0.0010905245	0.001097736	0.0010833287	0.0010868834	0.0010940405	0.0010905581	0.0010904892	0.0010864736	0.0010940578	0.0010833225	0.001119202	0.0010869245	0.0011192925	0.0010868582	0.0010869717	0.32677096	0.0010833059	0.0010797286	0.0010868965	0.0010904501	0.0011051146	0.001097762	0.0010977098	0.00108683	0.0010940635	0.0010869368	0.0010976037	0.001097713	0.0010976314	0.0010797286	0.0010905259	0.0010976109	0.0010797286	0.0010940506	0.0010870083	0.0010940761	0.0010833448	0.0010941356	0.0010903137	0.0010833006	0.0011157219	0.0010939864	0.0010976623	0.0011011744	0.0010869178	0.0011084632	0.0011051107	0.001086953	0.0010970919	0.0010905382	0.0010833007	0.0011050514	0.00109414	0.001083315	0.0010870168	0.0011012807	0.0010867277	0.0010868523	0.0011156658	0.0010869789	0.0010833114	0.0011049419
