id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13422230	IOTDB	linear fill log warning unsupported datum type	iotdb timeserie execute fill query iotdb select time timeserie boolean datum type throw unsupporteddatatypeexception well write log server	['0.13.0', 'pull-request-available']	3	1	Closed	25	['time', 'timeserie', 'use', 'query', 'iotdb', 'datanode', 'error', 'group', 'create', 'compaction']
13516112	IOTDB	add parameter	need parameter distinguish different cluster add parameter	['pull-request-available']	3	2	Closed	39	['metric', 'add', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'datum']
13476290	IOTDB	avoid predict datum type insertstringrecord request	currently insert datum insertstringrecord api insert sql statement need predict data type firstly schema validation combine step avoid predict datum type insert validate schema insertstring request timeserie exist fetch schema directly predict datum type type prediction string value auto create timeserie	['pull-request-available']	3	4	Closed	73	['datum', 'timeserie', 'create', 'need', 'compaction', 'datanode', 'error', 'group', 'use', 'start']
13481805	IOTDB	multileader optimize implementation pendingbatch	optimize implementation pendingbatch calculate start index end index constructor method	['pull-request-available']	4	4	Closed	46	['start', 'iotdb', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'metric']
13483758	IOTDB	metric template display grafana match actual	turn monitoring mode perform read write operation iotdb finally display grafana inconsistent actual example number file	['pull-request-available']	3	1	Closed	82	['iotdb', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'metric', 'datum']
13555695	IOTDB	node error detection broken thrift pipe	detect shutdown kill broken thrift pipe mark unknown status immediately	['pull-request-available']	3	4	Closed	63	['error', 'iotdb', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'metric', 'datum']
13445110	IOTDB	metric metric relate parameter iotdb engine iotdb metric	remove parameter iotdb engine add enableperformancestat iotdb metric	['pull-request-available']	3	4	Closed	86	['metric', 'iotdb', 'add', 'error', 'confignode', 'start', 'query', 'time', 'datum', 'fail']
13502684	IOTDB	metric support internal reporter metric module	support internal reporter metric module	['pull-request-available']	3	4	Closed	15	['metric', 'error', 'start', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'datum']
13427740	IOTDB	content timeseries subsection tag attribute management subsection	need timeseries whereclause content timeseries subsection tag attribute management subsection tag info explain	['pull-request-available']	4	4	Closed	4	['need', 'confignode', 'metric', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'datum']
13351014	IOTDB	print file error happen process read	currently bufferoverflowexception happen correspond file print log diffcult find file cause	['pull-request-available']	3	4	Closed	27	['log', 'error', 'iotdb', 'compaction', 'datum', 'fail', 'need', 'use', 'group', 'start']
13470015	IOTDB	child path command dead		['pull-request-available']	2	1	Closed	108	['create', 'timeserie', 'datum', 'query', 'time', 'iotdb', 'start', 'log', 'use', 'error']
13454578	IOTDB	dataregion recover snapshot	dataregion recover snapshot restart iotdb path tsfile wrong	['pull-request-available']	3	1	Closed	82	['iotdb', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'metric', 'datum']
13307423	IOTDB	error message intuitive insert load heavy	insert load heavy insert operation deny auto create mnode delete deletion fail write lock node client deletion fail exception instead load heavy exception intuitive	['pull-request-available']	3	4	Closed	66	['fail', 'iotdb', 'error', 'create', 'use', 'compaction', 'group', 'datanode', 'metric', 'datum']
13514656	IOTDB	doc add schema memory allocation upgrading guide	schema memory allocation different user remind difference avoid upgrade failure	['pull-request-available']	3	4	Closed	39	['metric', 'add', 'create', 'use', 'compaction', 'group', 'datanode', 'fail', 'error', 'datum']
13432243	IOTDB	add schemaengine mmanager	global singleton mmanager schemas iotdb need degradation mmanager storage group manage global schemaengine hold field map field leverage new cluster mmanager hold partition schema storage group field map datanode	['pull-request-available']	3	4	Closed	104	['datanode', 'fail', 'need', 'cluster', 'metric', 'create', 'use', 'compaction', 'group', 'error']
