topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.007949662	0.45295522	0.19234437	0.008253154	0.007943502	0.008302079	0.008426776	0.008500088	0.009187839	0.29613736
0.017654385	0.018792711	0.018098334	0.018329093	0.47639388	0.018435985	0.018716829	0.01887631	0.37555432	0.019148141
0.009732796	0.62637055	0.009977457	0.0101045165	0.009727053	0.01016438	0.010317165	0.29180318	0.011247184	0.010555687
0.045319192	0.048242133	0.046458438	0.56935585	0.045283943	0.04732608	0.048039667	0.048450068	0.05237725	0.049147375
0.029771194	0.031698998	0.030523775	0.030907411	0.029746706	0.03108797	0.71774393	0.031825457	0.034409937	0.03228462
0.045321953	0.048242558	0.56877756	0.047048204	0.045284342	0.047325682	0.04803909	0.048448958	0.052366264	0.049145352
0.008751497	0.009317323	0.008972405	0.009085496	0.008744443	0.009138669	0.91702926	0.009355612	0.010114856	0.009490469
0.022164298	0.023593357	0.022721473	0.02301028	0.022147425	0.023145579	0.7898751	0.023695428	0.025611049	0.024036024
0.045318425	0.048241094	0.046457715	0.04704867	0.5676082	0.04732498	0.04803934	0.048448592	0.052366726	0.04914632
0.029771054	0.031689405	0.71673274	0.030905675	0.029746596	0.031087425	0.031556513	0.031825535	0.034401696	0.032283332
0.09487368	0.10099066	0.09725866	0.098494455	0.09480145	0.09907403	0.100568734	0.101426154	0.1096272	0.102885015
0.04532071	0.048252538	0.5687508	0.047050282	0.045284163	0.04732576	0.048041698	0.048448473	0.052378535	0.049147006
0.8315553	0.01879328	0.018099152	0.018328732	0.017641127	0.018437373	0.018714122	0.018881897	0.020400811	0.019148193
0.04531847	0.048240375	0.04645791	0.047048006	0.0452846	0.04732485	0.04804716	0.048454612	0.57467353	0.049150478
0.010962919	0.011670358	0.01123882	0.7247561	0.010956129	0.011448193	0.011622344	0.0117211	0.18373415	0.011889912
0.014669506	0.015615503	0.015038351	0.015230716	0.0146592995	0.01531889	0.015550058	0.8610559	0.016950889	0.015910845
0.045318425	0.048242394	0.04645766	0.047047965	0.04528392	0.04732563	0.048038945	0.048448354	0.57469153	0.049145207
0.017654486	0.01879299	0.018098472	0.018328527	0.017642884	0.018439785	0.018715242	0.018874127	0.83430153	0.019151919
0.045322828	0.048242565	0.5687767	0.0470482	0.045284342	0.047325682	0.04803909	0.048448958	0.052366264	0.049145352
0.02977034	0.717896	0.030521112	0.030906472	0.029746603	0.031087609	0.031557646	0.03182522	0.034405172	0.032283854
0.0097327065	0.010360226	0.0099773845	0.010104172	0.009725338	0.010163602	0.9077283	0.010405373	0.011247982	0.010554932
0.4214887	0.018793106	0.018098569	0.018329196	0.42771214	0.018439343	0.018714856	0.018874058	0.02040108	0.019148936
