topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.006892202	0.006996696	0.006985794	0.007093427	0.00684873	0.0070463247	0.0073770196	0.12255488	0.007471287	0.0071002403	0.5212318	0.29240167
0.015282713	0.015514279	0.015489986	0.01572907	0.39516258	0.015624122	0.44798696	0.016042652	0.016566684	0.015744163	0.015088791	0.015767945
0.008435998	0.008563994	0.008550391	0.008682237	0.008382955	0.008624478	0.009029417	0.36681044	0.009144613	0.008690611	0.008328891	0.54675597
0.039056722	0.03964845	0.039586503	0.5587359	0.038809903	0.03992963	0.04180418	0.04099843	0.042337324	0.04023508	0.038560975	0.040296856
0.025720367	0.02611099	0.026069587	0.026471006	0.025557358	0.02629471	0.71046966	0.026998498	0.027880736	0.026496015	0.025394084	0.026537027
0.039057184	0.039648704	0.55812585	0.04019679	0.03880982	0.039929498	0.041804	0.04099826	0.042337094	0.04023489	0.03856119	0.04029675
0.0075863414	0.26236507	0.0076892795	0.007807764	0.007538339	0.007755801	0.659938	0.00796342	0.008223553	0.007815176	0.0074900673	0.007827201
0.019172857	0.019463338	0.019432906	0.019732473	0.019051667	0.01960122	0.7841742	0.020125948	0.020783177	0.019751279	0.018929448	0.01978153
0.039056778	0.039648842	0.03958645	0.04019674	0.5573495	0.03992932	0.041804112	0.040998302	0.042337187	0.040235218	0.038560864	0.04029669
0.025720129	0.026109654	0.70901364	0.026470797	0.025557317	0.026294578	0.027529186	0.026998505	0.027880413	0.026495764	0.025393497	0.026536502
0.081121564	0.082350604	0.08222185	0.0834893	0.0806088	0.08293399	0.08682766	0.085154064	0.087934926	0.08356868	0.080091685	0.0836969
0.039057065	0.55818576	0.039587103	0.040196985	0.03880985	0.03992945	0.041804384	0.04099823	0.042337555	0.04023506	0.03856144	0.0402971
0.8268881	0.015514342	0.015490112	0.015728792	0.0151860835	0.015624352	0.016357685	0.01604376	0.01656631	0.015743895	0.015088698	0.0157679
0.03905679	0.039648466	0.039586473	0.040196907	0.038809855	0.03992934	0.5603416	0.040998753	0.042338267	0.04023528	0.03856137	0.040296875
0.0095001245	0.00964422	0.009628937	0.8926667	0.009440373	0.009712293	0.010168659	0.009972462	0.010298179	0.009786824	0.009379505	0.009801699
0.012704844	0.012897394	0.012877183	0.013076018	0.0126247145	0.012988684	0.01359851	0.8567203	0.013772054	0.013088498	0.012543546	0.013108212
0.0390567	0.039648436	0.039586455	0.04019671	0.03880983	0.03992931	0.04180401	0.040998198	0.5608776	0.040234886	0.038560856	0.040297035
0.015282674	0.015514252	0.015490074	0.015728815	0.01518667	0.015624973	0.016357714	0.016042449	0.828171	0.015744776	0.015088698	0.015767956
0.039057184	0.039648704	0.55812585	0.04019679	0.03880982	0.039929498	0.041804	0.04099826	0.042337094	0.04023489	0.03856119	0.04029675
0.025720067	0.7090541	0.02606907	0.02647074	0.025557319	0.026294585	0.027529242	0.026998425	0.027880339	0.026495837	0.025393652	0.026536645
0.008435961	0.008563768	0.0085503785	0.008682196	0.008382635	0.008624435	0.90503764	0.008855339	0.009144557	0.008690466	0.008328886	0.008703783
0.015283306	0.015514312	0.015490022	0.015728844	0.015186192	0.8272306	0.016357647	0.016042413	0.016566277	0.015743852	0.0150886895	0.015767872
0.025720019	0.026109912	0.026068766	0.026470654	0.357031	0.026294729	0.027529182	0.3784694	0.027880257	0.02649622	0.025393374	0.026536511
