topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.0051895566	0.31672212	0.29523474	0.0053212955	0.0051623075	0.0054153604	0.005499316	0.005667239	0.005760856	0.0055307425	0.0052707437	0.20174019	0.121322975	0.005336484	0.005521206	0.005304862
0.011485495	0.011610853	0.012040326	0.011777064	0.8202208	0.011985232	0.0121710645	0.012542699	0.012749913	0.012240607	0.0116651775	0.012052933	0.011686937	0.011810678	0.012219505	0.011740687
0.0063497927	0.58234316	0.0066565336	0.006510986	0.0063164528	0.006626076	0.0067288056	0.0069342786	0.0070488155	0.0067672553	0.0064491313	0.3250315	0.006461162	0.00652957	0.00675559	0.006490877
0.029195217	0.02951387	0.030605562	0.5439101	0.029041924	0.030465519	0.030937854	0.03188254	0.03240923	0.031114629	0.02965196	0.030637614	0.029707272	0.03002181	0.031061012	0.029843898
0.01928381	0.01949429	0.020215366	0.01977334	0.019182557	0.020122854	0.020434856	0.021058813	0.021406692	0.020551601	0.019585501	0.020236526	0.019622026	0.019829784	0.020516183	0.6986858
0.029195195	0.029513841	0.5445798	0.029936323	0.029041896	0.03046548	0.030937823	0.0318825	0.032409165	0.031114588	0.029651936	0.030637568	0.029707246	0.030021766	0.031060979	0.029843865
0.005711339	0.0057736766	0.0059872395	0.0058563245	0.005681351	0.005959841	0.51389194	0.0062370463	0.006340079	0.0060868245	0.40288174	0.005993507	0.005811509	0.0058730403	0.0060763345	0.005838246
0.014396408	0.0145535385	0.015091859	0.014761869	0.014320818	0.0150228	0.77559215	0.015721545	0.01598125	0.015342882	0.014621631	0.015107658	0.014648906	0.014804002	0.015316441	0.014716281
0.029195197	0.029513853	0.030605536	0.029936338	0.5430161	0.030465491	0.03093783	0.031882506	0.032409176	0.031114604	0.029651936	0.030637575	0.02970725	0.030021789	0.031060977	0.029843878
0.019283818	0.019494288	0.6991889	0.019773344	0.019182561	0.020122858	0.020434847	0.021058818	0.021406699	0.020551603	0.0195855	0.020236526	0.019622032	0.01982978	0.020516193	0.019712275
