topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.004271062	0.7554387	0.004383597	0.004345257	0.004352582	0.0044324044	0.004456352	0.0044741877	0.004658317	0.004496844	0.0043127355	0.16587634	0.0042681396	0.0043279645	0.004484585	0.0043255547	0.0042208503	0.0042026034	0.0043441406	0.0043278504
0.009441339	0.009363255	0.009690101	0.009605349	0.009621542	0.009797992	0.009850929	0.009890355	0.01029738	0.009940438	0.009533459	0.0096765	0.009434878	0.009567123	0.009913339	0.61483	0.009330343	0.21104586	0.009602881	0.009566871
0.005224798	0.005181587	0.005362462	0.0053155604	0.005324521	0.005422168	0.005451463	0.33091557	0.005698527	0.005500997	0.0052757766	0.5731206	0.0052212225	0.0052944063	0.005486001	0.0052914587	0.0051633734	0.005141052	0.0053141946	0.005294267
0.023918359	0.023720544	0.024548564	0.5354555	0.024374878	0.024821892	0.024956	0.025055882	0.026087023	0.02518276	0.024151733	0.024514109	0.023901992	0.024237016	0.02511411	0.024223523	0.023637166	0.023534982	0.024327606	0.02423638
0.015828207	0.0156973	0.016245252	0.016103167	0.016130313	0.01642613	0.6929949	0.016580975	0.017263344	0.016664935	0.015982645	0.016222449	0.015817376	0.016039083	0.016619505	0.016030151	0.015642125	0.015574504	0.01609903	0.01603866
0.023918338	0.023720523	0.5356706	0.024333837	0.024374858	0.02482187	0.024955979	0.025055861	0.026087001	0.025182737	0.024151713	0.024514087	0.023901971	0.024236996	0.025114087	0.024223503	0.023637146	0.023534963	0.024327585	0.024236359
0.0047000293	0.004661158	0.0048238668	0.004781676	0.0047897366	0.004877576	0.631733	0.004923556	0.0051261787	0.0049484875	0.28185073	0.004817096	0.0046968134	0.0047626467	0.0049349978	0.004759995	0.0046447744	0.0046246946	0.0047804476	0.0047625215
0.011827619	0.011729799	0.012139255	0.012033083	0.012053367	0.012274415	0.7705906	0.012390124	0.012900023	0.012452864	0.011943022	0.012122217	0.011819526	0.011985195	0.012418916	0.011978522	0.01168857	0.011638039	0.012029991	0.011984879
0.023918342	0.023720527	0.024548547	0.024333838	0.53549683	0.024821874	0.024955982	0.025055863	0.026087005	0.02518274	0.024151716	0.02451409	0.023901975	0.024237	0.025114091	0.024223505	0.02363715	0.023534965	0.024327587	0.02423636
0.015828205	0.0156973	0.69272524	0.016103165	0.016130311	0.016426127	0.016514875	0.016580973	0.01726334	0.016664935	0.015982643	0.016222449	0.015817374	0.01603908	0.016619505	0.016030151	0.015642123	0.015574503	0.016099028	0.016038658
0.04892497	0.048520338	0.050214052	0.049774867	0.04985878	0.050773144	0.051047463	0.05125177	0.05336097	0.051511295	0.049402334	0.050143573	0.04889149	0.04957678	0.051370874	0.04954918	0.04834979	0.04814077	0.04976208	0.049575478
0.023918338	0.023720523	0.024548545	0.024333837	0.024374858	0.02482187	0.024955979	0.025055861	0.026087001	0.025182737	0.53527373	0.024514087	0.023901971	0.024236998	0.025114087	0.024223503	0.023637146	0.023534963	0.024327585	0.024236359
0.8164655	0.009363253	0.009690098	0.009605346	0.009621539	0.009797989	0.009850926	0.009890353	0.010297377	0.009940435	0.0095334565	0.009676497	0.009434875	0.00956712	0.0099133365	0.009561794	0.009330341	0.009290005	0.009602879	0.009566869
0.023918387	0.023720572	0.024548592	0.024333885	0.024374906	0.02482192	0.27835318	0.025055911	0.28381094	0.025182787	0.024151761	0.024514137	0.02390202	0.024237044	0.025114138	0.024223553	0.023637194	0.02353501	0.024327634	0.024236407
0.0058814744	0.0058328323	0.0060364404	0.005983644	0.0059937313	0.006103651	0.006136628	0.0061611887	0.0064147445	0.0061923875	0.0059388606	0.0060279677	0.0058774496	0.42525312	0.46666804	0.0059565133	0.0058123297	0.0057872026	0.005982107	0.0059596747
0.007856278	0.0077913026	0.008063276	0.007992753	0.008006226	0.008153054	0.008197103	0.00822991	0.008568602	0.008271585	0.007932932	0.008051959	0.007850901	0.007960944	0.008249036	0.007956512	0.007763916	0.84715223	0.007990699	0.007960735
0.023918344	0.023720529	0.024548547	0.02433384	0.024374861	0.024821876	0.024955982	0.025055865	0.537209	0.025182743	0.024151716	0.024514092	0.023901977	0.024237001	0.025114093	0.024223506	0.023637151	0.023534967	0.02432759	0.024236364
0.00944134	0.009363256	0.009690102	0.00960535	0.009621543	0.009797993	0.0098509295	0.009890356	0.8173214	0.009940439	0.00953346	0.009676501	0.009434879	0.009567124	0.00991334	0.009561798	0.009330344	0.009290009	0.009602882	0.009566872
0.02391834	0.023720525	0.5356705	0.024333837	0.02437486	0.024821872	0.02495598	0.025055863	0.026087003	0.025182739	0.024151715	0.024514088	0.023901973	0.024236998	0.02511409	0.024223503	0.023637148	0.023534963	0.024327585	0.02423636
0.015828198	0.015697291	0.01624524	0.016103156	0.016130302	0.016426118	0.016514866	0.016580964	0.01726333	0.016664926	0.015982633	0.01622244	0.015817367	0.6925193	0.016619496	0.016030142	0.015642116	0.015574493	0.016099019	0.016038649
0.005224792	0.0051815803	0.0053624557	0.0053155543	0.005324515	0.005422162	0.0054514566	0.005473275	0.0056985207	0.0055009904	0.0052757706	0.005354929	0.0052212165	0.0052944003	0.0054859947	0.89849955	0.0051633674	0.005141046	0.0053141885	0.005294261
0.009441331	0.009363247	0.009690093	0.009605341	0.009621534	0.8168223	0.00985092	0.009890347	0.010297371	0.009940429	0.009533451	0.009676492	0.00943487	0.009567115	0.009913331	0.009561788	0.009330335	0.0092899995	0.009602874	0.009566863
0.015828207	0.0156973	0.016245252	0.016103167	0.35437033	0.01642613	0.016514875	0.35482094	0.017263342	0.016664935	0.015982645	0.016222449	0.015817376	0.016039083	0.016619505	0.016030151	0.015642125	0.015574504	0.01609903	0.01603866
0.011827624	0.011729805	0.77038896	0.012033088	0.012053373	0.012274421	0.0123407375	0.012390129	0.012900028	0.01245287	0.011943028	0.012122222	0.011819531	0.0119852	0.012418923	0.0119785275	0.011688575	0.011638044	0.012029997	0.011984886
0.004271062	0.004235739	0.004383597	0.004345257	0.004352582	0.0044324044	0.004456352	0.0044741877	0.004658317	0.91719866	0.0043127355	0.0043774443	0.0042681396	0.0043279645	0.004484585	0.0043255547	0.0042208503	0.0042026034	0.0043441406	0.0043278504
0.04892497	0.048520338	0.050214052	0.049774867	0.04985878	0.050773144	0.051047463	0.05125177	0.05336097	0.051511295	0.049402334	0.050143573	0.04889149	0.04957678	0.051370874	0.04954918	0.04834979	0.04814077	0.04976208	0.049575478
0.1481028	0.0029084575	0.003009984	0.0029836579	0.0029886877	0.0030434974	0.0030599409	0.797959	0.0031986197	0.0030877446	0.002961327	0.003005759	0.0029307054	0.002971784	0.0030793273	0.0029701295	0.0028982344	0.002885705	0.0029828914	0.0029717057
0.0158282	0.015697293	0.016245244	0.01610316	0.016130306	0.01642612	0.016514868	0.016580965	0.017263334	0.016664928	0.015982637	0.69270253	0.015817368	0.016039073	0.016619498	0.016030144	0.015642118	0.015574496	0.016099023	0.016038653
0.04892497	0.048520338	0.050214052	0.049774867	0.04985878	0.050773144	0.051047463	0.05125177	0.05336097	0.051511295	0.049402334	0.050143573	0.04889149	0.04957678	0.051370874	0.04954918	0.04834979	0.04814077	0.04976208	0.049575478
0.023918338	0.023720523	0.024548542	0.024333835	0.024374856	0.024821868	0.53607804	0.02505586	0.026087	0.025182735	0.02415171	0.024514087	0.02390197	0.024236994	0.025114086	0.0242235	0.023637146	0.023534961	0.024327584	0.024236357
0.0018750934	0.0018595856	0.96359855	0.0019076666	0.0019108825	0.0019459263	0.0019564398	0.0019642701	0.002045107	0.0019742167	0.0018933889	0.0019217975	0.0018738103	0.0019000748	0.001968835	0.0018990169	0.0018530492	0.0018450384	0.0019071766	0.0019000248
0.04892497	0.048520338	0.050214052	0.049774867	0.04985878	0.050773144	0.051047463	0.05125177	0.05336097	0.051511295	0.049402334	0.050143573	0.04889149	0.04957678	0.051370874	0.04954918	0.04834979	0.04814077	0.04976208	0.049575478
0.44191298	0.009363262	0.009690109	0.0096053565	0.0096215485	0.009798	0.009850936	0.009890364	0.010297389	0.18474385	0.009533467	0.009676508	0.009434885	0.00956713	0.009913347	0.009561804	0.009330351	0.009290015	0.20935185	0.009566879
0.007856277	0.007791302	0.008063275	0.007992752	0.008006226	0.008153053	0.008197103	0.00822991	0.0085686045	0.008271584	0.007932931	0.008051958	0.0078509	0.0079609435	0.008249035	0.007956511	0.0077639157	0.0077303518	0.007990698	0.84738266
