topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.0035771448	0.0035129609	0.0035291663	0.0034671773	0.0034313211	0.0035522822	0.0037336797	0.0035936306	0.0037657933	0.0035496189	0.0034567348	0.0035628919	0.0034678115	0.003465656	0.003677404	0.0034894133	0.0034293206	0.0034543565	0.6448416	0.003478321	0.0034178256	0.27415493	0.0034741068	0.003416863	0.0035000148
0.007899585	0.007757845	0.0077936323	0.007656738	0.0075775553	0.00784468	0.008245269	0.0079359915	0.008316187	0.007838799	0.007633678	0.007868109	0.007658139	0.007653379	0.008120992	0.4520399	0.36880478	0.0076284255	0.007734745	0.007681348	0.007547753	0.007815601	0.007672041	0.007545627	0.007729255
0.004375127	0.0042966255	0.004316446	0.0042406283	0.0041967733	0.0043447185	0.0045665815	0.0043952907	0.004605859	0.0043414608	0.0042278566	0.0043576946	0.004241404	0.0042387675	0.004497752	0.004267825	0.1181479	0.0042249477	0.0042838315	0.0042542582	0.7825407	0.0043286136	0.0042491034	0.0041790903	0.004280791
0.019957228	0.01959914	0.01968955	0.5281317	0.019143663	0.019818516	0.02083055	0.020049203	0.021009715	0.019803658	0.01928545	0.019877708	0.019347247	0.01933522	0.020516582	0.019467764	0.019132502	0.01927218	0.019540781	0.019405881	0.01906837	0.019745054	0.019382367	0.019063001	0.019526912
0.013227319	0.012989985	0.013049908	0.012820689	0.012688102	0.013135385	0.688239	0.013288279	0.013924891	0.013125536	0.012782076	0.013174616	0.012823034	0.012815064	0.013598051	0.012902912	0.012680706	0.012773281	0.012951305	0.012861895	0.0126382	0.013086694	0.0128463125	0.0126346415	0.012942114
0.019957215	0.019599127	0.5284779	0.019343697	0.01914365	0.019818505	0.020830536	0.02004919	0.021009702	0.019803645	0.019285437	0.019877696	0.019347234	0.019335208	0.02051657	0.019467752	0.019132491	0.019272167	0.019540768	0.019405868	0.019068358	0.019745043	0.019382356	0.019062988	0.0195269
0.003936096	0.0038654718	0.0038833034	0.0038150938	0.0037756397	0.003908739	0.0041083386	0.0039542364	0.004143675	0.003905808	0.0038036036	0.003920413	0.0038157918	0.00381342	0.004046416	0.90695953	0.0037734385	0.0038009866	0.0038539618	0.0038273558	0.00376079	0.00389425	0.0038227187	0.003759731	0.0038512265
0.009891671	0.009714187	0.009758999	0.009587584	0.009488433	0.00982292	0.76685846	0.0099372575	0.010413329	0.009815555	0.009558708	0.009852258	0.009589338	0.009583377	0.010168912	0.009649072	0.009482902	0.009552131	0.009685261	0.009618399	0.009451115	0.009786508	0.009606745	0.009448453	0.009678388
0.019957218	0.01959913	0.019689541	0.019343698	0.019143654	0.019818507	0.02083054	0.020049194	0.021009704	0.019803647	0.01928544	0.019877698	0.019347237	0.01933521	0.020516573	0.019467754	0.5279208	0.019272171	0.019540772	0.01940587	0.01906836	0.019745044	0.019382358	0.019062992	0.019526903
0.6876603	0.012989981	0.013049904	0.012820684	0.0126880985	0.013135381	0.013806139	0.013288275	0.0139248865	0.013125531	0.012782072	0.013174611	0.01282303	0.012815059	0.013598046	0.012902908	0.012680702	0.012773277	0.012951301	0.012861892	0.012638196	0.013086691	0.012846308	0.012634637	0.012942109
0.040628545	0.039899558	0.040083617	0.039379552	0.038972307	0.04034616	0.04240644	0.04081579	0.04277118	0.04031591	0.039260954	0.040466662	0.039386757	0.039362274	0.04176727	0.039632108	0.038949586	0.039233938	0.03978075	0.039506122	0.038819026	0.04019661	0.039458256	0.038808096	0.039752517
0.019957215	0.019599127	0.019689538	0.019343695	0.01914365	0.019818503	0.020830536	0.02004919	0.0210097	0.019803645	0.019285437	0.019877695	0.019347234	0.019335207	0.020516569	0.019467752	0.01913249	0.019272167	0.52832913	0.019405868	0.019068358	0.01974504	0.019382356	0.019062988	0.019526899
