topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79
0.0011250913	0.0011250904	0.001132495	0.00112883	0.0011213891	0.0011323522	0.0011578682	0.0011433264	0.0011504873	0.0011250714	0.001125058	0.3127874	0.0011177699	0.001136039	0.0011317288	0.0011250714	0.0011250797	0.0011177699	0.44261926	0.0011177699	0.0011214374	0.0011323058	0.0011323424	0.0011177699	0.0011286571	0.0011214148	0.0011396823	0.0011323831	0.0011286881	0.0011214039	0.0011177699	0.0011250231	0.0011177699	0.0011213891	0.0011286424	0.0011323395	0.0011251036	0.0011323768	0.0011214039	0.0011250086	0.0011286753	0.0011213175	0.0011214148	0.0011250975	0.0011251173	0.0011251018	0.0011177699	0.0011177699	0.15785344	0.0011177699	0.0011286424	0.0011189333	0.0011213891	0.001125077	0.0011214039	0.0011359755	0.0011250913	0.0011250231	0.0011286592	0.001121443	0.0011250342	0.0011214479	0.0011287119	0.0011287074	0.0011213891	0.0011287332	0.0011251143	0.0011214523	0.0011177699	0.0011286917	0.0011287717	0.0011177699	0.0011214636	0.0011213501	0.0011362132	0.0011467725	0.001125043	0.0011286659	0.0011177699	0.0011361464
0.0024777607	0.0024777586	0.0024940656	0.0024859942	0.0024696074	0.0024937508	0.0025499444	0.0025179193	0.0025336896	0.002477717	0.002477687	0.0024942474	0.0024616367	0.0025018705	0.002492378	0.002477717	0.002477735	0.0024616367	0.002493693	0.0024616367	0.0024697138	0.0024936488	0.0024937293	0.0024616367	0.0024856133	0.002469664	0.0025098936	0.0024938192	0.0024856818	0.0024696398	0.0024616367	0.0024776103	0.0024616367	0.0024696074	0.40324447	0.002493723	0.0024777877	0.0024938055	0.0024696398	0.0024775781	0.0024856536	0.0024694495	0.002469664	0.0024777742	0.0024778177	0.0024777837	0.0024616367	0.0024616367	0.0024696642	0.0024616367	0.002485581	0.002464199	0.0024696074	0.002477729	0.0024696398	0.0025017306	0.0024777607	0.0024776103	0.002485618	0.0024697261	0.0024776347	0.0024697366	0.002485734	0.0024857242	0.0024696074	0.002485781	0.0024778112	0.0024697466	0.0024616367	0.0024856897	0.0024858657	0.0024616367	0.0024697713	0.0024695212	0.002502254	0.0025255086	0.0024776543	0.40324402	0.0024616367	0.0025021068
0.0013753744	0.0013753732	0.001384425	0.0013799447	0.0013708486	0.0013842504	0.0014154427	0.0013976659	0.0014064198	0.00137535	0.0013753336	0.45419925	0.0013664241	0.0013887574	0.0013834882	0.00137535	0.0013753601	0.0013664241	0.0013842182	0.0013664241	0.0013709076	0.0013841937	0.0013842385	0.0013664241	0.0013797333	0.0013708799	0.0013932111	0.0013842883	0.0013797713	0.3269552	0.0013664241	0.0013752909	0.0013664241	0.0013708486	0.0013797153	0.0013842349	0.0013753893	0.0013842806	0.0013708666	0.0013752731	0.0013797556	0.001370761	0.0013708799	0.0013753818	0.001375406	0.0013753872	0.0013664241	0.0013664241	0.00137088	0.0013664241	0.0013797153	0.0013678465	0.0013708486	0.0013753568	0.0013708666	0.0013886797	0.0013753744	0.0013752909	0.0013797359	0.0013709145	0.0013753044	0.0013709203	0.0013798003	0.0013797949	0.0013708486	0.0013798263	0.0013754023	0.0013709258	0.0013664241	0.0013797757	0.0013798734	0.0013664241	0.0013709395	0.0013708008	0.0013889703	0.0014018787	0.0013753154	0.11280536	0.0013664241	0.0013888887
0.006212075	0.0062120697	0.0062529533	0.0062327175	0.006191633	0.0062521645	0.006393049	0.0063127577	0.006352296	0.006211965	0.0062118904	0.0062534087	0.00617165	0.0062725213	0.0062487223	0.006211965	0.0062120105	0.00617165	0.006252019	0.00617165	0.0061919	0.0062519084	0.0062521105	0.00617165	0.0062317625	0.006191775	0.0062926365	0.006252336	0.006231934	0.0061917147	0.00617165	0.0062116976	0.00617165	0.006191633	0.0062316814	0.0062520946	0.0062121423	0.006252301	0.0061917147	0.0062116175	0.006231863	0.0061912374	0.006191775	0.006212109	0.006212218	0.0062121325	0.00617165	0.00617165	0.0061917757	0.00617165	0.0062316814	0.006178074	0.006191633	0.006211995	0.0061917147	0.00627217	0.006212075	0.0062116976	0.0062317746	0.0061919307	0.006211759	0.0061919577	0.0062320647	0.0062320405	0.006191633	0.5086097	0.0062122014	0.0061919824	0.00617165	0.006231954	0.0062323953	0.00617165	0.0061920444	0.0061914176	0.006273483	0.006331785	0.0062118084	0.006231811	0.00617165	0.006273114
0.0041348278	0.0041348245	0.004162037	0.004148568	0.0041212216	0.004161512	0.3492889	0.0042018434	0.0042281607	0.0041347547	0.0041347053	0.0041623404	0.0041079205	0.32791823	0.0041592205	0.0041347547	0.004134785	0.0041079205	0.004161415	0.0041079205	0.004121399	0.0041613416	0.004161476	0.0041079205	0.0041479324	0.004121316	0.0041884505	0.0041616256	0.004148046	0.004121276	0.0041079205	0.004134577	0.0041079205	0.0041212216	0.004147878	0.0041614654	0.0041348725	0.004161603	0.004121276	0.004134523	0.004147999	0.004120958	0.004121316	0.00413485	0.004134923	0.004134866	0.0041079205	0.0041079205	0.0041213166	0.0041079205	0.004147878	0.004112196	0.0041212216	0.0041347747	0.004121276	0.004174828	0.0041348278	0.004134577	0.00414794	0.00412142	0.0041346177	0.0041214377	0.0041481336	0.0041481173	0.0041212216	0.004148212	0.004134912	0.004121454	0.0041079205	0.0041480595	0.0041483534	0.0041079205	0.004121495	0.004121078	0.0041757016	0.0042145085	0.0041346503	0.0041479645	0.0041079205	0.0041754562
0.0062120724	0.0062120673	0.5086307	0.006232715	0.0061916313	0.006252162	0.0063930466	0.0063127554	0.006352294	0.0062119626	0.0062118885	0.006253407	0.006171648	0.006272519	0.00624872	0.0062119626	0.006212008	0.006171648	0.0062520173	0.006171648	0.0061918977	0.006251906	0.006252108	0.006171648	0.0062317606	0.006191773	0.006292634	0.0062523335	0.0062319315	0.006191713	0.006171648	0.0062116957	0.006171648	0.0061916313	0.006231679	0.0062520923	0.00621214	0.0062522986	0.006191713	0.006211615	0.006231861	0.0061912355	0.006191773	0.0062121064	0.006212216	0.00621213	0.006171648	0.006171648	0.0061917733	0.006171648	0.006231679	0.0061780717	0.0061916313	0.0062119933	0.006191713	0.006272168	0.0062120724	0.0062116957	0.0062317722	0.006191929	0.0062117567	0.0061919554	0.006232063	0.006232038	0.0061916313	0.0062321806	0.006212199	0.00619198	0.006171648	0.006231952	0.006232393	0.006171648	0.006192042	0.0061914152	0.0062734806	0.006331783	0.006211806	0.0062318086	0.006171648	0.006273112
0.0012377058	0.0012377048	0.0012458505	0.0012418187	0.001233633	0.0012456933	0.0012737634	0.001257766	0.0012656437	0.0012376839	0.001237669	0.0012459413	0.0012296514	0.432298	0.0012450075	0.4710422	0.0012376929	0.0012296514	0.0012456644	0.0012296514	0.0012336861	0.0012456423	0.0012456826	0.0012296514	0.0012416284	0.0012336612	0.001253757	0.0012457274	0.0012416625	0.0012336492	0.0012296514	0.0012376306	0.0012296514	0.001233633	0.0012416122	0.0012456795	0.0012377192	0.0012457205	0.0012336492	0.0012376147	0.0012416485	0.0012335541	0.0012336612	0.0012377125	0.0012377343	0.0012377172	0.0012296514	0.0012296514	0.0012336613	0.0012296514	0.0012416122	0.0012309314	0.001233633	0.00123769	0.0012336492	0.0012496794	0.0012377058	0.0012376306	0.0012416308	0.0012336923	0.0012376428	0.0012336976	0.0012416886	0.0012416837	0.001233633	0.0012417121	0.001237731	0.0012337025	0.0012296514	0.0012416665	0.0012417544	0.0012296514	0.0012337149	0.00123359	0.0012499408	0.0012615571	0.0012376526	0.001241638	0.0012296514	0.0012498674
0.0030986678	0.0030986653	0.0031190584	0.0031089645	0.0030884712	0.003118665	0.00318894	0.0031488896	0.003168612	0.003098613	0.0030985759	0.0031192857	0.0030785033	0.0031288192	0.003116948	0.75487775	0.0030986355	0.0030785033	0.0031185925	0.0030785033	0.0030886042	0.0031185374	0.0031186382	0.0030785033	0.0031084884	0.003088542	0.003138853	0.0031187504	0.0031085736	0.0030885118	0.0030785033	0.0030984797	0.0030785033	0.0030884712	0.0031084477	0.0031186303	0.0030987014	0.0031187332	0.0030885118	0.0030984394	0.0031085385	0.0030882738	0.003088542	0.0030986846	0.003098739	0.0030986965	0.0030785033	0.0030785033	0.0030885423	0.0030785033	0.0031084477	0.0030817075	0.0030884712	0.003098628	0.0030885118	0.003128644	0.0030986678	0.0030984797	0.0031084942	0.0030886198	0.0030985102	0.003088633	0.003108639	0.003108627	0.0030884712	0.003108698	0.0030987307	0.0030886454	0.0030785033	0.0031085839	0.0031088039	0.0030785033	0.0030886761	0.0030883637	0.0031292988	0.003158381	0.0030985347	0.0031085124	0.0030785033	0.0031291149
0.006212074	0.0062120687	0.006252952	0.0062327166	0.0061916322	0.006252163	0.006393048	0.0063127563	0.0063522947	0.006211964	0.0062118894	0.006253408	0.006171649	0.00627252	0.006248721	0.006211964	0.006212009	0.006171649	0.0062520183	0.006171649	0.006191899	0.0062519074	0.0062521095	0.006171649	0.0062317615	0.0061917743	0.0062926356	0.0062523345	0.006231933	0.0061917137	0.006171649	0.0062116967	0.006171649	0.0061916322	0.00623168	0.0062520937	0.0062121414	0.0062523	0.0061917137	0.006211616	0.006231862	0.0061912364	0.0061917743	0.0062121074	0.006212217	0.006212131	0.006171649	0.006171649	0.0061917747	0.006171649	0.00623168	0.0061780727	0.0061916322	0.006211994	0.0061917137	0.0062721693	0.006212074	0.0062116967	0.006231773	0.00619193	0.006211758	0.0061919563	0.0062320638	0.0062320395	0.0061916322	0.0062321816	0.0062122	0.0061919815	0.006171649	0.006231953	0.006232394	0.006171649	0.006192043	0.0061914166	0.0062734815	0.006331784	0.006211807	0.5086095	0.006171649	0.0062731127
0.0041348287	0.0041348254	0.33855048	0.004148569	0.0041212225	0.004161513	0.0042552873	0.0042018443	0.0042281616	0.0041347556	0.004134706	0.0041623414	0.0041079214	0.0041750628	0.004159222	0.0041347556	0.004134786	0.0041079214	0.004161416	0.0041079214	0.0041214004	0.0041613425	0.004161477	0.0041079214	0.0041479333	0.004121317	0.0041884515	0.004161627	0.0041480474	0.004121277	0.0041079214	0.0041345777	0.0041079214	0.0041212225	0.004147879	0.0041614664	0.004134874	0.0041616037	0.004121277	0.33852285	0.0041480004	0.0041209594	0.004121317	0.004134851	0.004134924	0.0041348673	0.0041079214	0.0041079214	0.0041213175	0.0041079214	0.004147879	0.0041121976	0.0041212225	0.004134776	0.004121277	0.004174829	0.0041348287	0.0041345777	0.004147941	0.004121421	0.0041346187	0.0041214386	0.0041481345	0.004148118	0.0041212225	0.0041482127	0.004134913	0.004121455	0.0041079214	0.0041480605	0.0041483543	0.0041079214	0.0041214963	0.004121079	0.0041757026	0.0042145094	0.0041346513	0.0041479655	0.0041079214	0.004175457
