topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.0096158935	0.92838126	0.009833078	0.010266607	0.009687721	0.010847364	0.010607302	0.010760831
0.021388797	0.02368348	0.021867063	0.022845164	0.2528368	0.024067506	0.02360896	0.6097022
0.011770706	0.687247	0.012033585	0.012569782	0.011868087	0.013253745	0.0129798865	0.23827718
0.055243794	0.061170086	0.056484	0.586549	0.055665947	0.062172327	0.06091035	0.061804537
0.036177393	0.040116947	0.037007052	0.03863416	0.03643908	0.040712174	0.73046345	0.04044975
0.055259883	0.061177764	0.58404505	0.058989253	0.055664416	0.062165525	0.060908105	0.061789963
0.010584113	0.0117337005	0.010826204	0.011302574	0.010661687	0.011910323	0.9211454	0.011836045
0.026878366	0.029758256	0.027479017	0.028700637	0.02708349	0.030242106	0.7997926	0.030065516
0.055242788	0.06117409	0.056477055	0.058988802	0.5832533	0.062162574	0.060914934	0.06178648
0.036169358	0.04004557	0.7276994	0.038619913	0.036438122	0.040691726	0.03988599	0.04044986
0.11694548	0.12947592	0.119559124	0.12487214	0.11783822	0.13158002	0.12893374	0.13079531
0.055260547	0.58862126	0.05653503	0.059011362	0.055664957	0.062184785	0.060934294	0.06178779
0.8383348	0.023686811	0.02187515	0.022846825	0.021552252	0.024096342	0.023581784	0.024026053
0.05524184	0.061162513	0.05647646	0.058988307	0.05566355	0.062157422	0.5884361	0.061873835
0.013265348	0.014692373	0.013562445	0.6231114	0.13529716	0.0149270315	0.17029291	0.014851275
0.017760785	0.01966665	0.018158074	0.018972607	0.01789823	0.019983301	0.019581195	0.86797917
0.05524181	0.061191212	0.05647705	0.059017763	0.58320725	0.0621717	0.060908154	0.06178507
0.021398308	0.023700388	0.02186789	0.022847077	0.8385581	0.02410848	0.0235885	0.023931319
0.055259716	0.06117776	0.5840453	0.058989253	0.055664416	0.062165525	0.060908105	0.061789963
0.036172204	0.040091537	0.72763526	0.038626872	0.03643867	0.040703744	0.039885204	0.040446512
0.011770131	0.013031348	0.012033169	0.012568147	0.011859966	0.013243236	0.91232455	0.013169398
0.3904696	0.023682512	0.021868052	0.022845387	0.02155341	0.47207466	0.02358316	0.023923248
0.03616439	0.040046524	0.036971763	0.038618058	0.38565508	0.040710233	0.03987571	0.38195822
0.026884034	0.029764539	0.7976119	0.028703766	0.027083721	0.030245313	0.029641982	0.030064723
0.009613471	0.010647678	0.00982506	0.010263159	0.102305934	0.8359954	0.01059785	0.010751485
0.11694548	0.12947592	0.119559124	0.12487214	0.11783822	0.13158002	0.12893374	0.13079531
0.230606	0.007295282	0.0067377277	0.007035738	0.0066372934	0.0074148015	0.007262431	0.7270107
0.036166996	0.7307505	0.036982052	0.038621105	0.036438253	0.040714983	0.039879054	0.040447097
0.11694548	0.12947592	0.119559124	0.12487214	0.11783822	0.13158002	0.12893374	0.13079531
0.05524195	0.061160825	0.056476403	0.058987457	0.055663496	0.062155418	0.5885219	0.061792538
0.004206506	0.004658271	0.9683325	0.004491114	0.004237713	0.0047326926	0.004637253	0.004703887
0.11694548	0.12947592	0.119559124	0.12487214	0.11783822	0.13158002	0.12893374	0.13079531
0.8384261	0.023690592	0.021878486	0.022851426	0.02155201	0.024075547	0.023597298	0.023928534
0.017760104	0.019671245	0.018158238	0.23153652	0.65343523	0.019989366	0.019582149	0.01986715
0.017765144	0.019690374	0.01816954	0.018970944	0.017895712	0.019990915	0.8676522	0.019865226
0.03616744	0.040045723	0.72767204	0.038625322	0.03643791	0.040690657	0.039908756	0.04045218
0.017762257	0.019671774	0.8662454	0.018968502	0.01789673	0.020003967	0.019584723	0.019866627
0.021402622	0.023730455	0.021876616	0.02284962	0.021555556	0.02408662	0.84056216	0.023936395
0.026882201	0.029764663	0.7975931	0.028708745	0.02708352	0.030244317	0.029656585	0.03006685
0.7268516	0.04004649	0.036973	0.03862559	0.036455773	0.04072379	0.03987101	0.04045277
0.021396818	0.023684135	0.021865757	0.022859784	0.02155474	0.024067381	0.02358132	0.84099007
0.036173195	0.040045455	0.7277174	0.038614545	0.03643835	0.040692817	0.039870612	0.040447574
0.026880981	0.02976424	0.027486201	0.47649315	0.34940174	0.030257834	0.029647032	0.030068796
0.026883908	0.3680678	0.02748028	0.02871078	0.45887217	0.030279195	0.029638492	0.030067371
0.25870508	0.011719842	0.67219275	0.011303993	0.010662145	0.011911842	0.011669104	0.011835294
0.7969693	0.029762853	0.027479807	0.028723758	0.027094815	0.030254323	0.029635359	0.030079799
0.03617005	0.04003938	0.036972973	0.038614925	0.036444124	0.73143494	0.03987619	0.040447384
0.02687831	0.029769486	0.027479252	0.028714832	0.7972133	0.030248085	0.029634904	0.030061863
0.021395123	0.023707695	0.021867037	0.022842094	0.02156264	0.84111464	0.023583822	0.02392694
0.015187399	0.8869295	0.0155310845	0.01621809	0.015311141	0.017091159	0.01674803	0.016983582
0.021389913	0.02368324	0.021875642	0.02284262	0.021550938	0.024065904	0.84065694	0.023934841
0.0010179045	0.03290177	0.960561	0.0010869622	0.0010254983	0.0011461601	0.00112215	0.0011385393
0.021392036	0.02369873	0.8388777	0.022880347	0.021552201	0.024076657	0.023591299	0.023931049
0.0030007923	0.00332273	0.003068433	0.0032047313	0.0030233355	0.00337684	0.0033081328	0.977695
0.7969741	0.029763663	0.027491089	0.028722737	0.02708764	0.030247243	0.029635232	0.030078229
0.026894975	0.029788975	0.027485883	0.7987226	0.027095761	0.030269923	0.029649246	0.03009258
0.055242803	0.0611881	0.05647711	0.058990434	0.05566352	0.062160052	0.06090821	0.5893698
0.036161844	0.04004576	0.0369863	0.03862384	0.03644187	0.73140967	0.039877217	0.040453505
0.05526652	0.061177865	0.5840382	0.058989268	0.055664424	0.062165577	0.06090812	0.061789993
0.021387683	0.023679277	0.021865638	0.022837691	0.021550909	0.024064278	0.84069157	0.023922937
0.010584188	0.011729631	0.010823914	0.33420858	0.010662198	0.5984845	0.011669969	0.0118370075
0.026888156	0.029765472	0.027480584	0.028704515	0.7971961	0.030261813	0.029635668	0.03006772
