topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89
0.0010035147	0.0010002134	0.0010067467	0.0010002136	0.0009969916	0.0010034355	0.0010260487	0.0010002294	0.0010196274	0.0010035107	0.0010034442	0.0010101115	0.0010002444	0.0010002444	0.0010099809	0.0010067227	0.0009969916	0.0009977856	0.0009969916	0.0010033976	0.0010002223	0.0010066929	0.0010002699	0.0009969916	0.0010034664	0.0009969916	0.0010035164	0.0010066963	0.0010034298	0.0010131435	0.0009969916	0.0010034654	0.0010002351	0.0010002224	0.0010002136	0.0010002134	0.0009969916	0.0010002134	0.0010002136	0.0010034443	0.0010002134	0.0009969916	0.0010002351	0.0010067257	0.0010002183	0.0010034664	0.0010066532	0.001003467	0.0010066605	0.0010034939	0.0010067225	0.0010001916	0.0009969916	0.0010034229	0.91073203	0.0010066879	0.0010002018	0.001009937	0.0010002401	0.001006684	0.0009969916	0.0010099373	0.0010034967	0.0010002223	0.0010034599	0.0009969916	0.0010002134	0.0009969916	0.0010002293	0.001006682	0.0010100392	0.0010008247	0.0010002401	0.0010002401	0.001010031	0.0010067493	0.0009969916	0.0010066748	0.0010002401	0.0010099545	0.0010035365	0.0010034512	0.0010034672	0.001003458	0.0010001755	0.0010068117	0.0010034447	0.0010066663	0.0010002136	0.0010002401
0.0022096017	0.0022023327	0.0022167177	0.40282306	0.0021952386	0.002209427	0.0022592184	0.0022023676	0.0022450795	0.0022095926	0.0022094464	0.002224127	0.002202401	0.002202401	0.0022238393	0.002216665	0.0021952386	0.0021969867	0.0021952386	0.0022093437	0.002202352	0.0022165994	0.0022024568	0.0021952386	0.0022094953	0.0021952386	0.0022096052	0.0022166069	0.0022094145	0.0022308028	0.0021952386	0.002209493	0.0022023804	0.0022023523	0.0022023327	0.0022023327	0.0021952386	0.0022023327	0.0022023327	0.0022094464	0.0022023327	0.0021952386	0.0022023804	0.0022166716	0.0022023432	0.002209495	0.002216512	0.0022094965	0.0022165282	0.0022095558	0.0022166646	0.0022022843	0.0021952386	0.4028305	0.0022024096	0.0022165882	0.002202307	0.0022237427	0.0022023912	0.0022165799	0.0021952386	0.0022237431	0.0022095619	0.002202352	0.002209481	0.0021952386	0.0022023327	0.0021952386	0.0022023674	0.0022165757	0.0022239676	0.0022036787	0.0022023914	0.0022023914	0.0022239496	0.0022167237	0.0021952386	0.0022165598	0.0022023914	0.002223781	0.0022096494	0.0022094618	0.002209497	0.002209477	0.0022022491	0.0022168614	0.0022094473	0.002216541	0.0022023327	0.0022023914
0.0012267109	0.0012226752	0.0012306615	0.0012226753	0.0012187368	0.0012266139	0.0012542566	0.0012226948	0.0012464072	0.0012267057	0.0012266246	0.44252205	0.0012227132	0.0012227132	0.0012346152	0.0012306323	0.0012187368	0.0012197073	0.0012187368	0.0012265675	0.001222686	0.0012305959	0.0012227442	0.0012187368	0.0012266518	0.0012187368	0.0012267128	0.0012305998	0.001226607	0.0012384811	0.0012187368	0.0012266504	0.0012227017	0.0012226861	0.0012226753	0.0012226752	0.0012187368	0.0012226752	0.0012226753	0.0012266247	0.0012226752	0.0012187368	0.0012227017	0.0012306359	0.0012226811	0.0012266517	0.0012305473	0.0012266524	0.0012305562	0.0012266854	0.001230632	0.0012226484	0.0012187368	0.0012265985	0.0012227179	0.0012305896	0.0012226611	0.0012345616	0.0012227078	0.0012305849	0.0012187368	0.0012345617	0.0012266886	0.001222686	0.0012266438	0.0012187368	0.0012226752	0.0012187368	0.0012226946	0.0012305826	0.0012346865	0.0012234225	0.0012227079	0.0012227079	0.44960225	0.0012306648	0.0012187368	0.0012305737	0.0012227079	0.0012345829	0.0012267374	0.0012266332	0.0012266528	0.0012266416	0.0012226289	0.0012307412	0.001226625	0.0012305633	0.0012226753	0.0012227079
0.0055368985	0.005518683	0.00555473	0.0055186837	0.0055009066	0.005536461	0.0056612296	0.0055187712	0.0056258	0.005536875	0.0055365087	0.0055732965	0.005518854	0.005518854	0.0055725756	0.0055545983	0.0055009066	0.0055052876	0.0055009066	0.0055362517	0.0055187317	0.005554434	0.0055189948	0.0055009066	0.0055366317	0.0055009066	0.0055369074	0.005554452	0.0055364296	0.005590025	0.0055009066	0.0055366256	0.005518803	0.005518732	0.0055186837	0.005518683	0.0055009066	0.005518683	0.0055186837	0.005536509	0.005518683	0.0055009066	0.005518803	0.0055546146	0.00551871	0.005536631	0.0055542146	0.0055366345	0.0055542546	0.0055367835	0.005554597	0.005518562	0.0055009066	0.005536391	0.005518876	0.0055544055	0.0055186194	0.5075171	0.00551883	0.0055543846	0.0055009066	0.0055723344	0.0055367984	0.0055187317	0.005536596	0.0055009066	0.005518683	0.0055009066	0.005518771	0.005554374	0.005572897	0.005522056	0.0055188304	0.0055188304	0.0055728517	0.005554745	0.0055009066	0.0055543343	0.0055188304	0.0055724294	0.005537018	0.005536548	0.005536636	0.0055365856	0.0055184737	0.0055550896	0.005536511	0.0055542868	0.0055186837	0.0055188304
0.0036864863	0.0036743586	0.0036983585	0.0036743588	0.0036625229	0.0036861948	0.67216235	0.003674417	0.0037456772	0.003686471	0.003686227	0.00371072	0.0036744724	0.0036744724	0.0037102401	0.0036982708	0.0036625229	0.0036654396	0.0036625229	0.0036860558	0.003674391	0.0036981613	0.0036745658	0.0036625229	0.0036863089	0.0036625229	0.003686492	0.0036981734	0.003686174	0.003721858	0.0036625229	0.0036863047	0.0036744382	0.0036743912	0.0036743588	0.0036743586	0.0036625229	0.0036743586	0.0036743588	0.0036862271	0.0036743586	0.0036625229	0.0036744382	0.0036982817	0.0036743763	0.0036863084	0.0036980154	0.0036863107	0.0036980421	0.0036864097	0.0036982698	0.0036742778	0.0036625229	0.0036861484	0.0036744867	0.0036981427	0.003674316	0.003710079	0.0036744562	0.0036981287	0.0036625229	0.0037100795	0.0036864197	0.003674391	0.0036862849	0.0036625229	0.0036743586	0.0036625229	0.0036744168	0.0036981215	0.0037104543	0.0036766042	0.0036744566	0.0036744566	0.003710424	0.0036983686	0.0036625229	0.003698095	0.0036744566	0.003710143	0.003686566	0.0036862527	0.0036863117	0.003686278	0.0036742191	0.003698598	0.0036862285	0.0036980635	0.0036743588	0.0036744566
0.0055368952	0.0055186804	0.0055547273	0.005518681	0.005500904	0.005536458	0.0056612263	0.005518768	0.005625797	0.0055368724	0.005536506	0.005573293	0.0055188513	0.0055188513	0.0055725724	0.0055545955	0.005500904	0.0055052843	0.005500904	0.005536249	0.005518729	0.0055544307	0.0055189915	0.005500904	0.005536629	0.005500904	0.005536904	0.005554449	0.0055364263	0.0055900216	0.005500904	0.005536623	0.0055188	0.0055187293	0.005518681	0.0055186804	0.005500904	0.0055186804	0.005518681	0.0055365064	0.0055186804	0.005500904	0.0055188	0.005554612	0.005518707	0.0055366284	0.0055542113	0.0055366317	0.005554252	0.00553678	0.005554594	0.0055185594	0.005500904	0.005536388	0.0055188728	0.0055544027	0.005518616	0.00557233	0.005518827	0.0055543818	0.005500904	0.005572331	0.005536795	0.005518729	0.005536593	0.005500904	0.0055186804	0.005500904	0.0055187675	0.005554371	0.005572894	0.005522053	0.5074639	0.0055188276	0.005572849	0.005554742	0.005500904	0.005554331	0.0055188276	0.0055724266	0.005537015	0.0055365446	0.005536633	0.005536583	0.005518471	0.005555087	0.0055365083	0.005554284	0.005518681	0.0055188276
0.0011039432	0.0011003115	0.0011074985	0.0011003116	0.0010967673	0.001103856	0.0011287327	0.0011003291	0.0011216685	0.0011039387	0.0011038657	0.0011112003	0.0011003456	0.90179837	0.0011110565	0.0011074722	0.0010967673	0.0010976407	0.0010967673	0.0011038143	0.0011003213	0.0011074395	0.0011003736	0.0010967673	0.0011038901	0.0010967673	0.0011039451	0.0011074431	0.0011038497	0.0011145356	0.0010967673	0.001103889	0.0011003354	0.0011003213	0.0011003116	0.0011003115	0.0010967673	0.0011003115	0.0011003116	0.0011038657	0.0011003115	0.0010967673	0.0011003354	0.0011074755	0.0011003169	0.00110389	0.0011073957	0.0011038907	0.0011074038	0.0011039204	0.001107472	0.0011002874	0.0010967673	0.0011038422	0.0011003499	0.0011074339	0.0011002988	0.0011110082	0.0011003409	0.0011074296	0.0010967673	0.0011110085	0.0011039233	0.0011003213	0.0011038829	0.0010967673	0.0011003115	0.0010967673	0.001100329	0.0011074275	0.0011111207	0.001100984	0.0011003409	0.0011003409	0.0011111116	0.0011075016	0.0010967673	0.0011074196	0.0011003409	0.0011110274	0.0011039671	0.0011038734	0.001103891	0.0011038809	0.0011002698	0.0011075702	0.0011038661	0.0011074102	0.0011003116	0.0011003409
0.0027630725	0.0027539826	0.002771971	0.0027539828	0.0027451115	0.002762854	0.0028251198	0.0027540263	0.002807437	0.0027630609	0.002762878	0.002781236	0.002754068	0.002754068	0.0027808764	0.0027719052	0.0027451115	0.0027472975	0.0027451115	0.0027627498	0.0027540068	0.002771823	0.0027541379	0.0027451115	0.0027629393	0.0027451115	0.002763077	0.002771832	0.0027628385	0.002789584	0.0027451115	0.0027629363	0.0027540422	0.002754007	0.0027539828	0.0027539826	0.0027451115	0.0027539826	0.0027539828	0.0027628783	0.0027539826	0.0027451115	0.0027540422	0.0027719133	0.0027539958	0.002762939	0.0027717135	0.0027629407	0.0027717338	0.002763015	0.0027719045	0.002753922	0.0027451115	0.0027628192	0.0027540787	0.002771809	0.0027539507	0.0027807555	0.0027540557	0.0027717985	0.0027451115	0.002780756	0.0027630224	0.0027540068	0.0027629214	0.0027451115	0.0027539826	0.0027451115	0.002754026	0.0027717932	0.0027810368	0.0027556657	0.0027540561	0.0027540561	0.0027810142	0.0027719785	0.0027451115	0.0027717734	0.75421005	0.0027808035	0.002763132	0.0027628974	0.0027629414	0.0027629163	0.002753878	0.0027721503	0.0027628792	0.0027717499	0.0027539828	0.0027540561
0.0055368976	0.0055186828	0.0055547296	0.005518683	0.005500906	0.0055364603	0.0056612287	0.0055187703	0.0056257993	0.0055368748	0.0055365083	0.0055732955	0.0055188537	0.0055188537	0.0055725747	0.005554598	0.005500906	0.0055052866	0.005500906	0.0055362512	0.005518731	0.005554433	0.005518994	0.005500906	0.005536631	0.005500906	0.0055369064	0.005554451	0.0055364287	0.005590024	0.005500906	0.005536625	0.0055188024	0.0055187317	0.005518683	0.0055186828	0.005500906	0.0055186828	0.005518683	0.0055365087	0.0055186828	0.005500906	0.0055188024	0.005554614	0.0055187093	0.0055366307	0.0055542137	0.005536634	0.005554254	0.0055367826	0.0055545964	0.0055185617	0.005500906	0.0055363905	0.005518875	0.005554405	0.5074634	0.0055723325	0.0055188295	0.005554384	0.005500906	0.0055723335	0.0055367975	0.005518731	0.0055365954	0.005500906	0.0055186828	0.005500906	0.00551877	0.0055543734	0.0055728965	0.0055220556	0.00551883	0.00551883	0.0055728513	0.0055547445	0.005500906	0.0055543333	0.00551883	0.005572429	0.0055370172	0.005536547	0.0055366354	0.005536585	0.005518473	0.005555089	0.0055365106	0.0055542863	0.005518683	0.00551883
0.0036864835	0.0036743558	0.003698356	0.0036743563	0.00366252	0.0036861922	0.0037692636	0.0036744145	0.0037456746	0.0036864683	0.0036862243	0.0037107174	0.00367447	0.00367447	0.0037102376	0.0036982682	0.00366252	0.0036654368	0.00366252	0.003686053	0.0036743882	0.0036981588	0.0036745633	0.00366252	0.003686306	0.00366252	0.0036864895	0.0036981709	0.0036861713	0.0037218553	0.00366252	0.003686302	0.0036744357	0.0036743886	0.0036743563	0.0036743558	0.00366252	0.0036743558	0.0036743563	0.0036862253	0.0036743558	0.00366252	0.0036744357	0.0036982791	0.0036743737	0.0036863058	0.0036980128	0.003686308	0.0036980396	0.0036864069	0.0036982673	0.0036742752	0.00366252	0.0036861459	0.003674484	0.00369814	0.0036743132	0.0037100762	0.0036744536	0.003698126	0.00366252	0.003710077	0.003686417	0.0036743882	0.003686282	0.00366252	0.0036743558	0.00366252	0.003674414	0.0036981187	0.0037104515	0.0036766015	0.67206776	0.0036744538	0.0037104215	0.003698366	0.00366252	0.0036980924	0.0036744538	0.0037101402	0.003686563	0.0036862502	0.0036863089	0.0036862753	0.0036742163	0.0036985953	0.0036862257	0.003698061	0.0036743563	0.0036744538
