id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
12902288	MESOS	fetchercachetest localuncachedextract flaky	asf code run fetchercachetest localuncachedextract temporary directory open compacted create iterator seek beginning iterate key replica recover log position hole unlearn start replica recovery replica status replica status receive broadcast recover request receive recover response replica status update replica status starting master start persisting metadata byte leveldb take persisted replica status starting replica starting status flag startup credential share meso webui master master allow authenticated framework register master allow authenticate slave register loading credential authentication credential default authenticator authorization enable whitelist give initialize hierarchical allocator process replica starting status receive broadcast recover request receive recover response replica starting status update replica status voting newly elect leader elect lead master recover registrar recovering registrar persisting metadata byte leveldb take persisted replica status voting successfully join paxos group recover process terminate attempt start writer replica receive implicit promise request proposal persisting metadata byte leveldb take persisted promise coordinator attempe fill miss position replica receive explicit promise request position proposal persist action byte leveldb take persisted action replica receive write request position read position leveldb take persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take persisted action replica learn nop action position writer start end position read position leveldb take successfully fetch registry applied operation attempt update registry attempt append byte log coordinator attempt write append action position replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take persisted action replica learn append action position successfully update registry successfully recover registrar attempt truncate log coordinator attempt write truncate action position recover slave registry allow slave register replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persisting action byte leveldb take delete key leveldb take persisted action replica learn truncate action position isolation posix cpu posix mem filesystem posix fail create bind backend bindbackend require root privilege slave start flag startup meso store appc cgroup credential meso image docker run mesos store docker fetch cpu posix mem src mesos sandbox systemd system loading credential authentication credential slave credential test principal slave resource slave hostname slave checkpoint true recover state meta recover status update manager recovering containerizer finished recovery query resource estimator oversubscribable resource pausing send status update new master detect authenticating master default cram authenticatee detect new master create new client sasl connection receive oversubscribable resource resource estimator authenticating start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal authentication session cleanup successfully authenticate master retry registration necessary register slave applied operation attempt update registry attempt append byte log coordinator attempt write append action position replica receive write request position persisting action byte leveldb take persisted action replica receive learn notice position persist action byte leveldb take persisted action replica learn append action position successfully update registry attempt truncate log receive ping slave coordinator attempt write truncate action position replica receive write request position add slave allocate register slave resource available allocate register master give slave clearing fetcher cache inverse offer send perform allocation slave resume send status update persist action byte leveldb take persisted action checkpointing slaveinfo meta slave replica receive learn notice position version forward total oversubscribed resource receive update slave total oversubscribed resource persisting action byte leveldb take delete key leveldb take new master detect persisted action replica learn truncate action position authenticating master default cram authenticatee slave update oversubscribed resource total allocate resource available allocate inverse offer send perform allocation slave create new client sasl connection authenticating scheduler start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal scheduler authentication session cleanup successfully authenticate master send subscribe retry registration necessary receive subscribe framework default scheduler framework scheduler authenticate test principal set principal frameworkinfo authorize framework principal receive offer role subscribe framework default checkpointing enabled capability add framework framework register take inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler authorize framework principal launch task user meso add task resource slave launch task framework default scheduler resource slave got assign task framework recovered total allocate slave framework checkpointing frameworkinfo meta slave framework framework filter slave checkpointing framework pid scheduler meta slave framework launch task framework checkpointing executorinfo meta slave framework launch executor framework resource work directory slave framework start container executor framework checkpointe taskinfo meta slave framework queue task executor framework successfully attach file slave framework fork child pid container checkpointing executor fork pid meta slave framework pid start fetch uris container directory slave framework fetch uri command src mesos fetcher fail run meso fetcher fail fetch uris container exit status fail synchronize slave probably exit container executor framework fail start fail fetch uris container exit status destroy container wait isolator complete container executor container exit executor framework exit status handle status update uuid task framework terminate task ignore update unknown container receive status update uuid task framework create statusupdate stream task framework checkpointe update status update uuid task framework forward update uuid task framework slave forward update uuid task framework status update manager successfully handle status update uuid task framework status update uuid task framework slave forward status update uuid task framework update late state task framework take recover total allocate slave framework remove task resource framework slave process acknowledge task framework default scheduler slave receive status update acknowledgement uuid task framework checkpointe ack status update uuid task framework clean status update stream task framework status update manager successfully handle status update acknowledgement uuid task framework complete task clean executor framework scheduling slave framework future scheduling slave framework future clean framework scheduling meta slave framework future closing status update stream framework scheduling meta slave framework future scheduling slave framework future scheduling meta slave framework future inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave inverse offer send perform allocation slave send offer framework default scheduler take processing accept offer slave framework default scheduler recovered total allocate slave framework framework filter slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave filter offer slave framework resource available allocate inverse offer send perform allocation slave query resource estimator oversubscribable resource receive oversubscribable resource resource estimator receive ping slave test failure fail wait ask stop driver framework default scheduler disconnected disconnecting framework default scheduler deactivate framework default scheduler give framework default scheduler failover deactivate framework framework failover timeout remove framework default scheduler remove framework default scheduler ask shut framework shut unknown framework master terminate removed framework removed slave exit master disconnect wait new master elect slave terminating fail fetchercachetest localuncachedextract code	['flaky-test', 'mesosphere']	3	1	Resolved	111	['receive', 'status', 'task', 'slave', 'authentication', 'default', 'successfully', 'request', 'send', 'perform']
13028076	MESOS	cniisolatortest fail system dash	system dash default shell debian ubuntu cniisolatortest fail noformat run cniisolatortest create default local authorizer master start flag startup teamcity temp buildtmp credential local share meso webui teamcity temp buildtmp master master allow authenticated framework register master allow authenticated agent register master allow authenticate http framework register loading credential authentication teamcity temp buildtmp credential default authenticator default basic http authenticator realm mesos master readonly default basic http authenticator realm mesos master readwrite default basic http authenticator realm mesos master scheduler authorization enable initialize hierarchical allocator process whitelist give elect lead master recover registrar recover registrar successfully fetch registry applied operation attempt update registry successfully update registry successfully recover registrar recover agent registry allow agent register skip recovery hierarchical allocator recover isolation network cni filesystem posix cgroup freezer freezer hierarchy linux launcher create default local authorizer mesos agent start flag startup teamcity temp buildtmp mesos store appc cgroup teamcity temp buildtmp credential run teamcity temp buildtmp mesos store docker run meso isolator docker volume teamcity temp buildtmp fetch teamcity temp buildtmp cni teamcity build src teamcity temp buildtmp configs teamcity temp buildtmp plugin teamcity temp buildtmp mesos sandbox systemd system teamcity temp buildtmp loading credential authentication teamcity temp buildtmp credential agent credential test principal loading credential authentication teamcity temp buildtmp default basic http authenticator realm meso agent readonly default basic http authenticator realm meso agent readwrite version agent resource agent attribute new master detect agent hostname authenticating master default cram authenticatee create new client sasl connection authenticating scheduler acac start authentication session recover state teamcity temp buildtmp meta recover status update manager create new server sasl connection recover containerizer receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success authentication session cleanup successfully authenticate principal test principal scheduler acac successfully authenticate master send subscribe retry registration necessary receive subscribe framework default scheduler acac authorize framework principal test principal receive offer role subscribe framework default checkpointe disabled capability framework register add framework take allocation perform inverse offer send perform allocation agent provisioner recovery complete finished recovery query resource estimator oversubscribable resource new master detect pausing send status update authenticating master default cram authenticatee detect new master create new client sasl connection receive oversubscribable resource resource estimator authenticating start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal authentication session cleanup successfully authenticate master retry registration necessary register agent applied operation attempt update registry successfully update registry registered agent receive ping slave add agent allocate register master give agent clearing fetcher cache resume send status update checkpointing slaveinfo teamcity temp buildtmp meta slave inverse offer send perform allocation agent forward total oversubscribed resource send offer framework default scheduler acac receive update agent total oversubscribed resource take agent update oversubscribed resource total allocate allocation perform inverse offer send perform allocation agent processing accept offer agent framework default scheduler acac authorize framework principal test principal launch task add task resource agent launch task framework default scheduler acac resource agent got assign task framework launch task framework try chown teamcity temp buildtmp slave framework user root launch executor framework resource work directory teamcity temp buildtmp slave framework start container executor framework queued task executor framework successfully attach file teamcity temp buildtmp slave framework launch meso containerizer flag teamcity temp buildtmp launch container clone namespace bind mount net mesos isolator network container invoke cni plugin teamcity temp buildtmp plugin mockplugin network configuration attach container network got assign address cni network container dns nameserver container nameserver start fetch uris container directory teamcity temp buildtmp slave framework version get registration executor framework executor register agent send queued task executor framework receive subscribed event subscribed executor receive launch event start task teamcity build src mesos containerizer launch exit exit fork command handle status update uuid task framework receive status update uuid task framework create statusupdate stream task framework forward update uuid task framework agent forward update uuid task framework status update manager successfully handle status update uuid task framework send acknowledgement status update uuid task framework status update uuid task framework agent forward status update uuid task framework update state task framework late state status update state take process acknowledge task framework default scheduler acac agent receive status update acknowledgement uuid task framework status update manager successfully handle status update acknowledgement uuid task framework unexpected operator command exit status pid handle status update uuid task framework receive status update uuid task framework forward update uuid task framework agent forward update uuid task framework status update manager successfully handle status update uuid task framework send acknowledgement status update uuid task framework status update uuid task framework agent forward status update uuid task framework update state task framework late state status update state take recover total allocate agent framework test containerizer failure value actual expect processing acknowledge task framework default scheduler acac agent ask stop driver remove task resource framework agent stop framework process teardown framework default scheduler acac remove framework default scheduler acac receive status update acknowledgement uuid task framework clean status update stream task framework deactivate framework ask shut framework shut framework shut executor framework removed framework status update manager successfully handle status update acknowledgement uuid task framework complete task executor ask shutdown receive shutdown event shut destroy container running state ask destroy container freezer destroy cgroup freezing cgroup cgroup freezer successfully freeze cgroup cgroup freezer thawing cgroup cgroup freezer successfully thaw cgroup cgroup freezer got exit event container exit invoke cni plugin teamcity temp buildtmp plugin mockplugin network configuration mesos isolator network detach container network unmounted network namespace handle mesos isolator network container remove container directory mesos isolator network ignoring destroy request unknown container executor framework terminate signal kill clean executor framework scheduling teamcity temp buildtmp slave framework future clean framework scheduling teamcity temp buildtmp slave framework future closing status update stream framework agent terminate scheduling teamcity temp buildtmp slave framework future agent disconnect disconnect agent deactivate agent agent deactivate master terminate removed agent fail cniisolatortest step run cniisolatortest create default local authorizer master start flag startup teamcity temp buildtmp credential local share meso webui teamcity temp buildtmp master master allow authenticated framework register master allow authenticated agent register master allow authenticate http framework register loading credential authentication teamcity temp buildtmp credential default authenticator default basic http authenticator realm mesos master readonly default basic http authenticator realm mesos master readwrite default basic http authenticator realm mesos master scheduler authorization enable initialize hierarchical allocator process whitelist give elect lead master recover registrar recover registrar successfully fetch registry applied operation attempt update registry successfully update registry successfully recover registrar recover agent registry allow agent register skip recovery hierarchical allocator recover isolation network cni filesystem posix cgroup freezer freezer hierarchy linux launcher create default local authorizer mesos agent start flag startup teamcity temp buildtmp mesos store appc cgroup teamcity temp buildtmp credential run teamcity temp buildtmp mesos store docker run meso isolator docker volume teamcity temp buildtmp fetch teamcity temp buildtmp cni teamcity build src teamcity temp buildtmp configs teamcity temp buildtmp plugin teamcity temp buildtmp mesos sandbox systemd system teamcity temp buildtmp loading credential authentication teamcity temp buildtmp credential agent credential test principal loading credential authentication teamcity temp buildtmp default basic http authenticator realm meso agent readonly default basic http authenticator realm meso agent readwrite version agent resource agent attribute new master detect agent hostname authenticating master default cram authenticatee create new client sasl connection authenticating scheduler acac start authentication session recover state teamcity temp buildtmp meta recover status update manager create new server sasl connection recover containerizer receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success authentication session cleanup successfully authenticate principal test principal scheduler acac successfully authenticate master send subscribe retry registration necessary receive subscribe framework default scheduler acac authorize framework principal test principal receive offer role subscribe framework default checkpointe disabled capability framework register add framework take allocation perform inverse offer send perform allocation agent provisioner recovery complete finished recovery query resource estimator oversubscribable resource new master detect pausing send status update authenticating master default cram authenticatee detect new master create new client sasl connection receive oversubscribable resource resource estimator authenticating start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal authentication session cleanup successfully authenticate master retry registration necessary register agent applied operation attempt update registry successfully update registry registered agent receive ping slave add agent allocate register master give agent clearing fetcher cache resume send status update checkpointing slaveinfo teamcity temp buildtmp meta slave inverse offer send perform allocation agent forward total oversubscribed resource send offer framework default scheduler acac receive update agent total oversubscribed resource take agent update oversubscribed resource total allocate allocation perform inverse offer send perform allocation agent processing accept offer agent framework default scheduler acac authorize framework principal test principal launch task add task resource agent launch task framework default scheduler acac resource agent got assign task framework launch task framework try chown teamcity temp buildtmp slave framework user root launch executor framework resource work directory teamcity temp buildtmp slave framework start container executor framework queued task executor framework successfully attach file teamcity temp buildtmp slave framework launch meso containerizer flag teamcity temp buildtmp launch container clone namespace bind mount net mesos isolator network container invoke cni plugin teamcity temp buildtmp plugin mockplugin network configuration attach container network got assign address cni network container dns nameserver container nameserver start fetch uris container directory teamcity temp buildtmp slave framework version get registration executor framework executor register agent send queued task executor framework receive subscribed event subscribed executor receive launch event start task teamcity build src mesos containerizer launch exit exit fork command handle status update uuid task framework receive status update uuid task framework create statusupdate stream task framework forward update uuid task framework agent forward update uuid task framework status update manager successfully handle status update uuid task framework send acknowledgement status update uuid task framework status update uuid task framework agent forward status update uuid task framework update state task framework late state status update state take process acknowledge task framework default scheduler acac agent receive status update acknowledgement uuid task framework status update manager successfully handle status update acknowledgement uuid task framework unexpected operator command exit status pid handle status update uuid task framework receive status update uuid task framework forward update uuid task framework agent forward update uuid task framework status update manager successfully handle status update uuid task framework send acknowledgement status update uuid task framework status update uuid task framework agent forward status update uuid task framework update state task framework late state status update state take recover total allocate agent framework test containerizer failure value actual expect processing acknowledge task framework default scheduler acac agent ask stop driver remove task resource framework agent stop framework process teardown framework default scheduler acac remove framework default scheduler acac receive status update acknowledgement uuid task framework clean status update stream task framework deactivate framework ask shut framework shut framework shut executor framework removed framework status update manager successfully handle status update acknowledgement uuid task framework complete task executor ask shutdown receive shutdown event shut destroy container running state ask destroy container freezer destroy cgroup freezing cgroup cgroup freezer successfully freeze cgroup cgroup freezer thawing cgroup cgroup freezer successfully thaw cgroup cgroup freezer got exit event container exit invoke cni plugin teamcity temp buildtmp plugin mockplugin network configuration mesos isolator network detach container network unmounted network namespace handle mesos isolator network container remove container directory mesos isolator network ignoring destroy request unknown container executor framework terminate signal kill clean executor framework scheduling teamcity temp buildtmp slave framework future clean framework scheduling teamcity temp buildtmp slave framework future closing status update stream framework agent terminate scheduling teamcity temp buildtmp slave framework future agent disconnect disconnect agent deactivate agent agent deactivate master terminate removed agent fail cniisolatortest noformat	['mesosphere']	3	1	Resolved	115	['task', 'status', 'slave', 'receive', 'default', 'state', 'send', 'authentication', 'successfully', 'container']
13226302	MESOS	support docker manifest config	docker manifest support layer properly support manifest config garbage collect need add config dir checkpointed support config	['containerization']	1	4	Resolved	48	['support', 'directory', 'docker', 'write', 'need', 'containerizer', 'currently', 'file', 'authorization', 'create']
13131380	MESOS	add missing field agent operator api	field available agent endpoint accessible api	['mesosphere']	3	4	Accepted	111	['receive', 'status', 'task', 'slave', 'authentication', 'default', 'successfully', 'request', 'send', 'perform']
13024618	MESOS	nested container unkillable	incident occur recently cluster run build mesos base commit master task group task launch marathon task launch container quickly exit successfully destroy couple minute later task group kill manually marathon agent see repeatedly attempt kill task hour call visible agent log executor log indicate point nested container launch successfully agent log code nov mesos got assign task group contain task framework nov mesos unschedule lib mesos slave slave framework nov mesos unschedule lib mesos slave meta slave framework nov mesos launching task group contain task framework nov mesos try chown lib mesos slave slave framework executor instance user root nov mesos launch executor instance framework resource work directory lib mesos slave slave framework executor instance nov mesos skip non docker container nov mesos start container executor instance framework nov mesos queued task group contain task executor instance framework nov mesos start listen oom event container nov mesos start listen low memory pressure event container nov mesos start listen medium memory pressure event container nov mesos start listen critical memory pressure event container nov mesos updated container nov mesos updated container nov mesos update cpus container nov mesos update cpus container nov mesos container prepare lib mesos slave slave framework executor instance user root value instance resource cpus type scalar scalar value resource mem type scalar scalar value resource disk type scalar scalar value resource port type ranges range range begin end role command value mesosphere package meso libexec meso meso default executor user root shell false argument meso default executor value container type meso label label key value label key value dat label key value scout rcluster cni protocol tcp protocol tcp protocol tcp protocol tcp protocol tcp label type default value mesosphere package meso libexec meso meso default executor user root shell false argument meso default executor type meso label label key value label key value dat label key nov mesos value scout rcluster cni protocol tcp protocol tcp protocol tcp protocol tcp protocol tcp resource cpus type scalar scalar value resource mem type scalar scalar value resource disk type scalar scalar value resource port type ranges range range begin end role nov mesos registering retrieve endpoint value instance resource cpus type scalar scalar value resource mem type scalar scalar value resource disk type scalar scalar value resource port type ranges range range begin end role command value mesosphere package meso libexec meso meso default executor user root shell false argument meso default executor value container type meso label label key value label key value dat label key value scout rcluster cni protocol tcp protocol tcp protocol tcp protocol tcp protocol tcp label type default nov mesos dispatching wait ticket nov mesos reader construct nov mesos reader listen nov mesos new ephemeral port reader create nov mesos write container run meso isolator nov mesos result ticket complete return value nov mesos dispatch result obtain ticket wait nov mesos assign child process nov mesos assign child process nov mesos launch container clone namespace nov mesos assign child process nov mesos checkpointing container fork pid lib mesos slave meta slave framework executor instance pid nov mesos bind mount net mesos isolator network container nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos got assign address cni network rcluster cni container nov mesos dns nameserver container nov mesos nameserver nov mesos nameserver nov mesos http post executor nov mesos receive subscribe request http executor instance framework nov mesos create marker file http base executor instance framework http path lib mesos slave meta slave framework executor instance nov mesos update disk resource container nov mesos updated container nov mesos updated container nov mesos update cpus container nov mesos update cpus container nov mesos send queued task group task group contain task executor instance framework http nov mesos http post nov mesos processing nov mesos start nested container nov mesos http post nov mesos try chown lib mesos slave slave framework executor instance user nov mesos processing nov mesos http post nov mesos processing nov mesos http post nov mesos processing nov mesos start nested container nov mesos try chown lib mesos slave slave framework executor instance container user nov mesos start nested container nov mesos try chown lib mesos slave slave framework executor instance user nov mesos start nested container nov mesos try chown lib mesos slave slave framework executor instance container user nov mesos http post nov mesos processing nov mesos start nested container nov mesos try chown lib mesos slave slave framework executor instance container user nov mesos provision image rootfs lib mesos slave provisioner backend copy container nov mesos provision image rootfs lib mesos slave provisioner container backend copy rootfse container nov mesos provision image rootfs lib mesos slave provisioner backend copy container nov mesos provision image rootfs lib mesos slave provisioner container backend copy container nov mesos provision image rootfs lib mesos slave provisioner container backend copy container nov mesos http nov mesos container user support container nov mesos assign child process nov mesos assign child process nov mesos launch nested container clone namespace nov mesos container user support container nov mesos assign child process nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos container user support container nov mesos assign child process nov mesos assign child process nov mesos launch nested container clone namespace nov mesos container user support container nov mesos container user support container nov mesos assign child process nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos assign child process nov mesos assign child process nov mesos assign child process nov mesos launch nested container clone namespace nov mesos assign child process nov mesos assign child process nov mesos assign child process nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos assign child process nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos launch nested container clone namespace nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos assign child process nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos launch nested container clone namespace nov mesos warning log initgooglelogging write stderr nov mesos fail ssl connection downgrade non ssl socket nov mesos assign child process nov mesos container exit nov mesos destroy container running state nov mesos ask destroy container nov mesos freezer destroy cgroup meso nov mesos freezing cgroup cgroup freezer meso nov mesos successfully freeze cgroup cgroup freezer meso nov mesos thawing cgroup cgroup freezer meso nov mesos successfully thaw cgroup cgroup freezer meso nov mesos destroy container rootfs lib mesos slave provisioner container backend copy container nov mesos checkpointe termination state nested container runtime directory run meso container termination nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos tcp throughput byte state nov mesos current disk usage max allow age nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos timed open metric connection expect metrics collector run agent state nov mesos attempt open connection nov mesos got error connection connect metric service expect metrics collector run agent state nov mesos scheduling reconnect nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http user windows khtml like gecko forwarded nov mesos throughput container port byte nov mesos http user windows khtml like gecko forwarded nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos tcp throughput byte state nov mesos current disk usage max allow age nov mesos http nov mesos timed open metric connection expect metrics collector run agent state nov mesos attempt open connection nov mesos got error connection connect metric service expect metrics collector run agent state nov mesos scheduling reconnect nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos throughput container port byte nov mesos http nov mesos http nov mesos http nov mesos http nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework nov mesos http nov mesos http nov mesos http nov mesos http nov mesos http nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework nov mesos ask kill task framework code executor log code version receive subscribed event subscribed executor receive event received kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active receive kill event receive kill task ignore kill task long active receive kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active receive kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active received kill event receive kill task ignore kill task long active continue hour code task staging mesos web sandbox	['nested']	3	1	Resolved	60	['http', 'container', 'user', 'task', 'slave', 'meso', 'receive', 'process', 'log', 'connection']
13148243	MESOS	oversubscriptiontest forwardupdateslavemessage flaky	observe failure noformat run oversubscriptiontest forwardupdateslavemessage create default local authorizer master start flag startup credential local share meso webui master master allow authenticated framework register master allow authenticated agent register master allow authenticate http framework register loading credential authentication credential default authenticator create default basic http authenticator realm mesos master readonly create default basic http authenticator realm mesos master readwrite create default basic http authenticator realm mesos master scheduler authorization enable whitelist give initialize hierarchical allocator process elect lead master recover registrar recovering registrar successfully fetch registry applied operation attempt update registry successfully update registry successfully recover registrar recover agent registry allow agent reregister skip recovery hierarchical allocator recover attempt spawn run process isolation posix cpu posix mem filesystem posix network cni fail create aufs backend aufsbackend require root privilege fail create bind backend bindbackend require root privilege default backend copy create default local authorizer mesos agent start flag startup store appc cgroup credential run store docker run meso isolator docker volume fetch cpu posix mem src build src mesos sandbox systemd system loading credential authentication credential agent credential test principal loading credential authentication create default basic http authenticator realm meso agent executor create default jwt http authenticator realm meso agent executor create default basic http authenticator realm meso agent readonly create default jwt http authenticator realm meso agent readonly create default basic http authenticator realm meso agent readwrite create default jwt http authenticator realm meso agent readwrite create default disk profile adaptor module agent resource agent attribute agent hostname pausing send task status update recover state meta recover task status update manager recover containerizer provisioner recovery complete finished recovery pausing send task status update new master detect detect new master authenticating master default cram authenticatee create new client sasl connection authenticating start authentication session create new server sasl connection receive sasl authentication mechanism cram attempt authenticate mechanism cram receive sasl authentication start authentication require step receive sasl authentication step receive sasl authentication step request lookup property user test principal realm server fqdn false false false look auxiliary property userpassword look auxiliary property cmusaslsecretcram request lookup property user test principal realm server fqdn false false true skip auxiliary property userpassword true skip auxiliary property cmusaslsecretcram true authentication success authentication success successfully authenticate principal test principal authentication session cleanup successfully authenticate master retry registration necessary receive register agent message authorize agent provide resource principal test principal authorized registration agent register agent applied operation attempt update registry successfully update registry admit agent register agent retry registration necessary receive register agent message register master give agent add agent allocate resume send task status update authorize agent provide resource principal test principal checkpointe slaveinfo meta slave perform allocation agent authorized registration agent agent register resende acknowledgement forward agent update register master forward agent update ignore update agent report change ignore update agent report change perform allocation agent src src test failure value actual true expect false agent terminate agent disconnect disconnect agent deactivate agent agent deactivate master terminate removed agent fail oversubscriptiontest forwardupdateslavemessage	['flaky-test', 'mesosphere']	3	1	Resolved	81	['receive', 'slave', 'default', 'status', 'authentication', 'request', 'send', 'task', 'offer', 'new']
