topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.00017183057	0.00018325377	0.00019208249	0.32267332	0.23217309	0.00016753541	0.44390464	0.0001750451	0.00018500203	0.00017422417
0.00012188077	0.08448811	0.026438635	0.5961315	0.007914483	0.00011883345	0.1199489	0.15742517	0.00013122075	0.0072812415
0.8996734	0.011469836	0.012022886	0.011073881	0.011092979	0.01048588	0.010740514	0.010955846	0.011579519	0.010905203
0.09682448	0.10325401	0.10822075	0.099694714	0.09986815	0.094403915	0.09669366	0.09863207	0.10423758	0.09817065
0.00018376592	0.0001959775	0.0002054139	0.056344334	0.00018954338	0.00017917	0.13071707	0.00018719828	0.00019784749	0.8115997
0.00055039907	0.0005869838	0.092058696	0.000566732	0.0005677217	0.0005366413	0.9030263	0.0009558806	0.0005925707	0.00055806676
0.010755705	0.011469465	0.012021679	0.011074108	0.011093371	0.010486231	0.010740518	0.010956145	0.01157937	0.89982337
0.0027430884	0.002925397	0.0030662576	0.002824476	0.0028293524	0.0026745475	0.97440773	0.0027943512	0.0029532148	0.0027815658
0.045175884	0.04817663	0.050499495	0.04651886	0.046598934	0.044046767	0.5785187	0.046020456	0.04864024	0.045804046
0.32499048	0.004128912	0.004328109	0.0039865747	0.003993497	0.6426677	0.0038664856	0.0039440272	0.004168627	0.003925623
0.0009978708	0.99075794	0.0011154443	0.0010274507	0.0010292527	0.0009729174	0.0009965011	0.0010164942	0.0010743366	0.0010117405
0.0056938725	0.0060718777	0.006364129	0.005862564	0.0058727874	0.0055514704	0.005686059	0.005800008	0.9473242	0.0057730055
0.017373608	0.8390824	0.019421618	0.01788983	0.017921166	0.016939268	0.017350815	0.017698836	0.018706342	0.017616095
0.4808962	0.005352266	0.4778972	0.0051676217	0.0051765684	0.0048932876	0.0050121094	0.0051125246	0.0054034516	0.0050887126
0.0071325973	0.0076064076	0.007972233	0.0073439186	0.0073563736	0.93328977	0.0071226037	0.007265395	0.0076783635	0.007232296
0.15683591	0.010177107	0.010667195	0.009826147	0.009843207	0.009304549	0.0095302295	0.76386476	0.010274859	0.00967604
0.014416466	0.01537427	0.016113976	0.014844205	0.014869742	0.014056246	0.014397168	0.014685846	0.015523128	0.8657189
0.007788138	0.008305223	0.00870514	0.008018856	0.008032873	0.0075931787	0.007777384	0.9274983	0.008384461	0.007896463
0.009543167	0.010177504	0.010667433	0.009826447	0.009843201	0.009304414	0.0095302	0.009721575	0.91171	0.009676098
0.02946185	0.031418867	0.032934487	0.030336361	0.030389108	0.028725278	0.02942472	0.7257176	0.031718798	0.029872883
0.0144163985	0.015376504	0.016115274	0.014845291	0.014870484	0.014056171	0.014398129	0.014686668	0.86661726	0.01461777
0.0026570258	0.0028335457	0.0029699279	0.0027358388	0.0027405962	0.0025906346	0.002653421	0.002706685	0.1831259	0.7949864
0.010755343	0.011470558	0.012022876	0.0110744815	0.0110939955	0.010486185	0.010740846	0.01095632	0.011579693	0.8998197
0.010755122	0.011469286	0.012021452	0.011073928	0.0110935345	0.01048603	0.010740428	0.0109558385	0.90049917	0.010905261
0.0027430605	0.0029253585	0.0030661935	0.0028245267	0.0028293922	0.4017724	0.42808196	0.0027943912	0.0029533	0.15000941
0.7961097	0.02330968	0.024430245	0.022505525	0.0225449	0.021311415	0.021827875	0.02226571	0.023532562	0.022162395
0.021859298	0.02331045	0.024433311	0.022508036	0.022546362	0.021313692	0.02182931	0.02226728	0.79776865	0.022163607
0.006578051	0.0070153265	0.0073530953	0.0067735347	0.006785361	0.006413616	0.006569388	0.0067011546	0.0070821084	0.93872833
