topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.00010216786	0.000111925525	0.014733732	0.24235436	0.40215984	9.937592e-05	0.33208337	0.00010746054	0.00010452758	0.000107356944	0.000103349215	0.000102426806	0.000103584905	0.00010019894	9.944538e-05	0.000108326916	0.00010279498	0.0073157507
7.2470364e-05	0.32106966	0.08966612	0.34454763	0.04068854	7.0489965e-05	0.07022457	0.036295805	7.414417e-05	7.615112e-05	7.330833e-05	7.265404e-05	7.3475516e-05	7.107375e-05	7.053924e-05	0.08668931	7.2915194e-05	0.010091174
0.006346901	0.006953069	0.0070335506	0.006719906	0.00674836	0.006173459	0.0065793972	0.0066756937	0.0064934916	0.0066692582	0.0064202896	0.006362987	0.006434931	0.88840455	0.006177774	0.0067295153	0.0063858586	0.006691034
0.05386944	0.059014298	0.05969739	0.057035327	0.057276834	0.05239735	0.055842757	0.056660075	0.05511363	0.056605455	0.05449233	0.054005973	0.054616597	0.0528313	0.052433975	0.057116885	0.054200098	0.056790277
0.00010926083	0.11908605	0.0001210814	0.00011568205	0.00011617189	0.00010627505	0.062378574	0.00011492094	0.000111784364	0.8168549	0.0001105242	0.000109537745	0.000110776244	0.00010715521	0.00010634934	0.00011584748	0.00010993148	0.00011518502
0.00032716582	0.00035841216	0.15193477	0.00034639324	0.00034785998	0.00031822533	0.69391304	0.0003441142	0.00033472214	0.00034378248	0.0003309488	0.000327995	0.00033170352	0.088862486	0.00031844777	0.00034688856	0.00032917398	0.060583923
0.0063469424	0.0069531137	0.0070335963	0.006719949	0.006748404	0.006173499	0.00657944	0.006675737	0.0064935335	0.6059118	0.0064203306	0.0063630277	0.006434972	0.28916132	0.0061778137	0.006729559	0.0063859	0.0066910773
0.0016280009	0.001783485	0.0018041288	0.0017236779	0.0017309766	0.0015835125	0.0016876372	0.0017123373	0.0016656019	0.0017106867	0.0016468252	0.001632127	0.0016505808	0.9713754	0.0015846193	0.0017261428	0.0016379937	0.0017162722
0.026028333	0.028514199	0.028844254	0.027558012	0.0276747	0.025317056	0.54380745	0.027376695	0.026629495	0.027350305	0.026329296	0.0260943	0.026389338	0.025526728	0.025334751	0.027597416	0.026188098	0.02743961
0.0022959858	0.0025152664	0.002544381	0.00243092	0.0024412135	0.0022332433	0.002380091	0.0024149264	0.0023490146	0.002412598	0.002322534	0.002301805	0.0023278305	0.0022517387	0.17712821	0.0024343962	0.78479534	0.0024204757
0.00059295	0.0006495804	0.0006570993	0.00062779745	0.0006304558	0.0005767464	0.00061467063	0.000623667	0.000606645	0.0006230658	0.0005998062	0.8703374	0.11985108	0.000581523	0.00057714956	0.0006286952	0.0005965896	0.00062510016
0.0033721349	0.0036941944	0.0037369546	0.0035703138	0.0035854317	0.0032799842	0.0034956608	0.0035468235	0.0034500188	0.0035434046	0.9408128	0.0033806812	0.0034189052	0.0033071488	0.0032822767	0.0035754193	0.003392833	0.003554974
0.01020536	0.011180036	0.011309445	0.010805125	0.010850879	0.009926478	0.010579198	0.010734036	0.010441068	0.010723689	0.010323363	0.010231225	0.010346905	0.010008688	0.009933417	0.010820577	0.010268002	0.82131255
0.22794855	0.0032578853	0.0032955955	0.0031486358	0.0031619682	0.0028925962	0.0030828	0.00312792	0.0030425487	0.0031249048	0.0030082494	0.0029814004	0.0030151098	0.22826357	0.49736786	0.0031531386	0.0029921168	0.0031351077
0.0042197444	0.25012797	0.004676264	0.004467737	0.004486655	0.0041044313	0.0043743197	0.68060035	0.004317205	0.004434064	0.0042685363	0.004230439	0.004278271	0.0041384236	0.0041073	0.004474126	0.0042456454	0.0044485414
0.0056365947	0.0061749234	0.006246399	0.005967855	0.005993125	0.005482563	0.005843071	0.005928591	0.005766779	0.0059228754	0.0057017696	0.0056508803	0.0057147723	0.005527969	0.900852	0.0059763887	0.0056711924	0.0059422143
0.008485895	0.009296349	0.009403955	0.008984608	0.009022652	0.008254	0.008796746	0.008925495	0.008681889	0.008916892	0.008584016	0.008507402	0.0086035915	0.8507953	0.0082597695	0.008997455	0.008537982	0.008946005
0.004605647	0.005045515	0.005103917	0.0048763193	0.0048969677	0.0044797887	0.004774359	0.91934776	0.004712021	0.004839567	0.004658902	0.0046173204	0.0046695266	0.00451689	0.00448292	0.0048832926	0.0046339175	0.0048553683
0.0056365607	0.9015412	0.0062463614	0.0059678196	0.005993089	0.00548253	0.005843036	0.0059285555	0.005766745	0.0059228404	0.0057017356	0.0056508463	0.0057147383	0.005527936	0.005486362	0.0059763533	0.0056711584	0.005942179
0.017159855	0.018798726	0.019016322	0.018168334	0.018245263	0.016690927	0.017788446	0.0180488	0.017556185	0.0180314	0.017358271	0.017203346	0.017397856	0.01682916	0.69815737	0.018194312	0.017265184	0.018090272
0.008485803	0.009296253	0.009403856	0.008984512	0.009022555	0.0082539115	0.008796651	0.0089254	0.008681797	0.008916795	0.008583923	0.0085073095	0.008603499	0.85079694	0.00825968	0.008997359	0.00853789	0.008945909
0.0015770276	0.0017276434	0.0017476408	0.0016697089	0.001676779	0.16026382	0.0016347964	0.0016587235	0.0016134513	0.8136523	0.0015952626	0.0015810245	0.0015989005	0.0015466359	0.0015350042	0.0016720966	0.0015867074	0.001662535
0.006346947	0.006953119	0.007033602	0.006719955	0.0067484095	0.0061735036	0.006579445	0.006675742	0.006493538	0.6379444	0.0064203357	0.006363033	0.006434977	0.006224632	0.25708184	0.006729564	0.0063859047	0.0066910824
0.0063469484	0.0069531207	0.0070336033	0.006719956	0.006748411	0.006173505	0.006579446	0.0066757435	0.8886726	0.006669309	0.006420337	0.0063630342	0.006434979	0.006224633	0.0061778203	0.0067295656	0.0063859066	0.006691084
0.0016280045	0.0017834889	0.0018041328	0.0017236817	0.0017309804	0.1640852	0.0016876407	0.0017123411	0.0016656055	0.3037393	0.0016468288	0.0016321306	0.0016505844	0.0015966303	0.0015846228	0.0017261466	0.0016379972	0.5069647
0.012798838	0.014021206	0.014183501	0.013551021	0.013608401	0.012449085	0.013267678	0.013461865	0.013094446	0.0134488875	0.01294683	0.012831277	0.012976355	0.012552186	0.77486783	0.013570399	0.012877399	0.013492799
0.012798966	0.014021346	0.014183642	0.013551157	0.013608537	0.012449208	0.013267811	0.013462	0.77550226	0.013449023	0.01294696	0.012831405	0.012976483	0.012552312	0.01245791	0.013570535	0.012877527	0.013492934
0.003893512	0.0042653666	0.0043147383	0.004122332	0.75399023	0.003787114	0.0040361374	0.00409521	0.003983438	0.004091263	0.0039385324	0.0039033801	0.003947514	0.18169123	0.003789761	0.0041282275	0.003917411	0.004104621
0.002296016	0.0025153	0.0025444147	0.0024309522	0.0024412456	0.002233273	0.0023801227	0.2991687	0.0023490458	0.0024126302	0.0023225646	0.0023018352	0.0023278613	0.33524185	0.3298691	0.0024344283	0.0023101093	0.0024205078
0.49469203	0.0030762635	0.0031118717	0.0029731046	0.0029856937	0.0027313386	0.002910939	0.0029535436	0.0028729313	0.45893934	0.0028405443	0.0028151919	0.0028470221	0.0027539593	0.0027332478	0.002977356	0.0028253114	0.002960331
0.007262134	0.007955712	0.0080478	0.0076889265	0.007721484	0.8722538	0.0075281565	0.007638339	0.007429863	0.0076309764	0.0073461053	0.0072805397	0.007362858	0.007122182	0.0070686187	0.0076999217	0.00730671	0.0076558916
0.16463889	0.009296253	0.009403857	0.008984514	0.009022557	0.008253914	0.008796654	0.69524693	0.008681797	0.008916798	0.008583927	0.008507313	0.008603502	0.008322272	0.008259684	0.008997361	0.008537893	0.008945912
0.0038935228	0.0042653778	0.29261273	0.004122344	0.004139799	0.0037871243	0.004036148	0.0040952214	0.0039834487	0.0040912735	0.003938543	0.003903391	0.003947525	0.0038184887	0.0037897713	0.0041282387	0.0039174217	0.64352965
0.002659761	0.0029137847	0.0029475118	0.0028160743	0.0028279987	0.0025870777	0.0027571921	0.0027975466	0.002721192	0.0027948497	0.0026905155	0.0026665023	0.47622067	0.0026085034	0.002588886	0.0028201013	0.002676087	0.47990572
0.0072621666	0.007955749	0.008047837	0.0076889615	0.0077215196	0.007063713	0.31411678	0.0076383734	0.007429897	0.0076310104	0.007346138	0.0072805723	0.0073628905	0.5657231	0.0070686503	0.0076999567	0.0073067425	0.007655926
0.008485771	0.009296214	0.009403817	0.008984476	0.00902252	0.008253879	0.008796616	0.008925364	0.008681761	0.851392	0.00858389	0.008507277	0.008603466	0.008322237	0.008259648	0.008997324	0.008537857	0.008945875
0.0003427518	0.00037548665	0.00037983296	0.00036289517	0.0003644318	0.00033338537	0.00035530727	0.9020261	0.0003506681	0.09233195	0.00034671495	0.00034362046	0.00034750561	0.00033614642	0.0003336184	0.0003634141	0.0003448556	0.000361336
0.017159743	0.018798605	0.019016197	0.018168215	0.018245146	0.016690819	0.01778833	0.6995055	0.017556071	0.018031282	0.01735816	0.017203234	0.017397745	0.01682905	0.016702484	0.018194197	0.017265072	0.018090155
0.005069248	0.9114509	0.005617673	0.0053671654	0.005389892	0.0049307207	0.005254942	0.005331854	0.005186329	0.005326714	0.005127863	0.005082096	0.0051395576	0.0049715564	0.004934167	0.005374841	0.0051003634	0.005344106
0.001802841	0.0019750234	0.0019978844	0.0019087933	0.0019168757	0.0017535747	0.0018688816	0.0018962348	0.0018444802	0.0018944069	0.001823687	0.0018074102	0.9212783	0.0017680975	0.0017548003	0.0019115228	0.048896592	0.0019005921
0.010205373	0.01118005	0.011309459	0.010805139	0.010850892	0.0099264905	0.010579212	0.010734049	0.010441081	0.010723702	0.010323378	0.010231238	0.010346918	0.8205623	0.00993343	0.010820591	0.010268015	0.010758715
0.00018726525	0.19732822	0.00020752486	0.16074419	0.523228	0.00018214785	0.024020104	0.00019696628	0.0001915904	0.056544907	0.00018943058	0.00018773988	0.00018986256	0.00018365638	0.00018227517	0.035850275	0.0001884147	0.0001974189
0.0026597718	0.60423505	0.0029475237	0.0028160857	0.0028280101	0.0025870882	0.0027572033	0.0027975577	0.35202554	0.002794861	0.0026905267	0.002666513	0.0026966622	0.0026085142	0.0025888965	0.0028201127	0.0026760977	0.0028039864
0.27071473	0.005553373	0.0056176535	0.005367147	0.005389874	0.004930703	0.005254924	0.005331835	0.005186311	0.6455791	0.0051278453	0.005082078	0.005139539	0.0049715387	0.0049341493	0.005374822	0.0051003452	0.0053440873
0.010205363	0.011180038	0.011309447	0.010805128	0.010850881	0.009926481	0.0105792	0.010734038	0.01044107	0.010723691	0.010323366	0.010231229	0.010346909	0.8205625	0.0099334195	0.01082058	0.010268005	0.0107587045
5.9254056e-05	6.491318e-05	6.566456e-05	6.27364e-05	6.3002044e-05	5.7634817e-05	6.1424624e-05	6.2323634e-05	6.062261e-05	6.2263556e-05	5.9939204e-05	0.9989594	6.0075894e-05	5.8112142e-05	5.7675104e-05	6.282611e-05	5.9617763e-05	6.2466854e-05
0.01020538	0.011180057	0.011309466	0.010805147	0.010850899	0.009926497	0.010579218	0.82128745	0.010441087	0.010723709	0.010323384	0.010231245	0.010346926	0.010008707	0.009933435	0.010820597	0.010268021	0.010758722
