topic_0	topic_1	topic_2	topic_3
0.00042706082	0.00047362217	0.1714861	0.8276132
0.00030433526	0.10742229	0.16882041	0.723453
0.9208083	0.030485068	0.027635816	0.021070804
0.25744465	0.27978277	0.25881666	0.20395592
0.00046182153	0.88005096	0.00046421558	0.119023
0.0013886053	0.002403719	0.77781945	0.21838818
0.7932758	0.15801997	0.02752473	0.021179516
0.006983306	0.20185728	0.78579247	0.005366958
0.116100475	0.12621197	0.1196969	0.63799065
0.9719614	0.0106573505	0.009807833	0.00757344
0.0025224825	0.993003	0.002530837	0.0019436422
0.9578254	0.016281083	0.01465229	0.011241231
0.043565653	0.87692684	0.045032978	0.034474507
0.42024544	0.013736391	0.5562423	0.00977589
0.017923387	0.95033	0.017805288	0.013941364
0.43744397	0.026899401	0.5169294	0.018727325
0.036716044	0.89831626	0.036572494	0.028395183
0.5395215	0.021587724	0.4236279	0.01526287
0.023985416	0.9326297	0.024565857	0.018819056
0.07542158	0.08229372	0.78332746	0.058957215
0.036460005	0.04011896	0.036824934	0.8865961
0.5030335	0.45035356	0.006743081	0.03986983
0.92066485	0.03041495	0.02772404	0.02119613
0.027893273	0.03089579	0.027545186	0.9136657
0.0071162726	0.33694202	0.006914746	0.649027
0.84145063	0.060618613	0.054794725	0.043136053
0.05719859	0.060938098	0.055983573	0.82587975
0.016416073	0.018492214	0.016733482	0.94835824
0.2303144	0.7522812	0.009848811	0.007555611
0.9657057	0.013078643	0.011939764	0.009275899
0.03157804	0.9133956	0.030834433	0.024191894
0.25211388	0.04000762	0.67951643	0.028362064
0.06356157	0.01841609	0.9051129	0.012909454
0.6294181	0.012466048	0.011458805	0.3466571
0.031330835	0.55307955	0.39128327	0.024306308
0.03654098	0.8973427	0.037471518	0.02864483
0.05383151	0.0016002533	0.0014537896	0.94311446
0.07540453	0.081831336	0.07516582	0.7675983
0.021569086	0.94005454	0.021609578	0.016766848
0.7542894	0.008477856	0.23129912	0.005933631
0.32852617	0.59215146	0.044813354	0.03450906
0.0007870538	0.06521699	0.0008578943	0.9331381
0.96708345	0.012731013	0.011400151	0.00878532
0.9370986	0.024005782	0.022009231	0.016886353
0.87266374	0.04907885	0.043961234	0.034296155
0.0002474072	0.32294378	0.6766148	0.00019395612
0.046313636	0.04920684	0.8700195	0.03446001
0.031539492	0.16597988	0.77818453	0.024296101
0.90994704	0.034591775	0.03118145	0.024279773
0.5340715	0.026235789	0.42095828	0.018734394
0.9843354	0.005990435	0.0054303408	0.0042438316
0.010286149	0.9714663	0.010312208	0.007935314
0.0004937627	0.00055323454	0.0005031996	0.99844974
0.21980171	0.026490014	0.7350085	0.018699823
0.40547305	0.0061692796	0.58398235	0.0043753493
0.56832427	0.010775216	0.18956655	0.23133397
0.021842824	0.9393365	0.02201712	0.016803598
0.008313326	0.9770825	0.008219208	0.006384976
0.00024749612	0.22083917	0.7787195	0.00019383949
0.89340943	0.040961403	0.037102148	0.028527036
0.036409885	0.89864945	0.036422525	0.028518159
0.000760268	0.000847806	0.062961996	0.93542993
0.97691566	0.008826732	0.008074499	0.006183099
0.00012218431	0.012858019	0.00012337985	0.9868964
0.074162565	0.08231962	0.78501564	0.058502216
0.23413087	0.7361509	0.016780885	0.012937267
0.87124074	0.050005864	0.044388674	0.034364734
0.37869412	0.59172374	0.016647419	0.012934767
0.007949779	0.2914771	0.6943941	0.00617902
0.8734505	0.04806921	0.044061698	0.034418583
0.38374016	0.00798445	0.06884632	0.539429
0.0005396701	0.0006012392	0.00055566494	0.9983034
0.98199415	0.006790164	0.0063157673	0.004899944
0.4449198	0.48988408	0.03664242	0.02855375
0.9487408	0.019367244	0.01795012	0.01394184
0.9828595	0.0066152536	0.005928883	0.004596428
0.89436483	0.040120274	0.0369821	0.02853284
0.07591498	0.084133424	0.07653631	0.76341534
