topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99
0.0033071674	0.0032858807	0.0033607767	0.0033546432	0.0033289182	0.003425268	0.0032965227	0.0032966835	0.003392747	0.0033502053	0.003318125	0.0033072545	0.0033178271	0.0033180946	0.0033072694	0.0033394985	0.0032858807	0.0033072545	0.0033178963	0.0033179582	0.0032858807	0.0033288966	0.0033073178	0.0033180532	0.0033180697	0.0033073896	0.003307237	0.0032965222	0.0032965485	0.0032858807	0.0033179903	0.0032858807	0.0032858807	0.33780125	0.003296646	0.0033392534	0.0033180206	0.0032858807	0.0033288281	0.0032966775	0.0032966463	0.003296486	0.0033285508	0.0033073963	0.0032858807	0.003307293	0.0033072904	0.0033505084	0.0033394035	0.0033072284	0.0032965017	0.0032965222	0.0032858807	0.0032968565	0.0032858807	0.0033393006	0.0032858807	0.0032858807	0.0032966149	0.00329652	0.0032858807	0.0033285802	0.0032858807	0.0033179931	0.003339452	0.0032858807	0.0033711083	0.0032965865	0.0033284207	0.337801	0.0032964894	0.0032966149	0.0033075907	0.0032965532	0.0032858807	0.0033179645	0.0033180686	0.003317832	0.0032858807	0.0033179435	0.0032858807	0.0032966018	0.0032858807	0.0032858807	0.0033505445	0.0033073209	0.0032965692	0.0032858807	0.0033288281	0.0033073847	0.0033286496	0.0032858807	0.0032858807	0.0033073328	0.0032966018	0.0033182073	0.0032858807	0.0032965692	0.0033388094	0.003307358
0.0010998123	0.0010927333	0.0011176404	0.0011156007	0.0011070457	0.0011390873	0.0010962724	0.0010963259	0.0011282722	0.0011141248	0.0011034564	0.0010998413	0.0011033573	0.0011034462	0.0010998463	0.0011105642	0.0010927333	0.0010998413	0.0011033802	0.001103401	0.0010927333	0.0011070386	0.0010998624	0.0011034325	0.001103438	0.0010998863	0.0010998356	0.0010962723	0.001096281	0.0010927333	0.0011034115	0.0010927333	0.0010927333	0.0010962723	0.0010963135	0.0011104826	0.0011034217	0.0010927333	0.0011070158	0.0010963238	0.0010963135	0.0010962603	0.0011069236	0.0010998885	0.0010927333	0.0010998541	0.0010998533	0.0011142256	0.0011105326	0.0010998327	0.0010962655	0.0010962723	0.0010927333	0.0010963834	0.0010927333	0.0011104984	0.0010927333	0.0010927333	0.0010963031	0.0010962716	0.0010927333	0.0011069333	0.0010927333	0.0011034125	0.0011105487	0.0010927333	0.0011210762	0.0010962937	0.0011068803	0.0010963103	0.0010962613	0.0010963031	0.0010999532	0.0010962825	0.0010927333	0.0011034029	0.0011034376	0.0011033589	0.0010927333	0.0011033961	0.0010927333	0.8910239	0.0010927333	0.0010927333	0.0011142376	0.0010998634	0.001096288	0.0010927333	0.0011070158	0.0010998846	0.0011069564	0.0010927333	0.0010927333	0.0010998674	0.0010962987	0.0011034837	0.0010927333	0.001096288	0.001110335	0.0010998758
0.00010865823	0.00010795884	0.00011041958	0.00011021807	0.00010937286	0.000112538466	0.000108308486	0.00010831378	0.00011146997	0.00011007225	0.00010901824	0.000108661094	0.000109008455	0.000109017245	0.00010866158	0.00010972047	0.00010795884	0.000108661094	0.000109010725	0.00010901276	0.00010795884	0.00010937215	0.00010866317	0.000109015884	0.00010901643	0.000108665525	0.00010866052	0.00010830848	0.00010830934	0.00010795884	0.00010901382	0.00010795884	0.00010795884	0.00010830848	0.00010831254	0.00010971242	0.00010901481	0.00010795884	0.0001093699	0.00010831357	0.00010831255	0.00010830729	0.00010936079	0.00010866575	0.00010795884	0.00010866235	0.000108662265	0.00011008221	0.00010971735	0.00010866023	0.0001083078	0.00010830848	0.00010795884	0.9892335	0.00010795884	0.000109713976	0.00010795884	0.00010795884	0.00010831152	0.000108308406	0.00010795884	0.000109361754	0.00010795884	0.00010901391	0.00010971895	0.00010795884	0.000110759036	0.00010831059	0.000109356515	0.00010831223	0.000108307395	0.00010831152	0.00010867214	0.00010830949	0.00010795884	0.000109012966	0.000109016386	0.000109008615	0.00010795884	0.00010901228	0.00010795884	0.00010831109	0.00010795884	0.00010795884	0.0001100834	0.00010866327	0.00010831002	0.00010795884	0.0001093699	0.00010866537	0.00010936404	0.00010795884	0.00010795884	0.00010866366	0.00010831109	0.00010902095	0.00010795884	0.00010831002	0.00010969784	0.00010866449
0.0009897166	0.0009833464	0.00100576	0.0010039245	0.36115077	0.00102506	0.000986531	0.0009865792	0.0010153275	0.0010025963	0.0009929958	0.0009897428	0.0009929067	0.0009929868	0.0009897472	0.0009993922	0.0009833464	0.0009897428	0.0009929275	0.000992946	0.0009833464	0.0009962195	0.0009897617	0.0009929744	0.0009929794	0.0009897831	0.5417814	0.000986531	0.0009865388	0.0009833464	0.0009929555	0.0009833464	0.0009833464	0.000986531	0.0009865679	0.0009993188	0.0009929646	0.0009833464	0.000996199	0.0009865774	0.000986568	0.0009865202	0.000996116	0.0009897852	0.0009833464	0.0009897542	0.0009897535	0.001002687	0.0009993637	0.0009897349	0.0009865249	0.000986531	0.0009833464	0.000986631	0.0009833464	0.000999333	0.0009833464	0.0009833464	0.0009865586	0.0009865303	0.0009833464	0.0009961248	0.0009833464	0.0009929565	0.0009993783	0.0009833464	0.0010088519	0.0009865502	0.0009960771	0.0009865651	0.0009865211	0.0009865586	0.0009898434	0.0009865402	0.0009833464	0.0009929478	0.0009929789	0.0009929083	0.0009833464	0.0009929416	0.0009833464	0.0009865548	0.0009833464	0.0009833464	0.0010026979	0.0009897626	0.000986545	0.0009833464	0.000996199	0.0009897817	0.0009961455	0.0009833464	0.0009833464	0.0009897662	0.0009865548	0.0009930206	0.0009833464	0.000986545	0.000999186	0.0009897737
0.0024781974	0.0024622465	0.0025183691	0.0025137733	0.0024944963	0.0025666952	0.002470221	0.0024703417	0.0025423258	0.0025104475	0.0024864085	0.0024782629	0.0024861852	0.46795562	0.002478274	0.0025024246	0.0024622465	0.0024782629	0.002486237	0.0024862834	0.0024622465	0.0024944802	0.0024783101	0.0024863547	0.002486367	0.002478364	0.0024782498	0.0024702207	0.0024702402	0.0024622465	0.0024863076	0.0024622465	0.0024622465	0.0024702207	0.0024703133	0.0025022407	0.0024863302	0.0024622465	0.0024944288	0.0024703369	0.0024703136	0.0024701937	0.002494221	0.002478369	0.0024622465	0.0024782915	0.0024782897	0.0025106748	0.0025023534	0.0024782433	0.0024702053	0.0024702207	0.0024622465	0.0024704712	0.0024622465	0.0025022763	0.0024622465	0.0024622465	0.00247029	0.002470219	0.0024622465	0.002494243	0.0024622465	0.0024863097	0.0025023897	0.0024622465	0.0025261112	0.0024702689	0.0024941235	0.0024703064	0.002470196	0.00247029	0.0024785148	0.0024702437	0.0024622465	0.002486288	0.002486366	0.28899175	0.0024622465	0.0024862725	0.0024622465	0.0024702803	0.0024622465	0.0024622465	0.0025107018	0.0024783125	0.002470256	0.0024622465	0.0024944288	0.0024783604	0.0024942951	0.0024622465	0.0024622465	0.0024783215	0.0024702803	0.0024864704	0.0024622465	0.002470256	0.0025019082	0.0024783404
0.0012374712	0.0012295062	0.0012575308	0.0012552358	0.00124561	0.001281662	0.0012334882	0.0012335485	0.0012694933	0.0012535751	0.0012415713	0.0012375038	0.0012414599	0.00124156	0.0012375095	0.0012495689	0.0012295062	0.0012375038	0.0012414857	0.001241509	0.0012295062	0.0012456019	0.0012375276	0.0012415445	0.0012415507	0.0012375544	0.0012374973	0.0012334881	0.0012334979	0.0012295062	0.001241521	0.0012295062	0.0012295062	0.0012334881	0.0012335344	0.0012494772	0.0012415323	0.0012295062	0.0012455763	0.0012335462	0.0012335345	0.0012334746	0.0012454726	0.0012375569	0.0012295062	0.0012375183	0.0012375173	0.877404	0.0012495333	0.001237494	0.0012334804	0.0012334881	0.0012295062	0.0012336132	0.0012295062	0.0012494948	0.0012295062	0.0012295062	0.0012335228	0.0012334873	0.0012295062	0.0012454835	0.0012295062	0.001241522	0.0012495515	0.0012295062	0.0012613967	0.0012335121	0.0012454238	0.0012335309	0.0012334757	0.0012335228	0.0012376297	0.0012334996	0.0012295062	0.0012415113	0.0012415502	0.0012414617	0.0012295062	0.0012415035	0.0012295062	0.0012335179	0.0012295062	0.0012295062	0.0012537021	0.0012375287	0.0012335057	0.0012295062	0.0012455763	0.0012375526	0.0012455095	0.0012295062	0.0012295062	0.0012375332	0.0012335178	0.0012416022	0.0012295062	0.0012335057	0.001249311	0.0012375426
0.0049694814	0.0049374956	0.005050037	0.0050408207	0.005002165	0.0051469444	0.0049534864	0.0049537285	0.0050980765	0.005034152	0.0049859467	0.0049696127	0.004985499	0.0049859015	0.004969635	0.005018064	0.0049374956	0.0049696127	0.004985603	0.004985696	0.0049374956	0.005002133	0.0049697077	0.004985839	0.004985864	0.0049698153	0.0049695866	0.004953486	0.004953525	0.0049374956	0.0049857446	0.0049374956	0.0049374956	0.004953486	0.0049536717	0.005017695	0.00498579	0.0049374956	0.00500203	0.004953719	0.004953672	0.0049534314	0.0050016134	0.0049698255	0.0049374956	0.0049696704	0.0049696667	0.0050346074	0.005017921	0.0049695736	0.004953455	0.004953486	0.0049374956	0.0049539884	0.0049374956	0.0050177663	0.0049374956	0.0049374956	0.004953625	0.0049534827	0.0049374956	0.005001657	0.0049374956	0.004985749	0.005017994	0.0049374956	0.005065562	0.0049535823	0.5076412	0.0049536577	0.004953436	0.004953625	0.004970118	0.0049535325	0.0049374956	0.004985706	0.004985862	0.0049855066	0.0049374956	0.0049856743	0.0049374956	0.004953605	0.0049374956	0.0049374956	0.005034662	0.0049697123	0.0049535567	0.0049374956	0.00500203	0.0049698083	0.005001762	0.0049374956	0.0049374956	0.00496973	0.004953605	0.004986071	0.0049374956	0.0049535567	0.005017028	0.004969768
0.0019815133	0.0019687593	0.002013634	0.002009959	0.0019945456	0.0020522743	0.0019751356	0.001975232	0.002032789	0.0020072998	0.0019880787	0.0019815657	0.0019879004	0.0019880605	0.0019815746	0.0020008849	0.0019687593	0.0019815657	0.0019879418	0.0019879788	0.0019687593	0.0019945328	0.0019816037	0.0019880359	0.0019880456	0.0019816465	0.0019815553	0.80365944	0.001975151	0.0019687593	0.0019879981	0.0019687593	0.0019687593	0.0019751354	0.0019752095	0.002000738	0.0019880163	0.0019687593	0.0019944918	0.0019752283	0.0019752097	0.0019751138	0.0019943255	0.0019816507	0.0019687593	0.0019815888	0.0019815871	0.0020074814	0.002000828	0.0019815501	0.001975123	0.0019751354	0.0019687593	0.0019753356	0.0019687593	0.0020007663	0.0019687593	0.0019687593	0.0019751908	0.001975134	0.0019687593	0.001994343	0.0019687593	0.0019879998	0.0020008571	0.0019687593	0.0020198242	0.0019751738	0.0019942475	0.0019752039	0.0019751156	0.0019751908	0.0019817671	0.0019751538	0.0019687593	0.0019879825	0.001988045	0.0019879034	0.0019687593	0.0019879702	0.0019687593	0.001975183	0.0019687593	0.0019687593	0.002007503	0.0019816055	0.0019751636	0.0019687593	0.0019944918	0.0019816437	0.0019943847	0.0019687593	0.0019687593	0.0019816125	0.001975183	0.0019881283	0.0019687593	0.0019751636	0.002000472	0.0019816277
0.0016506892	0.0016400644	0.001677447	0.0016743856	0.0016615456	0.0017096361	0.0016453761	0.0016454565	0.001693404	0.0016721705	0.0016561584	0.0016507327	0.0016560097	0.0016561432	0.0016507402	0.59984046	0.0016400644	0.0016507327	0.0016560442	0.0016560751	0.0016400644	0.0016615349	0.0016507643	0.0016561226	0.0016561308	0.0016508	0.001650724	0.001645376	0.001645389	0.0016400644	0.0016560912	0.0016400644	0.0016400644	0.001645376	0.0016454377	0.0016667041	0.0016561062	0.0016400644	0.0016615007	0.0016454534	0.0016454378	0.0016453579	0.0016613622	0.0016508035	0.0016400644	0.0016507518	0.0016507506	0.0016723217	0.001666779	0.0016507197	0.0016453657	0.001645376	0.0016400644	0.0016455428	0.0016400644	0.0016667277	0.0016400644	0.0016400644	0.0016454222	0.0016453748	0.0016400644	0.0016613768	0.0016400644	0.0016560926	0.0016668033	0.0016400644	0.0016826037	0.001645408	0.0016612973	0.23826598	0.0016453594	0.0016454222	0.0016509005	0.0016453913	0.0016400644	0.0016560783	0.0016561302	0.0016560121	0.0016400644	0.0016560678	0.0016400644	0.0016454156	0.0016400644	0.0016400644	0.0016723397	0.0016507658	0.0016453995	0.0016400644	0.0016615007	0.0016507977	0.0016614115	0.0016400644	0.0016400644	0.0016507717	0.0016454156	0.0016561996	0.0016400644	0.0016453995	0.0016664824	0.0016507843
0.00089965743	0.00089386676	0.00091424095	0.0009125725	0.0009055744	0.0009317847	0.0008967617	0.00089680555	0.5813831	0.00091136515	0.00090263825	0.0008996812	0.0009025572	0.00090263004	0.00089968526	0.00090845255	0.00089386676	0.0008996812	0.0009025761	0.0009025929	0.00089386676	0.00090556854	0.0008996984	0.00090261875	0.0009026233	0.0008997179	0.00089967647	0.00089676166	0.17424123	0.00089386676	0.00090260163	0.00089386676	0.00089386676	0.15705185	0.0008967953	0.0009083859	0.0009026099	0.00089386676	0.0009055499	0.00089680386	0.00089679536	0.0008967518	0.0009054745	0.0008997198	0.00089386676	0.0008996916	0.00089969096	0.0009114476	0.0009084267	0.0008996741	0.0008967561	0.00089676166	0.00089386676	0.0008968526	0.00089386676	0.00090839877	0.00089386676	0.00089386676	0.0008967868	0.0008967611	0.00089386676	0.00090548245	0.00089386676	0.0009026024	0.00090844	0.00089386676	0.0009170515	0.0008967791	0.0009054391	0.00089679274	0.0008967527	0.0008967868	0.0008997726	0.00089677004	0.00089386676	0.0009025946	0.00090262294	0.0009025586	0.00089386676	0.00090258894	0.00089386676	0.00089678325	0.00089386676	0.00089386676	0.00091145746	0.0008996992	0.00089677447	0.00089386676	0.0009055499	0.00089971663	0.00090550137	0.00089386676	0.00089386676	0.0008997025	0.00089678325	0.0009026607	0.00089386676	0.00089677447	0.0009082651	0.0008997093
