topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.025418648	0.024993896	0.026310049	0.02635425	0.02723879	0.028684724	0.025870379	0.025329327	0.025890155	0.025040776	0.7149763	0.023892723
0.008282293	0.4414348	0.4741683	0.008587226	0.008875427	0.0093465205	0.008429516	0.008253247	0.008436016	0.008159215	0.008242378	0.007785047
0.00081089785	0.0007973574	0.0008393287	0.00084075105	0.0008689752	0.17674091	0.0008253101	0.0008080552	0.0008259447	0.0007988492	0.8150814	0.0007622215
0.007445655	0.007321294	0.0077067357	0.0077197743	0.49314988	0.008402446	0.43150738	0.0074195773	0.0075838547	0.007334995	0.0074097877	0.006998682
0.018900892	0.018585356	0.019563483	0.019596856	0.020254772	0.79057926	0.019236758	0.018834928	0.019251738	0.018620081	0.01880975	0.017766153
0.009330642	0.009174817	0.8957453	0.009674125	0.009998819	0.010529975	0.009496504	0.009297895	0.009503805	0.009191949	0.009285659	0.008770533
0.03879729	0.03814943	0.040157616	0.040225532	0.56792194	0.04378257	0.039486874	0.038661484	0.039517418	0.038220897	0.038610484	0.036468435
0.8313849	0.014792319	0.015571181	0.015597316	0.016121035	0.01697679	0.015310936	0.014990834	0.015323067	0.014819959	0.014971019	0.014140623
0.012494107	0.012284994	0.012931786	0.012953757	0.8608594	0.014099213	0.012715909	0.0124499	0.012725685	0.012307974	0.012433612	0.011743659
0.0067625307	0.0066495747	0.006999755	0.00701149	0.0072468407	0.0076315305	0.0068828305	0.0067388294	0.92432785	0.0066620545	0.0067300224	0.0063566263
0.0189008	0.018585196	0.019563552	0.788848	0.020254463	0.021329613	0.019236667	0.018834434	0.019251455	0.018619886	0.018809684	0.017766276
0.004118008	0.00404921	0.0042624027	0.00426956	0.0044129007	0.9543731	0.004191154	0.0041035316	0.0041943933	0.0040568	0.0040981504	0.0038707678
0.007445658	0.0073212683	0.007706726	0.007720028	0.007978889	0.00840242	0.0075780237	0.0074195387	0.91668403	0.007334994	0.007409768	0.0069986777
0.012493583	0.012284969	0.012931595	0.012953548	0.013388382	0.014099173	0.0127156265	0.85992277	0.012725451	0.012307951	0.012433387	0.011743586
0.015043381	0.014792143	0.015570856	0.015597175	0.016120918	0.016976664	0.015310661	0.014990674	0.015322523	0.01481987	0.8313148	0.014140312
0.098431736	0.5597785	0.0051205796	0.0051292204	0.0053014327	0.005582886	0.0050350176	0.004929753	0.0050389366	0.0048735724	0.29612824	0.0046501127
0.78815174	0.018585201	0.01956348	0.019596728	0.02025453	0.021329599	0.019236768	0.018834552	0.019251592	0.018619865	0.018809766	0.01776617
0.0049470924	0.76797444	0.005120547	0.0051292824	0.0053014047	0.0055827987	0.0050349967	0.004929734	0.005038866	0.0048735817	0.18141715	0.004650095
