topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.017330626	0.017014347	0.6993919	0.017985336	0.018160883	0.019348899	0.017406283	0.017665144	0.017740121	0.018177465	0.017614238	0.01699082	0.017515695	0.017008733	0.018029869	0.01687241	0.017530981	0.018216236
0.005690096	0.0055862525	0.0057369233	0.0059050545	0.0059626903	0.0063527473	0.0057149357	0.66169727	0.005824544	0.005968135	0.005783213	0.005578528	0.005750858	0.24525264	0.005919675	0.005539651	0.005755878	0.0059808637
0.00055897137	0.0005487703	0.0005635715	0.000580088	0.00058575	0.22221202	0.00056141155	0.0005697607	0.000572179	0.00058628473	0.768721	0.00054801145	0.00056494045	0.0005485892	0.0005815243	0.0005441924	0.0005654335	0.00058753527
0.005117235	0.0050238464	0.005159348	0.005310552	0.6063861	0.005713173	0.3101956	0.005216008	0.0052381475	0.005367282	0.005200977	0.0050168997	0.00517188	0.005022189	0.0053237006	0.004981937	0.0051763947	0.00537873
0.012924047	0.012688186	0.013030407	0.013412287	0.013543199	0.014429144	0.012980466	0.013173517	0.013229421	0.013555564	0.013135545	0.012670642	0.013062058	0.012684	0.77624124	0.012582339	0.013073458	0.013584476
0.0064073605	0.0062904274	0.0064600906	0.0066494155	0.006714317	0.0071535427	0.0064353314	0.0065310355	0.006558756	0.006720447	0.006512215	0.0062817293	0.888877	0.006288352	0.0066658785	0.0062379516	0.006481434	0.006734782
0.026296722	0.025816813	0.026513133	0.02729015	0.54491407	0.029359158	0.026411518	0.026804304	0.026918072	0.027581677	0.02672706	0.025781114	0.026577534	0.025808295	0.027357718	0.025601445	0.026600732	0.027640505
0.51338756	0.010116039	0.010388886	0.01069335	0.010797723	0.011504069	0.010349068	0.010502976	0.31834581	0.010807581	0.010472709	0.010102051	0.01041412	0.010112701	0.010719826	0.010031649	0.0104232095	0.010830633
0.008567326	0.0084109735	0.008637832	0.008890979	0.6080268	0.009565051	0.008604726	0.008732692	0.008769758	0.008985956	0.008707527	0.008399343	0.008658812	0.008408198	0.008912993	0.008340808	0.2523751	0.009005123
0.004649175	0.0045643286	0.004687436	0.0048248097	0.004871903	0.005190604	0.0046694707	0.0047389134	0.9194294	0.004876351	0.0047252574	0.004558017	0.004698822	0.0045628226	0.0048367553	0.0045262524	0.004702923	0.0048867515
0.012924064	0.012688201	0.013030423	0.013412304	0.013543215	0.01442916	0.012980482	0.013173524	0.013229437	0.013555579	0.013135561	0.012670657	0.013062075	0.012684016	0.0134455105	0.2271388	0.5613125	0.013584493
0.0028343964	0.0027826694	0.0028577226	0.0029414734	0.002970184	0.47130036	0.00284677	0.0028891063	0.0029013688	0.0029728957	0.0028807807	0.0027788216	0.48270705	0.0027817513	0.0029487563	0.002759456	0.0028671643	0.0029792367
0.005117241	0.0050238525	0.005159354	0.0053105587	0.0053623924	0.0057131797	0.00513958	0.0052160146	0.91131777	0.0053672884	0.0052009835	0.0050169057	0.005171886	0.0050221947	0.0053237067	0.004981943	0.0051764003	0.0053787366
0.008567307	0.008410956	0.008637813	0.008890959	0.008977741	0.009565032	0.008604707	0.8514908	0.0087697385	0.008985938	0.008707508	0.008399325	0.008658795	0.008408181	0.008912976	0.00834079	0.008666351	0.009005103
0.010304069	0.010116022	0.010388868	0.010693333	0.0107977055	0.011504051	0.010349051	0.010502959	0.010547538	0.0108075645	0.8213548	0.010102035	0.010414102	0.010112685	0.010719809	0.010031633	0.010423192	0.010830615
0.0034038262	0.6311851	0.0034318385	0.003532415	0.0035668933	0.0038002261	0.0034186854	0.0034695272	0.0034842533	0.00357015	0.19433045	0.0033370864	0.0034401747	0.0033406047	0.0035411608	0.0033138301	0.003443177	0.1223906
0.0129240565	0.0126881935	0.0130304145	0.013412295	0.013543207	0.014429152	0.012980474	0.013173515	0.013229431	0.0135555705	0.013135553	0.012670649	0.013062066	0.012684007	0.013445503	0.012582347	0.77586913	0.013584484
0.003403824	0.0033417048	0.0034318361	0.003532413	0.0035668907	0.003800223	0.0034186833	0.0034695251	0.003484251	0.0035701476	0.0034595265	0.0033370843	0.0034401722	0.9408678	0.0035411587	0.003313828	0.0034431748	0.0035777623
0.0046491753	0.004564329	0.0046874364	0.0048248107	0.004871903	0.005190605	0.004669471	0.0047389143	0.004759028	0.0048763514	0.004725258	0.0045580175	0.0046988223	0.004562823	0.0048367563	0.0045262524	0.0047029234	0.9195571
0.69924915	0.017014356	0.017473262	0.01798535	0.018160896	0.019348912	0.017406292	0.017665153	0.017740132	0.018177476	0.01761425	0.01699083	0.017515704	0.017008742	0.018029878	0.01687242	0.017530993	0.018216247
0.003403826	0.003341707	0.0034318382	0.0035324148	0.003566893	0.003800226	0.0034186852	0.003469527	0.003484253	0.0035701497	0.0034595286	0.0033370862	0.0034401743	0.9408678	0.0035411606	0.00331383	0.0034431769	0.0035777644
0.010304068	0.010116021	0.010388868	0.010693331	0.010797705	0.0115040485	0.01034905	0.010502958	0.010547536	0.010807563	0.010472691	0.010102034	0.010414101	0.010112684	0.010719808	0.010031632	0.010423191	0.82171273
0.0030017872	0.0029470052	0.0030264908	0.0031151879	0.0031455935	0.0033513661	0.0030148912	0.0030597278	0.0030727147	0.0031484654	0.0030509105	0.0029429302	0.0030338422	0.002946033	0.0031229006	0.0029224209	0.0030364902	0.9480613
0.0042595714	0.004181835	0.0042946264	0.13724615	0.0044636345	0.0047556288	0.004278166	0.52277964	0.004360218	0.00446771	0.0043292777	0.0041760528	0.0043050577	0.0041804556	0.004431433	0.0041469494	0.27486637	0.0044772387
0.005690091	0.005586248	0.005736918	0.0059050494	0.0059626866	0.0063527417	0.0057149306	0.47461864	0.16653594	0.0059681297	0.2718188	0.0055785235	0.005750853	0.005584405	0.0059196693	0.0055396464	0.0057558725	0.005980859
0.010304085	0.5618368	0.010388884	0.010693349	0.010797722	0.011504071	0.010349067	0.0105029745	0.010547555	0.010807581	0.010472709	0.01010205	0.01041412	0.0101127	0.0107198255	0.010031648	0.010423209	0.26999167
0.008567309	0.008410957	0.008637814	0.008890961	0.008977742	0.009565032	0.008604708	0.008732676	0.00876974	0.008985939	0.00870751	0.008399327	0.008658797	0.008408182	0.008912975	0.008340792	0.85142446	0.009005105
