topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.012804376	0.012440511	0.01302325	0.013132167	0.013336367	0.01389263	0.013216777	0.012702673	0.013032755	0.0129908165	0.012953234	0.012439935	0.012716646	0.012575465	0.012798874	0.012615039	0.012710127	0.012998074	0.6903571	0.012991923	0.012534821	0.013180399	0.012812932	0.012673098	0.013070048
0.0042211986	0.004101244	0.004293354	0.004329261	0.004396579	0.0045799618	0.004357154	0.00418767	0.004296488	0.004282662	0.0042702723	0.004101054	0.0041922773	0.004145734	0.004219385	0.0041587804	0.004190128	0.004285055	0.89792055	0.004283027	0.004132335	0.004345162	0.004224019	0.0041779205	0.0043087825
0.00041542292	0.13444711	0.00042252403	0.00042605773	0.00043268275	0.8559533	0.00042880277	0.00041212328	0.0004228324	0.00042147178	0.00042025244	0.00040359903	0.00041257666	0.0004079962	0.00041524443	0.0004092801	0.00041236513	0.00042170726	0.00040793992	0.00042150766	0.00040667754	0.00042762258	0.0004157005	0.00041116375	0.00042404234
0.0037969926	0.0036890926	0.003861897	0.0038941952	0.0039547486	0.004119702	0.0039192853	0.0037668336	0.0038647156	0.0038522794	0.0038411347	0.0036889215	0.0037709775	0.0037291117	0.003795361	0.9081911	0.003769044	0.0038544317	0.0037285974	0.0038526074	0.0037170593	0.003908498	0.0037995297	0.0037580635	0.0038757746
0.009563407	0.009291641	0.009726881	0.009808229	0.009960744	0.010376208	0.009871423	0.009487446	0.00973398	0.009702657	0.009674587	0.7686322	0.009497884	0.0093924375	0.009559298	0.009421994	0.009493014	0.009708078	0.009391142	0.009703483	0.009362081	0.009844254	0.009569798	0.009465357	0.009761834
0.0047521214	0.004617079	0.0048333528	0.0048737754	0.0049495604	0.005156008	0.004905177	0.004714376	0.00483688	0.004821316	0.0048073675	0.004616865	0.49908018	0.004667165	0.0047500795	0.004681852	0.004717143	0.0048240093	0.39072078	0.004821726	0.004652081	0.004891676	0.0047552967	0.0047033997	0.004850721
0.019368036	0.01881765	0.019699106	0.019863855	0.02017273	0.02101414	0.019991837	0.019214198	0.019713484	0.019650048	0.0195932	0.5314284	0.019235335	0.019021783	0.019359713	0.019081643	0.019225474	0.019661026	0.01901916	0.01965172	0.018960305	0.019936813	0.019380977	0.019169463	0.019769894
0.0076317294	0.0074148565	0.0077621834	0.007827101	0.007948809	0.0082803555	0.0078775305	0.0075711114	0.0077678487	0.0077428524	0.0077204523	0.007414513	0.0075794403	0.007495293	0.00762845	0.0075188796	0.007575555	0.0077471784	0.007494259	0.007743512	0.8154219	0.007855848	0.007636829	0.0075534843	0.0077900765
0.0063492497	0.0061688214	0.0064577814	0.0065117897	0.0066130455	0.006888877	0.006553745	0.006298818	0.006462495	0.0064416993	0.006423063	0.84639233	0.0063057477	0.0062357406	0.0063465214	0.006255364	0.006302515	0.006445298	0.0062348805	0.0064422474	0.006215587	0.0065357066	0.006353492	0.006284153	0.006480987
0.0034502621	0.0033522153	0.0035092398	0.0035385885	0.0035936122	0.0037435025	0.0035613873	0.003422857	0.9166874	0.0035005002	0.0034903733	0.0033520597	0.0034266226	0.00338858	0.0034487795	0.0033992433	0.003424866	0.003502456	0.0033881126	0.0035007983	0.003377628	0.0035515854	0.0034525676	0.003414888	0.00352185
