topic_0	topic_1	topic_2	topic_3
0.07496275	0.06538953	0.79456395	0.065083824
0.024331888	0.92558396	0.029174428	0.020909706
0.0022881737	0.9930781	0.002634259	0.0019994632
0.021634808	0.018806167	0.5735732	0.38598582
0.055645034	0.8298107	0.066590816	0.047953464
0.027305422	0.023614852	0.9257176	0.02336217
0.11532639	0.10223034	0.68164676	0.1007965
0.044657145	0.038280286	0.8790417	0.03802096
0.036858886	0.03192834	0.8993192	0.03189358
0.019736538	0.016962547	0.9463561	0.016944742
0.055561043	0.048655584	0.06394836	0.83183503
0.012065722	0.602632	0.3750686	0.010233735
0.6597282	0.018727921	0.025195766	0.29634812
0.036610793	0.8902537	0.041634947	0.031500563
0.043485988	0.8684717	0.050131656	0.03791068
0.35833427	0.61280537	0.016487313	0.01237303
0.8385064	0.048456836	0.06477947	0.048257258
0.014282639	0.8310426	0.016674979	0.13799983
0.019949684	0.017434578	0.94551045	0.017105311
0.7785406	0.06573156	0.090310276	0.065417536
0.014564995	0.95597816	0.016987525	0.012469355
0.04299517	0.038127296	0.88091797	0.037959613
0.9635285	0.010885123	0.014672557	0.010913802
0.017980745	0.36148995	0.021020778	0.5995085
0.024170721	0.021045187	0.93384415	0.020940006
0.04472418	0.38152677	0.5358009	0.03794819
0.037274614	0.88844115	0.042493798	0.031790473
0.871492	0.038335785	0.05166305	0.03850912
0.03573616	0.89140886	0.041385103	0.031469863
0.25581497	0.22641085	0.29323387	0.22454034
0.03668197	0.03171541	0.041476153	0.89012647
0.03598234	0.88958794	0.043099318	0.031330403
0.25581497	0.22641085	0.29323387	0.22454034
0.031392317	0.47715887	0.464572	0.026876792
0.056567494	0.8276655	0.06765314	0.04811387
0.8347673	0.0491361	0.06767825	0.04841834
0.25581497	0.22641085	0.29323387	0.22454034
0.024020523	0.18799171	0.7672688	0.020718968
0.054205704	0.048032623	0.062147815	0.83561385
0.58568376	0.3946603	0.011254319	0.008401655
0.012601007	0.28235573	0.014611718	0.69043154
0.031271674	0.352826	0.039208766	0.57669353
0.03679052	0.031673584	0.9000954	0.031440485
