topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.046702392	0.04365531	0.7561236	0.04761287	0.050645407	0.05526038
0.014934819	0.5567866	0.3791659	0.015226503	0.016192315	0.017693901
0.0014470525	0.0013551208	0.0014528366	0.0014757952	0.0015710788	0.99269813
0.013403673	0.012535685	0.013466178	0.3309831	0.613715	0.015896412
0.03446187	0.032247633	0.034577172	0.03513741	0.03744755	0.82612836
0.016844139	0.015742626	0.9120048	0.017158384	0.018224942	0.020025132
0.072297014	0.06767249	0.07257889	0.073726736	0.6282426	0.08548224
0.02733262	0.025545636	0.85724574	0.027856473	0.029651744	0.032367732
0.022655575	0.021158524	0.022714501	0.023098066	0.8835711	0.026802262
0.012174597	0.011371571	0.9364213	0.012418645	0.013197574	0.0144163165
0.034487516	0.032266468	0.034605052	0.82043785	0.037336107	0.040867057
0.0073963795	0.10038201	0.007423221	0.007533855	0.0080149565	0.8692495
0.33589986	0.012535474	0.013467844	0.60766774	0.014539634	0.015889505
0.02262819	0.62108487	0.022691283	0.02307298	0.024588449	0.28593424
0.027292557	0.025554705	0.027420485	0.027844345	0.02975241	0.8621355
0.008892266	0.66549754	0.008915992	0.009063457	0.0096431365	0.2979876
0.81965566	0.032241654	0.03461665	0.03519074	0.037424754	0.040870517
0.008880904	0.95291716	0.008917207	0.009078552	0.009655663	0.010550541
0.012172996	0.1086403	0.83908385	0.012420602	0.0132218655	0.014460355
0.046818897	0.04367344	0.047060616	0.047683235	0.7592927	0.0554711
0.0088974545	0.008311635	0.008915488	0.009068487	0.00963986	0.95516706
0.027274521	0.02553108	0.85749227	0.027831018	0.029610863	0.032260306
0.95908195	0.0073148757	0.0078581115	0.0079891365	0.008485391	0.009270509
0.011150238	0.35261333	0.011189542	0.599651	0.012115776	0.013280136
0.26254332	0.013962892	0.014999256	0.015244751	0.67553955	0.01771029
0.027356174	0.025561903	0.027518498	0.027855102	0.029640477	0.8620679
0.022643857	0.88019943	0.02269877	0.02308955	0.024553668	0.026814716
0.027327003	0.025534047	0.027444128	0.027858857	0.8594934	0.03234259
0.02259509	0.8801219	0.022692708	0.023058446	0.024550641	0.02698122
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.022635221	0.021159194	0.022692716	0.88219357	0.024533808	0.026785525
0.02259751	0.02114574	0.022703545	0.023040777	0.024504283	0.8860082
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.019311706	0.6549945	0.26216862	0.019683905	0.020930035	0.02291121
0.034561425	0.032303	0.8195801	0.03512863	0.037553284	0.040873542
0.81952184	0.032266542	0.03471135	0.03516868	0.03748146	0.040850118
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.014922874	0.19787015	0.7380794	0.015208317	0.01621206	0.017707158
0.034410913	0.032217227	0.03455132	0.8208118	0.037342623	0.040666107
0.006039113	0.53410494	0.006060318	0.006151793	0.4404931	0.007150756
0.007822768	0.12649702	0.007855671	0.007995561	0.8405651	0.009263916
0.019309487	0.30902216	0.38188905	0.24591649	0.021003505	0.022859326
0.39866823	0.021151682	0.022729142	0.02307341	0.50756407	0.026813442
0.7560021	0.04364648	0.046819273	0.047693312	0.05061538	0.05522343
0.9733163	0.004765886	0.0051237084	0.0051976144	0.005536022	0.0060604895
0.07233158	0.067661166	0.07264635	0.07373127	0.07867581	0.63495386
0.019362656	0.018085863	0.40193278	0.019738993	0.020978294	0.5199014
0.016861338	0.91080487	0.016908197	0.017177947	0.018265385	0.019982295
0.010267207	0.0096047	0.010325068	0.010474526	0.406147	0.5531815
0.005523785	0.9707378	0.0055456916	0.005648665	0.0060004382	0.0065436526
0.03454169	0.032248292	0.034693707	0.035183076	0.037487857	0.82584536
0.013425489	0.012543374	0.013477578	0.013717792	0.014527692	0.9323081
0.0060342005	0.32209092	0.22056362	0.0061583794	0.0065561896	0.4385967
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.016823784	0.015734315	0.016897835	0.9123501	0.018242521	0.01995144
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.0121511575	0.011368934	0.012209709	0.012386897	0.013175616	0.9387077
0.03445828	0.03228614	0.034618486	0.035129525	0.82266325	0.04084433
0.022597509	0.021145739	0.022703601	0.023040775	0.024504282	0.8860081
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.009522051	0.7285829	0.009567247	0.23069198	0.010367663	0.01126817
0.016836848	0.01575376	0.9120585	0.017174544	0.018256076	0.019920243
0.07230598	0.067825444	0.07274206	0.073697984	0.6274731	0.08595548
0.0111383805	0.01041321	0.011167502	0.011365831	0.9427392	0.013175823
0.016827065	0.015747227	0.01689768	0.017175078	0.01823467	0.9151183
0.07234276	0.06769141	0.0727049	0.07380625	0.6278168	0.08563794
0.010280699	0.0096100345	0.69361	0.0104726385	0.011159226	0.26486737
0.0066478583	0.07697343	0.006679379	0.0067751217	0.8950194	0.007904802
0.034516	0.81708694	0.034618307	0.035279598	0.037406158	0.041092966
0.046700466	0.7528464	0.04687603	0.04760182	0.050689153	0.0552861
0.034441967	0.03225335	0.03465332	0.035123285	0.8224179	0.04111017
0.00889065	0.008311694	0.008910909	0.38269687	0.58068687	0.010503038
0.7560743	0.0436395	0.046960942	0.047575332	0.05057698	0.055172943
0.027297838	0.025539104	0.39011377	0.02781979	0.029607743	0.49962178
0.9669473	0.0059126415	0.00635006	0.006445153	0.006851485	0.0074933474
0.71300316	0.012539243	0.23033118	0.01368273	0.014552447	0.01589126
0.019308347	0.018070042	0.019384475	0.8993907	0.020963151	0.022883262
0.019284196	0.018041244	0.019379785	0.019698493	0.02090484	0.9026914
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.008874468	0.95294905	0.008915399	0.009054259	0.009632891	0.010573946
0.022599025	0.021145238	0.022704754	0.023042368	0.024517776	0.8859908
0.02259751	0.02114574	0.022703452	0.023040777	0.024504282	0.88600826
0.008898077	0.0083118	0.27311972	0.009081594	0.009667207	0.6909216
0.027320959	0.025570132	0.02749478	0.85750216	0.029701004	0.03241098
0.022609217	0.8803684	0.022683576	0.023051651	0.02452912	0.026758047
0.07241658	0.61670464	0.072684355	0.07380639	0.07862408	0.0857639
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.046641126	0.043642394	0.046848264	0.7568916	0.050589044	0.055387534
0.01931172	0.018048929	0.019446554	0.8992971	0.020941313	0.022954414
0.03455678	0.03229014	0.81971747	0.035176378	0.037475083	0.040784188
0.011153848	0.010413042	0.9418255	0.011358315	0.012069766	0.013179469
0.034427047	0.032222304	0.034572363	0.03511224	0.82295203	0.040714025
0.022624642	0.02118123	0.022711469	0.02314966	0.8835872	0.026745863
0.027299177	0.025535503	0.027444769	0.027862728	0.85951686	0.03234093
0.016814945	0.015735105	0.6273382	0.01716144	0.30304968	0.019900722
0.014947092	0.0139747225	0.014981554	0.9221679	0.016249133	0.017679546
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.022637948	0.021151392	0.022738365	0.023093252	0.16565958	0.74471945
0.783539	0.0073274947	0.0078602405	0.18350632	0.008494498	0.009272498
0.027371712	0.02555029	0.027423767	0.027911715	0.85933053	0.032411993
0.85703075	0.025575282	0.027432097	0.027891347	0.029597227	0.032473333
0.0069977012	0.26479068	0.70514387	0.0071409484	0.0075959666	0.008330764
0.016835216	0.015756872	0.016920261	0.017171388	0.018299263	0.915017
0.07256988	0.06767913	0.6214109	0.0738735	0.07856418	0.08590238
0.46398118	0.013982091	0.014990964	0.015227179	0.016199667	0.4756189
0.00952313	0.0089117	0.009570718	0.9503525	0.010324895	0.01131706
0.027316082	0.025532698	0.027423317	0.027883831	0.029597942	0.86224616
0.04672136	0.043646168	0.7562716	0.04758315	0.05060583	0.05517184
0.019320015	0.018048702	0.019465385	0.019746687	0.90038484	0.02303434
0.04663749	0.043654375	0.04682054	0.047560018	0.760189	0.055138633
0.016825384	0.01574485	0.34510744	0.58408386	0.018275997	0.01996247
0.027307495	0.025542233	0.027427249	0.027919993	0.029600795	0.8622022
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.0070003998	0.0065393755	0.48949257	0.0071358606	0.48151404	0.008317755
0.034459654	0.03223781	0.81938225	0.03512473	0.03745634	0.041339226
0.016840974	0.015753018	0.01695263	0.91224504	0.018270062	0.019938292
0.022646647	0.021161053	0.022736784	0.882061	0.024535775	0.026858708
0.03442134	0.032219682	0.034556698	0.035102263	0.8230053	0.040694717
0.022628695	0.02117075	0.022748753	0.023072755	0.1842181	0.72616094
0.027280943	0.025551006	0.027422749	0.027830148	0.02957314	0.862342
0.016834041	0.015760127	0.016901532	0.9121754	0.018263888	0.020065015
0.62155783	0.06777433	0.07256485	0.07394021	0.07856999	0.085592814
0.034447376	0.81738275	0.03457109	0.035118222	0.037742533	0.040738057
0.012170447	0.011383103	0.012218852	0.93645513	0.013222555	0.014549953
0.013398039	0.012536349	0.013458415	0.013661792	0.4469085	0.5000369
0.034468148	0.03224602	0.8199388	0.035106216	0.037418287	0.04082252
0.027303513	0.025576018	0.027423982	0.027838022	0.029662348	0.86219615
0.046649713	0.043659434	0.046853893	0.04758124	0.7600756	0.05518006
0.012159053	0.93556863	0.012225248	0.012412003	0.013220463	0.0144146085
0.008321764	0.0077799996	0.008367653	0.6446263	0.32101935	0.009884901
0.04665195	0.043661837	0.047062237	0.04763687	0.7597531	0.055234015
0.009519792	0.008907819	0.009557367	0.9503991	0.010321447	0.011294464
0.019296996	0.018055005	0.019388966	0.019675132	0.27270022	0.6508837
0.013398995	0.012544284	0.013443412	0.93017954	0.014565573	0.01586813
0.2990267	0.003992541	0.004293791	0.0043597734	0.004629505	0.6836977
0.013420019	0.012569817	0.013478664	0.01367174	0.014564673	0.93229514
0.014932594	0.013981935	0.015011238	0.015272283	0.016231535	0.92457044
0.027289614	0.025540015	0.027420703	0.85774857	0.029593	0.032408047
0.016857592	0.015739676	0.016906284	0.9122785	0.018246783	0.019971184
0.022623427	0.021167655	0.8817065	0.023069361	0.02461442	0.02681867
0.027288368	0.85557127	0.027403066	0.027857725	0.029619696	0.032259915
0.034485783	0.032278694	0.81971353	0.035165187	0.037377737	0.040979058
0.034632668	0.032315444	0.034609515	0.035148676	0.037591692	0.825702
0.016832765	0.015747825	0.016889818	0.017169748	0.9133133	0.020046528
0.013400249	0.012534327	0.013450134	0.01367526	0.9310608	0.015879214
0.027330011	0.025551446	0.02744412	0.85758245	0.02972091	0.032371104
0.027331261	0.025549429	0.02738957	0.85778147	0.02961672	0.03233155
0.7558619	0.04365201	0.046889707	0.047670495	0.050636355	0.055289514
0.81974196	0.032317545	0.03462432	0.035135493	0.037401848	0.040778782
0.03450699	0.032308042	0.034609843	0.82011527	0.037476834	0.040983003
0.034473434	0.032282826	0.8195629	0.03519694	0.0373238	0.0411601
0.008310477	0.0077766622	0.008348209	0.008472939	0.009017007	0.9580747
0.034444567	0.032221433	0.034600947	0.035117842	0.822553	0.04106221
0.8197733	0.032245155	0.03455929	0.03519656	0.037392132	0.040833514
0.022641947	0.021142354	0.022680247	0.023088247	0.8837005	0.026746714
0.016840301	0.015793074	0.016961014	0.017169818	0.01830873	0.91492707
0.07229701	0.0676724	0.07257889	0.073726736	0.6282428	0.08548218
0.7783524	0.01576251	0.016922379	0.017155277	0.018306687	0.1535007
0.5115838	0.032243244	0.034559928	0.035195682	0.34564844	0.0407689
0.019332772	0.28954366	0.019458773	0.019690167	0.6290788	0.02289582
0.016856477	0.015786374	0.016896589	0.017171355	0.018281348	0.9150079
0.005523601	0.0051748543	0.0055452464	0.43980384	0.53738654	0.0065659154
0.022637965	0.021161672	0.022737801	0.88212246	0.024569636	0.026770499
0.04666833	0.04373452	0.04688293	0.047713105	0.75979996	0.05520119
0.49935803	0.0017385137	0.4416359	0.053041775	0.0020170563	0.0022087088
0.54051375	0.013957613	0.3963302	0.015223481	0.016227107	0.01774791
0.007831844	0.82498246	0.007853685	0.14154966	0.008496147	0.009286264
0.04665767	0.043719977	0.046908095	0.75691205	0.050625607	0.055176556
0.02261409	0.021160908	0.7364985	0.02307041	0.16970968	0.026946409
0.072297	0.067672394	0.07257888	0.07372673	0.62824285	0.08548218
0.022627676	0.021157138	0.02274871	0.023080446	0.8835307	0.026855357
0.034542743	0.032248285	0.034688283	0.03518305	0.037487764	0.82584983
0.07241769	0.61669713	0.07268462	0.07380657	0.07862911	0.08576493
0.027312724	0.02553977	0.4866204	0.02787074	0.40028468	0.032371733
0.034460284	0.33239174	0.51965976	0.035151057	0.03754803	0.040789124
0.831244	0.15151717	0.0040291757	0.004092484	0.004356581	0.00476068
0.94162434	0.010424726	0.011200426	0.011372228	0.01211269	0.013265594
0.012220172	0.9351057	0.0122856265	0.012440652	0.013238452	0.01470944
0.019305466	0.018045198	0.019418761	0.8994535	0.020927215	0.022849848
0.013407555	0.21549162	0.7270291	0.013658624	0.014552833	0.015860282
0.012176075	0.011375108	0.012224711	0.01239992	0.66906846	0.2827557
0.034536775	0.032256477	0.034677863	0.035182327	0.037471928	0.8258746
0.07234289	0.06769147	0.07271269	0.07380652	0.6278079	0.0856385
0.85707	0.025538372	0.027421935	0.027921356	0.029611897	0.03243644
0.072526656	0.06773801	0.07280226	0.074018635	0.07889838	0.63401604
0.921882	0.013955133	0.014992248	0.015222053	0.016278528	0.017670114
0.034482077	0.032220826	0.8196965	0.035195965	0.037442	0.040962677
0.04675607	0.75279963	0.04684473	0.047653463	0.05069143	0.055254653
0.5710749	0.018046077	0.019390037	0.019716658	0.3488809	0.022891426
0.0111348955	0.010426665	0.011182875	0.011392108	0.8250422	0.13082123
0.4414614	0.021172145	0.02270002	0.023083203	0.024542542	0.4670407
0.016866583	0.015743764	0.016920798	0.57262665	0.3578083	0.020033946
0.010264143	0.009601181	0.01030753	0.010484479	0.32868272	0.63065994
0.941695	0.010415003	0.011190976	0.01136339	0.012101693	0.013233983
0.027276885	0.025537342	0.25926182	0.62601286	0.029641565	0.032269508
0.03448758	0.03225211	0.8197758	0.035134308	0.03745663	0.040893525
0.013435485	0.012565868	0.013451972	0.013689978	0.014565859	0.93229085
0.85674375	0.025549348	0.02745126	0.02790219	0.02985099	0.032502487
0.07232235	0.06778186	0.07279207	0.62319964	0.07837488	0.0855292
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.04673887	0.043724876	0.0468566	0.7564171	0.050764978	0.055497546
0.01933734	0.018068211	0.019385483	0.019691145	0.9005869	0.022930954
0.027290868	0.025535693	0.027422676	0.027827244	0.02959544	0.8623281
0.027343584	0.1797254	0.027438639	0.02791735	0.029660974	0.707914
0.0088941185	0.9528855	0.00892378	0.009085155	0.009649471	0.010561981
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.022597509	0.021145739	0.022703437	0.023040775	0.024504282	0.88600826
0.046633616	0.043652844	0.75633156	0.04758776	0.050631337	0.055162854
0.24043594	0.032218162	0.034693837	0.03513112	0.6165451	0.040975854
0.027324917	0.48361182	0.39922863	0.027850403	0.029657325	0.032326873
0.014916081	0.6904823	0.014988692	0.015210164	0.24675271	0.017650116
0.95018566	0.008905435	0.009570521	0.009708964	0.010335617	0.0112938
0.022673922	0.021161567	0.022730166	0.023099827	0.88349116	0.026843403
0.0063262573	0.40320393	0.49014616	0.08594354	0.006875231	0.0075048334
0.04672677	0.04373507	0.046862796	0.04766392	0.7595757	0.0554357
0.034457024	0.8175956	0.03460095	0.035177425	0.03737518	0.040793765
0.01685312	0.015751593	0.016898755	0.017192276	0.018363897	0.91494036
0.01028419	0.009598042	0.010321831	0.010471994	0.94710916	0.012214815
0.034450915	0.032218818	0.8200044	0.035108894	0.03737483	0.04084211
0.019310974	0.01805055	0.8989175	0.019712053	0.020986633	0.023022339
0.010273434	0.009603557	0.010309211	0.5781352	0.3795241	0.012154492
0.0121641215	0.011370266	0.012209896	0.012401042	0.013182267	0.9386724
0.07229701	0.067672394	0.07257889	0.073726736	0.6282428	0.08548218
0.019292032	0.018047815	0.019466165	0.89934766	0.020960035	0.022886293
0.46512416	0.008307042	0.00891624	0.0090567805	0.009639538	0.4989562
0.07230405	0.06765021	0.07263099	0.6230689	0.07843201	0.08591379
0.89903235	0.018052679	0.019372039	0.019710146	0.020955538	0.022877214
0.07234276	0.0676914	0.07270479	0.07380631	0.6278167	0.08563803
0.8816408	0.021168517	0.022712946	0.023091575	0.024555692	0.026830463
0.034454856	0.032248653	0.03464261	0.035169397	0.037453026	0.82603145
0.027373264	0.38643062	0.027442439	0.027851274	0.029625433	0.5012769
0.006991444	0.006539669	0.0070164725	0.9447634	0.026407963	0.008281071
0.49641687	0.007322732	0.007860689	0.4706287	0.008482092	0.009288917
0.027389288	0.025572747	0.027566226	0.027874568	0.8591179	0.032479186
0.56672484	0.35025284	0.019404026	0.01970529	0.020993313	0.022919742
0.0088840155	0.7151301	0.008920604	0.009055462	0.009644127	0.2483657
0.016831825	0.01574528	0.9119335	0.017159093	0.01829722	0.020033076
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.899132	0.018046884	0.019359088	0.019702407	0.020923708	0.022835925
0.0026972836	0.0025222877	0.9217857	0.0027504044	0.06703723	0.00320709
0.019282749	0.018045278	0.019364487	0.019657807	0.38652968	0.53712004
0.034430064	0.032219335	0.034570973	0.035105128	0.82281214	0.040862344
0.92191076	0.013968485	0.014980904	0.015250844	0.016207427	0.017681561
0.046637487	0.043654412	0.046820536	0.047560006	0.7601889	0.055138618
0.022600695	0.021182165	0.022722477	0.023039404	0.024563784	0.88589144
0.9120452	0.015732532	0.016884081	0.017184626	0.01824124	0.019912332
0.046788607	0.7527216	0.046869926	0.047616493	0.05067192	0.05533147
0.1606205	0.1503485	0.161272	0.16380192	0.1741334	0.18982366
0.02260546	0.02115114	0.88170207	0.02303323	0.024535395	0.026972746
0.94627386	0.009607878	0.010319169	0.010475893	0.011125229	0.012197971
0.75607806	0.043639496	0.046957258	0.047575317	0.05057697	0.055172917
0.03448291	0.032235876	0.034626037	0.8202053	0.037551932	0.04089802
0.07234274	0.06769139	0.07270443	0.07380619	0.62781745	0.08563782
0.016846668	0.015753083	0.016897207	0.30557156	0.62492496	0.02000654
0.39877498	0.006906565	0.00742229	0.0075427457	0.18705437	0.3922991
0.072342776	0.06769141	0.07270553	0.073806316	0.6278158	0.08563816
