topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79
0.004126017	0.004099097	0.0041529723	0.0041934745	0.004193189	0.0041932785	0.0041259797	0.004126035	0.0041531613	0.0041398155	0.004140073	0.00409913	0.0041129924	0.004099097	0.0041797403	0.0041261776	0.0041125333	0.004112459	0.004099276	0.0041125743	0.00408568	0.004125971	0.004098972	0.004126186	0.00408568	0.004140129	0.0041125794	0.004179452	0.0040991805	0.0040990026	0.0040993444	0.004099097	0.004099097	0.004126129	0.00416686	0.0041260663	0.0041258987	0.004220883	0.0041261525	0.004139777	0.004112473	0.004111084	0.004112572	0.0041126264	0.00408568	0.0041797757	0.0041397996	0.0040993737	0.004152971	0.004099201	0.40128374	0.00413947	0.0041125766	0.0041668047	0.0041261427	0.0041401633	0.0041260426	0.00409925	0.004112473	0.004099344	0.00408568	0.004125983	0.004099276	0.00411257	0.004153123	0.0041526025	0.004193191	0.004152963	0.0041806125	0.0041259895	0.0041126525	0.0041126115	0.0041537927	0.0041261613	0.004112433	0.0041259746	0.2767595	0.00408568	0.004126016	0.0041123955
0.0013710014	0.0013620562	0.001379958	0.0013934162	0.0013933213	0.0013933511	0.0013709889	0.0013710073	0.0013800209	0.0013755864	0.0013756718	0.0013620673	0.0013666734	0.0013620562	0.0013888525	0.0013710547	0.0013665208	0.0013664962	0.14575915	0.0013665345	0.001357598	0.001370986	0.0013620147	0.0013710575	0.001357598	0.0013756903	0.0013665362	0.0013887568	0.001362084	0.0013620248	0.0013621384	0.0013620562	0.0013620562	0.0013710385	0.0013845727	0.0013710177	0.001370962	0.0014025235	0.0013710463	0.0013755733	0.001366501	0.0013660393	0.0013665337	0.0013665518	0.001357598	0.0013888644	0.0013755809	0.0013621482	0.0013799577	0.0013620908	0.0013666424	0.0013754714	0.0013665353	0.0013845543	0.0013710432	0.0013757017	0.0013710097	0.001362107	0.001366501	0.0013621383	0.001357598	0.00137099	0.0013621157	0.0013665331	0.0013800082	0.0013798351	0.30983093	0.0013799549	0.0013891424	0.0013709922	0.0013665605	0.0013665468	0.0013802306	0.43882734	0.0013664876	0.0013709872	0.0013620429	0.001357598	0.001371001	0.001366475
0.000135401	0.00013451758	0.00013628557	0.00013761471	0.00013760534	0.00013760828	0.00013539978	0.00013540158	0.00013629178	0.00013585383	0.00013586227	0.00013451868	0.00013497358	0.00013451758	0.000137164	0.00013540628	0.0001349585	0.00013495608	0.00013452345	0.00013495986	0.00013407729	0.00013539949	0.00013451348	0.00013540656	0.00013407729	0.0001358641	0.00013496004	0.00013715455	0.00013452032	0.00013451448	0.0001345257	0.00013451758	0.00013451758	0.00013540468	0.00013674132	0.00013540262	0.00013539712	0.00013851415	0.00013540545	0.00013585255	0.00013495654	0.00013491095	0.00013495977	0.00013496156	0.00013407729	0.00013716517	0.00013585329	0.00013452666	0.00013628554	0.00013452099	0.00013497051	0.00013584248	0.00013495995	0.9893018	0.00013540513	0.00013586522	0.00013540183	0.0001345226	0.00013495654	0.00013452569	0.00013407729	0.00013539988	0.00013452346	0.00013495973	0.00013629053	0.00013627343	0.00013760541	0.00013628526	0.00013719263	0.0001354001	0.00013496244	0.00013496108	0.00013631249	0.00013540573	0.00013495522	0.0001353996	0.00013451626	0.00013407729	0.00013540097	0.00013495398
0.0012337074	0.0012256581	0.0012417672	0.0012538775	0.75228643	0.001253819	0.15147834	0.0012337128	0.0012418237	0.0012378333	0.0012379102	0.001225668	0.0012298129	0.0012256581	0.001249771	0.0012337554	0.0012296756	0.0012296534	0.0012257115	0.0012296878	0.0012216463	0.0012336936	0.0012256207	0.0012337579	0.0012216463	0.0012379269	0.0012296895	0.0012496847	0.001225683	0.0012256298	0.001225732	0.0012256581	0.0012256581	0.0012337408	0.0012459196	0.0012337221	0.0012336719	0.0012620728	0.0012337479	0.0012378215	0.0012296577	0.0012292423	0.0012296871	0.0012297034	0.0012216463	0.0012497816	0.0012378284	0.0012257408	0.0012417667	0.0012256892	0.0012297849	0.0012377298	0.0012296886	0.0012459032	0.001233745	0.0012379371	0.001233715	0.0012257037	0.0012296577	0.0012257319	0.0012216463	0.0012336972	0.0012257117	0.0012296867	0.0012418122	0.0012416565	0.0012537928	0.0012417644	0.0012500318	0.0012336991	0.0012297112	0.001229699	0.0012420125	0.0012337505	0.0012296456	0.0012336946	0.0012256461	0.0012216463	0.0012337071	0.0012296344
0.0030908443	0.003070678	0.0031110365	0.0031413771	0.0031411634	0.0031412304	0.0030908163	0.0030908575	0.0031111783	0.0031011808	0.0031013736	0.0030707028	0.003081087	0.003070678	0.0031310888	0.0030909646	0.0030807431	0.0030806875	0.003070812	0.003080774	0.0030606273	0.0030908096	0.0030705845	0.003090971	0.0030606273	0.0031014155	0.003080778	0.0031308727	0.0030707405	0.0030706073	0.0030708634	0.003070678	0.003070678	0.003090928	0.00312144	0.003090881	0.0030907555	0.003161909	0.0030909458	0.0031011517	0.0030806984	0.0030796577	0.0030807722	0.003080813	0.0030606273	0.0031311153	0.0031011687	0.0030708853	0.0031110356	0.0030707559	0.0030810172	0.0031009216	0.003080776	0.0031213986	0.0030909383	0.003101441	0.003090863	0.0030707926	0.0030806984	0.0030708632	0.0030606273	0.0030908186	0.0030708122	0.003080771	0.0031111497	0.0031107594	0.0031411648	0.0031110295	0.0031317424	0.0030908235	0.0030808328	0.0030808018	0.0031116512	0.0030909523	0.0030806682	0.0030908124	0.003070648	0.0030606273	0.0030908436	0.7557477
0.00154268	0.0015326148	0.0015527583	0.0015679016	0.0015677949	0.0015678284	0.001542666	0.0015426866	0.0015528289	0.0015478391	0.0015479353	0.0015326272	0.0015378101	0.0015326148	0.0015627665	0.00154274	0.0015376384	0.0015376107	0.0015326816	0.0015376539	0.0015275984	0.0015426627	0.001532568	0.0015427432	0.0015275984	0.0015479563	0.0015376558	0.0015626588	0.0015326459	0.0015325794	0.0015327072	0.0015326148	0.0015326148	0.0015427219	0.0015579507	0.8780957	0.0015426357	0.0015781494	0.0015427306	0.0015478246	0.001537616	0.0015370966	0.0015376529	0.0015376733	0.0015275984	0.0015627798	0.0015478331	0.0015327183	0.0015527578	0.0015326537	0.0015377753	0.0015477098	0.0015376548	0.0015579301	0.001542727	0.0015479691	0.0015426894	0.001532672	0.001537616	0.0015327071	0.0015275984	0.0015426672	0.0015326818	0.0015376523	0.0015528147	0.00155262	0.0015677956	0.0015527548	0.0015630927	0.0015426696	0.0015376831	0.0015376677	0.0015530649	0.0015427339	0.001537601	0.001542664	0.0015325998	0.0015275984	0.0015426796	0.0015375869
0.006203749	0.006163273	0.006244278	0.006305176	0.006304747	0.0063048815	0.006203693	0.006203776	0.006244562	0.0062244963	0.0062248833	0.006163323	0.0061841654	0.006163273	0.0062845256	0.006203991	0.0061834753	0.0061833635	0.0061635417	0.006183537	0.0061430996	0.00620368	0.006163085	0.0062040035	0.0061430996	0.006224967	0.006183545	0.006284092	0.0061633983	0.006163131	0.006163645	0.006163273	0.006163273	0.006203918	0.006265159	0.006203823	0.006203571	0.006346386	0.0062039527	0.0062244376	0.006183385	0.006181296	0.006183533	0.0061836154	0.0061430996	0.006284579	0.006224472	0.006163689	0.006244276	0.006163429	0.006184025	0.006223976	0.006183541	0.0062650763	0.0062039383	0.0062250188	0.0062037874	0.006163503	0.006183385	0.0061636446	0.0061430996	0.0062036975	0.006163542	0.0061835307	0.0062445053	0.5098125	0.0063047498	0.006244264	0.0062858374	0.006203708	0.0061836545	0.0061835926	0.0062455116	0.0062039657	0.0061833244	0.006203685	0.0061632125	0.0061430996	0.006203748	0.0061832676
0.0024709203	0.002454799	0.0024870627	0.0025113178	0.002511147	0.0025112007	0.002470898	0.002470931	0.0024871759	0.0024791837	0.0024793379	0.0024548187	0.00246312	0.002454799	0.002503093	0.0024710165	0.002462845	0.0024628006	0.0024549058	0.0024628697	0.002446764	0.0024708926	0.002454724	0.0024710216	0.002446764	0.0024793711	0.002462873	0.0025029203	0.0024548487	0.002454742	0.002454947	0.002454799	0.002454799	0.0024709874	0.0024953794	0.0024709497	0.0024708493	0.0025277317	0.0024710014	0.0024791604	0.0024628092	0.0024619773	0.0024628683	0.002462901	0.002446764	0.0025031143	0.002479174	0.0024549644	0.002487062	0.002454861	0.0024630642	0.0024789765	0.0024628714	0.0024953464	0.0024709955	0.0024793919	0.0024709355	0.0024548904	0.0024628092	0.0024549467	0.002446764	0.0024708998	0.002454906	0.0024628674	0.002487153	0.002486841	0.002511148	0.0024870571	0.0025036156	0.80474496	0.0024629168	0.002462892	0.002487554	0.0024710065	0.0024627852	0.0024708947	0.0024547747	0.002446764	0.0024709196	0.0024627626
0.0020581244	0.0020446964	0.0020715701	0.0020917733	0.0020916308	0.0020916755	0.0020581058	0.0020581335	0.0020716644	0.0020650073	0.0020651359	0.002044713	0.0020516275	0.0020446964	0.0020849225	0.0020582047	0.0020513984	0.0020513614	0.0020447855	0.26006234	0.0020380036	0.0020581016	0.002044634	0.002058209	0.0020380036	0.0020651636	0.0020514217	0.0020847786	0.0020447378	0.002044649	0.0020448198	0.0020446964	0.0020446964	0.0020581803	0.0020784975	0.0020581488	0.0020580655	0.002105445	0.0020581922	0.002064988	0.57934695	0.0020506757	0.0020514177	0.002051445	0.0020380036	0.0020849402	0.0020649994	0.0020448344	0.0020715694	0.002044748	0.002051581	0.0020648348	0.0020514203	0.00207847	0.0020581873	0.0020651808	0.0020581372	0.0020447725	0.0020513686	0.0020448195	0.0020380036	0.0020581074	0.0020447855	0.002051417	0.0020716453	0.0020713855	0.0020916318	0.0020715655	0.0020853577	0.0020581107	0.002051458	0.0020514375	0.0020719795	0.0020581963	0.0020513486	0.0020581032	0.0020446763	0.0020380036	0.002058124	0.0020513297
0.0011214064	0.0011140899	0.0011287325	0.0011397406	0.0011396629	0.0011396873	0.0011213962	0.0011214112	0.8485643	0.0011251566	0.0011252266	0.0011140988	0.0011178664	0.0011140899	0.0011360077	0.0011214501	0.0011177416	0.0011177214	0.0011141384	0.0011177527	0.0011104433	0.0011213939	0.0011140559	0.0011214523	0.0011104433	0.0011252417	0.0011177543	0.0011359294	0.0011141124	0.0011140641	0.001114157	0.0011140899	0.0011140899	0.0011214368	0.001132507	0.0011214197	0.0011213742	0.0011471899	0.0011214432	0.001125146	0.0011177253	0.0011173477	0.001117752	0.001117767	0.0011104433	0.0011360174	0.0011251523	0.0011141651	0.0011287321	0.001114118	0.001117841	0.0011250627	0.0011177534	0.001132492	0.0011214406	0.0011252512	0.0011214133	0.0011141313	0.0011177253	0.0011141569	0.0011104433	0.0011213971	0.0011141385	0.0011177517	0.0011287736	0.001128632	0.0011396635	0.00112873	0.0011362449	0.0011213989	0.001117774	0.0011177629	0.0011289555	0.0011214456	0.0011177143	0.0011213948	0.0639423	0.0011104433	0.0011214062	0.0011177041
