id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13572284	SPARK	blockmanager warn removeblockinternal	code warn blockmanager put block fail exception nosuchfileexception spark warn blockmanager block remove normally info taskschedulerimpl cancel stage info taskschedulerimpl kill run task stage stage cancel info dagscheduler resultstage reduce fail job abort stage failure task serialization fail nosuchfileexception spark nosuchfileexception spark code	['pull-request-available']	3	7	Resolved	11	['fail', 'instead', 'use', 'scala', 'apache', 'user', 'type', 'add', 'test', 'sql']
13597425	SPARK	use spark instead	code java urlerror error sparkinstallationtestcase try download spark download hadoop fail download hadoop download hadoop fail download hadoop download hadoop fail download hadoop code	['pull-request-available']	4	7	Resolved	11	['fail', 'instead', 'use', 'scala', 'apache', 'user', 'type', 'add', 'test', 'sql']
13559477	SPARK	implement lint check pyspark custom error	currently pyspark codebase inconsistency usage exception instance pyspark specific exception utilize generic python build exception inconsistency lead confusion difficulty maintain debug code relate work fix case goal ticket establish standardized practice error handling pyspark mandate use pyspark specific exception applicable ensure exception throw pyspark adhere consistent format standard make informative easy handle	['pull-request-available']	3	7	Resolved	119	['pyspark', 'build', 'fix', 'use', 'python', 'type', 'user', 'test', 'apache', 'api']
13570160	SPARK	upgrade		['pull-request-available']	3	7	Resolved	100	['use', 'upgrade', 'scala', 'type', 'add', 'user', 'api', 'apache', 'test', 'sql']
13584693	SPARK	replace call bridged api base sparksession api	internal code spark instance despite have sparksession instance bridged api base make simplification scala return dataframereader read non streaming datum dataframe genericdata def read dataframereader scala set give spark sql configuration property config def string value string unit value scala return value spark sql configuration property give key config def string string scala create dataframe rdd product case class tuple dataframe def scala def sessionstate sessionstate scala def sharedstate sharedstate return streamingquerymanager allow manage streamingquery streamingqueries active context def stream streamingquerymanager remove specify table memory cache cachemgmt def string unit	['pull-request-available']	3	4	Resolved	35	['api', 'apache', 'scala', 'class', 'sql', 'add', 'remove', 'fix', 'type', 'user']
13578004	SPARK	run maven build test java macos apple silicon	java macos fast maven test cover java apple silicon use case screenshot	['pull-request-available']	3	7	Resolved	45	['test', 'build', 'fail', 'fix', 'scala', 'apache', 'user', 'type', 'add', 'sql']
13413061	SPARK	disable unsupported extendedleveldbtest macos	manually add code java extendedleveldbtest extendedrocksdbt code run mvn test sbt test disable unsupported uts macos apple silicon add profile activate property automatically run uts macos apple silicon	['pull-request-available']	4	7	Resolved	45	['test', 'build', 'fail', 'fix', 'scala', 'apache', 'user', 'type', 'add', 'sql']
13578416	SPARK	clean use deprecated api relate logger	code java abstractlogger constructor important log level set option instance maximum log level rocksdb option option instance use instead new public options option code	['pull-request-available']	3	4	Resolved	18	['use', 'api', 'instead', 'scala', 'apache', 'user', 'type', 'add', 'test', 'sql']
13569123	SPARK	deflake interrupt tag	code interrupt tag failed code pass eventually return normally attempt time second failure message length instead expect length interrupted operation code	['pull-request-available']	3	6	Resolved	107	['api', 'instead', 'use', 'user', 'sql', 'add', 'scala', 'apache', 'type', 'test']
13564143	SPARK	run pypy python test independently	like terminate middle oom split	['pull-request-available']	4	6	Resolved	66	['test', 'python', 'pyspark', 'user', 'class', 'apache', 'add', 'api', 'type', 'sql']
