topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.017796902	0.8307872	0.018636398	0.019131457	0.0180581	0.019254025	0.018599024	0.019531019	0.019673122	0.018532751
0.014791675	0.6415829	0.23326674	0.015901964	0.0150095215	0.01600208	0.015457641	0.016232783	0.016352052	0.015402619
0.008018627	0.008010848	0.008396694	0.008620303	0.008136397	0.008675168	0.008379826	0.92454636	0.008865352	0.008350392
0.045604154	0.045564666	0.047754508	0.049025625	0.5671098	0.049333736	0.047659818	0.05004773	0.050411183	0.047488745
0.006290449	0.006284464	0.254361	0.0067653973	0.006382863	0.0068051373	0.6927009	0.006903803	0.0069549894	0.0065510087
0.0177984	0.017780075	0.01863737	0.019133754	0.018059528	0.8322514	0.018599246	0.019531827	0.019675376	0.018532936
0.017796945	0.017780364	0.018637784	0.019133229	0.018058268	0.8322577	0.018599998	0.019530874	0.019672582	0.018532285
0.017797401	0.017780136	0.018638503	0.019133091	0.8310558	0.019253325	0.018599266	0.01953237	0.019676287	0.01853384
0.04560557	0.045562018	0.5685808	0.049028296	0.04627848	0.04933403	0.047659323	0.050049063	0.050413035	0.04748942
0.029988643	0.0299581	0.03140028	0.032236964	0.03042697	0.31862858	0.031338014	0.43164504	0.033149544	0.031227931
0.5664216	0.045561265	0.04775603	0.04903158	0.046273768	0.049334623	0.047660947	0.05005854	0.050412547	0.04748903
0.029986242	0.029957896	0.031400196	0.7171721	0.03042639	0.032438356	0.031337563	0.032907866	0.03314794	0.031225434
0.0073459633	0.007338658	0.007691959	0.1997361	0.007453455	0.15402454	0.0076766885	0.59296197	0.00812099	0.007649686
0.029986098	0.029958209	0.03140006	0.0322366	0.030427443	0.032439332	0.031337883	0.032912944	0.7180742	0.031227196
0.095175214	0.095086016	0.099663354	0.10231437	0.09657301	0.10295874	0.09946464	0.1044486	0.10520749	0.09910853
0.0015382844	0.0015368332	0.0016108504	0.0016540268	0.0015608869	0.0016641188	0.0016077249	0.0016882526	0.0017007961	0.9854382
0.31490156	0.0033751389	0.0035379105	0.32846594	0.003427856	0.0036547263	0.0035304506	0.0037078517	0.3318808	0.0035177653
0.022336856	0.78760195	0.023397654	0.024016459	0.022665612	0.02416928	0.02334708	0.024513358	0.024691349	0.023260398
0.017796759	0.0177806	0.4148868	0.019134538	0.01805861	0.019254815	0.018600743	0.43627575	0.019677265	0.018534185
0.009816954	0.009806985	0.0102808755	0.010553347	0.00996118	0.0106224045	0.010258772	0.67669815	0.01085238	0.24114895
0.02998708	0.71488345	0.031401984	0.03223579	0.030430311	0.032440398	0.03133798	0.032907847	0.03314875	0.03122645
0.022337856	0.022317221	0.023390604	0.02401444	0.7879451	0.02416523	0.023343708	0.02452559	0.024697574	0.02326269
0.014791013	0.014776526	0.015487823	0.015900131	0.015007534	0.29883224	0.015457449	0.016232168	0.016351243	0.5771639
0.004628188	0.004623557	0.0048463074	0.1824883	0.004696066	0.0050065205	0.0048365816	0.2729613	0.5110936	0.00481963
0.014791804	0.014778902	0.015492115	0.01590108	0.015009064	0.016003946	0.86003596	0.016231654	0.01635214	0.015403391
0.0062903566	0.006284458	0.006586774	0.0067620305	0.0063825394	0.9407132	0.0065737297	0.0069034058	0.006953263	0.0065502273
0.02233738	0.02231596	0.023393288	0.024013726	0.7879561	0.024165126	0.023344094	0.02451563	0.024696214	0.023262452
0.04560781	0.5663618	0.047767293	0.04902529	0.04627718	0.049341254	0.047660496	0.050047446	0.050418306	0.047493156
0.04560447	0.04556123	0.0477548	0.5698622	0.04627374	0.049333654	0.04765954	0.05004774	0.050413616	0.047489032
0.022339858	0.49767855	0.02339188	0.024017759	0.022665985	0.024167128	0.023344487	0.31443706	0.024697462	0.023259794
0.04560753	0.0455615	0.04775468	0.049025804	0.046273742	0.57016647	0.047659814	0.05004948	0.050411567	0.04748943
0.0456078	0.5663644	0.047764745	0.049025286	0.046277173	0.04934126	0.047660496	0.05004745	0.050418288	0.047493145
0.489894	0.004881558	0.0051172157	0.0052531594	0.004958114	0.0052857716	0.46875715	0.005362802	0.0054017915	0.0050884597
0.045604028	0.045562383	0.047754556	0.04902761	0.046277262	0.049337454	0.047660578	0.050049786	0.57123715	0.047489174
0.008826937	0.008818188	0.00924281	0.009489215	0.00895609	0.009548387	0.9164824	0.009687667	0.009757014	0.009191311
0.012653275	0.0126413945	0.013250813	0.013603118	0.01283906	0.013690892	0.33577886	0.0138865765	0.01398803	0.5576679
0.004628024	0.00462378	0.0048461915	0.044075463	0.00469586	0.9172798	0.0048365304	0.0050790496	0.0051161004	0.00481927
0.029987622	0.029958038	0.03140013	0.032235816	0.03042639	0.7173728	0.031337705	0.03290878	0.033147063	0.031225642
0.014791797	0.014777097	0.015489427	0.015901353	0.015008882	0.8605874	0.015457401	0.01623225	0.016351877	0.015402471
0.029986752	0.4137051	0.031400185	0.032237686	0.03042939	0.032442622	0.031339154	0.03291318	0.33431965	0.031226305
0.045608733	0.566366	0.047762223	0.049025286	0.04627717	0.049341224	0.047660496	0.05004745	0.05041828	0.04749314
0.022337258	0.022315523	0.02338985	0.02401309	0.022664985	0.024163252	0.5362465	0.27691492	0.024693085	0.023261549
0.009816334	0.009807099	0.010280026	0.010553453	0.009960921	0.010620169	0.59826934	0.010776044	0.31969336	0.010223268
0.0016865074	0.0016848649	0.043943338	0.0018129809	0.0017112298	0.0018243415	0.0017624665	0.103916004	0.0018645083	0.83979374
0.045604154	0.045564644	0.047754508	0.04902562	0.5671098	0.049333733	0.047659814	0.050047725	0.05041118	0.04748874
0.095175214	0.095086016	0.099663354	0.10231437	0.09657301	0.10295874	0.09946464	0.1044486	0.10520749	0.09910853
0.011055785	0.011045162	0.8954166	0.0118848095	0.011217949	0.011959484	0.011553789	0.01213274	0.01222116	0.0115124695
0.02998725	0.2350788	0.03140021	0.032236777	0.030427815	0.032441605	0.5111341	0.032917466	0.03314923	0.031226711
0.095175214	0.095086016	0.099663354	0.10231437	0.09657301	0.10295874	0.09946464	0.1044486	0.10520749	0.09910853
0.008826835	0.008818342	0.009243845	0.009489241	0.9162094	0.0095490515	0.009224633	0.009687495	0.009758879	0.009192297
0.011055995	0.13614132	0.0115783615	0.0118855005	0.011218437	0.011961439	0.7702906	0.012133477	0.012221871	0.011513034
0.045606628	0.045562178	0.56858414	0.049025804	0.046275053	0.04933351	0.047660317	0.050048575	0.050413825	0.047489967
0.0073458496	0.007338752	0.24577257	0.53850454	0.007453829	0.007946531	0.007678829	0.008062157	0.008121488	0.16177543
0.045606516	0.045561496	0.047754675	0.049025796	0.04627374	0.57016754	0.047659807	0.05004947	0.05041156	0.047489427
0.045605287	0.045561254	0.047755238	0.04902478	0.04627398	0.5701663	0.04766064	0.050050087	0.050411362	0.047491077
0.04560425	0.04556125	0.04775452	0.049026724	0.04627415	0.049333528	0.047659654	0.5708639	0.050427116	0.047494885
0.012653131	0.5133844	0.013250591	0.0136026135	0.012839789	0.013689685	0.013223952	0.013888212	0.38029	0.013177645
0.005500505	0.005494851	0.22834827	0.45501035	0.0055810097	0.0059510903	0.27626848	0.006036502	0.0060808198	0.005728106
0.045604154	0.045564786	0.047754508	0.049025625	0.5671097	0.049333736	0.047659818	0.05004773	0.050411187	0.047488745
0.045604154	0.045564797	0.047754508	0.04902562	0.5671097	0.049333733	0.047659814	0.050047725	0.050411183	0.04748874
0.045604154	0.045567032	0.047754508	0.04902563	0.56710744	0.049333736	0.047659818	0.05004773	0.050411187	0.047488745
0.029987926	0.029958092	0.031400345	0.40526477	0.030426405	0.34434077	0.031337947	0.032909326	0.03314843	0.031225998
0.029988002	0.029958438	0.03140539	0.03223898	0.7153455	0.032439526	0.03133801	0.03290924	0.03315066	0.031226272
0.029988106	0.02995846	0.3346748	0.03223873	0.030430276	0.032438785	0.031337686	0.4145545	0.033150677	0.031228023
0.029986016	0.029958282	0.031402107	0.032235455	0.030428007	0.03244104	0.031338807	0.032911822	0.033153698	0.71614474
0.045604154	0.04556465	0.047754508	0.049025625	0.5671098	0.049333736	0.047659818	0.05004773	0.050411183	0.047488745
0.095175214	0.095086016	0.099663354	0.10231437	0.09657301	0.10295874	0.09946464	0.1044486	0.10520749	0.09910853
0.017796958	0.01778063	0.018635768	0.019131986	0.018058265	0.019252464	0.018598892	0.8325372	0.019674473	0.018533403
0.045609284	0.045562144	0.04776101	0.049033772	0.5670696	0.04933748	0.047661424	0.0500509	0.05042291	0.04749148
0.011056143	0.2587629	0.51300746	0.14657146	0.011218238	0.011960958	0.01155421	0.012133354	0.012222234	0.011513008
0.012654552	0.87967825	0.013253451	0.013604807	0.0128413495	0.013689656	0.013223924	0.013887273	0.013989795	0.0131769525
0.04560444	0.045561228	0.047754798	0.5698624	0.046273734	0.049333647	0.047659535	0.050047737	0.05041345	0.047489032
0.022336688	0.78762096	0.023389785	0.024012417	0.022667998	0.02416368	0.023343552	0.02451388	0.024691273	0.023259759
