topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.015232302	0.015612601	0.015399263	0.016264725	0.015538861	0.016129902	0.016275851	0.016153853	0.016983131	0.015824413	0.01478333	0.8258018
0.012665284	0.01298115	0.012804122	0.013523768	0.0129200965	0.013411488	0.013532882	0.01343146	0.01412132	0.0131574385	0.012291827	0.85515916
0.0068732644	0.007044815	0.0069485954	0.007339136	0.18900076	0.007278417	0.007344162	0.7399202	0.007663722	0.007140505	0.00667068	0.0067758053
0.0388667	0.03983682	0.039292734	0.041501164	0.5568504	0.041156884	0.041529447	0.041218184	0.043333873	0.040377434	0.037720997	0.0383154
0.0053934352	0.0055281282	0.005452643	0.0057592224	0.005501925	0.005711212	0.9387656	0.0057197274	0.006013629	0.005603157	0.0052344482	0.0053168824
0.015232957	0.015612371	0.015399397	0.016265037	0.015539078	0.826913	0.016275989	0.01615403	0.016983962	0.01582444	0.014783404	0.015016315
0.015232483	0.0156123955	0.015399612	0.016265064	0.015538939	0.82691365	0.016276523	0.016153932	0.01698304	0.015824435	0.014783281	0.015016624
0.015232507	0.015612391	0.015399609	0.016265025	0.015538968	0.016129922	0.016275989	0.016153999	0.8277674	0.015824504	0.014783358	0.015016298
0.038867153	0.03983653	0.5564909	0.041501828	0.039649162	0.04115692	0.04152971	0.041218434	0.04333495	0.040377546	0.037721165	0.038315687
0.025617812	0.026256613	0.025898218	0.027353935	0.026133286	0.027129347	0.027372496	0.70894647	0.028561955	0.02661341	0.02486251	0.025254004
0.5560661	0.03983656	0.03929287	0.041501947	0.039649002	0.041156936	0.04152958	0.041219056	0.043334022	0.040377427	0.037721064	0.03831541
0.025617361	0.026256561	0.025898166	0.70913726	0.026132967	0.02712684	0.027372405	0.027167259	0.028561905	0.026613105	0.02486221	0.025253985
0.0062973066	0.0064543807	0.0063662822	0.17037842	0.0064240354	0.006668621	0.0067286855	0.76479936	0.007021182	0.006542099	0.0061116708	0.006207931
0.025617413	0.026256599	0.025898203	0.027353883	0.02613301	0.02712694	0.027372427	0.02716828	0.71034324	0.026613489	0.024862394	0.025254078
0.08050301	0.0825117	0.08138544	0.08595944	0.08212335	0.08524658	0.08601813	0.08537352	0.0897556	0.0836321	0.07812997	0.07936113
0.0013199277	0.00135287	0.0013343985	0.0014094532	0.0013464949	0.0013977082	0.0014103894	0.0013997953	0.0014716892	0.98497504	0.0012810202	0.0013012077
0.21483494	0.00297007	0.49847943	0.25961107	0.002956067	0.0030685763	0.0030962713	0.0030731885	0.0032310088	0.003010418	0.0028123339	0.0028566339
0.019104835	0.019581476	0.0193144	0.02039987	0.019489294	0.020230677	0.020414067	0.020260625	0.021300543	0.019847378	0.018541558	0.7815153
0.015232357	0.015612359	0.015399408	0.016264897	0.015538912	0.016129917	0.016276088	0.016154714	0.016984131	0.01582484	0.01478347	0.8257989
0.008412093	0.008621895	0.008504421	0.008982331	0.00858145	0.1456298	0.00898843	0.5625239	0.009379299	0.21391948	0.008164087	0.008292802
0.025617424	0.70803833	0.025898218	0.027353838	0.026134064	0.027126854	0.027372451	0.02716725	0.028561942	0.026613202	0.02486234	0.025254065
0.019104742	0.019581849	0.019314472	0.020400073	0.59969884	0.20269951	0.020413706	0.020261614	0.021302005	0.019847726	0.018541684	0.018833753
