topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139
0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014315313	0.0014314717	0.0014268904	0.001426984	0.0014223894	0.0014269222	0.0014223894	0.0014269396	0.0014315145	0.0014315688	0.001426934	0.0014223894	0.0014314783	0.0014223894	0.0014223894	0.0014223894	0.0014315682	0.0014223894	0.0014223894	0.001426949	0.0014223894	0.0014223894	0.0014269383	0.0014274943	0.0014223898	0.0014223894	0.0014269471	0.0014223894	0.0014269787	0.0014315164	0.0014223894	0.0014269808	0.0014223894	0.0014223894	0.001426414	0.6017999	0.0014223894	0.0014223894	0.0014269546	0.0014314683	0.0014406097	0.0014256544	0.0014223894	0.0014223894	0.0014269595	0.0014223894	0.0014314669	0.0014223894	0.0014223894	0.0014360867	0.0014223894	0.0014223894	0.0014269286	0.0014223894	0.0014269655	0.0014223894	0.0014269286	0.0014314883	0.0014223894	0.001426934	0.0014315333	0.0014228164	0.0014223894	0.001426934	0.0014223894	0.0014223894	0.0014223894	0.0014272736	0.0014223894	0.0014223902	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014315079	0.0014223894	0.20155074	0.0014269424	0.0014223894	0.0014314841	0.0014269286	0.0014406629	0.0014223894	0.0014269762	0.0014223894	0.0014269222	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269595	0.0014224084	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269727	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014314872	0.0014361267	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014406469	0.001426946	0.0014269286	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269222	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269383	0.0014269595	0.0014223894	0.0014269286	0.0014223894
0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.001192819	0.0011927694	0.001188952	0.00118903	0.0011852016	0.0011889784	0.0011852016	0.001188993	0.001192805	0.0011928503	0.0011889883	0.0011852016	0.0011927749	0.0011852016	0.0011852016	0.0011852016	0.0011928497	0.0011852016	0.0011852016	0.0011890009	0.0011852016	0.0011852016	0.0011889919	0.0011894552	0.0011852018	0.0011852016	0.0011889992	0.0011852016	0.0011890256	0.0011928066	0.0011852016	0.0011890273	0.0011852016	0.0011852016	0.001188555	0.8349535	0.0011852016	0.0011852016	0.0011890056	0.0011927666	0.0012003835	0.0011879221	0.0011852016	0.0011852016	0.0011890095	0.0011852016	0.0011927653	0.0011852016	0.0011852016	0.0011966148	0.0011852016	0.0011852016	0.0011889838	0.0011852016	0.0011890145	0.0011852016	0.0011889838	0.0011927832	0.0011852016	0.0011889883	0.0011928206	0.0011855573	0.0011852016	0.0011889883	0.0011852016	0.0011852016	0.0011852016	0.0011892712	0.0011852016	0.0011852023	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011927994	0.0011852016	0.0011889784	0.0011889953	0.0011852016	0.0011927797	0.0011889838	0.0012004279	0.0011852016	0.0011890235	0.0011852016	0.0011889784	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011890095	0.0011852174	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011890206	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011927822	0.001196648	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0012004146	0.0011889983	0.0011889838	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011889784	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011852016	0.0011889919	0.0011890095	0.0011852016	0.0011889838	0.0011852016
0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006504757	0.0006504486	0.0006483669	0.0006484095	0.0006463217	0.00064838136	0.0006463217	0.0006483893	0.0006504681	0.00065049273	0.0006483867	0.0006463217	0.00065045164	0.0006463217	0.0006463217	0.0006463217	0.00065049244	0.0006463217	0.0006463217	0.0006483936	0.0006463217	0.0006463217	0.0006483887	0.0006486413	0.00064632186	0.0006463217	0.00064839266	0.0006463217	0.00064840703	0.0006504689	0.0006463217	0.000648408	0.0006463217	0.0006463217	0.00064815045	0.0006483843	0.0006463217	0.0006463217	0.0006483961	0.0006504471	0.0006546008	0.0006478053	0.0006463217	0.0006463217	0.0006483983	0.0006463217	0.0006504464	0.0006463217	0.0006463217	0.00065254566	0.0006463217	0.0006463217	0.0006483843	0.0006463217	0.00064840104	0.0006463217	0.0006483843	0.0006504562	0.0006463217	0.0006483867	0.0006504766	0.0006465157	0.0006463217	0.0006483867	0.0006463217	0.0006463217	0.0006463217	0.000648541	0.0006463217	0.0006463221	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.000650465	0.0006463217	0.00064838136	0.0006483905	0.0006463217	0.0006504543	0.0006483843	0.00065462507	0.0006463217	0.0006484059	0.0006463217	0.00064838136	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006483983	0.0006463303	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006484043	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.00065045565	0.00065256376	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.00065461773	0.9099958	0.0006483843	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.00064838136	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006463217	0.0006483887	0.0006483983	0.0006463217	0.0006483843	0.0006463217
0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035821663	0.0035820173	0.0035705534	0.0035707878	0.0035592904	0.0035706328	0.0035592904	0.5043473	0.0035821246	0.0035822603	0.0035706626	0.0035592904	0.003582034	0.0035592904	0.0035592904	0.0035592904	0.0035822587	0.0035592904	0.0035592904	0.0035707003	0.0035592904	0.0035592904	0.0035706735	0.0035720647	0.0035592914	0.0035592904	0.0035706952	0.0035592904	0.0035707743	0.0035821293	0.0035592904	0.0035707797	0.0035592904	0.0035592904	0.0035693613	0.003570649	0.0035592904	0.0035592904	0.0035707143	0.0035820089	0.0036048836	0.0035674605	0.0035592904	0.0035592904	0.0035707264	0.0035592904	0.0035820052	0.0035592904	0.0035592904	0.0035935657	0.0035592904	0.0035592904	0.003570649	0.0035592904	0.0035707413	0.0035592904	0.003570649	0.0035820592	0.0035592904	0.0035706626	0.0035821714	0.003560359	0.0035592904	0.0035706626	0.0035592904	0.0035592904	0.0035592904	0.0035715122	0.0035592904	0.0035592925	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035821078	0.0035592904	0.0035706328	0.0035706835	0.0035592904	0.0035820487	0.003570649	0.003605017	0.0035592904	0.003570768	0.0035592904	0.0035706328	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035707264	0.003559338	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035707592	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035820561	0.0035936655	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.003604977	0.0035706926	0.003570649	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035706328	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035592904	0.0035706735	0.0035707264	0.0035592904	0.003570649	0.0035592904
0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.00051105703	0.000511036	0.00050940027	0.0005094337	0.0005077934	0.0005094116	0.0005077934	0.00050941785	0.0005110511	0.0005110705	0.0005094158	0.0005077934	0.0005110382	0.0005077934	0.0005077934	0.0005077934	0.00051107025	0.0005077934	0.0005077934	0.0005094212	0.0005077934	0.0005077934	0.0005094174	0.0005096159	0.00050779356	0.0005077934	0.00050942047	0.0005077934	0.0005094318	0.00051105174	0.0005077934	0.0005094326	0.0005077934	0.0005077934	0.0005092302	0.0005094139	0.0005077934	0.0005077934	0.92928666	0.0005110346	0.00051429804	0.000508959	0.0005077934	0.0005077934	0.00050942495	0.0005077934	0.00051103404	0.0005077934	0.0005077934	0.00051268336	0.0005077934	0.0005077934	0.0005094139	0.0005077934	0.0005094271	0.0005077934	0.0005094139	0.0005110417	0.0005077934	0.0005094158	0.0005110578	0.00050794584	0.0005077934	0.0005094158	0.0005077934	0.0005077934	0.0005077934	0.00050953706	0.0005077934	0.0005077937	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005110487	0.0005077934	0.0005094116	0.00050941884	0.0005077934	0.00051104027	0.0005094139	0.0005143171	0.0005077934	0.0005094309	0.0005077934	0.0005094116	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.00050942495	0.0005078002	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.00050942966	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005110413	0.0005126976	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.00051431137	0.0005094201	0.0005094139	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005094116	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005077934	0.0005094174	0.00050942495	0.0005077934	0.0005094139	0.0005077934
0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014315313	0.0014314717	0.0014268904	0.001426984	0.0014223894	0.0014269222	0.0014223894	0.0014269396	0.0014315145	0.0014315688	0.001426934	0.0014223894	0.0014314783	0.0014223894	0.0014223894	0.0014223894	0.0014315682	0.0014223894	0.0014223894	0.001426949	0.0014223894	0.0014223894	0.0014269383	0.0014274943	0.0014223898	0.0014223894	0.0014269471	0.0014223894	0.0014269787	0.0014315164	0.0014223894	0.0014269808	0.0014223894	0.0014223894	0.001426414	0.0014269286	0.0014223894	0.0014223894	0.0014269546	0.0014314683	0.0014406097	0.0014256544	0.0014223894	0.0014223894	0.0014269595	0.0014223894	0.5784358	0.0014223894	0.0014223894	0.0014360867	0.0014223894	0.0014223894	0.0014269286	0.0014223894	0.0014269655	0.0014223894	0.0014269286	0.0014314883	0.0014223894	0.001426934	0.0014315479	0.0014228164	0.0014223894	0.22491936	0.0014223894	0.0014223894	0.0014223894	0.0014272736	0.0014223894	0.0014223902	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014315079	0.0014223894	0.0014269222	0.0014269424	0.0014223894	0.0014314841	0.0014269286	0.0014406629	0.0014223894	0.0014269762	0.0014223894	0.0014269222	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269595	0.0014224084	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269727	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014314872	0.0014361267	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014406469	0.001426946	0.0014269286	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269222	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014223894	0.0014269383	0.0014269595	0.0014223894	0.0014269286	0.0014223894
0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014315312	0.0014314716	0.0014268903	0.0014269839	0.0014223893	0.001426922	0.0014223893	0.0014269394	0.0014315144	0.0014315686	0.0014269338	0.0014223893	0.0014314782	0.0014223893	0.0014223893	0.0014223893	0.0014315681	0.0014223893	0.0014223893	0.0014269489	0.0014223893	0.0014223893	0.0014269382	0.0014274942	0.0014223896	0.0014223893	0.0014269468	0.0014223893	0.0014269786	0.0014315163	0.0014223893	0.0014269807	0.0014223893	0.0014223893	0.0014264139	0.0014269284	0.0014223893	0.0014223893	0.0014269545	0.0014314682	0.0014406095	0.0014256543	0.0014223893	0.0014223893	0.0014269594	0.0014223893	0.0014314667	0.0014223893	0.0014223893	0.0014360866	0.0014223893	0.0014223893	0.0014269284	0.0014223893	0.0014269653	0.0014223893	0.0014269284	0.0014314882	0.0014223893	0.0014269338	0.4317771	0.0014228162	0.0014223893	0.0014269338	0.0014223893	0.0014223893	0.0014223893	0.0014272734	0.0014223893	0.0014223901	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014315078	0.0014223893	0.001426922	0.0014269422	0.0014223893	0.001431484	0.0014269284	0.0014406628	0.0014223893	0.001426976	0.0014223893	0.001426922	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269594	0.0014224083	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269726	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.001431487	0.0014361265	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014406468	0.0014269459	0.3715782	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.001426922	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269382	0.0014269594	0.0014223893	0.0014269284	0.0014223893
0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014315312	0.0014314716	0.0014268903	0.0014269839	0.0014223893	0.001426922	0.0014223893	0.0014269394	0.0014315144	0.0014315686	0.0014269338	0.0014223893	0.0014314782	0.0014223893	0.0014223893	0.0014223893	0.0014315681	0.0014223893	0.0014223893	0.0014269489	0.0014223893	0.0014223893	0.0014269382	0.0014274942	0.0014223896	0.0014223893	0.0014269468	0.0014223893	0.0014269786	0.0014315163	0.0014223893	0.0014269807	0.0014223893	0.0014223893	0.0014264139	0.0014269284	0.0014223893	0.0014223893	0.0014269545	0.0014314682	0.0014406095	0.0014256543	0.0014223893	0.0014223893	0.0014269594	0.0014223893	0.0014314667	0.0014223893	0.0014223893	0.0014360866	0.0014223893	0.0014223893	0.0014269284	0.0014223893	0.0014269653	0.0014223893	0.0014269284	0.0014314882	0.0014223893	0.0014269338	0.0014315331	0.0014228162	0.0014223893	0.0014269338	0.0014223893	0.0014223893	0.0014223893	0.0014272734	0.0014223893	0.0014223901	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.8019282	0.0014223893	0.001426922	0.0014269422	0.0014223893	0.001431484	0.0014269284	0.0014406628	0.0014223893	0.001426976	0.0014223893	0.001426922	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269594	0.0014224083	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269726	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.001431487	0.0014361265	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014406468	0.0014269459	0.0014269284	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.001426922	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014223893	0.0014269382	0.0014269594	0.0014223893	0.0014269284	0.0014223893
0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035821665	0.0035820175	0.0035705536	0.0035707878	0.0035592907	0.003570633	0.0035592907	0.0035706768	0.0035821248	0.0035822606	0.0035706628	0.0035592907	0.5043587	0.0035592907	0.0035592907	0.0035592907	0.003582259	0.0035592907	0.0035592907	0.0035707005	0.0035592907	0.0035592907	0.0035706738	0.003572065	0.0035592916	0.0035592907	0.0035706954	0.0035592907	0.0035707746	0.0035821295	0.0035592907	0.00357078	0.0035592907	0.0035592907	0.0035693615	0.0035706493	0.0035592907	0.0035592907	0.0035707145	0.003582009	0.0036048838	0.0035674607	0.0035592907	0.0035592907	0.0035707266	0.0035592907	0.0035820054	0.0035592907	0.0035592907	0.003593566	0.0035592907	0.0035592907	0.0035706493	0.0035592907	0.0035707415	0.0035592907	0.0035706493	0.0035820594	0.0035592907	0.0035706628	0.0035821716	0.0035603591	0.0035592907	0.0035706628	0.0035592907	0.0035592907	0.0035592907	0.0035715124	0.0035592907	0.0035592928	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.003582108	0.0035592907	0.003570633	0.0035706838	0.0035592907	0.003582049	0.0035706493	0.0036050172	0.0035592907	0.0035707683	0.0035592907	0.003570633	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035707266	0.0035593382	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035707594	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035820564	0.0035936658	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.003604977	0.0035706928	0.0035706493	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.003570633	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035592907	0.0035706738	0.0035707266	0.0035592907	0.0035706493	0.0035592907
0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023868734	0.0023867742	0.0023791355	0.0023792917	0.0023716306	0.0023791885	0.0023716306	0.0023792174	0.0023868456	0.002386936	0.002379208	0.0023716306	0.002386785	0.0023716306	0.0023716306	0.0023716306	0.002386935	0.0023716306	0.0023716306	0.0023792333	0.0023716306	0.0023716306	0.0023792156	0.0023801425	0.0023716313	0.0023716306	0.00237923	0.0023716306	0.0023792828	0.0023868487	0.0023716306	0.0023792863	0.0023716306	0.0023716306	0.002378341	0.0023791993	0.0023716306	0.0023716306	0.0023792426	0.0023867686	0.0024020104	0.0023770747	0.0023716306	0.0023716306	0.0023792507	0.0023716306	0.66974366	0.0023716306	0.0023716306	0.002394469	0.0023716306	0.0023716306	0.0023791993	0.0023716306	0.0023792607	0.0023716306	0.0023791993	0.0023868019	0.0023716306	0.002379208	0.0023868768	0.0023723426	0.0023716306	0.002379208	0.0023716306	0.0023716306	0.0023716306	0.0023797743	0.0023716306	0.002371632	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023868345	0.0023716306	0.0023791885	0.002379222	0.0023716306	0.002386795	0.0023791993	0.0024020993	0.0023716306	0.0023792787	0.0023716306	0.0023791885	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023792507	0.0023716623	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023792726	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023868	0.0023945356	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0024020725	0.0023792281	0.0023791993	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023791885	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023716306	0.0023792156	0.0023792507	0.0023716306	0.0023791993	0.0023716306
