topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.013129367	0.013392869	0.0133334575	0.014063491	0.013484774	0.014044161	0.014009992	0.014135843	0.014724816	0.013925007	0.01321654	0.8224408	0.013131209	0.012967693
0.010919708	0.011138812	0.011089479	0.011696629	0.011215306	0.011680522	0.011652126	0.011756782	0.01224665	0.011581421	0.010992166	0.33419046	0.52905476	0.010785232
0.0059297755	0.0060487725	0.0060219467	0.0063516605	0.0060903	0.006342981	0.0063275085	0.67309225	0.2538736	0.0062891375	0.005969126	0.0058755954	0.005930615	0.005856746
0.0334143	0.034084905	0.033933707	0.03579165	0.549321	0.03574244	0.035655495	0.03597579	0.03747464	0.03543918	0.033636034	0.033109024	0.033419028	0.033002827
0.004653795	0.004747191	0.00472615	0.0049849274	0.004779772	0.0049780495	0.9374175	0.0050105546	0.0052193445	0.00493583	0.00468469	0.004611276	0.004654444	0.0045964858
0.013129377	0.013392824	0.01333346	0.01406349	0.013484789	0.014044257	0.014010008	0.014135852	0.014724828	0.013925013	0.82264775	0.013009414	0.013131232	0.01296768
0.013129358	0.013392813	0.01333346	0.014063498	0.013484759	0.8234758	0.014009997	0.014135835	0.014724764	0.013924988	0.0132164955	0.01300941	0.013131198	0.012967666
0.013129408	0.013392834	0.013333517	0.014063531	0.013484823	0.0140441675	0.014010032	0.014135866	0.82415587	0.01392503	0.013216521	0.013009419	0.013131253	0.012967713
0.033414364	0.034084827	0.5489353	0.035791755	0.034318894	0.03574246	0.035655558	0.035975818	0.037474766	0.03543922	0.033636082	0.033109043	0.03341903	0.033002876
0.022055652	0.022498209	0.022398468	0.023624867	0.022652658	0.023592735	0.023534978	0.7036154	0.024735747	0.023392245	0.022202136	0.021854121	0.022058742	0.021784002
0.5484162	0.03408481	0.03393371	0.03579175	0.03431882	0.035742458	0.035655525	0.035975937	0.037474684	0.035439186	0.033636037	0.033109028	0.03341901	0.033002853
0.022055602	0.022498181	0.022398442	0.7034949	0.022652633	0.023592327	0.02353494	0.02374635	0.024735713	0.023392158	0.022201963	0.021854112	0.022058694	0.02178399
0.005433204	0.0055422266	0.0055176564	0.2069262	0.005580274	0.0058118096	0.0057976255	0.725882	0.0060934424	0.005762465	0.0054692742	0.0053835637	0.0054339655	0.005366291
0.022055617	0.022498196	0.022398463	0.023624837	0.022652697	0.02359238	0.023534957	0.023746507	0.7046053	0.02339223	0.022201978	0.021854116	0.022058716	0.021784006
0.068895794	0.070278294	0.06996675	0.073797554	0.07076077	0.073696114	0.07351683	0.07417724	0.07726765	0.073070824	0.069352984	0.06826636	0.068905465	0.06804734
0.0011394426	0.0011623077	0.0011571547	0.0012205176	0.0011702867	0.0012188338	0.0012158718	0.0012267921	0.0012779108	0.98466986	0.0011470041	0.0011290329	0.0011396024	0.0011254104
0.42549855	0.0025512513	0.002539946	0.17869434	0.0025687693	0.24334626	0.0026688187	0.0026928065	0.12681909	0.0026526314	0.002517659	0.0024782128	0.0025014142	0.0024702635
0.016460223	0.016790513	0.01671612	0.01763137	0.016905786	0.01760717	0.017564295	0.017722031	0.018460374	0.017457701	0.016569443	0.77739495	0.01646253	0.01625751
0.013129375	0.013392827	0.41804874	0.01406355	0.013484778	0.014044241	0.014010038	0.41885164	0.014724926	0.013925064	0.013216493	0.0130094355	0.013131213	0.012967688
0.0072560934	0.0074016843	0.0073689013	0.0077723605	0.0074525145	0.0077617164	0.007742782	0.0078123733	0.008137857	0.9023758	0.0073042577	0.0071897884	0.0072571067	0.0071667307
0.022055615	0.70236796	0.022398459	0.023624822	0.02265271	0.02359234	0.023534946	0.02374636	0.02473573	0.023392174	0.02220201	0.021854112	0.02205872	0.021784019
0.016460227	0.016790548	0.01671609	0.017631385	0.6198705	0.017607182	0.017564258	0.1758421	0.018460553	0.01745779	0.016569449	0.016309844	0.016462544	0.01625752
0.010919679	0.011138803	0.011089415	0.011696587	0.011215263	0.28517538	0.011652105	0.011756779	0.012246642	0.5795909	0.0109921675	0.010819911	0.01092121	0.010785197
0.003425347	0.0034940753	0.0034785862	0.0036690754	0.0035180673	0.0036640037	0.0036550926	0.282372	0.6754397	0.0036329252	0.0034480717	0.003394047	0.0034258256	0.003383161
0.010919715	0.011138906	0.01108948	0.011696658	0.0112153115	0.01168059	0.8531556	0.011756792	0.012246695	0.011581464	0.01099226	0.010819958	0.010921232	0.010785323
0.0046537863	0.0047471784	0.004726125	0.0049848896	0.0047797617	0.9374298	0.0049659302	0.005010543	0.005219292	0.004935803	0.0046846983	0.0046112738	0.0046544415	0.004596472
0.016460266	0.01679053	0.3180979	0.017631365	0.016905846	0.017607111	0.017564312	0.017722081	0.4781634	0.017457765	0.016569484	0.016309844	0.01646258	0.016257549
0.033414315	0.034084983	0.033933733	0.03579167	0.034318835	0.035742465	0.03565551	0.035975795	0.037474737	0.03543922	0.5486378	0.033109043	0.03341899	0.033002857
0.033414293	0.0340848	0.0339337	0.55079395	0.034318797	0.035742436	0.0356555	0.035975784	0.03747469	0.035439182	0.03363603	0.033109084	0.03341898	0.033002805
0.24022269	0.016790533	0.01671609	0.017631408	0.016905824	0.55492914	0.017564276	0.017722132	0.018460866	0.0174577	0.01656945	0.01630984	0.016462544	0.016257545
0.033414315	0.034084808	0.033933703	0.035791654	0.0343188	0.035742763	0.035655502	0.035975844	0.037474636	0.035439193	0.548638	0.033109017	0.033418998	0.033002794
0.033414315	0.03408495	0.033933733	0.03579167	0.034318835	0.035742465	0.03565551	0.035975795	0.037474737	0.03543922	0.54863787	0.033109043	0.03341899	0.033002857
0.4576175	0.0036888202	0.0036724724	0.0038735461	0.0037141463	0.0038682155	0.4973688	0.003893478	0.0040557003	0.0038354062	0.003640251	0.0035832142	0.003616764	0.003571722
0.033414338	0.034084845	0.03393376	0.035791725	0.034319066	0.03574262	0.035655554	0.035975896	0.552476	0.035439227	0.033636075	0.03310906	0.033419035	0.03300284
0.0065262164	0.0066571627	0.0066276505	0.00699054	0.0067028655	0.006980919	0.9122381	0.0070265154	0.00731924	0.0069216886	0.0065695113	0.006466581	0.006527124	0.00644584
0.009346639	0.009534194	0.009491941	0.010011646	0.00959965	0.009997931	0.2963693	0.0100631425	0.010482439	0.58785367	0.009408663	0.009261255	0.009347954	0.009231534
0.003425341	0.0034940843	0.0034785848	0.0036690647	0.0035180638	0.7734402	0.0036550902	0.0036879252	0.0038415818	0.0036329161	0.0034480833	0.18390016	0.0034258221	0.0033831587
0.022055611	0.022498181	0.022398444	0.023624811	0.022652633	0.70346236	0.02353494	0.023746379	0.024735687	0.023392163	0.02220203	0.021854099	0.022058703	0.021783983
