topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.011551587	0.011791006	0.012098202	0.0123148365	0.011741156	0.012156109	0.011974042	0.012386789	0.012960688	0.012017442	0.011623426	0.8196063	0.011840685	0.011555425	0.012578077	0.0118042445
0.009610208	0.009809386	0.010064961	0.010245186	0.009767916	0.010113132	0.009961665	0.010305045	0.010782504	0.00999777	0.009669975	0.8499235	0.009850728	0.009613403	0.010464191	0.0098204035
0.0052220575	0.005330289	0.005469165	0.0055670966	0.0053077564	0.0054953503	0.005413036	0.73367995	0.0058590695	0.19058037	0.005254534	0.005222366	0.005352751	0.005223794	0.0056861006	0.0053362753
0.029321773	0.54270667	0.030709261	0.031259157	0.029803013	0.03085625	0.030394107	0.031441793	0.032898534	0.030504268	0.029504126	0.029323505	0.030055612	0.029331524	0.031927347	0.029963113
0.004099043	0.004183999	0.2043338	0.004369889	0.0041663107	0.0043135546	0.73609674	0.004395412	0.0045990637	0.004264351	0.004124535	0.0040992848	0.004201628	0.004100404	0.0044632927	0.0041886987
0.011551609	0.011791021	0.012098227	0.012314862	0.011741175	0.8202097	0.011974065	0.012386813	0.012960738	0.012017464	0.011623451	0.011552288	0.011840723	0.011555455	0.012578115	0.011804268
0.011551588	0.011791004	0.012098202	0.01231484	0.011741157	0.47185886	0.011974044	0.0123867905	0.012960686	0.012017443	0.011623428	0.01155227	0.011840685	0.011555425	0.3609293	0.011804246
0.011551601	0.011791016	0.49368215	0.012314853	0.011741171	0.012156124	0.011974058	0.012386807	0.012960731	0.012017464	0.011623441	0.011552282	0.3383105	0.011555442	0.01257811	0.011804259
0.029321779	0.029929496	0.5434863	0.031259175	0.02980297	0.030856255	0.030394116	0.031441804	0.032898556	0.030504275	0.029504137	0.029323516	0.030055612	0.029331522	0.031927362	0.02996311
0.01938274	0.019784462	0.020299919	0.020663425	0.019700825	0.3081278	0.020091588	0.41098174	0.021747114	0.020164417	0.019503286	0.019383883	0.019867823	0.019389177	0.02110512	0.019806681
