topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.009455259	0.009581856	0.0095208725	0.009895574	0.009479481	0.009866451	0.009908341	0.009880584	0.010369342	0.009645182	0.00959291	0.8159111	0.009359519	0.009366401	0.010305203	0.009681719	0.009396901	0.009490411	0.009633104	0.009659738
0.00786859	0.007973943	0.007923193	0.008235017	0.007888746	0.00821078	0.00824564	0.008222541	0.008629282	0.008026642	0.0079831425	0.8468027	0.0077889157	0.0077946424	0.008575906	0.008057049	0.007820025	0.007897843	0.008016591	0.0080387555
0.0042786417	0.0043359287	0.0043083327	0.0044778907	0.0042896024	0.004464712	0.0044836677	0.9169483	0.0046922774	0.004364584	0.004340931	0.0042199483	0.004235318	0.004238432	0.0046632537	0.0043811183	0.004252234	0.004294548	0.004359119	0.0043711714
0.023933675	0.024254123	0.02409976	0.025048224	0.53441375	0.024974506	0.02508054	0.025010278	0.026247451	0.024414416	0.024282105	0.023605358	0.023691332	0.023708751	0.026085097	0.024506904	0.023785956	0.024022652	0.024383845	0.024451263
0.0033591029	0.003404078	0.003382413	0.0035155304	0.0033677078	0.003505184	0.5811055	0.0035102046	0.0036838423	0.003426575	0.0034080052	0.0033130234	0.0033250898	0.0033275345	0.003661056	0.0034395556	0.0033383705	0.0033715907	0.35712394	0.0034317465
0.009455297	0.009581895	0.009520912	0.009895614	0.009479519	0.8164513	0.009908381	0.009880624	0.010369385	0.009645221	0.009592949	0.009325592	0.009359557	0.009366439	0.0103052445	0.009681759	0.00939694	0.009490449	0.009633143	0.009659778
0.009455257	0.009581855	0.009520871	0.009895572	0.009479479	0.46111742	0.009908339	0.009880582	0.01036934	0.00964518	0.009592908	0.009325552	0.009359517	0.009366399	0.36563984	0.0096817175	0.0093968995	0.009490409	0.009633102	0.009659736
0.009455258	0.0095818555	0.009520872	0.009895573	0.00947948	0.00986645	0.00990834	0.009880583	0.010369341	0.009645181	0.009592909	0.009325553	0.009359518	0.0093664	0.010305202	0.009681718	0.0093969	0.00949041	0.81621873	0.009659742
0.023933686	0.024254136	0.5345183	0.025048237	0.023994997	0.02497452	0.025080552	0.025010291	0.026247462	0.02441443	0.024282116	0.023605369	0.023691343	0.023708763	0.02608511	0.024506915	0.023785967	0.024022663	0.024383856	0.024451274
0.015845725	0.016057884	0.015955685	0.016583635	0.015886318	0.27306053	0.016605029	0.4358966	0.017377604	0.01616401	0.016076412	0.015628358	0.015685279	0.01569681	0.017270114	0.016225243	0.015747925	0.015904635	0.016143769	0.016188405
0.5343524	0.024254126	0.024099762	0.025048228	0.023994988	0.02497451	0.025080543	0.025010282	0.026247453	0.02441442	0.024282109	0.02360536	0.023691334	0.023708753	0.026085101	0.024506906	0.023785958	0.024022654	0.024383849	0.024451267
0.015845718	0.016057877	0.015955677	0.69244766	0.015886309	0.016534818	0.01660502	0.016558502	0.017377594	0.016164001	0.016076403	0.015628349	0.01568527	0.015696803	0.017270105	0.016225234	0.015747918	0.015904626	0.01614376	0.016188396
0.003920862	0.003973359	0.0039480706	0.28338075	0.0039309063	0.15018874	0.0041087437	0.0040972335	0.0042999093	0.0039996183	0.0039779427	0.0038670765	0.003881161	0.0038840147	0.0042733126	0.0040147696	0.49831784	0.0039354386	0.00399461	0.0040056547
0.015845729	0.01605789	0.01595569	0.016583638	0.015886322	0.016534831	0.016605033	0.016558515	0.69324136	0.016164014	0.016076416	0.015628362	0.015685283	0.015696814	0.01727012	0.016225247	0.01574793	0.015904639	0.016143773	0.01618841
0.048886016	0.049540553	0.049225252	0.051162552	0.049011245	0.05101198	0.051228557	0.051085047	0.053612046	0.04986796	0.049597707	0.048215404	0.048391014	0.048426595	0.05328043	0.05005687	0.04858429	0.049067754	0.049805515	0.04994322
0.00082322647	0.00083424867	0.00082893914	0.00086156273	0.0008253353	0.0008590271	0.0008626742	0.0008602575	0.00090281153	0.984	0.00083521113	0.0008119336	0.0008148908	0.0008154899	0.00089722715	0.0008429433	0.00081814546	0.0008262869	0.0008387106	0.0008410295
