topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.006383378	0.006494522	0.00642788	0.0067555513	0.006553949	0.0066232225	0.0066347294	0.0066270754	0.0066934335	0.006503628	0.0064258664	0.8108018	0.0064497767	0.006490426	0.0067101857	0.0065778233	0.006475649	0.006384979	0.006537742	0.0063855243	0.0064506214	0.0064297216	0.0065256516	0.00653288	0.0067159175	0.0064530754	0.0063834884	0.0064066607	0.0065389355	0.0066258986
0.005314719	0.005407256	0.0053517707	0.005624586	0.005456734	0.0055144103	0.005523991	0.0055176183	0.005572867	0.0054148375	0.0053500943	0.005407177	0.005370002	0.005403846	0.0055868146	0.0054766117	0.0053915423	0.005316052	0.0054432405	0.005316506	0.84243953	0.005353304	0.005433174	0.0054391925	0.005591587	0.0053727482	0.0053148107	0.005334104	0.0054442342	0.0055166385
0.002893043	0.002943415	0.0029132117	0.0030617174	0.002970348	0.0030017437	0.003006959	0.0030034902	0.0030335644	0.002947542	0.002912299	0.002943372	0.0029231356	0.0029415586	0.0030411568	0.0029811685	0.0029348612	0.0028937685	0.002963003	0.0028940155	0.0029235187	0.0029140464	0.002957523	0.0029607993	0.0030437547	0.0029246307	0.0028930928	0.0029035949	0.9142727	0.0030029567
0.016088389	0.016368512	0.016200548	0.017026398	0.52330315	0.016692882	0.016721884	0.016702592	0.01686984	0.016391462	0.016195474	0.016368272	0.016255736	0.01635819	0.01691206	0.01657846	0.016320944	0.016092423	0.016477441	0.016093798	0.016257865	0.016205192	0.016446969	0.016465187	0.016926507	0.016264051	0.016088666	0.01614707	0.016480448	0.016699627
0.0022719153	0.0023114728	0.0022877539	0.002404376	0.0023326233	0.0023572785	0.53147095	0.0023586499	0.0023822675	0.0023147136	0.0022870374	0.002311439	0.0022955472	0.002310015	0.0023882298	0.0023411205	0.0023047554	0.40351376	0.0023268552	0.0022726792	0.002295848	0.0022884095	0.002322552	0.0023251246	0.00239027	0.0022967213	0.0022719547	0.002280202	0.00232728	0.002358231
0.0063833846	0.0064945286	0.006427886	0.006755558	0.0065539554	0.8109304	0.006634736	0.006627082	0.0066934396	0.006503634	0.0064258724	0.006494433	0.0064497828	0.0064904327	0.006710192	0.00657783	0.006475655	0.006384985	0.0065377485	0.0063855303	0.006450628	0.0064297277	0.0065256576	0.006532886	0.006715924	0.0064530815	0.0063834945	0.006406667	0.0065389415	0.006625905
0.006383378	0.006494522	0.00642788	0.0067555513	0.006553949	0.0066232225	0.0066347294	0.0066270754	0.0066934335	0.006503628	0.0064258664	0.006494427	0.0064497767	0.006490426	0.30133298	0.0065778233	0.006475649	0.006384979	0.006537742	0.0063855243	0.0064506214	0.0064297216	0.0065256516	0.51621747	0.0067159175	0.0064530754	0.0063834884	0.0064066607	0.0065389355	0.0066258986
0.0063833827	0.0064945268	0.006427884	0.006755556	0.0065539535	0.0066232267	0.006634734	0.00662708	0.0066934377	0.0065036323	0.0064258706	0.0064944313	0.006449781	0.006490431	0.00671019	0.006577828	0.006475653	0.006384983	0.27895856	0.0063855285	0.006450626	0.006429726	0.0065256557	0.006532884	0.006715922	0.0064530796	0.53826994	0.0064066653	0.0065389397	0.0066259033
0.016088389	0.01636851	0.016200548	0.017026396	0.016518287	0.01669288	0.016721882	0.016702592	0.016869837	0.01639146	0.016195472	0.016368272	0.016255736	0.016358187	0.01691206	0.016578458	0.016320942	0.016092423	0.52326226	0.016093796	0.016257865	0.01620519	0.016446967	0.016465185	0.016926505	0.01626405	0.016088666	0.016147068	0.016480448	0.016699625
0.010677295	0.010863203	0.010751732	0.011299819	0.010962604	0.011078475	0.011097723	0.011084921	0.011195916	0.0108784335	0.010748363	0.010863043	0.010788358	0.010856351	0.011223936	0.011002538	0.39033842	0.010679972	0.010935495	0.010680885	0.010789771	0.0107548125	0.010915271	0.30409113	0.0112335235	0.010793876	0.010677479	0.010716239	0.010937491	0.011082952
