topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0048967786	0.004879484	0.0048803207	0.005010911	0.004959193	0.0049941004	0.00506299	0.0049309796	0.0050761183	0.005064296	0.004847763	0.8081247	0.004880612	0.004863943	0.0050734407	0.0048793005	0.0048632603	0.0048313076	0.0048791487	0.004928742	0.004863859	0.0048963567	0.0049625807	0.004928213	0.0049289563	0.004880312	0.0048802574	0.0048645874	0.004929337	0.004863513	0.0048965607	0.0048148325	0.004928853	0.0049948925	0.0049291374	0.0049381405	0.004945256	0.00493177	0.004814894	0.004880283
0.0040779063	0.004063504	0.004064201	0.0041729524	0.0041298834	0.004158953	0.0042163227	0.004106388	0.0042272555	0.0042174105	0.0040370873	0.8402114	0.0040644426	0.004050561	0.0042250254	0.004063351	0.004049993	0.004023384	0.0040632244	0.0041045244	0.004050492	0.004077555	0.0041327043	0.0041040843	0.0041047027	0.0040641935	0.004064148	0.0040510986	0.0041050203	0.0040502036	0.0040777246	0.0040096636	0.0041046166	0.0041596126	0.0041048536	0.004112351	0.0041182768	0.004107046	0.004009715	0.0040641692
0.0022209205	0.0022130767	0.0022134562	0.002272685	0.0022492285	0.0022650608	0.0022963053	0.0022364324	0.0023022597	0.0022968978	0.0021986899	0.0022207764	0.0022135882	0.002206028	0.0023010452	0.0022129936	0.0022057185	0.0021912265	0.0022129246	0.0022354175	0.00220599	0.0022207294	0.002250765	0.0022351777	0.0022355146	0.0022134522	0.0022134276	0.0022063204	0.0022356876	0.002205833	0.0022208218	0.002183754	0.0022354678	0.0022654198	0.002235597	0.0022396802	0.0022429072	0.45233402	0.0021837822	0.46287093
0.012316494	0.517348	0.012275101	0.012603563	0.012473482	0.012561281	0.012734554	0.012402518	0.012767574	0.012737839	0.01219321	0.012315696	0.012275831	0.0122339055	0.012760839	0.012272534	0.012232189	0.012151821	0.012272152	0.012396891	0.012233695	0.012315434	0.012482001	0.01239556	0.012397428	0.012275077	0.0122749405	0.012235528	0.012398387	0.012232824	0.012315947	0.012110381	0.012397169	0.012563273	0.012397884	0.0124205295	0.012438426	0.012404506	0.012110537	0.012275006
0.0017443261	0.0017381655	0.0017384636	0.0017849823	0.0017665596	0.0017789942	0.54083365	0.0017565093	0.0018082104	0.0018039992	0.001726866	0.001744213	0.0017385673	0.0017326295	0.0018072565	0.0017381002	0.0017323863	0.392597	0.0017380461	0.0017557122	0.0017325996	0.001744176	0.0017677661	0.0017555238	0.0017557885	0.0017384605	0.0017384411	0.0017328592	0.0017559242	0.0017324764	0.0017442486	0.0017151354	0.0017557517	0.0017792762	0.0017558531	0.0017590601	0.0017615947	0.0017567908	0.0017151573	0.0017384503
0.004896778	0.0048794835	0.0048803203	0.0050109103	0.0049591926	0.0049941	0.0050629894	0.004930979	0.005076118	0.0050642956	0.0048477626	0.0048964606	0.0048806113	0.0048639425	0.00507344	0.0048793	0.00486326	0.004831307	0.004879148	0.0049287416	0.0048638587	0.0048963563	0.0049625803	0.8081565	0.004928956	0.0048803114	0.004880257	0.004864587	0.0049293367	0.0048635127	0.00489656	0.004814832	0.0049288524	0.004994892	0.004929137	0.00493814	0.0049452554	0.0049317693	0.0048148935	0.0048802826
0.004896776	0.004879481	0.004880318	0.005010908	0.0049591903	0.45481464	0.005062987	0.004930977	0.0050761155	0.0050642933	0.0048477603	0.0048964582	0.004880609	0.00486394	0.3584813	0.0048792977	0.0048632575	0.004831305	0.004879146	0.0049287393	0.0048638564	0.004896354	0.0049625775	0.0049282103	0.0049289535	0.004880309	0.0048802546	0.0048645847	0.0049293344	0.0048635104	0.004896558	0.0048148297	0.00492885	0.0049948897	0.0049291346	0.0049381377	0.004945253	0.004931767	0.004814891	0.0048802802
0.0048967763	0.0048794816	0.0048803184	0.0050109085	0.0049591907	0.004994098	0.0050629876	0.0049309772	0.005076116	0.0050642937	0.004847761	0.0048964587	0.0048806095	0.0048639406	0.005073438	0.004879298	0.004863258	0.0048313052	0.0048791463	0.0049287397	0.80809224	0.0048963544	0.004962578	0.0049282108	0.004928954	0.0048803096	0.004880255	0.004864585	0.004929335	0.004863511	0.0048965584	0.00481483	0.0049288506	0.00499489	0.004929135	0.004938138	0.0049452535	0.0049317675	0.0048148916	0.0048802807
0.012316493	0.012272993	0.012275099	0.012603561	0.01247348	0.01256128	0.012734552	0.012402517	0.012767573	0.012737838	0.012193209	0.012315694	0.01227583	0.012233904	0.012760838	0.012272532	0.012232187	0.01215182	0.5173472	0.012396889	0.012233693	0.012315433	0.012482	0.012395559	0.012397427	0.0122750765	0.012274939	0.012235526	0.012398385	0.012232823	0.012315946	0.01211038	0.012397167	0.012563271	0.012397883	0.012420528	0.012438424	0.012404504	0.012110535	0.012275004
0.00818331	0.008154408	0.008155807	0.008374044	0.008287615	0.32412833	0.008461077	0.008240466	0.008483016	0.008463259	0.008101398	0.008182779	0.008156292	0.008128436	0.008478541	0.008154102	0.008127295	0.008073898	0.008153848	0.008236727	0.008128297	0.008182606	0.008293276	0.008235843	0.008237084	0.008155792	0.008155701	0.008129514	0.008237721	0.008127718	0.008182947	0.008046364	0.008236911	0.008347275	0.008237387	0.008252433	0.008264324	0.36362195	0.008046468	0.008155744
0.012316494	0.012272995	0.012275101	0.012603563	0.012473482	0.012561281	0.012734554	0.012402518	0.012767574	0.012737839	0.01219321	0.012315696	0.012275831	0.5173089	0.012760839	0.012272534	0.012232189	0.012151821	0.012272152	0.012396891	0.012233695	0.012315434	0.012482001	0.01239556	0.012397428	0.012275077	0.0122749405	0.012235528	0.012398387	0.012232824	0.012315947	0.012110381	0.012397169	0.012563273	0.012397884	0.0124205295	0.012438426	0.012404506	0.012110537	0.012275006
