topic_0	topic_1	topic_2	topic_3
0.043698356	0.8619908	0.04504116	0.04926972
0.037350502	0.62457293	0.29588467	0.04219193
0.9343858	0.022735974	0.020332508	0.022545733
0.111536294	0.6499205	0.11396532	0.12457792
0.015612218	0.9500807	0.016576618	0.017730465
0.8539909	0.050632305	0.04606552	0.049311314
0.045263145	0.050607104	0.045137137	0.85899264
0.04513318	0.050478425	0.85478765	0.049600758
0.11304957	0.12764527	0.6337237	0.12558149
0.75180733	0.08422331	0.07561435	0.088355
0.11604725	0.13071908	0.11567249	0.6375612
0.073260784	0.08410375	0.074804865	0.76783055
0.018661305	0.020579867	0.018390803	0.94236803
0.7530178	0.084080994	0.07538306	0.087518215
0.2342871	0.26716563	0.23881175	0.25973552
0.0038484966	0.9879496	0.003952263	0.004249627
0.008509162	0.009931181	0.45204464	0.52951497
0.054954834	0.06598161	0.056888673	0.8221749
0.04475285	0.04973703	0.045104235	0.86040586
0.91873354	0.027870517	0.02539624	0.027999733
0.07346139	0.76710075	0.077250406	0.08218747
0.056220382	0.5018686	0.05704766	0.38486335
0.53372425	0.38866004	0.036898844	0.04071685
0.45074204	0.013424196	0.011683292	0.52415055
0.036276583	0.5946617	0.038515434	0.33054626
0.9478953	0.018505698	0.01613284	0.017466182
0.05630319	0.063315645	0.8185882	0.061792985
0.1122464	0.13538316	0.6267506	0.12561989
0.11168606	0.12832244	0.11406477	0.6459267
0.05700178	0.82005155	0.05754623	0.065400444
0.6266652	0.13009901	0.114632405	0.1286034
0.11224673	0.13543512	0.62669724	0.12562089
0.012462291	0.73905325	0.23425701	0.014227504
0.11584865	0.12880449	0.11488829	0.6404586
0.021673882	0.9318815	0.022026658	0.024417948
0.031528827	0.8990374	0.03335398	0.036079757
0.61241126	0.36199746	0.011951106	0.013640199
0.75585645	0.0850874	0.075123034	0.08393308
0.8737592	0.044753548	0.039702293	0.04178493
0.07686516	0.4407755	0.07599828	0.40636104
0.11224579	0.1352875	0.6268487	0.125618
0.05574817	0.52120006	0.056272145	0.36677963
0.024633372	0.31425264	0.24356672	0.4175473
0.98605734	0.004889478	0.0043083704	0.0047448096
0.11153629	0.64991957	0.113965385	0.12457875
0.2342871	0.26716563	0.23881175	0.25973552
0.027239123	0.031115508	0.9116827	0.029962614
0.073715284	0.76935875	0.075028166	0.0818978
0.2342871	0.26716563	0.23881175	0.25973552
0.022277081	0.025004905	0.92826706	0.024450948
0.027186166	0.91002226	0.029063195	0.033728365
0.11333508	0.12952414	0.6327784	0.12436237
0.018378234	0.19852765	0.34532824	0.43776584
0.6266341	0.13010211	0.11463289	0.1286309
0.11344562	0.12952407	0.6331132	0.12391713
0.6274331	0.12725195	0.1148158	0.13049912
0.03164443	0.90094244	0.032909714	0.03450344
0.013845193	0.31011197	0.26484445	0.41119838
0.11153628	0.6499218	0.11396523	0.12457675
0.11153629	0.6499188	0.11396534	0.124579586
0.11153631	0.6499156	0.113965504	0.12458265
0.07644964	0.085339844	0.07520978	0.7630008
0.076093316	0.084711805	0.75496626	0.08422865
0.075837	0.08366415	0.46203673	0.3784621
0.07499691	0.086184405	0.75751144	0.08130727
0.11153629	0.6499196	0.113965385	0.124578685
0.2342871	0.26716563	0.23881175	0.25973552
0.045763016	0.056613263	0.045210455	0.85241324
0.6220463	0.12996787	0.11795716	0.1300287
0.027648818	0.034239627	0.5748142	0.36329734
0.031893313	0.7113977	0.22068653	0.036022447
0.111686036	0.1283211	0.114064515	0.6459283
0.054682005	0.82878566	0.055737693	0.060794614
0.04358915	0.863343	0.044399966	0.048667897
0.32583362	0.015355639	0.013992579	0.6448182
0.11217583	0.12898958	0.11805296	0.64078164
0.07498004	0.50626	0.33558294	0.083177045
0.036863655	0.042766504	0.3073277	0.6130422
0.7509757	0.0855521	0.07650718	0.08696498
0.036478624	0.041661315	0.8817506	0.040109485
0.11578217	0.12880282	0.11488707	0.6405279
0.6659226	0.25370774	0.03837427	0.041995462
0.007910794	0.97525203	0.008021015	0.008816196
0.07500992	0.08618586	0.75749695	0.08130731
0.11333611	0.6468978	0.11487193	0.1248942
0.045056794	0.04997227	0.04475613	0.8602148
0.2342871	0.26716563	0.23881175	0.25973552
0.2342871	0.26716563	0.23881175	0.25973552
0.2342871	0.26716563	0.23881175	0.25973552
0.8137346	0.06452424	0.057725515	0.06401564
0.3553197	0.057437133	0.5357126	0.051530603
0.037461657	0.8836629	0.037798356	0.041077126
0.03167431	0.89993733	0.031851918	0.03653644
0.9480119	0.017695563	0.016383516	0.017909028
0.056776885	0.06513152	0.81036687	0.06772475
0.112176605	0.12899207	0.11813887	0.6406925
0.11332563	0.6469108	0.11487006	0.12489354
0.054575775	0.06264363	0.056143165	0.82663745
0.33549696	0.35685232	0.29016575	0.017485019
0.074537106	0.08886153	0.74974847	0.08685287
0.1130467	0.12764515	0.6337298	0.12557837
0.35540143	0.025118034	0.5938222	0.025658367
0.81428057	0.06364244	0.05883385	0.06324314
0.8523289	0.05079601	0.04671068	0.05016442
0.055691022	0.8233045	0.0597375	0.061266977
0.626673	0.13009827	0.114632286	0.12859647
0.04392737	0.05016213	0.85762465	0.048285782
0.044154976	0.051139478	0.85446304	0.05024246
0.010988482	0.96462935	0.011432427	0.0129497405
0.043941956	0.051422242	0.8562221	0.04841372
