topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.0033124555	0.003290983	0.0032696186	0.003312643	0.0032695322	0.003333499	0.0034105615	0.0033235906	0.0033347376	0.0033137365	0.0032696186	0.80537325	0.0032806192	0.0032805842	0.0033768634	0.0033016466	0.0032916162	0.0032589221	0.0033016377	0.0032910618	0.0032696766	0.0032914537	0.003313217	0.0032804161	0.0033017541	0.0032699222	0.0032804308	0.0032912774	0.0033236777	0.0033236407	0.0032589221	0.0032697832	0.0033127463	0.0033772052	0.0033350072	0.0033343914	0.0032805088	0.0032808087	0.0032696766	0.0032803172	0.0033232763	0.0032807898	0.0032916486	0.0033021837	0.0033236688	0.0032913024	0.003356375	0.0033017814	0.0032698663	0.0032589221	0.0032697546	0.003280287	0.0032699103	0.0032804308	0.0032695418	0.0033023637	0.0032803728	0.0033234875	0.0033015364	0.0032805519
0.0027591756	0.0027412898	0.0027234938	0.0027593318	0.0027234221	0.0027767043	0.002840895	0.002768451	0.002777736	0.002760243	0.0027234938	0.002732452	0.002732657	0.002732628	0.0028128256	0.0027501723	0.0027418172	0.002714584	0.0027501648	0.0027413554	0.002723542	0.0027416819	0.00275981	0.002732488	0.002750262	0.002723747	0.0027325002	0.002741535	0.0027685235	0.0027684928	0.002714584	0.0027236312	0.002759418	0.0028131104	0.0027779606	0.0027774477	0.0027325652	0.002732815	0.002723542	0.0027324057	0.002768189	0.0027327992	0.0027418442	0.0027506195	0.002768516	0.002741556	0.0027957594	0.0027502845	0.0027237001	0.002714584	0.0027236072	0.0027323803	0.002723737	0.0027325002	0.0027234298	0.0027507695	0.002732452	0.0027683652	0.0027500805	0.83788186
0.0015035172	0.0014937709	0.0014840736	0.0015036023	0.0014840345	0.0015130688	0.0015480473	0.0015085714	0.001513631	0.0015040986	0.0014840736	0.001488955	0.0014890668	0.0014890509	0.001532752	0.0014986111	0.0014940583	0.0014792186	0.001498607	0.0014938067	0.0014840999	0.0014939845	0.0015038628	0.0014889747	0.0014986598	0.0014842114	0.0014889813	0.0014939045	0.0015086109	0.0015085941	0.0014792186	0.0014841484	0.0015036493	0.001532907	0.0015137534	0.0015134738	0.0014890167	0.68365204	0.0014840999	0.22949632	0.0015084287	0.0014891442	0.001494073	0.0014988548	0.0015086068	0.0014939158	0.0015234522	0.0014986723	0.001484186	0.0014792186	0.0014841354	0.001488916	0.0014842061	0.0014889813	0.0014840387	0.0014989366	0.001488955	0.0015085246	0.001498561	0.0014890363
0.008313763	0.00825987	0.008206249	0.008314233	0.5114889	0.008366579	0.008559994	0.008341711	0.008369688	0.008316978	0.008206249	0.008233241	0.008233858	0.008233772	0.008475417	0.008286634	0.008261459	0.008179403	0.008286612	0.0082600685	0.0082063945	0.008261052	0.008315674	0.00823335	0.008286905	0.008207011	0.008233386	0.00826061	0.008341929	0.008341836	0.008179403	0.008206663	0.008314493	0.008476275	0.008370364	0.008368819	0.008233582	0.008234334	0.0082063945	0.008233101	0.008340921	0.008234287	0.008261541	0.008287982	0.008341907	0.008260672	0.008423994	0.0082869725	0.00820687	0.008179403	0.00820659	0.008233025	0.008206981	0.008233386	0.0082060555	0.008288434	0.008233241	0.008341452	0.008286358	0.00823369
0.0011810344	0.0011733786	0.0011657611	0.0011811012	0.0011657304	0.0011885373	0.5225107	0.0011850046	0.0011889789	0.0011814911	0.0011657611	0.0011695955	0.0011696833	0.001169671	0.0012039987	0.0011771806	0.0011736043	0.0011619475	0.0011771773	0.0011734066	0.0011657819	0.0011735463	0.0011813059	0.001169611	0.0011772189	0.0011658694	0.0011696162	0.0011734834	0.0011850356	0.0011850224	0.0011619475	0.0011658199	0.0011811381	0.0012041205	0.0011890751	0.40933165	0.0011696441	0.0011697509	0.0011657819	0.0011695757	0.0011848924	0.0011697442	0.0011736158	0.0011773721	0.0011850324	0.0011734924	0.0011966936	0.0011772286	0.0011658495	0.0011619475	0.0011658097	0.0011695649	0.0011658652	0.0011696162	0.0011657338	0.0011774362	0.0011695955	0.0011849678	0.0011771412	0.0011696593
0.003312456	0.0032909836	0.0032696193	0.0033126436	0.003269533	0.0033334997	0.0034105622	0.0033235913	0.003334738	0.0033137372	0.0032696193	0.0032803735	0.0032806196	0.003280585	0.0033768641	0.0033016473	0.0032916167	0.0032589228	0.0033016382	0.0032910625	0.003269677	0.40433758	0.0033132175	0.0032804168	0.0033017548	0.003269923	0.0032804315	0.003291278	0.0033236784	0.0033236414	0.0032589228	0.003269784	0.003312747	0.003377206	0.003335008	0.0033343919	0.0032805095	0.0032808094	0.003269677	0.0032803179	0.0033232768	0.0032807903	0.0032916493	0.0033021844	0.0033236693	0.003291303	0.0033563755	0.003301782	0.0032698668	0.0032589228	0.0032697553	0.0032802876	0.40431654	0.0032804315	0.0032695422	0.0033023644	0.0032803735	0.0033234882	0.0033015371	0.0032805523
0.0033124555	0.003290983	0.0032696186	0.003312643	0.0032695322	0.003333499	0.0034105615	0.0033235906	0.0033347376	0.0033137365	0.0032696186	0.0032803728	0.0032806192	0.0032805842	0.3325938	0.0033016466	0.0032916162	0.0032589221	0.0033016377	0.0032910618	0.0032696766	0.0032914537	0.003313217	0.0032804161	0.0033017541	0.0032699222	0.0032804308	0.0032912774	0.0033236777	0.0033236407	0.0032589221	0.0032697832	0.0033127463	0.0033772052	0.0033350072	0.0033343914	0.0032805088	0.0032808087	0.0032696766	0.0032803172	0.0033232763	0.0032807898	0.0032916486	0.0033021837	0.0033236688	0.0032913024	0.003356375	0.0033017814	0.0032698663	0.0032589221	0.0032697546	0.003280287	0.47614577	0.0032804308	0.0032695418	0.0033023637	0.0032803728	0.0033234875	0.0033015364	0.0032805519
0.003312455	0.0032909827	0.0032696184	0.0033126427	0.003269532	0.0033334987	0.003410561	0.0033235904	0.0033347371	0.0033137363	0.0032696184	0.0032803726	0.0032806187	0.003280584	0.0033768632	0.0033016463	0.0032916158	0.003258922	0.0033016372	0.0032910616	0.0032696761	0.0032914532	0.0033132166	0.003280416	0.003301754	0.003269922	0.0032804306	0.003291277	0.0033236775	0.0033236404	0.003258922	0.003269783	0.003312746	0.003377205	0.0033350068	0.003334391	0.0032805086	0.0032808085	0.0032696761	0.003280317	0.0033232758	0.8053736	0.0032916483	0.0033021835	0.0033236684	0.0032913021	0.0033563746	0.0033017811	0.0032698659	0.003258922	0.0032697544	0.0032802867	0.00326991	0.0032804306	0.0032695413	0.0033023634	0.0032803726	0.0033234872	0.003301536	0.0032805514
0.008313761	0.008259868	0.5114892	0.008314231	0.00820603	0.008366577	0.008559992	0.008341708	0.008369685	0.008316976	0.008206247	0.008233239	0.008233856	0.008233769	0.008475415	0.008286633	0.008261457	0.008179401	0.00828661	0.008260067	0.008206393	0.008261049	0.008315672	0.008233347	0.008286903	0.008207009	0.008233384	0.008260607	0.008341927	0.008341834	0.008179401	0.00820666	0.008314491	0.008476273	0.008370362	0.008368816	0.00823358	0.008234332	0.008206393	0.008233099	0.008340919	0.008234285	0.008261539	0.00828798	0.008341905	0.00826067	0.008423992	0.008286971	0.008206869	0.008179401	0.008206588	0.008233023	0.008206979	0.008233384	0.008206054	0.008288432	0.008233239	0.00834145	0.008286356	0.008233688
0.005530404	0.005494554	0.005458885	0.0055307173	0.0054587405	0.005565538	0.0056942	0.0055489955	0.0055676056	0.005532543	0.005458885	0.00547684	0.0054772506	0.005477193	0.0056379386	0.0055123577	0.005495611	0.0054410263	0.005512343	0.005494686	0.0054589813	0.00549534	0.0055316756	0.005476912	0.0055125374	0.0054593915	0.0054769367	0.005495046	0.0055491407	0.005549079	0.0054410263	0.0054591596	0.0055308896	0.005638509	0.005568056	0.0055670277	0.0054770666	0.0054775677	0.0054589813	0.0054767467	0.00554847	0.0054775355	0.0054956656	0.0055132546	0.0055491254	0.0054950872	0.005603731	0.005512583	0.67503774	0.0054410263	0.0054591116	0.0054766964	0.0054593715	0.0054769367	0.0054587563	0.0055135554	0.00547684	0.005548823	0.0055121738	0.0054771383
