topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.029285155	0.031457555	0.029042836	0.03155825	0.02768377	0.8509725
0.024335084	0.026093436	0.2775659	0.026274078	0.023029717	0.6227018
0.013160041	0.0141391875	0.013057585	0.014206939	0.9303854	0.015050879
0.075680904	0.0812057	0.075067505	0.08159076	0.6014096	0.085045524
0.010315007	0.9469328	0.010254855	0.011132687	0.009747416	0.011617213
0.029357811	0.031345427	0.029080952	0.031625457	0.027733881	0.8508564
0.029279752	0.03131334	0.02903641	0.03158628	0.02768349	0.85110074
0.029339451	0.031371336	0.8469143	0.031576138	0.027754486	0.033044282
0.07582469	0.08103941	0.6046809	0.081654295	0.07174846	0.08505229
0.049689617	0.053012908	0.049136538	0.7445782	0.046919744	0.05666304
0.6046581	0.081236325	0.07522954	0.08207754	0.071670234	0.08512821
0.049499407	0.05299762	0.049098983	0.74599737	0.046828374	0.05557823
0.012052282	0.012867481	0.011929384	0.93811905	0.011398358	0.013633408
0.049565285	0.05298704	0.04909926	0.0535608	0.73870474	0.056082886
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.00251982	0.98704976	0.0024953634	0.002712466	0.0023802852	0.0028423234
0.6939157	0.005922221	0.03650506	0.0060019726	0.0052301046	0.25242487
0.036792804	0.03942857	0.03652969	0.039741307	0.034818873	0.81268877
0.029336851	0.031330466	0.029104596	0.031738456	0.58323604	0.2952536
0.3950874	0.017268926	0.016033763	0.43668377	0.015263063	0.11966312
0.3450072	0.05348699	0.049372315	0.053403456	0.44268444	0.056045543
0.036816347	0.039404254	0.036559977	0.039748847	0.80539876	0.042071804
0.024389317	0.57054687	0.024072053	0.026200818	0.022970421	0.33182055
0.4107934	0.008125476	0.0075213215	0.55780935	0.007180884	0.008569587
0.024343055	0.61804074	0.024175081	0.026266163	0.022992574	0.2841824
0.010296916	0.011028699	0.010205009	0.0110959085	0.009737658	0.9476358
0.036873985	0.03945143	0.80752164	0.039669886	0.034889627	0.04159346
0.07629023	0.08166317	0.60296315	0.08165178	0.07168901	0.085742645
0.07574698	0.08110452	0.07513419	0.61132526	0.07164968	0.08503935
0.2590402	0.039459225	0.03656455	0.039839447	0.03481221	0.5902844
0.075883806	0.08108297	0.075097516	0.08177515	0.07167682	0.6144837
0.60383886	0.08161691	0.075524695	0.08164271	0.0716863	0.08569052
0.445207	0.52164805	0.007958465	0.00863584	0.0075668558	0.0089837555
0.07575456	0.08111611	0.07509178	0.081870176	0.07188941	0.61427796
0.014470818	0.9256825	0.014337426	0.015596627	0.013673673	0.016238986
0.020807216	0.7473542	0.020628048	0.022397729	0.019644493	0.16916834
0.0075774947	0.00812148	0.007511686	0.0576942	0.0071602617	0.91193485
0.049575433	0.052985925	0.049078733	0.05342104	0.04684335	0.7480955
0.024402076	0.026055515	0.024153069	0.0262474	0.023012962	0.876129
0.04951882	0.053471293	0.049106404	0.053460035	0.046917934	0.7475255
0.6038126	0.08161971	0.0755457	0.081642896	0.07168636	0.085692786
0.03681796	0.53138715	0.036527283	0.31905943	0.034884967	0.041323226
0.016120184	0.2784246	0.016000839	0.14684328	0.015272363	0.5273387
0.82332915	0.0029596665	0.0027400325	0.0029872395	0.16487974	0.003104133
0.075680904	0.081206724	0.075067505	0.081590764	0.6014086	0.08504553
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.018145131	0.019412	0.90543604	0.019507783	0.0171482	0.020350877
0.049485464	0.7455115	0.049088493	0.053342603	0.04683942	0.05573252
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.014498164	0.015509132	0.9243276	0.015599444	0.013717821	0.016347824
0.018168954	0.9063379	0.018050214	0.019625196	0.017166829	0.020650867
0.07590106	0.08120091	0.604553	0.0815582	0.07169736	0.08508946
0.012062858	0.22074917	0.3939236	0.34832746	0.011388589	0.013548292
0.07588286	0.08108296	0.07509751	0.08177575	0.07167681	0.6144841
0.07573172	0.08109762	0.075213686	0.08154289	0.07167219	0.61474186
0.075957686	0.08101339	0.0751708	0.082081266	0.6004383	0.08533861
0.020761518	0.022358144	0.020601025	0.022357738	0.01965356	0.89426804
0.009031137	0.3217998	0.35057005	0.29992276	0.008520041	0.010156176
0.075680904	0.08120386	0.075067505	0.08159073	0.6014115	0.085045524
0.075680904	0.081202865	0.075067505	0.08159071	0.60141253	0.08504552
0.07568091	0.081208855	0.075067505	0.08159082	0.60140634	0.08504555
0.049660522	0.05303852	0.049107116	0.74462426	0.046852317	0.056717254
0.049653437	0.053031735	0.7411745	0.0534857	0.04695613	0.055698436
0.049622305	0.052957285	0.7408027	0.05396691	0.047034558	0.055616196
0.04957814	0.053154927	0.049199834	0.053288233	0.046953607	0.74782526
0.075680904	0.08120549	0.075067505	0.08159075	0.60140985	0.085045524
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.02930051	0.031632084	0.02904674	0.84917474	0.027757704	0.033088177
0.076260015	0.081301495	0.60276186	0.082161196	0.07203722	0.085478194
0.018158246	0.019553665	0.5622509	0.36217043	0.01717771	0.020689076
0.020798359	0.02230344	0.21625882	0.022455983	0.019683585	0.6984998
0.07574697	0.08110449	0.07513421	0.6113253	0.07164967	0.08503934
0.03676163	0.26076615	0.03646543	0.039654937	0.5848594	0.041492485
0.029228069	0.8494424	0.028993243	0.03154986	0.027777592	0.03300887
0.00902686	0.009635772	0.008960892	0.5939616	0.36827123	0.01014364
0.07588811	0.081188574	0.07541221	0.082042634	0.071764275	0.6137042
0.049484152	0.05309797	0.04911128	0.05337114	0.04685525	0.74808025
0.45536798	0.026068512	0.024178015	0.44398052	0.023027167	0.027377844
0.7414922	0.053076852	0.049219538	0.05358288	0.046922456	0.05570609
0.0243074	0.026008233	0.8733085	0.026135797	0.02297459	0.02726546
0.07575458	0.08111614	0.075091794	0.08187037	0.07189082	0.6142763
0.02432988	0.26420128	0.024131386	0.026260566	0.63359654	0.027480356
0.0051467223	0.9735735	0.0050977534	0.005541622	0.0048557003	0.0057847146
0.049577456	0.05315047	0.04919921	0.053288225	0.046945058	0.74783957
0.07573967	0.61023533	0.07512992	0.08165987	0.07169011	0.08554511
0.029376466	0.03132732	0.029042905	0.8496425	0.02772238	0.032888442
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.16103931	0.17237164	0.15973409	0.17346668	0.15246147	0.18092683
0.8077606	0.039493423	0.03655484	0.039712973	0.034847815	0.041630324
