topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79
0.0024651978	0.0024731664	0.0024811134	0.0024731664	0.0024731413	0.0024895146	0.0025460108	0.0024897077	0.0025136387	0.0024974048	0.0024651978	0.002473199	0.8038295	0.0024813171	0.002521405	0.0024892658	0.0024812606	0.0024651978	0.002488984	0.002473243	0.0024651978	0.002473199	0.0024972775	0.0024651978	0.002497344	0.0024731306	0.0024651978	0.0024732854	0.0024971871	0.0024732593	0.0024732759	0.0024651978	0.0024813635	0.0024974493	0.0024894937	0.0025135658	0.0024813842	0.0024974847	0.0024651978	0.0024892865	0.0024892678	0.002481361	0.0024812443	0.002489122	0.002487329	0.0024971385	0.0025295445	0.002481168	0.0024733061	0.002473199	0.0024651978	0.0024813516	0.0024890814	0.0024732237	0.0024731664	0.0024888483	0.0024891614	0.0024732237	0.0024813635	0.0024651978	0.0024731664	0.0024811681	0.0024892378	0.0025052484	0.0024731667	0.0024812382	0.0024809313	0.0024733061	0.0024651978	0.0024893663	0.0024731664	0.002497373	0.002481349	0.0025052906	0.0024811681	0.0024894322	0.0024651978	0.0024813577	0.002473199	0.0024732733
0.0020537549	0.0020603938	0.0020670143	0.0020603938	0.0020603728	0.0020740132	0.0021210802	0.0020741741	0.0020941112	0.0020805865	0.0020537549	0.0020604208	0.8365705	0.002067184	0.002100581	0.002073806	0.0020671368	0.0020537549	0.0020735713	0.0020604574	0.0020537549	0.0020604208	0.0020804806	0.0020537549	0.002080536	0.0020603638	0.0020537549	0.0020604928	0.0020804051	0.002060471	0.0020604848	0.0020537549	0.0020672227	0.0020806235	0.0020739958	0.0020940504	0.00206724	0.002080653	0.0020537549	0.0020738232	0.0020738079	0.0020672204	0.0020671233	0.0020736863	0.0020721927	0.0020803646	0.002107362	0.0020670597	0.00206051	0.0020604208	0.0020537549	0.0020672127	0.0020736523	0.0020604413	0.0020603938	0.0020734582	0.002073719	0.0020604413	0.0020672227	0.0020537549	0.0020603938	0.00206706	0.0020737827	0.0020871211	0.0020603938	0.0020671184	0.0020668625	0.00206051	0.0020537549	0.0020738898	0.0020603938	0.00208056	0.0020672106	0.0020871563	0.00206706	0.0020739448	0.0020537549	0.0020672178	0.0020604208	0.0020604827
0.001119516	0.0011231349	0.0011267437	0.0011231349	0.0011231235	0.0011305589	0.0011562154	0.0011306467	0.0011415144	0.0011341422	0.001119516	0.0011231496	0.0011268032	0.0011268363	0.0011450413	0.0011304459	0.0011268106	0.001119516	0.0011303179	0.0011231696	0.001119516	0.0011231496	0.0011340843	0.001119516	0.0011341146	0.0011231184	0.001119516	0.0011231889	0.0011340432	0.001123177	0.0011231845	0.001119516	0.0011268574	0.0011341623	0.0011305495	0.0011414813	0.0011268667	0.28457785	0.001119516	0.108036496	0.0011304469	0.0011268561	0.0011268032	0.0011303807	0.0011295665	0.0011340211	0.0011487376	0.0011267685	0.0011231982	0.0011231496	0.001119516	0.0011268519	0.0011303622	0.0011231608	0.0011231349	0.0011302563	0.0011303986	0.0011231608	0.0011268574	0.001119516	0.0011231349	0.0011267686	0.0011304333	0.0011377041	0.001123135	0.0011268004	0.0011266611	0.0011231982	0.001119516	0.0011304917	0.0011231349	0.0011341276	0.5205638	0.0011377232	0.0011267686	0.0011305215	0.001119516	0.0011268547	0.0011231496	0.0011231833
0.006178619	0.006198591	0.006218509	0.006198591	0.006198528	0.006239565	0.0063811634	0.006240049	0.0063000284	0.0062593403	0.006178619	0.0061986726	0.0062188366	0.50833076	0.006319493	0.006238941	0.0062188776	0.006178619	0.0062382347	0.006198783	0.006178619	0.0061986726	0.0062590213	0.006178619	0.0062591885	0.0061985007	0.006178619	0.006198889	0.0062587946	0.0061988235	0.0061988654	0.006178619	0.0062191356	0.0062594516	0.0062395125	0.0062998454	0.0062191873	0.0062595406	0.006178619	0.0062389933	0.0062389467	0.006219129	0.0062188366	0.006238581	0.0062340875	0.0062586726	0.006339893	0.0062186453	0.006198941	0.0061986726	0.006178619	0.006219106	0.006238479	0.0061987345	0.006198591	0.0062378948	0.00623868	0.0061987345	0.0062191356	0.006178619	0.006198591	0.0062186457	0.0062388713	0.006278999	0.0061985916	0.0062188217	0.0062180525	0.006198941	0.006178619	0.0062391935	0.006198591	0.0062592602	0.0062190997	0.006279105	0.0062186457	0.006239359	0.006178619	0.006219121	0.0061986726	0.006198859
0.0008794753	0.00088231824	0.00088515336	0.00088231824	0.0008823092	0.0008881505	0.48139638	0.0008882194	0.000896757	0.0008909654	0.0008794753	0.0008823298	0.00088520005	0.00088522607	0.0008995276	0.0008880617	0.0008852058	0.0008794753	0.0008879612	0.00088234554	0.0008794753	0.0008823298	0.00089092	0.0008794753	0.00089094375	0.0008823054	0.0008794753	0.0008823606	0.0008908877	0.0008823513	0.21344724	0.0008794753	0.00088524254	0.00089098123	0.000888143	0.0008967309	0.00088524993	0.00089099386	0.0008794753	0.00088806916	0.0008880625	0.0008852416	0.00088520005	0.0008880104	0.00088737084	0.00089087035	0.00090243143	0.0008851728	0.000882368	0.0008823298	0.0008794753	0.0008852383	0.00088799594	0.0008823386	0.00088231824	0.0008879128	0.0008880245	0.0008823386	0.00088524254	0.0008794753	0.00088231824	0.00088517286	0.00088805176	0.0008937636	0.0008823183	0.0008851979	0.0008850884	0.000882368	0.0008794753	0.0008880976	0.00088231824	0.000890954	0.0008852374	0.0008937787	0.00088517286	0.00088812114	0.0008794753	0.0008852405	0.23695913	0.0008823563
0.0024651976	0.0024731662	0.0024811132	0.0024731662	0.002473141	0.0024895144	0.0025460105	0.0024897074	0.0025136385	0.0024974046	0.0024651976	0.0024731988	0.002481244	0.002481317	0.0025214048	0.0024892655	0.0024812603	0.0024651976	0.0024889838	0.0024732428	0.0024651976	0.0024731988	0.0024972772	0.0024651976	0.0024973438	0.0024731304	0.0024651976	0.0024732852	0.002497187	0.002473259	0.0024732756	0.0024651976	0.0024813632	0.002497449	0.0024894935	0.0025135656	0.002481384	0.0024974844	0.0024651976	0.0024892862	0.0024892676	0.0024813607	0.002481244	0.0024891219	0.0024873288	0.0024971382	0.0025295443	0.0024811677	0.002473306	0.8038215	0.0024651976	0.0024813514	0.0024890811	0.0024732235	0.0024731662	0.002488848	0.0024891612	0.0024732235	0.0024813632	0.0024651976	0.0024731662	0.002481168	0.0024892376	0.0025052482	0.0024731664	0.002481238	0.002480931	0.002473306	0.0024651976	0.002489366	0.0024731662	0.0024973727	0.0024813488	0.0025052903	0.002481168	0.002489432	0.0024651976	0.0024813574	0.0024731988	0.002473273
0.0024651978	0.0024731664	0.0024811134	0.0024731664	0.0024731413	0.38827762	0.0025460108	0.0024897077	0.0025136387	0.0024974048	0.0024651978	0.002473199	0.0024812443	0.0024813171	0.4180816	0.0024892658	0.0024812606	0.0024651978	0.002488984	0.002473243	0.0024651978	0.002473199	0.0024972775	0.0024651978	0.002497344	0.0024731306	0.0024651978	0.0024732854	0.0024971871	0.0024732593	0.0024732759	0.0024651978	0.0024813635	0.0024974493	0.0024894937	0.0025135658	0.0024813842	0.0024974847	0.0024651978	0.0024892865	0.0024892678	0.002481361	0.0024812443	0.002489122	0.002487329	0.0024971385	0.0025295445	0.002481168	0.0024733061	0.002473199	0.0024651978	0.0024813516	0.0024890814	0.0024732237	0.0024731664	0.0024888483	0.0024891614	0.0024732237	0.0024813635	0.0024651978	0.0024731664	0.0024811681	0.0024892378	0.0025052484	0.0024731667	0.0024812382	0.0024809313	0.0024733061	0.0024651978	0.0024893663	0.0024731664	0.002497373	0.002481349	0.0025052906	0.0024811681	0.0024894322	0.0024651978	0.0024813577	0.002473199	0.0024732733
0.0024651978	0.0024731664	0.0024811134	0.0024731664	0.0024731413	0.0024895146	0.0025460108	0.0024897077	0.0025136387	0.0024974048	0.0024651978	0.002473199	0.0024812443	0.0024813171	0.002521405	0.0024892658	0.0024812606	0.0024651978	0.002488984	0.002473243	0.0024651978	0.002473199	0.0024972775	0.0024651978	0.002497344	0.0024731306	0.0024651978	0.0024732854	0.0024971871	0.0024732593	0.0024732759	0.0024651978	0.0024813635	0.0024974493	0.0024894937	0.0025135658	0.0024813842	0.0024974847	0.0024651978	0.0024892865	0.0024892678	0.8038297	0.0024812443	0.002489122	0.002487329	0.0024971385	0.0025295445	0.002481168	0.0024733061	0.002473199	0.0024651978	0.0024813516	0.0024890814	0.0024732237	0.0024731664	0.0024888483	0.0024891614	0.0024732237	0.0024813635	0.0024651978	0.0024731664	0.0024811681	0.0024892378	0.0025052484	0.0024731667	0.0024812382	0.0024809313	0.0024733061	0.0024651978	0.0024893663	0.0024731664	0.002497373	0.002481349	0.0025052906	0.0024811681	0.0024894322	0.0024651978	0.0024813577	0.002473199	0.0024732733
0.0061786156	0.006198588	0.0062185056	0.006198588	0.50831056	0.0062395614	0.00638116	0.0062400457	0.006300025	0.006259337	0.0061786156	0.0061986693	0.0062188334	0.0062190164	0.0063194893	0.006238938	0.006218874	0.0061786156	0.0062382314	0.0061987797	0.0061786156	0.0061986693	0.006259018	0.0061786156	0.0062591853	0.0061984975	0.0061786156	0.006198886	0.0062587913	0.00619882	0.006198862	0.0061786156	0.0062191323	0.0062594484	0.006239509	0.006299842	0.006219184	0.0062595373	0.0061786156	0.00623899	0.0062389434	0.006219126	0.0062188334	0.0062385774	0.0062340843	0.0062586693	0.00633989	0.006218642	0.0061989375	0.0061986693	0.0061786156	0.006219102	0.0062384754	0.006198731	0.006198588	0.0062378915	0.006238676	0.006198731	0.0062191323	0.0061786156	0.006198588	0.0062186425	0.006238868	0.006278996	0.0061985883	0.0062188185	0.006218049	0.0061989375	0.0061786156	0.00623919	0.006198588	0.006259257	0.006219096	0.0062791016	0.0062186425	0.006239355	0.0061786156	0.006219118	0.0061986693	0.0061988556
0.0041132853	0.0041265814	0.004139841	0.0041265814	0.0041265395	0.33842456	0.004248125	0.004154181	0.004194111	0.004167024	0.0041132853	0.0041266354	0.0041400595	0.004140181	0.004207069	0.0041534435	0.0041400865	0.0041132853	0.004152973	0.004126709	0.0041132853	0.0041266354	0.0041668117	0.0041132853	0.0041669225	0.0041265213	0.0041132853	0.0041267797	0.0041666604	0.004126736	0.004126764	0.0041132853	0.0041402583	0.004167098	0.004153824	0.004193989	0.0041402928	0.004167157	0.0041132853	0.0041534784	0.004153447	0.004140254	0.0041400595	0.0041532037	0.0041502123	0.0041665793	0.00422065	0.004139932	0.33839753	0.0041266354	0.0041132853	0.0041402383	0.0041531357	0.004126677	0.0041265814	0.004152747	0.0041532693	0.004126677	0.0041402583	0.0041132853	0.0041265814	0.0041399323	0.004153397	0.004180111	0.004126582	0.004140049	0.0041395375	0.004126814	0.0041132853	0.0041536116	0.0041265814	0.0041669705	0.0041402346	0.004180182	0.0041399323	0.0041537215	0.0041132853	0.0041402485	0.0041266354	0.0041267592
