topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89
0.0021988212	0.0022059146	0.002206024	0.0022201363	0.0021988212	0.0022061255	0.0022634096	0.0021988212	0.0022416988	0.002220539	0.6030461	0.0022059146	0.0022059146	0.0021988212	0.0022487487	0.0022059337	0.0021988212	0.0022059337	0.0021988212	0.0022059146	0.0022059146	0.0021988212	0.0022131116	0.0022059146	0.0022204937	0.0021988212	0.0022272612	0.0022199866	0.0021988212	0.0022201678	0.002206024	0.0022058273	0.0022060124	0.0022272419	0.0022274114	0.0022132243	0.002205962	0.002227564	0.0022130406	0.0021988212	0.0021988212	0.0022059493	0.0022020347	0.002205889	0.0021988212	0.002213027	0.0022274188	0.0021988212	0.0022058508	0.0022130553	0.0022059146	0.0022059146	0.0022059493	0.0021988212	0.002213027	0.0022130564	0.0022059728	0.002213076	0.002198988	0.002203584	0.0022201112	0.002220275	0.0022131025	0.0021988212	0.0021988212	0.0021988212	0.0022059989	0.0021988212	0.0021988212	0.0022417651	0.0022129822	0.0022130078	0.0021988212	0.0022059146	0.0021988212	0.002227526	0.0021988212	0.0021988212	0.0021988214	0.0021988212	0.0022131912	0.002205962	0.20248567	0.0022059146	0.0021988212	0.0022275206	0.0021988212	0.002220283	0.0022272794	0.0022131
0.0018319234	0.0018378332	0.0018379245	0.001849682	0.0018319234	0.0018380091	0.0018857345	0.0018319234	0.0018676465	0.0018500175	0.83614314	0.0018378332	0.0018378332	0.0018319234	0.0018735201	0.0018378492	0.0018319234	0.0018378492	0.0018319234	0.0018378332	0.0018378332	0.0018319234	0.0018438294	0.0018378332	0.0018499797	0.0018319234	0.001855618	0.0018495573	0.0018319234	0.0018497083	0.0018379245	0.0018377607	0.0018379148	0.0018556018	0.0018557431	0.0018439234	0.0018378728	0.0018558704	0.0018437703	0.0018319234	0.0018319234	0.0018378621	0.0018346008	0.0018378119	0.0018319234	0.001843759	0.0018557493	0.0018319234	0.0018377802	0.0018437825	0.0018378332	0.0018378332	0.0018378621	0.0018319234	0.001843759	0.0018437834	0.0018378819	0.0018437997	0.0018320625	0.0018358915	0.001849661	0.0018497976	0.001843822	0.0018319234	0.0018319234	0.0018319234	0.0018379036	0.0018319234	0.0018319234	0.0018677016	0.0018437215	0.0018437429	0.0018319234	0.0018378332	0.0018319234	0.0018558385	0.0018319234	0.0018319234	0.0018319237	0.0018319234	0.0018438958	0.0018378728	0.0018378119	0.0018378332	0.0018319234	0.001855834	0.0018319234	0.0018498042	0.0018556332	0.0018438197
0.0009987024	0.0010019242	0.0010019739	0.0010083837	0.0009987024	0.0010020201	0.0010280383	0.0009987024	0.0010181774	0.0010085666	0.0010019329	0.0010019242	0.0010019242	0.0009987024	0.0010213795	0.0010019329	0.0009987024	0.0010019329	0.0009987024	0.0010019242	0.0010019242	0.0009987024	0.0010051931	0.0010019242	0.56901723	0.0009987024	0.0010116198	0.0010083157	0.0009987024	0.001008398	0.0010019739	0.0010018846	0.0010019686	0.001011611	0.001011688	0.0010052443	0.0010019458	0.0010117574	0.0010051609	0.0009987024	0.0009987024	0.0010019399	0.001000162	0.0010019125	0.0009987024	0.0010051547	0.0010116914	0.0009987024	0.0010018953	0.0010051675	0.0010019242	0.0010019242	0.0010019399	0.0009987024	0.0010051547	0.001005168	0.0010019507	0.0010051769	0.0009987782	0.0010008656	0.0010083723	0.0010084468	0.001005189	0.0009987024	0.0009987024	0.0009987024	0.0010019626	0.0009987024	0.0009987024	0.0010182074	0.0010051343	0.001005146	0.0009987024	0.0010019242	0.0009987024	0.0010117401	0.0009987024	0.0009987024	0.0009987026	0.0009987024	0.0010052293	0.073495194	0.0010019125	0.0010019242	0.0009987024	0.2701787	0.0009987024	0.0010084504	0.0010116281	0.0010051879
0.005508625	0.005526396	0.0055266703	0.005562025	0.005508625	0.005526925	0.0056704357	0.005508625	0.005616045	0.005563034	0.005526444	0.005526396	0.50727975	0.005508625	0.0056337067	0.005526444	0.005508625	0.005526444	0.005508625	0.005526396	0.005526396	0.005508625	0.0055444264	0.005526396	0.0055629206	0.005508625	0.005579875	0.0055616503	0.005508625	0.0055621043	0.0055266703	0.0055261776	0.005526641	0.0055798264	0.005580251	0.005544709	0.0055265147	0.005580634	0.005544249	0.005508625	0.005508625	0.0055264826	0.005516676	0.0055263317	0.005508625	0.0055442145	0.0055802697	0.005508625	0.0055262363	0.0055442853	0.005526396	0.005526396	0.0055264826	0.005508625	0.0055442145	0.005544288	0.005526542	0.005544337	0.005509043	0.005520557	0.0055619623	0.005562373	0.005544404	0.005508625	0.005508625	0.005508625	0.0055266074	0.005508625	0.005508625	0.005616211	0.005544102	0.0055441665	0.005508625	0.005526396	0.005508625	0.005580538	0.005508625	0.005508625	0.005508626	0.005508625	0.0055446257	0.0055265147	0.0055263317	0.005526396	0.005508625	0.0055805244	0.005508625	0.005562393	0.0055799205	0.0055443975
0.0007845873	0.0007871184	0.00078715745	0.000792193	0.0007845873	0.0007871937	0.0008076338	0.0007845873	0.000799887	0.0007923367	0.0007871252	0.0007871184	0.0007871184	0.0007845873	0.00080240256	0.0007871252	0.0007845873	0.0007871252	0.0007845873	0.0007871184	0.0007871184	0.0007845873	0.00078968646	0.0007871184	0.0007923205	0.0007845873	0.00079473533	0.0007921396	0.0007845873	0.0007922043	0.00078715745	0.0007870873	0.92982244	0.0007947284	0.00079478894	0.00078972674	0.00078713533	0.0007948434	0.00078966114	0.0007845873	0.0007845873	0.00078713073	0.000785734	0.00078710925	0.0007845873	0.0007896563	0.00079479156	0.0007845873	0.0007870957	0.0007896663	0.0007871184	0.0007871184	0.00078713073	0.0007845873	0.0007896563	0.0007896667	0.0007871392	0.0007896737	0.00078464684	0.0007862867	0.00079218403	0.0007922425	0.00078968325	0.0007845873	0.0007845873	0.0007845873	0.00078714854	0.0007845873	0.0007845873	0.00079991063	0.00078964024	0.00078964944	0.0007845873	0.0007871184	0.0007845873	0.0007948298	0.0007845873	0.0007845873	0.0007845874	0.0007845873	0.00078971486	0.00078713533	0.00078710925	0.0007871184	0.0007845873	0.0007948278	0.0007845873	0.0007922454	0.00079474185	0.0007896823
0.0021988214	0.0022059146	0.0022060242	0.0022201366	0.0021988214	0.0022061258	0.0022634096	0.0021988214	0.002241699	0.0022205391	0.002205934	0.0022059146	0.0022059146	0.0021988214	0.002248749	0.002205934	0.0021988214	0.002205934	0.0021988214	0.0022059146	0.0022059146	0.0021988214	0.0022131118	0.8033259	0.002220494	0.0021988214	0.0022272614	0.0022199869	0.0021988214	0.002220168	0.0022060242	0.0022058275	0.0022060126	0.002227242	0.0022274116	0.0022132245	0.0022059623	0.0022275643	0.0022130408	0.0021988214	0.0021988214	0.0022059493	0.002202035	0.0022058892	0.0021988214	0.0022130273	0.002227419	0.0021988214	0.002205851	0.0022130555	0.0022059146	0.0022059146	0.0022059493	0.0021988214	0.0022130273	0.0022130567	0.002205973	0.0022130762	0.0021989883	0.002203584	0.0022201114	0.0022202753	0.0022131028	0.0021988214	0.0021988214	0.0021988214	0.002205999	0.0021988214	0.0021988214	0.0022417651	0.0022129824	0.002213008	0.0021988214	0.0022059146	0.0021988214	0.0022275262	0.0021988214	0.0021988214	0.0021988216	0.0021988214	0.0022131915	0.0022059623	0.0022058892	0.0022059176	0.0021988214	0.0022275206	0.0021988214	0.0022202833	0.0022272796	0.0022131002
0.0021988214	0.0022059146	0.0022060242	0.0022201366	0.0021988214	0.0022061258	0.0022634096	0.0021988214	0.002241699	0.0022205391	0.002205934	0.0022059146	0.0022059146	0.0021988214	0.002248749	0.002205934	0.0021988214	0.002205934	0.0021988214	0.0022059146	0.0022059146	0.0021988214	0.0022131118	0.0022059146	0.002220494	0.0021988214	0.0022272614	0.0022199869	0.0021988214	0.002220168	0.0022060242	0.0022058275	0.0022060126	0.002227242	0.0022274116	0.0022132245	0.0022059623	0.0022275643	0.0022130408	0.0021988214	0.0021988214	0.0022059493	0.002202035	0.0022058892	0.0021988214	0.0022130273	0.002227419	0.0021988214	0.002205851	0.0022130555	0.0022059146	0.0022059146	0.0022059493	0.0021988214	0.0022130273	0.0022130567	0.002205973	0.0022130762	0.0021989883	0.002203584	0.0022201114	0.0022202753	0.80333304	0.0021988214	0.0021988214	0.0021988214	0.002205999	0.0021988214	0.0021988214	0.0022417651	0.0022129824	0.002213008	0.0021988214	0.0022059146	0.0021988214	0.0022275262	0.0021988214	0.0021988214	0.0021988216	0.0021988214	0.0022131915	0.0022059623	0.0022058892	0.0022059146	0.0021988214	0.0022275206	0.0021988214	0.0022202833	0.0022272796	0.0022131002
0.0021988216	0.002205915	0.0022060247	0.002220137	0.0021988216	0.0022061262	0.00226341	0.0021988216	0.0022416995	0.0022205396	0.0022059344	0.002205915	0.002205915	0.0021988216	0.0022487494	0.0022059344	0.0021988216	0.0022059344	0.0021988216	0.002205915	0.41547376	0.0021988216	0.0022131123	0.002205915	0.0022204942	0.0021988216	0.002227262	0.0022199873	0.0021988216	0.0022201685	0.0022060247	0.002205828	0.002206013	0.0022272423	0.002227412	0.002213225	0.0022059628	0.0022275648	0.0022130413	0.0021988216	0.0021988216	0.0022059497	0.0022020354	0.0022058897	0.0021988216	0.0022130278	0.0022274195	0.0021988216	0.0022058515	0.002213056	0.002205915	0.002205915	0.0022059497	0.0021988216	0.0022130278	0.002213057	0.0022059735	0.3900652	0.0021989886	0.0022035844	0.0022201117	0.0022202758	0.0022131032	0.0021988216	0.0021988216	0.0021988216	0.0022059996	0.0021988216	0.0021988216	0.0022417656	0.0022129829	0.0022130085	0.0021988216	0.002205915	0.0021988216	0.0022275266	0.0021988216	0.0021988216	0.002198822	0.0021988216	0.002213192	0.0022059628	0.0022058897	0.002205915	0.0021988216	0.002227521	0.0021988216	0.0022202837	0.00222728	0.0022131007
0.005508624	0.0055263946	0.005526669	0.005562024	0.005508624	0.0055269236	0.005670435	0.005508624	0.005616044	0.005563033	0.005526443	0.0055263946	0.0055263946	0.005508624	0.0056337058	0.005526443	0.005508624	0.005526443	0.005508624	0.0055263946	0.0055263946	0.005508624	0.0055444255	0.0055263946	0.0055629197	0.005508624	0.005579874	0.0055616493	0.005508624	0.0055621034	0.005526669	0.0055261767	0.00552664	0.0055798255	0.00558025	0.005544708	0.005526514	0.005580633	0.0055442476	0.005508624	0.005508624	0.0055264817	0.005516675	0.005526331	0.005508624	0.0055442136	0.005580269	0.005508624	0.0055262353	0.0055442844	0.0055263946	0.0055263946	0.0055264817	0.005508624	0.0055442136	0.005544287	0.0055265413	0.005544336	0.005509042	0.005520556	0.005561961	0.005562372	0.005544403	0.005508624	0.005508624	0.005508624	0.0055266065	0.005508624	0.005508624	0.00561621	0.005544101	0.0055441656	0.005508624	0.0055263946	0.005508624	0.005580537	0.005508624	0.005508624	0.005508625	0.005508624	0.0055446248	0.005526514	0.005526331	0.0055263946	0.005508624	0.0055805235	0.005508624	0.005562392	0.50733334	0.0055443966
0.0036681264	0.0036799598	0.0036801423	0.0037036848	0.0036681264	0.0036803118	0.0037758742	0.0036681264	0.003739656	0.0037043567	0.0036799917	0.0036799598	0.0036799598	0.0036681264	0.003751417	0.0036799917	0.0036681264	0.0036799917	0.0036681264	0.0036799598	0.0036799598	0.0036681264	0.003691966	0.0036799598	0.36468795	0.0036681264	0.0037155708	0.0037034354	0.0036681264	0.0037037374	0.0036801423	0.0036798143	0.003680123	0.0037155384	0.0037158213	0.0036921543	0.003680039	0.003716076	0.003691848	0.0036681264	0.0036681264	0.0036800175	0.0036734873	0.003679917	0.0036681264	0.003691825	0.0037158336	0.0036681264	0.0036798536	0.003691872	0.0036799598	0.0036799598	0.0036800175	0.0036681264	0.003691825	0.003691874	0.0036800571	0.0036919066	0.0036684049	0.0036760718	0.0037036429	0.0037039164	0.31093186	0.0036681264	0.0036681264	0.0036681264	0.0036801007	0.0036681264	0.0036681264	0.0037397665	0.00369175	0.003691793	0.0036681264	0.0036799598	0.0036681264	0.0037160122	0.0036681264	0.0036681264	0.0036681269	0.0036681264	0.003692099	0.003680039	0.003679917	0.0036799598	0.0036681264	0.0037160034	0.0036681264	0.0037039297	0.0037156013	0.0036919469
